publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Synthetic Solar Irradiance : Modeling Solar Data	978-0-7354-2185-1	978-0-7354-2182-0							https://pubs.aip.org/books/monograph/81/Synthetic-Solar-IrradianceModeling-Solar-Data	Bright	10.1063/9780735421820		fulltext		AIP Publishing	monograph	2021	2020			Bright	aipp-books		P	292889445
Teaching about Lightwave Communications : An AAPT/PTRA Resource	978-0-917853-63-0	978-0-7354-2105-9							https://pubs.aip.org/books/book/120/Teaching-about-Lightwave-CommunicationsAn-AAPT	Davids	10.1063/9780735421059		fulltext		AIP Publishing	monograph	1994	2020				aipp-books		P	292889410
Ultrafast Imaging and Spectroscopy for Biomedicine	978-0-7354-2464-7	978-0-7354-2467-8							https://pubs.aip.org/books/monograph/152/Ultrafast-Imaging-and-Spectroscopy-for-Biomedicine	Liu	10.1063/9780735424678		fulltext		AIP Publishing	monograph	2022	2022				aipp-books		P	292889607
Energy Systems and Processes : Recent Advances in Design and Control	978-0-7354-2572-9	978-0-7354-2574-3							https://pubs.aip.org/books/monograph/147/Energy-Systems-and-ProcessesRecent-Advances-in	Li	10.1063/9780735425743		fulltext		AIP Publishing	monograph	2023	2023			Li	aipp-books		P	29288902X
Introduction to Bioelectronics : Materials, Devices, and Applications	978-0-7354-2444-9	978-0-7354-2447-0							https://pubs.aip.org/books/monograph/88/Introduction-to-BioelectronicsMaterials-Devices	Stavrinidou	10.1063/9780735424470		fulltext		AIP Publishing	monograph	2022	2022			Stavrinidou	aipp-books		P	
Onshore Wind Farms : Dynamic Stability and Applications in Hydrogen Production	978-0-7354-2296-4	978-0-7354-2299-5							https://pubs.aip.org/books/monograph/5/Onshore-Wind-FarmsDynamic-Stability-and	Okedu	10.1063/9780735422995		fulltext		AIP Publishing	monograph	2021	2021				aipp-books		P	292889283
Physics and 21st Century Science Standards : The Role of Physics in the NGSS	978-1-931024-31-0	978-0-7354-2054-0							https://pubs.aip.org/books/book/11/Physics-and-21st-Century-Science-StandardsThe-Role		10.1063/9780735420540		fulltext		AIP Publishing	monograph	2017	2020				aipp-books		P	292889313
Sustainable Engineering Technologies and Architectures	978-0-7354-2400-5	978-0-7354-2403-6							https://pubs.aip.org/books/monograph/3/Sustainable-Engineering-Technologies-and	Ting	10.1063/9780735424036		fulltext		AIP Publishing	monograph	2021	2021			Ting	aipp-books		P	292889747
Teaching High School Physics : The Nature of Physics Teaching	978-0-7354-2194-3	978-0-7354-2196-7							https://pubs.aip.org/books/monograph/82/Teaching-High-School-PhysicsThe-Nature-of-Physics	Wenning	10.1063/9780735421967		fulltext		AIP Publishing	monograph	2020	2020	1			aipp-books		P	292889461
Trends in Fabrication of Polymers and Polymer Composites	978-0-7354-2388-6	978-0-7354-2391-6							https://pubs.aip.org/books/monograph/53/Trends-in-Fabrication-of-Polymers-and-Polymer	Patel	10.1063/9780735423916		fulltext		AIP Publishing	monograph	2022	2021			Patel	aipp-books		P	292889682
Characterization of Defects and Deep Levels for GaN Power Devices	978-0-7354-2270-4	978-0-7354-2269-8							https://pubs.aip.org/books/monograph/72/Characterization-of-Defects-and-Deep-Levels-for	Narita	10.1063/9780735422698		fulltext		AIP Publishing	monograph	2020	2020			Narita	aipp-books		P	292888821
