publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
AIP Advances		2158-3226	2011	1	1				http://scitation.aip.org/content/aip/journal/adva		adva	P1M	fulltext	Open Access		serial								F
AIP Conference Proceedings	0094-243X	1551-7616	1970	1					http://scitation.aip.org/content/aip/proceeding/aipcp		aipcp		fulltext			serial								P
APL Bioengineering		2473-2877	2017	1	1				http://aip.scitation.org/journal/apb/		http://aip.scitation.org/journal/apb/		fulltext	Open access. new: 2017		serial								F
APL Materials		2166-532X	2013	1	1				http://scitation.aip.org/content/aip/journal/aplmater		aplmater		fulltext	New to 2013. Open Access		serial								F
APL Photonics	2378-0967		2016	1	1				http://scitation.aip.org/content/aip/journal/app/browse		app		fulltext	open access		serial								P
APL: Organic Electronics and Photonics		1941-420X	2008	1	1				http://scitation.aip.org/content/aip/journal/aploep		aploep		fulltext	Includes subset of articles from Applied Physics Letters		serial								P
Acoustics Research Letters Online	1529-7853		2000	1	1	2005	6	4	http://scitation.aip.org/content/asa/journal/arlo/browse		arlo		fulltext	Open Access. Now: The Journal of the Acoustical Society of America		serial								F
American Physics Teacher	0096-0322		1933	1	1	1939	7	6	http://scitation.aip.org/content/aapt/journal/ajp/browse		ajp		fulltext	Now: American Journal of Physics		serial								P
Applied Physics Letters	0003-6951	1077-3118	1962	1	1				http://scitation.aip.org/content/aip/journal/apl		apl		fulltext			serial								P
Applied Physics Reviews		1931-9401	1980		1				http://scitation.aip.org/content/aip/journal/apr2		apr2		fulltext	Access to older volumes of this title (1980-2013) are located athttp://scitation.aip.org/content/aip/journal/apr		serial								P
Biointerphases	1934-8630	1559-4106	2006	1	1				http://scitation.aip.org/content/avs/journal/bip/browse		bip		fulltext	Trasnsfer in (2014) :Springer		serial								P
Biomicrofluidics		1932-1058	2007	1	1				http://scitation.aip.org/content/aip/journal/bmf		bmf		fulltext			serial								P
Chaos: An Interdisciplinary Journal of Nonlinear Science	1054-1500	1089-7682	1991	1	1				http://scitation.aip.org/content/aip/journal/chaos		chaos		fulltext			serial								P
Chinese Journal of Chemical Physics	1674-0068		2006	19	1				http://scitation.aip.org/content/cps/journal/cjcp		cjcp		fulltext	transfer in (2013):IoP		serial								P
Computing in Science & Engineering	1521-9615		1999	1	1				http://scitation.aip.org/content/aip/journal/cise		cise		fulltext	Absorbed: Computers in Physics & IEEE computational science & engineering		serial								P
JCP: BioChemical Physics		1931-9223	2007	1	1				http://scitation.aip.org/content/aip/journal/jcpbio		jcpbio		fulltext	Includes subset of articles from The Journal of Chemical Physics		serial								P
Journal of Laser Applications	1042-346X		1988	1	1				http://scitation.aip.org/content/lia/journal/jla		jla		fulltext			serial								P
Journal of Mathematical Physics	0022-2488	1089-7658	1960	1	1				http://scitation.aip.org/content/aip/journal/jmp		jmp		fulltext			serial								P
Journal of Physical and Chemical Reference Data	0047-2689	1529-7845	1972	1	1				http://scitation.aip.org/content/aip/journal/jpcrd		jpcrd		fulltext			serial								P
Journal of Renewable and Sustainable Energy	1941-7012		2009	1	1				http://scitation.aip.org/content/aip/journal/jrse		jrse		fulltext			serial								P
