publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Applications And Calculations In Environmental Physics	978-0-7354-2488-3	978-0-7354-2491-3							https://pubs.aip.org/books/monograph/98/Applications-and-Calculations-in-Environmental	Vallero	10.1063/9780735424913		fulltext		AIP Publishing	monograph	2022	2022				aipp-books		P	
50 Years On Teaching Physics : Reprints Of American Journal Of Physics Articles From The First Half Century Of Aapt	978-0-7354-2156-1	978-0-7354-2132-5							https://pubs.aip.org/books/book/30/50-Years-On-Teaching-PhysicsReprints-of-American	Phillips	10.1063/9780735421325		fulltext		AIP Publishing	monograph	1979	2020			Phillips	aipp-books		P	
Artificial Intelligence For Smart Photovoltaic Technologies	978-0-7354-2496-8	978-0-7354-2499-9							https://pubs.aip.org/books/monograph/101/Artificial-Intelligence-for-Smart-Photovoltaic	Ren	10.1063/9780735424999		fulltext		AIP Publishing	monograph	2022	2022		1	Ren	aipp-books		P	
A View From Physics : Discipline-based Education Research	978-0-7354-2380-0	978-0-7354-2383-1							https://pubs.aip.org/books/monograph/62/A-View-From-PhysicsDiscipline-Based-Education	McDermott	10.1063/9780735423831		fulltext		AIP Publishing	monograph	2021	2021				aipp-books		P	
Biointerphases	1934-8630	1559-4106	2006-01-03	1	1		19	6	https://pubs.aip.org/avs/bip/issue		bip		fulltext		AVS: Science & Technology of Materials, Interfaces, and Processing	serial								P	11834935X
Journal Of Rheology	0097-0360		1929-01-10	1	1	1932-01-10			https://pubs.aip.org/sor/rhe/issue		rhe		fulltext		The Society of Rheology	serial								P	
Making Contributions: An Historical Overview Of Women?s Role In Physics : Based On A Special Session Sponsored By The Committee On Women In Physics Of The American Association Of Physics Teachers	978-0-917853-09-8	978-0-7354-2093-9							https://pubs.aip.org/books/book/19/Making-Contributions-An-Historical-Overview-of	Lotze	10.1063/9780735420939		fulltext		AIP Publishing	monograph	1984	2020			Lotze	aipp-books		P	
Physics And 21st Century Science Standards : The Role Of Physics In The Ngss	978-1-931024-31-0	978-0-7354-2054-0							https://pubs.aip.org/books/book/11/Physics-and-21st-Century-Science-StandardsThe-Role		10.1063/9780735420540		fulltext		AIP Publishing	monograph	2017	2020				aipp-books		P	
International Laser Safety Conference			1990-01-11	1990	1		2023	1	https://pubs.aip.org/liacp/ILSC/volume/2019		ils		fulltext		Laser Institute of America	serial								P	
Trends In Fabrication Of Polymers And Polymer Composites	978-0-7354-2388-6	978-0-7354-2391-6							https://pubs.aip.org/books/monograph/53/Trends-in-Fabrication-of-Polymers-and-Polymer	Patel	10.1063/9780735423916		fulltext		AIP Publishing	monograph	2022	2021			Patel	aipp-books		P	
String And Sticky Tape Experiments	978-0-917853-28-9	978-0-7354-2096-0							https://pubs.aip.org/books/book/134/String-and-Sticky-Tape-Experiments	Edge	10.1063/9780735420960		fulltext		AIP Publishing	monograph	1987	2020				aipp-books		P	
Biophysics Reviews		2688-4089	2020-01-12	1	1		5	4	https://pubs.aip.org/aip/bpr/issue		bpr		fulltext		AIP Publishing	serial								P	253393183
Hybrid Flatland Metastructures	978-0-7354-2287-2	978-0-7354-2290-2							https://pubs.aip.org/books/monograph/42/Hybrid-Flatland-Metastructures	Caputo	10.1063/9780735422902		fulltext		AIP Publishing	monograph	2021	2021			Caputo	aipp-books		P	
Essential Electron Transport For Device Physics	978-0-7354-2158-5	978-0-7354-2160-8							https://pubs.aip.org/books/monograph/35/Essential-Electron-Transport-for-Device-Physics	Levi	10.1063/9780735421608		fulltext		AIP Publishing	monograph	2020	2020				aipp-books		P	
Inside Energy Storage Materials : Diffraction And Spectroscopic Methods For Battery Research	978-0-7354-2416-6	978-0-7354-2419-7							https://pubs.aip.org/books/monograph/91/Inside-Energy-Storage-MaterialsDiffraction-and	Reeves-McLaren	10.1063/9780735424197		fulltext		AIP Publishing	monograph	2022	2022				aipp-books		P	
Soft-matter Thin Film Solar Cells : Physical Processes And Device Simulation	978-0-7354-2238-4	978-0-7354-2241-4							https://pubs.aip.org/books/monograph/70/Soft-Matter-Thin-Film-Solar-CellsPhysical	Ren	10.1063/9780735422414		fulltext		AIP Publishing	monograph	2021	2020			Ren	aipp-books		P	
Laser Safety In Specialized Applications	978-0-7354-2292-6	978-0-7354-2295-7							https://pubs.aip.org/books/monograph/59/Laser-Safety-in-Specialized-Applications	Barat	10.1063/9780735422957		fulltext		AIP Publishing	monograph	2021	2021			Barat	aipp-books		P	
Low Temperature Physics	1063-777X	1090-6517	1997	23	1		50	11	https://pubs.aip.org/aip/ltp/issue		ltp		fulltext		AIP Publishing	serial								P	058047336
The Role Of Graphing Calculators In Teaching Physics : An Aapt/ptra Resource	978-0-917853-91-3	978-0-7354-2111-0							https://pubs.aip.org/books/book/121/The-Role-of-Graphing-Calculators-in-Teaching	Lehman	10.1063/9780735421110		fulltext		AIP Publishing	monograph	1999	2020				aipp-books		P	
Artificial Intelligence Methods For Fault Diagnosis In Centrifugal Pumps	978-0-7354-2356-5	978-0-7354-2359-6							https://pubs.aip.org/books/monograph/106/Artificial-Intelligence-Methods-for-Fault	Al Tobi	10.1063/9780735423596		fulltext		AIP Publishing	monograph	2022	2022				aipp-books		P	
