publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
10TH INTERNATIONAL CONFERENCE ON CONCENTRATOR PHOTOVOLTAIC SYSTEMS: CPV-10		978-0-7354-1253-8							http://scitation.aip.org/content/aip/proceeding/aipcp/1616		1616		fulltext		AIP Publishing	monograph	2014		1616		Riley	aipcp		F
12TH INTERNATIONAL SYMPOSIUM ON THERAPEUTIC ULTRASOUND		978-0-7354-1120-3							http://scitation.aip.org/content/aip/proceeding/aipcp/1503		1503		fulltext		AIP Publishing	monograph	2012		1503		Meairs	aipcp		F
14TH INTERNATIONAL WORKSHOP ON TARGETRY AND TARGET CHEMISTRY		978-0-7354-1127-2							http://scitation.aip.org/content/aip/proceeding/aipcp/1509		1509		fulltext		AIP Publishing	monograph	2012		1509		Avila-Rodriguez	aipcp		F
1ST WORKSHOP ON SPECIALITY OPTICAL FIBERS AND THEIR APPLICATIONS		978-0-7354-0585-1							http://scitation.aip.org/content/aip/proceeding/aipcp/1055		1055		fulltext		AIP Publishing	monograph	2008		1055		Matos	aipcp		F
3RD INTERNATIONAL CONFERENCE ON THEORETICAL AND APPLIED PHYSICS 2013 (ICTAP 2013)		978-0-7354-1254-5							http://scitation.aip.org/content/aip/proceeding/aipcp/1617		1617		fulltext		AIP Publishing	monograph	2014		1617		Mufti	aipcp		F
4TH INTERNATIONAL CONGRESS IN ADVANCES IN APPLIED PHYSICS AND MATERIALS SCIENCE (APMAS 2014)		978-0-7354-1295-8							http://scitation.aip.org/content/aip/proceeding/aipcp/1653		1653		fulltext		AIP Publishing	monograph	2015		1653		Bah-i	aipcp		F
6TH INTERNATIONAL CONFERENCE ON MEDICAL APPLICATIONS OF SYNCHROTRON RADIATION		978-0-7354-0813-5							http://scitation.aip.org/content/aip/proceeding/aipcp/1266		1266		fulltext		AIP Publishing	monograph	2010		1266		Siu	aipcp		F
6TH INTERNATIONAL WORKSHOP ON VERY LARGE VOLUME NEUTRINO TELESCOPES: VLVvT 13		978-0-7354-1269-9							http://scitation.aip.org/content/aip/proceeding/aipcp/1630		1630		fulltext		AIP Publishing	monograph	2014		1630		Real	aipcp		F
8TH INTERNATIONAL CONFERENCE ON CONCENTRATING PHOTOVOLTAIC SYSTEMS: CPV-8		978-0-7354-1086-2							http://scitation.aip.org/content/aip/proceeding/aipcp/1477		1477		fulltext		AIP Publishing	monograph	2012		1477		Dimroth	aipcp		F
9TH INTERNATIONAL CONFERENCE ON CONCENTRATOR PHOTOVOLTAIC SYSTEMS: CPV-9		978-0-7354-1182-1							http://scitation.aip.org/content/aip/proceeding/aipcp/1556		1556		fulltext		AIP Publishing	monograph	2013		1556		Dimroth	aipcp		F
9TH INTERNATIONAL CONFERENCE ON DENSE Z PINCHES		978-0-7354-1278-1							http://scitation.aip.org/content/aip/proceeding/aipcp/1639		1639		fulltext		AIP Publishing	monograph	2014		1639		Bott-Suzuki	aipcp		F
ADVANCED ACCELERATOR CONCEPTS: 15th Advanced Accelerator Concepts Workshop		978-0-7354-1125-8							http://scitation.aip.org/content/aip/proceeding/aipcp/1507		1507		fulltext		AIP Publishing	monograph	2012		1507		Zgadzaj	aipcp		F
ADVANCED MATERIALS IN TECHNOLOGY AND CONSTRUCTION (AMTC-2015): Proceedings of the II All-Russian Scientific Conference of Young Scientists “Advanced Materials in Technology and Construction”		978-0-7354-1345-0							http://scitation.aip.org/content/aip/proceeding/aipcp/1698		1698		fulltext		AIP Publishing	monograph	2016		1698		Solov’eva	aipcp		F
ADVANCES IN CRYOGENIC ENGINEERING: Transactions of the Cryogenic Engineering Conference - CEC		978-0-7354-1201-9							http://scitation.aip.org/content/aip/proceeding/aipcp/1573		1573		fulltext		AIP Publishing	monograph	2014		1573		II	aipcp		F
ADVANCES IN CRYOGENIC ENGINEERING: Transactions of the Cryogenic Engineering Conference - CEC, Volume 57		978-0-7354-1020-6							http://scitation.aip.org/content/aip/proceeding/aipcp/1434		1434		fulltext		AIP Publishing	monograph	2012		1434		Kittel	aipcp		F
ADVANCES IN CRYOGENIC ENGINEERING: Transactions of the International Cryogenic Materials Conference - ICMC, Volume 58		978-0-7354-1022-0							http://scitation.aip.org/content/aip/proceeding/aipcp/1435		1435		fulltext		AIP Publishing	monograph	2012		1435		Balachandran	aipcp		F
ADVANCES IN CRYOGENIC ENGINEERING: Transactions of the International Cryogenic Materials Conference ICMC Volume 60		978-0-7354-1204-0							http://scitation.aip.org/content/aip/proceeding/aipcp/1574		1574		fulltext		AIP Publishing	monograph	2014		1574		Umezawa	aipcp		F
ADVANCING NUCLEAR SCIENCE AND ENGINEERING FOR SUSTAINABLE NUCLEAR ENERGY INFRASTRUCTURE: Proceeding of the International Nuclear Science, Technology and Engineering Conference 2015 (iNuSTEC2015)		978-0-7354-1351-1							http://scitation.aip.org/content/aip/proceeding/aipcp/1704		1704		fulltext		AIP Publishing	monograph	2016		1704		Hasan	aipcp		F
ADVANCING OF NUCLEAR SCIENCE AND ENERGY FOR NATIONAL DEVELOPMENT: Proceedings of the Nuclear Science, Technology, and Engineering Conference 2014 (NuSTEC2014)		978-0-7354-1301-6							http://scitation.aip.org/content/aip/proceeding/aipcp/1659		1659		fulltext		AIP Publishing	monograph	2015		1659		Mohamed	aipcp		F
CHARACTERIZATION AND METROLOGY FOR NANOELECTRONICS: 2007 International Conference on Frontiers of Characterization and Metrology		978-0-7354-0441-0							http://scitation.aip.org/content/aip/proceeding/aipcp/931		931		fulltext		AIP Publishing	monograph	2007		931		Herr	aipcp		F
CHARACTERIZATION AND METROLOGY FOR ULSI TECHNOLOGY 2000		1-56396-967-X							http://scitation.aip.org/content/aip/proceeding/aipcp/550		550		fulltext		AIP Publishing	monograph	2001		550		Secula	aipcp		F
CHARACTERIZATION AND METROLOGY FOR ULSI TECHNOLOGY 2005		0-7354-0277-9							http://scitation.aip.org/content/aip/proceeding/aipcp/788		788		fulltext		AIP Publishing	monograph	2005		788		Secula	aipcp		F
