publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
AIP Advances		2158-3226	2011-03	1	1				http://scitation.aip.org/content/aip/journal/adva		adva		fulltext		AIP Publishing
AIP Conference Proceedings	0094-243X	1551-7616	1970-01	1	1				http://scitation.aip.org/content/aip/proceeding/aipcp		aipcp		fulltext		AIP Publishing
APL Materials		2166-532X	2013-07	1	1				http://scitation.aip.org/content/aip/journal/aplmater		aplmater		fulltext		AIP Publishing
APL: Organic Electronics and Photonics		1941-420X	2008-01	1	1				http://scitation.aip.org/content/aip/journal/aploep		aploep		fulltext		AIP Publishing
Acoustics Research Letters Online	1529-7853	1529-7853	2000-07	1	1	2005-10	6	4	http://scitation.aip.org/content/asa/journal/arlo		arlo		fulltext		Acoustical Society of America
Acoustics Today	1557-0215	1557-0223	2005-10	1	1				http://scitation.aip.org/content/asa/journal/atdy		atdy		fulltext		Acoustical Society of America
American Journal of Physics	0002-9505	1943-2909	1933-02	1	1				http://scitation.aip.org/content/aapt/journal/ajp		ajp		fulltext		American Association of Physics Teachers
Applied Physics Letters	0003-6951	1077-3118	1962-09	1	1				http://scitation.aip.org/content/aip/journal/apl		apl		fulltext		AIP Publishing
Applied Physics Reviews		1931-9401	2014-03	1	1				http://scitation.aip.org/content/aip/journal/apr2		apr2		fulltext		AIP Publishing
Applied Physics Reviews (1980-2013)		1931-9401	1980-01	1980	1	2013-01	2013	1	http://scitation.aip.org/content/aip/journal/apr		apr		fulltext		AIP Publishing
Biointerphases	1934-8630	1559-4106	2006-03	1	1				http://scitation.aip.org/content/avs/journal/bip		bip		fulltext		AVS: Science & Technology of Materials, Interfaces, and Processing
Biomicrofluidics		1932-1058	2007-03	1	1				http://scitation.aip.org/content/aip/journal/bmf		bmf		fulltext		AIP Publishing
Chaos: An Interdisciplinary Journal of Nonlinear Science	1054-1500	1089-7682	1991-07	1	1				http://scitation.aip.org/content/aip/journal/chaos		chaos		fulltext		AIP Publishing
Chinese Journal of Chemical Physics	1674-0068	2327-2244	2006-02	19	1				http://scitation.aip.org/content/cps/journal/cjcp		cjcp		fulltext		Chinese Physical Society
Computers in Physics	0894-1866		1988-01	2	1	1998-11	12	6	http://scitation.aip.org/content/aip/journal/cip		cip		fulltext		AIP Publishing
Computing in Science & Engineering	1521-9615		1999-01	1	1				http://scitation.aip.org/content/aip/journal/cise		cise		fulltext		AIP Publishing
JCP: BioChemical Physics		1931-9223	2007-01	1	1				http://scitation.aip.org/content/aip/journal/jcpbio		jcpbio		fulltext		AIP Publishing
Journal of Applied Physics	0021-8979	1089-7550	1931-07	1	1				http://scitation.aip.org/content/aip/journal/jap		jap		fulltext		AIP Publishing
Journal of Laser Applications		1938-1387	1988-10	1	1				http://scitation.aip.org/content/lia/journal/jla		jla		fulltext		Laser Institute of America
Journal of Mathematical Physics	0022-2488	1089-7658	1960-01	1	1				http://scitation.aip.org/content/aip/journal/jmp		jmp		fulltext		AIP Publishing
Journal of Physical and Chemical Reference Data	0047-2689	1529-7845	1972-01	1	1				http://scitation.aip.org/content/aip/journal/jpcrd		jpcrd		fulltext		AIP Publishing
Journal of Renewable and Sustainable Energy		1941-7012	2009-01	1	1				http://scitation.aip.org/content/aip/journal/jrse		jrse		fulltext		AIP Publishing
Journal of Rheology (1929-1932)	0097-0360		1929-10	1	1	1932-10	3	4	http://scitation.aip.org/content/sor/journal/jor1		jor1		fulltext		The Society of Rheology
Journal of Rheology (1978-present)	0148-6055	1520-8516	1978-02	22	1				http://scitation.aip.org/content/sor/journal/jor2		jor2		fulltext		The Society of Rheology
Journal of Vacuum Science & Technology	0022-5355		1964-09	1	1	1982-11	21	4	http://scitation.aip.org/content/avs/journal/jvst		jvst		fulltext		AVS: Science & Technology of Materials, Interfaces, and Processing
Journal of Vacuum Science & Technology A	0734-2101	1520-8559	1983-01	1	1				http://scitation.aip.org/content/avs/journal/jvsta		jvsta		fulltext		AVS: Science & Technology of Materials, Interfaces, and Processing
Journal of Vacuum Science & Technology B	2166-2746	2166-2754	1983-01	1	1				http://scitation.aip.org/content/avs/journal/jvstb		jvstb		fulltext		AVS: Science & Technology of Materials, Interfaces, and Processing
Low Temperature Physics	1063-777X	1090-6517	1997-01	23	1				http://scitation.aip.org/content/aip/journal/ltp		ltp		fulltext		AIP Publishing
Medical Physics	0094-2405		1974-01	1	1				http://scitation.aip.org/content/aapm/journal/medphys		medphys		fulltext		American Association of Physicists in Medicine
Noise Control	0549-5865		1955-01	1	1	1961-11	7	6	http://scitation.aip.org/content/asa/journal/noise		noise		fulltext		Acoustical Society of America
Physics Today	0031-9228	1945-0699	1948-05	1	1				http://scitation.aip.org/content/aip/magazine/physicstoday		physicstoday		fulltext		AIP Publishing
Physics of Fluids (1958-1988)	0031-9171		1958-01	1	1	1988-12	31	12	http://scitation.aip.org/content/aip/journal/pof1		pof1		fulltext		AIP Publishing
Physics of Fluids (1994-present)	1070-6631	1089-7666	1994-01	6	1				http://scitation.aip.org/content/aip/journal/pof2		pof2		fulltext		AIP Publishing
Physics of Fluids A: Fluid Dynamics (1989-1993)	0899-8213		1989-01	1	1	1993-12	5	12	http://scitation.aip.org/content/aip/journal/pofa		pofa		fulltext		AIP Publishing
Physics of Fluids B: Plasma Physics (1989-1993)	0899-8221		1989-01	1	1	1993-12	5	12	http://scitation.aip.org/content/aip/journal/pofb		pofb		fulltext		AIP Publishing
Physics of Particles and Nuclei	1063-7796	1531-8599	1997-01	28	1	1999-11	30	6	http://scitation.aip.org/content/aip/journal/ppn		ppn		fulltext		AIP Publishing
Physics of Plasmas (1994-present)	1070-664X	1089-7674	1994-01	1	1				http://scitation.aip.org/content/aip/journal/pop		pop		fulltext		AIP Publishing
Proceedings of Meetings on Acoustics	1939-800X	1939-800X	2007-02	1	1				http://scitation.aip.org/content/asa/journal/poma		poma		fulltext		Acoustical Society of America
Review of Scientific Instruments	0034-6748	1089-7623	1930-01	1	1				http://scitation.aip.org/content/aip/journal/rsi		rsi		fulltext		AIP Publishing
Sound: Its Uses and Control	0584-1666		1962-01	1	1	1963-11	2	6	http://scitation.aip.org/content/asa/journal/sound		sound		fulltext		Acoustical Society of America
