publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	collection	notes	department_code	continent	country	places	people	topics
War and Colonial Department and Colonial Office: Africa, Confidential Print: Nos. I to XXIX									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=1431165		CO 879/1						1848-1857	1848-1857							Confidential Print: Africa	See individual sections for details of contents.	CO	Africa		Cape of Good Hope (colony/province), Gambia, Ghana, Natal, Sierra Leone, United Kingdom, Algiers, Banjul (Bathurst), Cape Town, Equatorial Guinea (Spanish Guinea), France, Freetown, Ghana (Gold Coast), London, Orange Free State, Paris, Port Said, Portugal, River Congo, South Africa, Spain, United States, Witwatersrand	Grey, Charles, 2nd Earl Grey; Grey, Sir George, Bt; Aberdeen, 4th Earl of (George Hamilton-Gordon); Gladstone, William; Milner, Alfred, Viscount Milner; Palmerston, 3rd Viscount (Henry Temple); Pretorius, Andries; Russell, John, 1st Earl Russell; Shepstone, Sir Theophilus; Smuts, Jan	administration, boundary, gold, governor, international border, parliament, slavery, slave trade, tribes, war, agriculture, army, banking, battle, bonds, British Empire, British Government, business, capitalism, Catholicism, chiefs, Christianity, church, coffee, commodities, communications, concessions, conferences, conquest, constitution, copper, currency, customs, debt, disease, dominion, drought, education, elections, emigration, empire, evacuation, execution, exile, exports, famine, food, forced labour, foreign policy, forts, governor-general, grazing, hospitals, hunting, immigration, independence, industry, invasion, investment, judicial system, kings, labour, language, loans, massacre, medicine, migration, military, mining, missionaries, navigation, navy, oil, peasantry, plague, plantation, political parties, protectorate, refugees, republic, revolt, riots and disturbances, roads, Royal Navy, schools, ship, trade, transport, treaty, women
War and Colonial Department and Colonial Office: Africa, Confidential Print: Nos. 100 and 102 to 115									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=1431183		CO 879/10						1868-1877	1868-1877							Confidential Print: Africa	See individual sections for details of contents.	CO	Africa		Benin, Griqualand, Natal, Sierra Leone, South Africa, Transvaal (South African Republic), Alexandria, Banjul (Bathurst), Belgium, Benin (Dahomey), Berlin, Bloemfontein, Blood River, Cape of Good Hope (colony/province), Cape Town, Durban, Egypt, France, Freetown, Gambia, Germany, Ghana (Gold Coast), Lagos, Lesotho (Basutoland), Limpopo River, Lisbon, London, Maputo (Lourenco Marques), Orange Free State, Paris, Port Said, Portugal, Swaziland, United Kingdom, United States, Walvis Bay, Witwatersrand, Zambezi River, Zanzibar, Zululand	Barkly, Sir Henry; Carnarvon, 4th Earl of (Henry Herbert); Shepstone, Sir Theophilus; Cetshwayo; Kimberley, 1st Earl of (Sir John Wodehouse, Bt); Knutsford, 1st Viscount (Henry Holland); Kruger, (Stephanus) Paul; Livingstone, David; Smuts, Jan; Sprigg, Sir (John) Gordon; Wolseley, Sir Garnet, 1st Viscount Wolseley	boundary, diplomatic representation, republic, tribes, war, administration, agriculture, alcohol, army, banking, battle, boundary dispute, British Empire, British Government, business, canal, Catholicism, chiefs, Christianity, church, civil war, coffee, commodities, communications, concessions, conferences, conquest, constitution, copper, currency, customs, debt, diamonds, disease, dominion, education, elections, emigration, empire, execution, exploration, exports, food, forts, gold, governor, governor-general, grazing, hospitals, hunting, immigration, independence, industry, international border, invasion, judicial system, kings, labour, language, massacre, migration, military, mining, missionaries, navigation, navy, oil, parliament, peasantry, protectorate, railway, refugees, revolt, riots and disturbances, roads, rubber, schools, ship, siege, slavery, slave trade, steel, Suez Canal, telegraph lines, trade, transport, treaty, trek, weapons, women
War and Colonial Department and Colonial Office: Africa, Confidential Print: Nos. 921, 922 part 1, 922 part 2, 923 to 924 and 926 to 927									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=1431357		CO 879/100						1901 September 21 - 1909	1901-1909							Confidential Print: Africa	See individual sections for details of contents.	CO	Africa		Somalia, South Africa, Banjul (Bathurst), Belgium, Benin (Dahomey), Berlin, Bloemfontein, Botswana (Bechuanaland), Cairo, Cameroon, Cape of Good Hope (colony/province), Cape Town, Congo, Democratic Republic of (Belgian Congo), Dakar, Djibouti (French Somaliland), Durban, Egypt, Equatorial Guinea (Spanish Guinea), Ethiopia (Abyssinia), France, Freetown, Gambia, Germany, Ghana (Gold Coast), Griqualand, Italy, Ivory Coast, Johannesburg, Kampala, Kenya, Lagos, Lake Albert, Lake Victoria, Lesotho (Basutoland), Limpopo River, Lisbon, London, Mafikeng (Mafeking), Malawi (Nyasaland), Maputo (Lourenco Marques), Mozambique, Nairobi, Natal, Nigeria, Orange Free State, Paris, Port Said, Portugal, Rhodesia, River Congo, River Niger, Sierra Leone, Spain, Sudan, Swaziland, Tanzania (Tanganyika), Togo, Transvaal (South African Republic), Uganda, United Kingdom, United States, Witwatersrand, Zambezi River, Zanzibar, Zimbabwe (Southern Rhodesia), Zululand	Balfour, Arthur, 1st Earl of Balfour; Botha, Louis; Burger, Schalk; Churchill, Sir Winston; Crewe, 1st Marquess of (Robert Crewe-Milnes); Elgin, 9th Earl of (Victor Bruce); Gladstone, William; Hely-Hutchinson, Sir Walter; Lansdowne, 5th Marquess of (Henry Petty-Fitzmaurice); Lugard, Sir Frederick, 1st Baron Lugard; Lyttelton, Alfred; Menelik II; Milner, Alfred, Viscount Milner; Robinson, Sir Hercules, 1st Baron Rosemead; Smuts, Jan; Sprigg, Sir (John) Gordon	trade, war, administration, agriculture, alcohol, army, Asians, banking, boundary, boundary dispute, British Empire, British Government, British South Africa Company, business, Catholicism, chartered company, chiefs, Christianity, church, cocoa, commodities, (British) Commonwealth, communications, concessions, Conference of Berlin (1884-85), conferences, conquest, constitution, consular representation, currency, customs, debt, diplomatic representation, disease, dominion, drought, education, elections, empire, evacuation, execution, exports, famine, food, forts, gold, governor, governor-general, grazing, hospitals, immigration, Imperial British East Africa Company, imperialism, independence, industrial development, industry, international border, Islam, judicial system, kings, King's African Rifles, labour, landlords, language, loans, medicine, migration, military, mining, missionaries, navigation, navy, oil, parliament, peasantry, plague, plantation, political parties, protectorate, Protestantism, railway, refugees, repatriation, republic, riots and disturbances, roads, Royal Niger Company, rubber, schools, ship, slavery, slave trade, sleeping sickness, tariffs, telegraph lines, transport, treaty, Treaty of Vereeniging (1902), tribes, universities, West African Frontier Force, women
War and Colonial Department and Colonial Office: Africa, Confidential Print: Nos. 928 to 931									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=1431359		CO 879/101						1909-1910	1909-1910							Confidential Print: Africa	See individual sections for details of contents.	CO	Africa		Ghana, Kenya, Liberia, Malawi, Nigeria, Sierra Leone, Transvaal (South African Republic), Uganda, Angola, Banjul (Bathurst), Belgium, Berlin, Bloemfontein, Bulawayo, Cape of Good Hope (colony/province), Cape Town, Congo, Democratic Republic of (Belgian Congo), Dakar, Durban, Egypt, Ethiopia (Abyssinia), France, Freetown, French West Africa, Germany, Ghana (Gold Coast), Great Lakes, Guinea, Ivory Coast, Johannesburg, Kampala, Ladysmith, Lake Albert, Lake Nyasa, Lake Victoria, Lesotho (Basutoland), Lisbon, London, Malawi (Nyasaland), Maputo (Lourenco Marques), Mashonaland, Matabeleland, Monrovia, Mozambique, Nairobi, Namibia, Natal, Orange Free State, Paris, Port Said, Portugal, Rhodesia, River Niger, River Nile, South Africa, Swaziland, Tanzania (Tanganyika), United Kingdom, United States, Washington, DC, Witwatersrand, Zambezi River, Zanzibar, Zimbabwe (Southern Rhodesia), Zululand	Abd El-Kader ibn Muhieddine; Balfour, Arthur, 1st Earl of Balfour; Botha, Louis; Cetshwayo; Crewe, 1st Marquess of (Robert Crewe-Milnes); Elgin, 9th Earl of (Victor Bruce); Gandhi, Mohandas (Mahatma); Hely-Hutchinson, Sir Walter; Livingstone, David; Lloyd George, David, 1st Earl Lloyd-George of Dwyfor; Lyttelton, Alfred; Salisbury, 3rd Marquess of (Robert Gascoyne-Cecil); Shepstone, Sir Theophilus; Smuts, Jan	boundary, concessions, gold, industry, labour, mining, protectorate, war, administration, agriculture, alcohol, American Colonization Society, army, Asians, banking, battle, big game, bonds, British Empire, British Government, British South Africa Company, business, canal, capitalism, Catholicism, chartered company, chiefs, Christianity, church, civil war, coffee, commodities, (British) Commonwealth, communications, constitution, consular representation, copper, currency, customs, debt, diplomatic representation, disease, dominion, education, elections, electricity, emigration, empire, evacuation, execution, exploration, exports, fishing, food, forced labour, foreign policy, forts, governor, governor-general, grazing, hospitals, hunting, immigration, independence, international border, investment, Islam, judicial system, kings, landlords, language, loans, migration, military, missionaries, navigation, navy, oil, parliament, pipeline, plantation, railway, repatriation, republic, riots and disturbances, roads, rubber, schools, ship, slavery, slave trade, sleeping sickness, steel, Suez Canal, tariffs, telegraph lines, trade, transport, treaty, trek, tribes, weapons, West African Frontier Force, women
War and Colonial Department and Colonial Office: Africa, Confidential Print: Nos. 932 to 933, 935 to 936 and 938 to 940									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=1431361		CO 879/102						1909-1910	1909-1910							Confidential Print: Africa	See individual sections for details of contents.	CO	Africa		Botswana, Cameroon, Germany, Malawi, Namibia, Nigeria, Rhodesia, Walvis Bay, Angola, Banjul (Bathurst), Benin (Dahomey), Berlin, Botswana (Bechuanaland), Bulawayo, Cape of Good Hope (colony/province), Cape Town, Chad, Congo, Democratic Republic of (Belgian Congo), Congo, Republic of (French Congo), Dakar, Ethiopia (Abyssinia), France, Freetown, French West Africa, Gambia, Ghana (Gold Coast), Guinea, Guinea-Bissau (Portuguese Guinea), Italy, Johannesburg, Kampala, Katanga, Kenya, Kalahari Desert, Lagos, Lake Albert, Lake Nyasa, Lake Victoria, Lesotho (Basutoland), Liberia, London, Mafikeng (Mafeking), Malawi (Nyasaland), Mashonaland, Matabeleland, Monrovia, Nairobi, Natal, Orange Free State, Paris, Port Said, Portugal, River Niger, River Nile, Senegal, Sierra Leone, South Africa, Spain, Swaziland, Tanzania (Tanganyika), Togo, Transvaal (South African Republic), Uganda, United Kingdom, United States, Washington, DC, Windhoek, Witwatersrand, Zambia (Northern Rhodesia), Zambezi River, Zanzibar, Zimbabwe (Southern Rhodesia)	Crewe, 1st Marquess of (Robert Crewe-Milnes); Elgin, 9th Earl of (Victor Bruce); Gladstone, William; Hely-Hutchinson, Sir Walter; Knutsford, 1st Viscount (Henry Holland); Milner, Alfred, Viscount Milner; Ripon, 1st Marquess of (George Robinson); Salisbury, 3rd Marquess of (Robert Gascoyne-Cecil)	administration, boundary, concessions, protectorate, war, agriculture, alcohol, army, Asians, banking, bonds, boundary dispute, British Empire, British Government, British South Africa Company, business, canal, Catholicism, chartered company, chiefs, Christianity, church, cocoa, coffee, commodities, (British) Commonwealth, communications, conferences, constitution, consular representation, copper, customs, debt, diamonds, diplomatic representation, disease, dominion, drought, education, elections, emigration, empire, evacuation, execution, exploration, exports, famine, fishing, food, forts, gold, governor, governor-general, grazing, hookworm, hospitals, hunting, immigration, industry, international border, invasion, investment, Judaism, judicial system, kings, King's African Rifles, labour, language, League of Nations mandate, loans, medicine, migration, military, mining, missionaries, navigation, navy, oil, parliament, plague, plantation, railway, refugees, riots and disturbances, roads, rubber, schools, ship, slavery, sleeping sickness, telegraph lines, trade, transport, treaty, trek, tribes, universities, uprising, West African Frontier Force, women
War and Colonial Department and Colonial Office: Africa, Confidential Print: Nos. 941 to 944, 944A and 945 to 946									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=1431363		CO 879/103						1899 January 27 - 1911	1899-1911							Confidential Print: Africa	See individual sections for details of contents.	CO	Africa		Botswana, Germany, Rhodesia, Somalia, South Africa, United Kingdom, Walvis Bay, Zimbabwe, Banjul (Bathurst), Berlin, Bloemfontein, Botswana (Bechuanaland), Bulawayo, Cairo, Cape of Good Hope (colony/province), Cape Town, Congo, Democratic Republic of (Belgian Congo), Djibouti (French Somaliland), Durban, Egypt, Ethiopia (Abyssinia), France, Freetown, Gambia, Ghana (Gold Coast), Griqualand, Italy, Johannesburg, Kampala, Kenya, Lagos, Lake Albert, Lake Victoria, Lesotho (Basutoland), London, Mafikeng (Mafeking), Malawi (Nyasaland), Maputo (Lourenco Marques), Mashonaland, Matabeleland, Mozambique, Nairobi, Namibia, Natal, Nigeria, Orange Free State, Port Said, Portugal, River Niger, River Nile, Sierra Leone, Spain, Sudan, Swaziland, Transvaal (South African Republic), Tunis, Uganda, United States, Zambezi River, Zanzibar, Zimbabwe (Southern Rhodesia)	Asquith, Herbert, 1st Earl of Oxford and Asquith; Bismarck, Otto von; Botha, Louis; Chamberlain, Sir Joseph; Chelmsford, 2nd Baron (Sir Frederic Thesiger); Crewe, 1st Marquess of (Robert Crewe-Milnes); Elgin, 9th Earl of (Victor Bruce); Frere, Sir Henry Bartle, Bt; Gladstone, William; Harcourt, Lewis, 1st Viscount Harcourt; Hely-Hutchinson, Sir Walter; Kimberley, 1st Earl of (Sir John Wodehouse, Bt); Knutsford, 1st Viscount (Henry Holland); Lyttelton, Alfred; Mackinnon, Sir William, Bt; Milner, Alfred, Viscount Milner; Robinson, Sir Hercules, 1st Baron Rosemead; Sprigg, Sir (John) Gordon	boundary, chiefs, judicial system, protectorate, war, administration, agriculture, alcohol, arms trade, army, Asians, banking, battle, bonds, boundary dispute, British Empire, British Government, British South Africa Company, business, canal, Catholicism, chartered company, Christianity, church, civil war, cocoa, (British) Commonwealth, communications, concessions, conquest, constitution, consular representation, copper, currency, customs, debt, diplomatic representation, disease, dominion, drought, education, elections, empire, evacuation, execution, exports, fishing, food, forts, gold, governor, governor-general, grazing, hospitals, immigration, independence, industry, international border, invasion, Islam, Judaism, kings, King's African Rifles, labour, language, loans, medicine, migration, military, mining, missionaries, navigation, navy, oil, parliament, plantation, propaganda, railway, refugees, republic, revolution, riots and disturbances, roads, Royal Navy, rubber, schools, secessionism, ship, siege, slavery, slave trade, sleeping sickness, telegraph lines, trade, transport, treaty, tribes, weapons, West African Frontier Force, women
War and Colonial Department and Colonial Office: Africa, Confidential Print: Nos. 947 to 951									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=1431365		CO 879/104						1909 May 19 - 1910	1909-1910							Confidential Print: Africa	See individual sections for details of contents.	CO	Africa		Botswana, Germany, Kenya, Malawi, Namibia, Rhodesia, Uganda, United Kingdom, Alexandria, Angola, Banjul (Bathurst), Belgium, Berlin, Bloemfontein, Botswana (Bechuanaland), Bulawayo, Cairo, Cameroon, Cape of Good Hope (colony/province), Cape Town, Congo, Democratic Republic of (Belgian Congo), Durban, Egypt, Equatorial Guinea (Spanish Guinea), Ethiopia (Abyssinia), France, Freetown, Gambia, Ghana (Gold Coast), Griqualand, Guinea, Italy, Johannesburg, Kampala, Katanga, Khartoum, Lagos, Lake Albert, Lake Nyasa, Lake Tanganyika, Lake Victoria, Lesotho (Basutoland), Lisbon, London, Mafikeng (Mafeking), Malawi (Nyasaland), Maputo (Lourenco Marques), Mashonaland, Matabeleland, Mozambique, Nairobi, Natal, Nigeria, Orange Free State, Port Said, Portugal, River Nile, Sierra Leone, Somalia, South Africa, Sudan, Swaziland, Tanzania (Tanganyika), Transvaal (South African Republic), United States, Washington, DC, Witwatersrand, Zambia (Northern Rhodesia), Zambezi River, Zanzibar, Zimbabwe (Southern Rhodesia), Zululand	Botha, Louis; Churchill, Sir Winston; Crewe, 1st Marquess of (Robert Crewe-Milnes); Disraeli, Benjamin, 1st Earl of Beaconsfield; Elgin, 9th Earl of (Victor Bruce); Gandhi, Mohandas (Mahatma); Gladstone, William; Hely-Hutchinson, Sir Walter; Lloyd George, David, 1st Earl Lloyd-George of Dwyfor; Milner, Alfred, Viscount Milner; Rhodes, Cecil; Ripon, 1st Marquess of (George Robinson); Shepstone, Sir Theophilus; Smuts, Jan	administration, boundary, British South Africa Company, concessions, kings, labour, migration, protectorate, repatriation, war, agriculture, alcohol, army, Asians, banking, big game, British Empire, British Government, business, canal, capitalism, Catholicism, chartered company, chiefs, Christianity, church, cocoa, coffee, communications, constitution, consular representation, copper, currency, customs, debt, diamonds, diplomatic representation, disease, dominion, drought, education, elections, electricity, emigration, empire, execution, exploration, famine, fishing, food, forced labour, forts, gold, governor, governor-general, grazing, hospitals, hunting, immigration, Imperial British East Africa Company, industry, international border, investment, Islam, judicial system, King's African Rifles, landlords, language, medicine, military, mining, missionaries, navigation, navy, oil, parliament, pipeline, piracy, plague, plantation, railway, republic, revolt, riots and disturbances, roads, Royal Navy, rubber, schools, ship, slavery, slave trade, sleeping sickness, steel, Sublime Porte, tariffs, telegraph lines, trade, transport, treaty, tribes, universities, women
War and Colonial Department and Colonial Office: Africa, Confidential Print: Nos. 953 to 964									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=1431367		CO 879/105						1909 - 1913 February 7	1909-1913							Confidential Print: Africa	See individual sections for details of contents.	CO	Africa		Botswana, Nigeria, United Kingdom, Addis Ababa, Banjul (Bathurst), Belgium, Benin (Dahomey), Botswana (Bechuanaland), Brazzaville, Cameroon, Cape of Good Hope (colony/province), Cape Town, Congo, Democratic Republic of (Belgian Congo), Congo, Republic of (French Congo), Dakar, Egypt, Equatorial Guinea (Spanish Guinea), Ethiopia (Abyssinia), France, Freetown, French West Africa, Gambia, Germany, Ghana (Gold Coast), Guinea, Italy, Ivory Coast, Kampala, Kenya, Lagos, Lake Albert, Lake Nyasa, Lake Victoria, London, Malawi (Nyasaland), Nairobi, Natal, Orange Free State, Paris, Port Said, Portugal, Rhodesia, River Niger, River Nile, Senegal, Sierra Leone, Somalia, South Africa, Sudan, Tanzania (Tanganyika), Togo, Transvaal (South African Republic), Uganda, United States, Zambezi River, Zanzibar, Zimbabwe (Southern Rhodesia)	Chelmsford, 2nd Baron (Sir Frederic Thesiger); Churchill, Sir Winston; Crewe, 1st Marquess of (Robert Crewe-Milnes); Eden, Sir Anthony, 1st Earl of Avon ; Elgin, 9th Earl of (Victor Bruce); Knutsford, 1st Viscount (Henry Holland); Lugard, Sir Frederick, 1st Baron Lugard; Mackinnon, Sir William, Bt; Menelik II; Milner, Alfred, Viscount Milner; Salisbury, 3rd Marquess of (Robert Gascoyne-Cecil)	administration, mining, protectorate, war, agriculture, alcohol, army, Asians, banking, bonds, boundary, British Empire, British Government, British South Africa Company, business, canal, capitalism, Catholicism, chartered company, chiefs, Christianity, church, cocoa, coffee, communications, concessions, conquest, constitution, copper, currency, customs, debt, diplomatic representation, disease, dominion, drought, education, emigration, empire, evacuation, execution, exports, famine, fishing, food, forced labour, forts, gold, governor, governor-general, grazing, hookworm, hospitals, hunting, immigration, Imperial British East Africa Company, independence, industrial development, industry, international border, invasion, investment, Islam, judicial system, kings, King's African Rifles, labour, language, loans, medicine, migration, military, missionaries, nationalism, navigation, navy, oil, parliament, peasantry, plague, plantation, propaganda, railway, repatriation, riots and disturbances, roads, Royal Navy, rubber, schools, ship, slavery, slave trade, sleeping sickness, steel, Suez Canal, tariffs, telegraph lines, trade, transport, treaty, tribes, West African Frontier Force, women
War and Colonial Department and Colonial Office: Africa, Confidential Print: Nos. 807, 820, 834, 853, 854, 874, 900, 925, 934 and 952									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=1431369		CO 879/106						1906-1910	1906-1910							Confidential Print: Africa	See individual sections for details of contents.	CO	Africa		Natal, South Africa, Transvaal (South African Republic), Bloemfontein, Botswana (Bechuanaland), Bulawayo, Cape of Good Hope (colony/province), Cape Town, Djibouti (French Somaliland), Durban, Ethiopia (Abyssinia), France, Germany, Italy, Johannesburg, Lesotho (Basutoland), Lisbon, London, Maputo (Lourenco Marques), Mozambique, Namibia, Orange Free State, Port Said, Portugal, Rhodesia, Somalia, Spain, Swaziland, United Kingdom, United States, Witwatersrand, Zimbabwe (Southern Rhodesia), Zululand	Botha, Louis; Campbell-Bannerman, Sir Henry; Cetshwayo; Churchill, Sir Winston; Elgin, 9th Earl of (Victor Bruce); Gandhi, Mohandas (Mahatma); Hely-Hutchinson, Sir Walter; Lansdowne, 5th Marquess of (Henry Petty-Fitzmaurice); Milner, Alfred, Viscount Milner; Smuts, Jan	labour, war, administration, agriculture, alcohol, army, Asians, banking, battle, bonds, boundary, British Empire, British Government, British South Africa Company, business, capitalism, chiefs, Christianity, church, coffee, (British) Commonwealth, communications, concessions, conferences, constitution, customs, debt, diamonds, disease, dominion, drought, education, elections, emigration, empire, execution, food, forts, gold, governor, governor-general, hospitals, hunting, immigration, independence, industrial development, industry, Judaism, judicial system, kings, language, League of Nations mandate, loans, medicine, migration, military, mining, missionaries, parliament, plague, political parties, protectorate, railway, refugees, repatriation, republic, riots and disturbances, roads, schools, separatism, ship, tariffs, telegraph lines, trade, transport, treaty, Treaty of Vereeniging (1902), tribes, weapons, women
War and Colonial Department and Colonial Office: Africa, Confidential Print: Nos. 965 to 969									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=1431371		CO 879/107						1911-1913	1911-1913							Confidential Print: Africa	See individual sections for details of contents.	CO	Africa		Botswana, Germany, Liberia, Namibia, Rhodesia, Sierra Leone, Zimbabwe, Angola, Banjul (Bathurst), Belgium, Benin (Dahomey), Berlin, Botswana (Bechuanaland), Bulawayo, Cape of Good Hope (colony/province), Cape Town, Congo, Democratic Republic of (Belgian Congo), Dakar, France, Freetown, French West Africa, Gambia, Ghana (Gold Coast), Great Lakes, Guinea, Guinea-Bissau (Portuguese Guinea), Johannesburg, Kampala, Karoo, Katanga, Kenya, Kalahari Desert, Lagos, Lake Albert, Lake Nyasa, Lake Victoria, Lisbon, London, Lubumbashi (Elisabethville), Mafikeng (Mafeking), Malawi (Nyasaland), Mashonaland, Matabeleland, Monrovia, Mozambique, Nairobi, Nigeria, Paris, Port Said, Portugal, River Niger, River Nile, Senegal, Somalia, South Africa, Spain, Swaziland, Tanzania (Tanganyika), Togo, Transvaal (South African Republic), Uganda, United Kingdom, United States, Witwatersrand, Zambia (Northern Rhodesia), Zambezi River, Zanzibar, Zimbabwe (Southern Rhodesia)	Balfour, Arthur, 1st Earl of Balfour; Botha, Louis; Crewe, 1st Marquess of (Robert Crewe-Milnes); Elgin, 9th Earl of (Victor Bruce); Gladstone, William; Harcourt, Lewis, 1st Viscount Harcourt; Kruger, (Stephanus) Paul; Lugard, Sir Frederick, 1st Baron Lugard; Margai, Sir Milton; Ripon, 1st Marquess of (George Robinson)	boundary, protectorate, war, administration, agriculture, alcohol, army, Asians, banking, big game, British Empire, British Government, British South Africa Company, business, canal, capitalism, Catholicism, chartered company, chiefs, church, cocoa, coffee, communications, concessions, constitution, consular representation, copper, currency, customs, debt, diplomatic representation, disease, dominion, education, elections, electricity, emigration, empire, evacuation, execution, exploration, exports, fishing, food, forts, gold, governor, governor-general, grazing, hospitals, hunting, immigration, Imperial British East Africa Company, independence, industry, international border, invasion, investment, judicial system, kings, labour, landlords, language, loans, medicine, migration, military, mining, missionaries, navigation, oil, parliament, peasantry, pipeline, plague, plantation, Protestantism, railway, republic, riots and disturbances, roads, rubber, schools, ship, slavery, slave trade, sleeping sickness, steel, Suez Canal, tariffs, telegraph lines, trade, transport, treaty, tribes, universities, West African Frontier Force, women
