publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	collection	notes	department_code	continent	country	places	people	topics
Middle Eastern Nos. 1 to16.									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414789		CO 935/1						1921-1928	1921-1928							Confidential Print: Middle East		CO	Middle East		Aden, Afghanistan, Aleppo, Alexandretta (?skenderun), Alexandria, Amman, Anatolia, Ankara, Armenia, Austria, Baghdad, Bahrain, Basra, Beirut, Bethlehem, Black Sea, Bulgaria, Bushire (Bushehr), Cairo, Damascus, Dead Sea, Delhi, Dubai, Egypt, Euphrates River, France, Gaza, Germany, Greece, Hejaz, India, Ionian Islands, Iran, Iraq, Ismailia, Israel, Istanbul, Italy, Jaffa, Jeddah, Jerusalem, Jordan, Kirkuk, Kurdistan, Kuwait, Lebanon, London, Malta, Mecca, Mediterranean Sea, Mosul, Nablus, Ottoman Empire, Palestine, Paris, Persian Gulf, Port Said, Red Sea, Russia, Sana'a, Sea of Galilee (Lake Tiberias), Sudan, Suez Canal, Syria, Tehran, Tigris River, Trucial States, Turkey, Tyre, United Kingdom, United States, Yemen	Allenby, Edmund, 1st Viscount Allenby; Amery, Leo; Baldwin, Stanley, 1st Earl Baldwin of Bewdley; Balfour, Arthur, 1st Earl of Balfour; Baring, Sir Evelyn, 1st Earl of Cromer; Bell, Gertrude; Chamberlain, Neville; Chamberlain, Sir (Joseph) Austen; Churchill, Sir Winston; Clayton, Sir Gilbert; Cox, Sir Percy; Curzon of Kedleston, 1st Marquess (George Curzon); Devonshire, 9th Duke of (Victor Cavendish); Dobbs, Sir Henry; Fuad I of Egypt; Hoare, Sir Samuel, Bt, 1st Viscount Templewood; Ibn Saud (Abdul Aziz Al Saud); Law, Andrew Bonar; Lawrence, T. E. (Thomas Edward); Ormsby-Gore, William, 4th Baron Harlech; Plumer, Herbert, 1st Viscount Plumer; Reading, 1st Marquess of (Rufus Isaacs); Reilly, Sir Bernard; Samuel, Sir Herbert, 1st Viscount Samuel; Wilson, Sir Arnold; Yahya Muhammad Hamidaddin (Imam Yahya)	air force, Anglo-Iranian Oil Company, Arabs, Arab Legion, arms trade, army, assassination, Baghdad Railway, banking, bonds, boundary dispute, British Empire, British Government, British nationals, business, capitulations, Catholicism, Christianity, church, communications, concession, conquest, currency, customs, diplomacy, diplomatic representation, disease, Druze, Dual Control (Franco-British control of Egyptian government), education, elections, electricity, evacuation, execution, exile, expulsions, famine, foreign policy, imam, international border, investment, Islam, Judaism, judicial system, Kurds, loans, League of Nations, Mahdi Revolt, mandate, migration, military, Military Frontier (Austria-Hungary), mining, National Iranian Oil Company, navy, oil, Orthodox Church, Ottoman Public Debt Administration, parliament, pipeline, plague, political residency, propaganda, protectorate, railway, refugees, revolt, revolution, roads, Royal Air Force, Royal Navy, San Remo Conference (1920), siege, slavery, slave trade, Sunni Muslim, tariffs, telegraph lines, trade, treaty, Treaty of Lausanne (1923), Treaty of San Stefano (1878), Treaty of Sèvres (1920), Treaty of Versailles (1919), war, women, Zionism
Government of Aden; relations with the Aden Protectorate; relations with the Yemen; estimates for Aden Protectorate Services									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414807		CO 935/10						1933-1935	1933-1935							Confidential Print: Middle East		CO	Middle East		Aden, Cairo, Delhi, Egypt, France, India, Iran, Israel, Italy, Jeddah, Khartoum, Kuwait, London, Mediterranean Sea, Muscat, Oman, Ottoman Empire, Palestine, Persian Gulf, Port Said, Red Sea, Sana'a, Saudi Arabia, Sudan, Syria, Turkey, United Kingdom, United States, Yemen	Amery, Leo; Clayton, Sir Gilbert; Cunliffe-Lister, Sir Philip (1st Earl of Swinton); Hickinbotham, Sir Tom; Hoare, Sir Samuel, Bt, 1st Viscount Templewood; Ibn Saud (Abdul Aziz Al Saud); Reilly, Sir Bernard; Simon, Sir John, 1st Viscount Simon	air force, Anglo-Iranian Oil Company, Arabs, arms trade, army, British Government, British nationals, business, communications, concession, customs, diplomatic representation, education, evacuation, fishing, foreign policy, imam, international border, Islam, judicial system, loans, League of Nations, military, oil, parliament, political residency, protectorate, refugees, roads, Royal Air Force, Royal Navy, slavery, slave trade, telegraph lines, trade, treaty, Treaty of Lausanne (1923), war, women
Dead Sea Salts Concession; French claim									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414809		CO 935/11						1934	1934							Confidential Print: Middle East		CO	Middle East		Ankara, Dead Sea, France, Israel, Istanbul, Jerusalem, Jordan, London, Ottoman Empire, Palestine, Paris, Turkey, United Kingdom	Churchill, Sir Winston; Simon, Sir John, 1st Viscount Simon	Anglo-Iranian Oil Company, British Government, business, concession, conquest, Dead Sea Salts Concession, diplomatic representation, firman (Ottoman imperial decree), judicial system, loans, mandate, mining, treaty, Treaty of Lausanne (1923), war
Treaty of Friendship and Bon Voisinage between Transjordan and Saudi Arabia									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414811		CO 935/12						1933	1933							Confidential Print: Middle East		CO	Middle East		Aden, Amman, Cairo, Damascus, Egypt, France, Hejaz, Iraq, Israel, Jeddah, Jerusalem, Jordan, London, Mecca, Palestine, Sana'a, Saudi Arabia, Suez Canal, Syria, United Kingdom, Yemen	Clayton, Sir Gilbert; Fuad I of Egypt; Glubb, Sir John ('Glubb Pasha'); Ibn Saud (Abdul Aziz Al Saud)	Arabs, Arab Legion, arms trade, battle, British Government, business, communications, diplomatic representation, execution, international border, Islam, judicial system, mandate, migration, military, political residency, railway, telegraph lines, trade, treaty, war
Palestine and Transjordan: estimates and finances									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414813		CO 935/13						1935-1936	1935-1936							Confidential Print: Middle East		CO	Middle East		Amman, Baghdad, Cairo, Hejaz, Iraq, Israel, Jerusalem, Jordan, Palestine, Port Said, Saudi Arabia, Syria, Turkey, United Kingdom	Allenby, Edmund, 1st Viscount Allenby; Cunliffe-Lister, Sir Philip (1st Earl of Swinton); Glubb, Sir John ('Glubb Pasha'); Hall, Sir (John) Hathorn; MacDonald, Malcolm; Ormsby-Gore, William, 4th Baron Harlech; Wauchope, Sir Arthur	air force, Anglo-Iranian Oil Company, Arabs, Arab Legion, army, Baghdad Railway, banking, British Government, communications, concession, currency, customs, disease, education, execution, fishing, imam, international border, Iraq Petroleum Company, Judaism, judicial system, loans, League of Nations, migration, oil, parliament, pipeline, railway, roads, Royal Air Force, Royal Navy, tariffs, telegraph lines, trade, war
Government of Aden; relations with the Aden Protecorate; relations with the Yemen; estimates for Aden Protectorate services									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414815		CO 935/14						1934-1936	1934-1936							Confidential Print: Middle East		CO	Middle East		Aden, Delhi, Dhofar, Egypt, Hejaz, India, Iran, Jeddah, Khartoum, London, Muscat, Oman, Persian Gulf, Port Said, Red Sea, Sana'a, Saudi Arabia, Sudan, Turkey, United Kingdom, Yemen	Cunliffe-Lister, Sir Philip (1st Earl of Swinton); Fuad I of Egypt; Hickinbotham, Sir Tom; Hoare, Sir Samuel, Bt, 1st Viscount Templewood; Ibn Saud (Abdul Aziz Al Saud); MacDonald, Malcolm; Reilly, Sir Bernard; Simon, Sir John, 1st Viscount Simon	air force, Anglo-Iranian Oil Company, Arabs, army, British Government, business, communications, concession, customs, diplomatic representation, disease, education, electricity, evacuation, imam, international border, Islam, League of Nations, military, oil, pipeline, political residency, propaganda, protectorate, roads, Royal Air Force, Royal Navy, slavery, slave trade, telegraph lines, trade, treaty, war
Claims of the heirs of Ex-Sultan Abdul Hamid									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414817		CO 935/15						1931-1936	1931-1936							Confidential Print: Middle East		CO	Middle East		Ankara, Baghdad, France, Gaza, Greece, Hejaz, Iraq, Israel, Istanbul, Italy, Jaffa, Jerusalem, London, Mosul, Ottoman Empire, Palestine, Paris, Syria, Turkey, United Kingdom, United States	Cunliffe-Lister, Sir Philip (1st Earl of Swinton); Hoare, Sir Samuel, Bt, 1st Viscount Templewood; Loraine, Sir Percy, Bt; MacDonald, Malcolm; Simon, Sir John, 1st Viscount Simon; Wauchope, Sir Arthur; Webb, Sidney, 1st Baron Passfield	assassination, banking, British Government, caliphate, Christianity, Committee of Union and Progress ('Young Turks'), communications, concession, diplomatic representation, execution, imam, Islam, judicial system, loans, League of Nations, migration, military, mining, oil, parliament, revolution, Sublime Porte, trade, treaty, Treaty of Lausanne (1923), war
The Government of Aden and its transfer to the Colonial Office; estimates for the Aden Protectorate services									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414819		CO 935/16						1935-1938	1935-1938							Confidential Print: Middle East		CO	Middle East		Aden, Bosphorus, Delhi, Egypt, Hejaz, India, Iran, Israel, Italy, London, Palestine, Persian Gulf, Port Said, Red Sea, Sana'a, Saudi Arabia, Sudan, Suez Canal, United Kingdom, Yemen	Hoare, Sir Samuel, Bt, 1st Viscount Templewood; MacDonald, Malcolm; Ormsby-Gore, William, 4th Baron Harlech; Reilly, Sir Bernard	air force, Anglo-Iranian Oil Company, Arabs, arms trade, army, banking, British Government, business, church, communications, concession, currency, customs, diplomatic representation, education, electricity, execution, international border, investment, Islam, judicial system, loans, League of Nations, military, navy, oil, parliament, pipeline, political residency, protectorate, roads, Royal Air Force, Royal Navy, slavery, slave trade, tariffs, telegraph lines, trade, treaty, war, women
Palestine and Transjordan: estimates and finances									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414821		CO 935/17						1936-1937	1936-1937							Confidential Print: Middle East		CO	Middle East		Alexandria, Amman, Baghdad, Bethlehem, Dead Sea, Egypt, Iraq, Israel, Jaffa, Jerusalem, Jordan, Levant, London, Ottoman Empire, Palestine, Port Said, Syria, United Kingdom	Allenby, Edmund, 1st Viscount Allenby; Cunliffe-Lister, Sir Philip (1st Earl of Swinton); Hall, Sir (John) Hathorn; MacDonald, Malcolm; Ormsby-Gore, William, 4th Baron Harlech; Wauchope, Sir Arthur	air force, Anglo-Iranian Oil Company, Arabs, Arab Legion, arms trade, army, Baghdad Railway, banking, British Government, business, communications, currency, customs, education, execution, fishing, imam, international border, Iraq Petroleum Company, Judaism, judicial system, loans, migration, oil, Ottoman Public Debt Administration, parliament, railway, roads, Royal Air Force, Royal Navy, telegraph lines, trade, war, women
Palestine and Transjordan: estimates and finances									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414823		CO 935/18						1937-1938	1937-1938							Confidential Print: Middle East		CO	Middle East		Amman, Israel, Jaffa, Jerusalem, Jordan, Ottoman Empire, Palestine, Port Said, Syria, United Kingdom	Ormsby-Gore, William, 4th Baron Harlech; Wauchope, Sir Arthur	air force, Arabs, British Government, customs, education, execution, fishing, international border, judicial system, loans, railway, roads, Royal Air Force, telegraph lines, trade
