publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	pkb-piddomain
Physical Review Letters	0031-9007	1079-7114									PRL														prl.aps.org
Review of Modern Physics	0034-6861	1539-0756									RMP														rmp.aps.org
Physical review A	1050-2947	1094-1622									PRA														pra.aps.org
Physical review B	1098-0121	1550-235X									PRB														prb.aps.org
Physical review C	0556-2813	1089-490X									PRC														prc.aps.org
Physical review D	1550-7998	1550-2368									PRD														prd.aps.org
Physical review E	1550-2376	1539-3755									PRE														pre.aps.org
Physical review X		2160-3308									PRX														prx.aps.org
Physical Review Special Topics - Accelerators and Beams											PRSTAB														prst-ab.aps.org
Physical Review Special Topics - Physics Research Education											PRSTPER														prst-per.aps.org
Physical Review											PR														prola.aps.org
Physical Review (series I)											PRI														prola.aps.org
Physics		1943-2879									physics														physics.aps.org
