publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	notes	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status	field34
A.I.O.N. Annali dell'Istituto Universitario Orientale di Napoli. Sezione filologico-letteraria	1128-7209	1724-6172	2018-01-01	40	1				https://brill.com/view/journals/aion/aion-overview.xml		aion		fulltext			serial									transfer in (2018): Fabrizio Serra Editore		1128-7209	1724-6172					Current	
Abgadiyat	1687-8280	2213-8609	2006-01-01	1	1				https://brill.com/view/journals/abga/abga-overview.xml		abga		fulltext			serial											1687-8280	2213-8609					Current	
African Diaspora	1872-5457	1872-5465	2008-11-01	1	1				https://brill.com/view/journals/afdi/afdi-overview.xml		afdi		fulltext			serial									Partially Open Access		1872-5457	1872-5465					Current	
African Journal of Legal Studies	2210-9730	1708-7384	2004-05-01	1	1				https://brill.com/view/journals/ajls/ajls-overview.xml		ajls		fulltext			serial											2210-9730	1708-7384					Current	
African Yearbook of International Law Online	1380-7412	2211-6176	1993-01-01	1	1				https://brill.com/view/journals/afyo/afyo-overview.xml		afyo		fulltext			serial											1380-7412	2211-6176					Current	
African and Asian Studies	1569-2094	1569-2108	2002-01-01	1	1				https://brill.com/view/journals/aas/aas-overview.xml		aas		fulltext			serial									previously: Journal of Asian and African Studies		1569-2094	1569-2108					Current	
Afrika Focus	0772-084X	2031-356X							https://brill.com/view/journals/afoc/afoc-overview.xml		afoc		fulltext			serial									content not yet available		0772-084X	2031-356X			2025-01-01		Expected	
Al-Bayan: Journal of Qur’an and Hadith Studies	2232-1950	2232-1969	2011-01-01	9	1				https://brill.com/view/journals/jqhs/jqhs-overview.xml		jqhs		fulltext			serial									new: 2014		2232-1950	2232-1969					Current	
Al-abhath	0002-3973	2589-997X							https://brill.com/view/journals/alab/alab-overview.xml		alab		fulltext			serial									transfer in (2019): content not yet available		0002-3973	2589-997X			2019-12-01		Current	
Amphibia-Reptilia	0173-5373	1568-5381	1980-01-01	1	1				https://brill.com/view/journals/amre/amre-overview.xml		amre		fulltext			serial											0173-5373	1568-5381					Current	
Amsterdamer Beiträge zur älteren Germanistik	0165-7305	1875-6719	1983-01-01	20	1				https://brill.com/view/journals/abag/abag-overview.xml		abag		fulltext			serial									New for 2016. Published as a book series until 2015 now a journal series		0165-7305	1875-6719					Current	
Ancient Civilizations from Scythia to Siberia	0929-077X	1570-0577	1995-01-01	1	1				https://brill.com/view/journals/acss/acss-overview.xml		acss		fulltext			serial											0929-077X	1570-0577					Current	
Animal Biology	1570-7555	1570-7563	2003-09-01	53	1				https://brill.com/view/journals/ab/ab-overview.xml		ab		fulltext			serial									previously: Netherlands Journal of Zoology 1968-2003; Archives Néerlandaises de Zoologie 1935-1967		1570-7555	1570-7563					Current	
Annali Sezione Orientale	0393-3180	2468-5631	2016-01-01	76	1-2				https://brill.com/view/journals/aioo/aioo-overview.xml		aioo		fulltext			serial									New for 2017		0393-3180	2468-5631			2017-01-01		Current	
Annali dell'Istituto e Museo di storia della scienza di Firenze	0391-3341	2210-5875	1976-01-01	1	1	1985-01-31	10	2	https://brill.com/view/journals/anss/anss-overview.xml		anss		fulltext			serial									now: Nuncius 1986-present		0391-3341	2210-5875					Current	
Annuaire Européen/European Yearbook	0167-6717										27830		fulltext			serial									book series - print only		0167-6717						Current	
Review of Rabbinic Judaism	1568-4857	1570-0704	2000-01-01	3	1				https://brill.com/view/journals/rrj/rrj-overview.xml		rrj		fulltext			serial									previously:Annual of Rabbinic Judaism		1568-4857	1570-0704					Current	
Applied Herpetology	1570-7539	1570-7547	2003-02-01	1	1	2009-10-31	6	4	https://brill.com/view/journals/ahc/ahc-overview.xml		ahc		fulltext			serial									ceased: 2010		1570-7539	1570-7547					Current	
Arab Law Quarterly	0268-0556	1573-0255	1985-01-01	1	1				https://brill.com/view/journals/alq/alq-overview.xml		alq		fulltext			serial											0268-0556	1573-0255					Current	
Arabica	0570-5398	1570-0585	1954-01-01	1	1				https://brill.com/view/journals/arab/arab-overview.xml		arab		fulltext			serial											0570-5398	1570-0585					Current	
