publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Actualités en analyse transactionnelle	1377-8935	2272-060X	2008	125	1				https://www.cairn.info/revue-actualites-en-analyse-transactionnelle.htm		revue-actualites-en-analyse-transactionnelle		fulltext		Institut français d'analyse transactionnelle	serial								P	177039930
Analyse Freudienne Presse	1253-1472	1969-6744	2001	3	1				https://www.cairn.info/revue-analyse-freudienne-presse.htm		revue-analyse-freudienne-presse		fulltext		Érès	serial								P	111831164
Annales de géographie	0003-4010	1777-5884	2005	641	1				https://www.cairn.info/revue-annales-de-geographie.htm		revue-annales-de-geographie		fulltext		Armand Colin	serial								P	108069222
Approche Centrée sur la Personne. Pratique et recherche	1774-5314	1961-8670	2005	1	1				https://www.cairn.info/revue-approche-centree-sur-la-personne.htm		revue-approche-centree-sur-la-personne		fulltext		ACP-PR	serial								P	11309647X
Cahiers de Gestalt-thérapie	1277-6874	1775-4348	2001	9	1				https://www.cairn.info/revue-cahiers-de-gestalt-therapie.htm		revue-cahiers-de-gestalt-therapie		fulltext		Collège européen de Gestalt-thérapie	serial								P	139570578
Cahiers de psychologie clinique	1370-074X	1782-1401	2001	16	1				https://www.cairn.info/revue-cahiers-de-psychologie-clinique.htm		revue-cahiers-de-psychologie-clinique		fulltext		De Boeck Supérieur	serial								P	097477079
Cahiers jungiens de psychanalyse	0984-8207	2262-4783	2001	100	1				https://www.cairn.info/revue-cahiers-jungiens-de-psychanalyse.htm		revue-cahiers-jungiens-de-psychanalyse		fulltext		Les Cahiers jungiens de psychanalyse	serial								P	163840598
Cancer(s) et psy(s)	2269-9201	2495-0920	2014	1	1				https://www.cairn.info/revue-cancers-et-psys.htm		revue-cancers-et-psys		fulltext		Érès	serial								P	195211464
Champ lacanien	1767-6827	2606-5827	2004	1	1				https://www.cairn.info/revue-champ-lacanien.htm		revue-champ-lacanien		fulltext		EPFCL-France	serial								P	223616966
CLARA	2295-3671	2593-5747	2013	1	1				https://www.cairn.info/revue-clara.htm		revue-clara		fulltext		Éditions de la Faculté d'Architecture La Cambre Horta de l'Université libre de Bruxelles	serial								P	227829131
Cliniques méditerranéennes	0762-7491	1776-2790	2001	63	1				https://www.cairn.info/revue-cliniques-mediterraneennes.htm		revue-cliniques-mediterraneennes		fulltext		Érès	serial								P	097477958
Essaim	1287-258X	1776-2839	2001	7	1				https://www.cairn.info/revue-essaim.htm		revue-essaim		fulltext		Érès	serial								P	097556939
Feuillets psychanalytiques			2016	1	1				https://www.cairn.info/revue-feuillets-psychanalytiques.htm		revue-feuillets-psychanalytiques		fulltext		Association Lacanienne Internationale (A.L.I.) Rhône Alpes	serial								P	
Figures de la psychanalyse	1623-3883	1776-2847	2001	4	1				https://www.cairn.info/revue-figures-de-la-psy.htm		revue-figures-de-la-psy		fulltext		Érès	serial								P	097557781
Gestalt	1154-5232	1950-6716	2002	22	1				https://www.cairn.info/revue-gestalt.htm		revue-gestalt		fulltext		Société française de Gestalt	serial								P	110968522
Hegel	2269-0530	2115-452X	2011	1	1				https://www.cairn.info/revue-hegel.htm		revue-hegel		fulltext		ALN éditions	serial								P	152610766
Imaginaire et Inconscient	1628-9676	1965-0183	2001	1	1				https://www.cairn.info/revue-imaginaire-et-inconscient.htm		revue-imaginaire-et-inconscient		fulltext		L’Esprit du temps	serial								P	111987725
Insistance	1778-7807	1951-6258	2005	1	1				https://www.cairn.info/revue-insistance.htm		revue-insistance		fulltext		Érès	serial								P	111472415
Journal de la psychanalyse de l'enfant	0994-7949	2264-590X	2011	1	1				https://www.cairn.info/revue-journal-de-la-psychanalyse-de-l-enfant.htm		revue-journal-de-la-psychanalyse-de-l-enfant		fulltext		Presses Universitaires de France	serial								P	167869841
La Cause du Désir	2258-8051	2606-6041	2004	56	1				https://www.cairn.info/revue-la-cause-du-desir.htm		revue-la-cause-du-desir		fulltext		L'École de la Cause freudienne	serial								P	223455857
La clinique lacanienne	1288-6629	1776-2782	2001	5	1				https://www.cairn.info/revue-la-clinique-lacanienne.htm		revue-la-clinique-lacanienne		fulltext		Érès	serial								P	098130595
La revue lacanienne	1967-2055	2109-9553	2007	1	1				https://www.cairn.info/revue-la-revue-lacanienne.htm		revue-la-revue-lacanienne		fulltext		Érès	serial								P	147872278
L’Année psychanalytique internationale	1661-8009	2273-1598	2007	2007	1				https://www.cairn.info/revue-l-annee-psychanalytique-internationale.htm		revue-l-annee-psychanalytique-internationale		fulltext		In Press	serial								P	167663216
L’Année psychologique	0003-5033	1955-2580	2009	109	1				https://www.cairn.info/revue-l-annee-psychologique.htm		revue-l-annee-psychologique		fulltext		Presses Universitaires de France	serial								P	113508131
Le présent de la psychanalyse	2677-7924	2678-6133	2007	2007	1				https://www.cairn.info/revue-le-present-de-la-psychanalyse.htm		revue-le-present-de-la-psychanalyse		fulltext		Presses Universitaires de France	serial								P	235516899
L'en-je lacanien	1761-2861	1951-6231	2003	1	1				https://www.cairn.info/revue-l-en-je-lacanien.htm		revue-l-en-je-lacanien		fulltext		Érès	serial								P	110961854
Les Lettres de la SPF	1281-0797		2007	17	1				https://www.cairn.info/revue-les-lettres-de-la-spf.htm		revue-les-lettres-de-la-spf		fulltext		Société de Psychanalyse Freudienne	serial								P	
L’Espace géographique	0046-2497	1776-2936	2001	30	1				https://www.cairn.info/revue-espace-geographique.htm		revue-espace-geographique		fulltext		Belin	serial								P	097556386
L'Information géographique	0020-0093	1777-5876	2006	70	2				https://www.cairn.info/revue-l-information-geographique.htm		revue-l-information-geographique		fulltext		Armand Colin	serial								P	116269472
L'information psychiatrique	0020-0204	1952-4056	2006	82	1				https://www.cairn.info/revue-l-information-psychiatrique.htm		revue-l-information-psychiatrique		fulltext		John Libbey Eurotext	serial								P	127809449
Movement et Sport Sciences	2118-5735	2118-5743	2002	45	1				https://www.cairn.info/revue-movement-and-sport-sciences.htm		revue-movement-and-sport-sciences		fulltext		EDP Sciences	serial								P	160979137
Nouvelle Revue de l'enfance et de l'adolescence			2019	1	1				https://www.cairn.info/revue-nouvelle-revue-de-l-enfance-et-de-l-adolescence.htm		revue-nouvelle-revue-de-l-enfance-et-de-l-adolescence		fulltext		L'Harmattan	serial								P	
PSN	1639-8319	1955-2351	2012	10	1				https://www.cairn.info/revue-psn.htm		revue-psn		fulltext		Éditions Matériologiques	serial								P	118354914
Psychanalyse YETU	1770-0078	1951-6320	2004	1	1				https://www.cairn.info/revue-psychanalyse-yetu.htm		revue-psychanalyse-yetu		fulltext		Érès	serial								P	110853024
Psychologie Clinique	1145-1882	2118-4224	2009	27	1				https://www.cairn.info/revue-psychologie-clinique.htm		revue-psychologie-clinique		fulltext		EDP Sciences	serial								P	150139632
Psychologie clinique et projective	1265-5449	2118-4496	2001	7	1				https://www.cairn.info/revue-psychologie-clinique-et-projective.htm		revue-psychologie-clinique-et-projective		fulltext		Érès	serial								P	148828388
Psychosomatique relationnelle		2272-916X	2013	1	1				https://www.cairn.info/revue-psychosomatique-relationnelle.htm		revue-psychosomatique-relationnelle		fulltext		Centre international de psychosomatique	serial								P	178359602
Psychothérapies	0251-737X	2235-2104	2002	22	1				https://www.cairn.info/revue-psychotherapies.htm		revue-psychotherapies		fulltext		Médecine et Hygiène	serial								P	112029973
Recherches en psychanalyse		1965-0213	2004	1	1				https://www.cairn.info/revue-recherches-en-psychanalyse.htm		revue-recherches-en-psychanalyse		fulltext		Laboratoire CRPMS, Université de Paris	serial								P	112132928
Revue de neuropsychologie	2101-6739	2102-6025	2009	1	1				https://www.cairn.info/revue-de-neuropsychologie.htm		revue-de-neuropsychologie		fulltext		John Libbey Eurotext	serial								P	137918976
Revue française de psychosomatique	1164-4796	2105-2603	1991	1	1				https://www.cairn.info/revue-francaise-de-psychosomatique.htm		revue-francaise-de-psychosomatique		fulltext		Presses Universitaires de France	serial								P	111200822
Volume !	2117-4148	1950-568X	2019		1				https://www.cairn.info/revue-volume.htm		revue-volume		fulltext		Éditions Mélanie Seteun	serial								P	157108643
