publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Action publique. Recherche et pratiques		2647-3135	2018	1	1				https://www.cairn.info/revue-action-publique-recherche-et-pratiques.htm		revue-action-publique-recherche-et-pratiques		fulltext		Institut de la gestion publique et du développement économique (IGPDE)	serial								F	23259189X
Déviance et Société	0378-7931	2296-4096	2006	30	3				https://www.cairn.info/revue-deviance-et-societe.htm		revue-deviance-et-societe		fulltext		Médecine et Hygiène	serial								F	170352218
Dialogues d'histoire ancienne	0755-7256	1955-270X	2007		1				https://www.cairn.info/revue-dialogues-d-histoire-ancienne.htm		revue-dialogues-d-histoire-ancienne		fulltext		Presses universitaires de Franche-Comté	serial								F	114711208
Flux	1154-2721	1958-9557	2001	43	1				https://www.cairn.info/revue-flux.htm		revue-flux		fulltext		Université Gustave Eiffel	serial								F	120432234
Formation emploi	0759-6340	2107-0946	2006	93	1				https://www.cairn.info/revue-formation-emploi.htm		revue-formation-emploi		fulltext		Céreq	serial								F	139618112
Forum de l’assurance	1376-3954		2020	200	1				https://www.cairn.info/revue-forum-de-l-assurance.htm		revue-forum-de-l-assurance	R5Y	fulltext		Anthemis	serial								P	
Population	0032-4663	1957-7966	2001	56	4				https://www.cairn.info/revue-population.htm		revue-population		fulltext		Ined Éditions	serial								F	112126227
Revue Cyber et Conformité	2738-9413		2021	1	1				https://www.cairn.info/revue-cyber-et-conformite.htm		revue-cyber-et-conformite	R5Y	fulltext		Legitech	serial								P	
Revue des entreprises en difficulté	2953-1691		2023	1	1				https://www.cairn.info/revue-des-entreprises-en-difficulte.htm		revue-des-entreprises-en-difficulte	R5Y	fulltext		Anthemis	serial								P	
Revue internationale de politique comparée	1370-0731	1782-1533	2007	14	1				https://www.cairn.info/revue-internationale-de-politique-comparee.htm		revue-internationale-de-politique-comparee		fulltext		De Boeck Supérieur	serial								F	099058022
