publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Cultures et logiques militaires	9782130719359	9782130497134							https://www.cairn.info/cultures-et-logiques-militaires--9782130719359.htm	Thiéblemont	cultures-et-logiques-militaires--9782130719359		fulltext		Presses Universitaires de France	monograph	1999	2016				Sociologie d'aujourd'hui		P
Délocalisations, normes du travail et politique d’emploi	9782707147615	9782707147615							https://www.cairn.info/delocalisations-normes-du-travail--9782707147613.htm	Auer	delocalisations-normes-du-travail--9782707147613		fulltext		La Découverte	monograph	2005	2010				Recherches		P
Hedge funds, private equity, marchés financiers: les frères ennemis?	9782130576167	9782130740582							https://www.cairn.info/hedge-funds-private-equity-marches-financiers-les---9782130576167.htm	Jacquillat	hedge-funds-private-equity-marches-financiers-les---9782130576167		fulltext		Presses Universitaires de France	monograph	2009	2015				Cahiers du Cercle des économistes		P
Jumeaux	9782746702462								https://www.cairn.info/jumeaux --9782746702462.htm	Adoue	jumeaux --9782746702462		fulltext		Autrement	monograph	2002	2011				Mutations		P
La fin des Empires	9782262065515								https://www.cairn.info/la-fin-des-empires--9782262065515.htm	Gueniffey	la-fin-des-empires--9782262065515		fulltext		Éditions Perrin	monograph	2017	2017				Tempus		P
L’Académie au pays du capital	9782130581932	9782130791706							https://www.cairn.info/l-academie-au-pays du-capital--9782130581932.htm	Belloc	l-academie-au-pays du-capital--9782130581932		fulltext		Presses Universitaires de France	monograph	2011	2016				L'innovation politique		P
L’adieu aux armes ?	9782811103477	9782811121815							https://www.cairn.info/l-adieu-aux-armes --9782811103477.htm	Duclos	l-adieu-aux-armes --9782811103477		fulltext		Editions Karthala	monograph	2010	2016				Recherches internationales		P
Le multilatéralisme	9782707153333	9782707181237							https://www.cairn.info/le-multilateralisme --9782707153333.htm	Badie	le-multilateralisme --9782707153333		fulltext		La Découverte	monograph	2007	2010				TAP/Relations internationales		P
Le vote surprise	9782724607345	9782724686166							https://www.cairn.info/le-vote-surprise-les-elections-legislatives-du-25---9782724607341.htm	Perrineau	le-vote-surprise-les-elections-legislatives-du-25---9782724607341		fulltext		Presses de Sciences Po (P.F.N.S.P.)	monograph	1998	2010				Chroniques électorales		P
Les invasions biologiques, une question de natures et de sociétés	9782759203727	9782759209859							https://www.cairn.info/les-invasions-biologiques-une-question-de-natures---9782759203727.htm	Barbault	les-invasions-biologiques-une-question-de-natures---9782759203727		fulltext		Editions Quæ	monograph	2010	2012				Synthèses		P
Les juristes face au politique	9782841743039								https://www.cairn.info/les juristes face au politique--9782841743039.htm	Herrera	les juristes face au politique--9782841743039		fulltext		Editions Kimé	monograph	2005	2016				Philosophie politique		P
On bosse ici, on reste ici !	9782707168054	9782707168054							https://www.cairn.info/on-bosse-ici-on-reste-ici--9782707168054.htm	Barron	on-bosse-ici-on-reste-ici--9782707168054		fulltext		La Découverte	monograph	2011	2013				Cahiers libres		P
