publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
(Se) motiver à apprendre	9782130558637	9782130639589							https://www.cairn.info/se-motiver-a-apprendre--9782130558637.htm	Galand	se-motiver-a-apprendre--9782130558637		fulltext		Presses Universitaires de France	monograph	2006	2015				Apprendre		P
12 études en clinique projective	9782100564156								https://www.cairn.info/12-etudes-en-clinique-projective--9782100564156.htm	Chabert	12-etudes-en-clinique-projective--9782100564156		fulltext		Dunod	monograph	2011	2016				Psycho Sup		P
1792 Entrer en République	9782200287719	9782200290368							https://www.cairn.info/mille-sept-cent-quatre-vingt-douze--9782200287719.htm	Biard	mille-sept-cent-quatre-vingt-douze--9782200287719		fulltext		Armand Colin	monograph	2013	2016				Recherches		P
1816 ou la genèse de la Foi publique	9782600010511								https://www.cairn.info/1816-ou-la-genese-de-la-foi-publi--9782600010511.htm	Aglan	1816-ou-la-genese-de-la-foi-publi--9782600010511		fulltext		Librairie Droz	monograph	2006	2015				Publications d'histoire économique et sociale internationale		P
1929-2009: Récession(s)? Rupture(s)? Dépression(s)?	9782130578062	9782130740780							https://www.cairn.info/1929-2009--9782130578062.htm	Jacquillat	1929-2009--9782130578062		fulltext		Presses Universitaires de France	monograph	2009	2015				Cahiers du Cercle des économistes		P
1939-1945 : combats de femmes	9782746701434								https://www.cairn.info/mille-neuf-cent-trente- neuf-mille-neuf-cent-quara--9782746701434.htm	Morin-Rotureau	mille-neuf-cent-trente- neuf-mille-neuf-cent-quara--9782746701434		fulltext		Autrement	monograph	2001	2013				Mémoires/Histoire		P
1956 : Varsovie-Budapest	9782020047906	9782021253863							https://www.cairn.info/1956-varsovie-budapest--9782020047906.htm	Kende	1956-varsovie-budapest--9782020047906		fulltext		Le Seuil (programme ReLIRE)	monograph	1978	2016				Esprit		P
1974-1984, une décennie de désindustrialisation?	9782708408616								https://www.cairn.info/1974-1984--9782708408616.htm	Lamard	1974-1984--9782708408616		fulltext		Editions Picard	monograph	2009	2015				Histoire industrielle et société		P
40 commentaires de textes en psychologie clinique	9782100706648								https://www.cairn.info/quarante-commentaires-de-textes-en-psychologie--9782100706648.htm	Chagnon	quarante-commentaires-de-textes-en-psychologie--9782100706648		fulltext		Dunod	monograph	2014	2016				Psycho Sup		P
45 commentaires de textes en psychopathologie psychanalytique	9782100578146								https://www.cairn.info/quarante-cinq-commentaires-de-textes-en-psychopath--9782100578146.htm	Chagnon	quarante-cinq-commentaires-de-textes-en-psychopath--9782100578146		fulltext		Dunod	monograph	2012	2016				Psycho Sup		P
46 commentaires de textes en clinique institutionnelle	9782100702145								https://www.cairn.info/quarante-six-commentaires-de-textes-en-clinique--9782100702145.htm	Drieu	quarante-six-commentaires-de-textes-en-clinique--9782100702145		fulltext		Dunod	monograph	2013	2016				Psycho Sup		P
A 2 ans, vivre dans un collectif d'enfants	9782749250045								https://www.cairn.info/a-2-ans-vivre-dans-un-collectif-d-enfants--9782749250045.htm	Garnier	a-2-ans-vivre-dans-un-collectif-d-enfants--9782749250045		fulltext		ERES	monograph	2016	2016				Enfance & parentalité		P
ARS : mode d'emploi	9782100705948								https://www.cairn.info/ars-mode-d-emploi--9782100705948.htm	Fantino	ars-mode-d-emploi--9782100705948		fulltext		Dunod	monograph	2014	2016				Santé Social		P
Accompagner : Un agir professionnel	9782804168902	9782807304604							https://www.cairn.info/accompagner-un-agir-professionnel--9782804168902.htm	Charlier	accompagner-un-agir-professionnel--9782804168902		fulltext		De Boeck Supérieur	monograph	2012	2014				Pédagogies en développement		P
Accompagner des étudiants	9782804133313	9782804173777							https://www.cairn.info/accompagner-des-etudiants--9782804133313.htm	Raucent	accompagner-des-etudiants--9782804133313		fulltext		De Boeck Supérieur	monograph	2010	2013				Pédagogies en développement		P
Accompagner la naissance	9782940516148								https://www.cairn.info/accompagner-la-naissance--9782940516148.htm	Burton-Jeangros	accompagner-la-naissance--9782940516148		fulltext		BSN Press	monograph	2014	2016				A contrario Campus		P
Accueil de la petite enfance : comprendre pour agir	9782749240732	9782749240749							https://www.cairn.info/accueil-de-la-petite-enfance-comprendre-pour-agir--9782749240732.htm	Meyer	accueil-de-la-petite-enfance-comprendre-pour-agir--9782749240732		fulltext		ERES	monograph	2014	2014				1001 bébés		P
