publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Cerveau & Psycho	1639-6936		2016	100	1				https://stm.cairn.info/magazine-cerveau-et-psycho?lang=fr		magazine-cerveau-et-psycho		fulltext		Groupe Pour la science	serial								P	26198697X
Socialter	2270-6410		2018	46	1				https://shs.cairn.info/magazine-socialter?lang=fr		magazine-socialter		fulltext		Socialter	serial								P	26815256X
Books	1967-7375	2554-8689	2008	7	1	2025	3	Édition du 7 mars 2025	https://shs.cairn.info/magazine-books?lang=fr		magazine-books		fulltext		Books	serial								P	202731316
Cahiers Français	0008-0217		2019	411	1				https://shs.cairn.info/magazine-cahiers-francais?lang=fr		magazine-cahiers-francais		fulltext		La Documentation française	serial								P	175790426
Pour La Science	0153-4092		2019	495	1				https://stm.cairn.info/magazine-pour-la-science?lang=fr		magazine-pour-la-science		fulltext		Groupe Pour la science	serial								P	
Silence	0756-2640		2020	536	1				https://shs.cairn.info/revue-silence?lang=fr		revue-silence		fulltext		Association Silence	serial								P	261140353
Les Grands Dossiers Des Sciences Humaines	1777-375X	2108-6583	2005	23	1				https://shs.cairn.info/magazine-les-grands-dossiers-des-sciences-humaines?lang=fr		magazine-les-grands-dossiers-des-sciences-humaines		fulltext		Éditions Sciences Humaines	serial								P	145459063
Les Dossiers D’alternatives Économiques	2426-8313		2015		1	2019	3	N° 17	https://shs.cairn.info/magazine-les-dossiers-d-alternatives-economiques?lang=fr		magazine-les-dossiers-d-alternatives-economiques		fulltext		Alternatives économiques	serial								P	25797332X
Sciences Humaines	0996-6994	1775-4232	2000		1				https://shs.cairn.info/magazine-sciences-humaines?lang=fr		magazine-sciences-humaines		fulltext		Éditions Sciences Humaines	serial								P	149165056
Alternatives Économiques	0247-3739	1963-1707	2005	352	1				https://shs.cairn.info/magazine-alternatives-economiques?lang=fr		magazine-alternatives-economiques		fulltext		Alternatives économiques	serial								P	118143549
Questions Internationales	1761-7146		2018	122	1				https://shs.cairn.info/magazine-questions-internationales?lang=fr		magazine-questions-internationales		fulltext		La Documentation française	serial								P	278375367
Alternatives Internationales	1634-6386	2108-6575	2005	50	1	2015	9	N° 68	https://shs.cairn.info/magazine-alternatives-internationales?lang=fr		magazine-alternatives-internationales		fulltext		Alternatives économiques	serial								P	145459055
Archimag	2260-166X		2017	373	1				https://shs.cairn.info/magazine-archimag?lang=fr		magazine-archimag		fulltext		Serda Archimag	serial								P	178719307
Le Monde De La Bible	0154-9049		2021	237	1				https://shs.cairn.info/magazine-monde-de-la-bible?lang=fr		magazine-monde-de-la-bible		fulltext		Bayard Presse	serial								P	279604491
Lien Social	0994-1819		2018	1238	1	2024	2	N° 1353	https://shs.cairn.info/magazine-lien-social?lang=fr		magazine-lien-social		fulltext		Lien Social	serial								P	128405686
