publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
"Parentalité, vous avez dit ""fragile""?"	9782749210834	9782749228310							https://www.cairn.info/parentalite-vous-avez-dit-fragile--9782749210834.htm	Besson	parentalite-vous-avez-dit-fragile--9782749210834		fulltext		ERES	monograph	2009	2010				Les Dossiers de Spirale		P
1, 2, 3... comptines !	9782749207490								https://www.cairn.info/un-deux-trois-comptines--9782749207490.htm	Moreau	un-deux-trois-comptines--9782749207490		fulltext		ERES	monograph	2007	2012				1001 bébés		P
Abécédaire musical	9782749212067	9782749216652							https://www.cairn.info/abecedaire-musical--9782749212067.htm	Grosléziat	abecedaire-musical--9782749212067		fulltext		ERES	monograph	2010	2011				1001 bébés		P
Accompagner	9782865868308	9782749224411							https://www.cairn.info/accompagner--9782865868308.htm	Dumont	accompagner--9782865868308		fulltext		ERES	monograph	2003	2010				1001 bébés		P
Accompagner des personnes en deuil	9782749202228	9782749224435							https://www.cairn.info/accompagner-des-personnes-en-deuil--9782749202228.htm	Bercovitz	accompagner-des-personnes-en-deuil--9782749202228		fulltext		ERES	monograph	2004	2010				Pratiques du champ social		P
Accompagner la personne gravement handicapée	9782749208657								https://www.cairn.info/accompagner-la-personne-gravement-handicapee--9782749208657.htm	Amistani	accompagner-la-personne-gravement-handicapee--9782749208657		fulltext		ERES	monograph	2008	2013				L’éducation spécialisée au quotidien		P
Accueillir	9782865868292	9782749217611							https://www.cairn.info/accueillir--9782865868292.htm	Giampino	accueillir--9782865868292		fulltext		ERES	monograph	2010	2012				1001 bébés		P
Accueillir l'enfant entre 2 et 3 ans	9782749206813	9782749224459							https://www.cairn.info/accueillir-l-enfant-entre-2-et-3-ans--9782749206813.htm	Thollon-Behar	accueillir-l-enfant-entre-2-et-3-ans--9782749206813		fulltext		ERES	monograph	2006	2010				1001 bébés		P
Accueillir les adolescents en grande difficulté	9782749203584	9782749217659							https://www.cairn.info/accueillir-les-adolescents-en-grande-difficulte--9782749203584.htm	Bynau	accueillir-les-adolescents-en-grande-difficulte--9782749203584		fulltext		ERES	monograph	2007	2011				Trames		P
Accueillir les parents de jeunes enfants	9782749203713	9782749217673							https://www.cairn.info/accueillir-les-parents-des-jeunes-enfants--9782749203713.htm	Bosse-Platière	accueillir-les-parents-des-jeunes-enfants--9782749203713		fulltext		ERES	monograph	2004	2012				Petite enfance et parentalité		P
Actualité de l'hystérie	9782865868551	9782749224497							https://www.cairn.info/actualite-de-l-hysterie--9782865868551.htm	Michels	actualite-de-l-hysterie--9782865868551		fulltext		ERES	monograph	2001	2010				Hors collection		P
Actualité des troubles névrotiques chez l'enfant et l'adolescent	9782749213644								https://www.cairn.info/actualite-des-troubles-nevrotiques-chez-l-enfant--9782749213644.htm	Emmanuelli	actualite-des-troubles-nevrotiques-chez-l-enfant--9782749213644		fulltext		ERES	monograph	2011	2012				Le Carnet psy		P
Actualité du trauma	9782749200637	9782749224510							https://www.cairn.info/actualite-du-trauma--9782749200637.htm	Chemla	actualite-du-trauma--9782749200637		fulltext		ERES	monograph	2002	2010				Hors collection		P
