publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Des abus et autres maltraitances	9782804155605	9782804177980							https://www.cairn.info/des-abus-et-autres-maltraitances--9782804155605.htm	Linares	des-abus-et-autres-maltraitances--9782804155605		fulltext		De Boeck Supérieur	monograph	2008	2012				Carrefour des psychothérapies		P	
Écouter l'autisme	9782746712232								https://www.cairn.info/ecouter-l-autisme--9782746712232.htm	Idoux-Thivet	ecouter-l-autisme--9782746712232		fulltext		Autrement	monograph	2009	2012				Mutations		P	
Éduquer et soigner en équipe	9782804165970	9782807304369							https://www.cairn.info/eduquer-et-soigner-en-equipe--9782804165970.htm	Meynckens-Fourez	eduquer-et-soigner-en-equipe--9782804165970		fulltext		De Boeck Supérieur	monograph	2011	2014		1re éd.		Carrefour des psychothérapies		P	
Évaluation fonctionnelle et développement de programmes d'assistance pour les comportements problématiques	9782804155650	9782804173401							https://www.cairn.info/evaluation-fonctionnelle-et-developpement--9782804155650.htm	Horner	evaluation-fonctionnelle-et-developpement--9782804155650		fulltext		De Boeck Supérieur	monograph	2008	2010				Questions de personne		P	
Gérer la dissociation d’origine traumatique	9782807307889								https://www.cairn.info/gerer-la-dissociation-d-origine-traumatique--9782807307889.htm	Boon	gerer-la-dissociation-d-origine-traumatique--9782807307889		fulltext		De Boeck Supérieur	monograph	2017	2020				Carrefour des psychothérapies		P	
La sexothérapie	9782804153700	9782804178628							https://www.cairn.info/la-sexotherapie--9782804153700.htm	El Feki	la-sexotherapie--9782804153700		fulltext		De Boeck Supérieur	monograph	2007	2010				Carrefour des psychothérapies		P	
La thérapie contextuelle de Boszormenyi-Nagy	9782804148829	9782804179205							https://www.cairn.info/la-therapie-contextuelle-de-boszormenyi-nagy--9782804148829.htm	Michard	la-therapie-contextuelle-de-boszormenyi-nagy--9782804148829		fulltext		De Boeck Supérieur	monograph	2005	2012				Carrefour des psychothérapies		P	
L'apprentissage du raisonnement clinique	9782804168919	9782807304628							https://www.cairn.info/l-apprentissage-du-raisonnement-clinique--9782804168919.htm	Psiuk	l-apprentissage-du-raisonnement-clinique--9782804168919		fulltext		De Boeck Supérieur	monograph	2012	2014				Perspectives en éducation et formation		P	
Le deuil impossible	9782804147907	9782804180171							https://www.cairn.info/le-deuil-impossible--9782804147907.htm	Goldbeter-Merinfeld	le-deuil-impossible--9782804147907		fulltext		De Boeck Supérieur	monograph	2005	2011				Carrefour des psychothérapies		P	
Le syndrome d'Asperger	9782804162696	9782804191580							https://www.cairn.info/le-syndrome-d-asperger--9782804162696.htm	Attwood	le-syndrome-d-asperger--9782804162696		fulltext		De Boeck Supérieur	monograph	2010	2014		3e éd.		Questions de personne		P	
Passez à l'ACT	9782804169213	9782807304666							https://www.cairn.info/passez-a-l-act--9782804169213.htm	Harris	passez-a-l-act--9782804169213		fulltext		De Boeck Supérieur	monograph	2012	2014				Carrefour des psychothérapies		P	198719884
Passez à l’ACT	9782807308497								https://www.cairn.info/passez-a-l-act--9782807308497.htm	Harris	passez-a-l-act--9782807308497		fulltext		De Boeck Supérieur	monograph	2017	2020				Carrefour des psychothérapies		P	
Soigner la relation en fin de vie	9782100484751	9782100600809							https://www.cairn.info/soigner-la-relation-en-fin-de-vie--9782100484751.htm	Richard	soigner-la-relation-en-fin-de-vie--9782100484751		fulltext		Dunod	monograph	2013	2016				Santé Social		P	192238388
