publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Afghanistan 2001-2010	9782746713727								https://www.cairn.info/afghanistan-2001-2010--9782746713727.htm	Jauffret	afghanistan-2001-2010--9782746713727		fulltext		Autrement	monograph	2010	2012				Frontières		P	
Chiisme et politique au moyen-orient	9782746710870								https://www.cairn.info/chiisme-et-politique-au-moyen-orient--9782746710870.htm	Louër	chiisme-et-politique-au-moyen-orient--9782746710870		fulltext		Autrement	monograph	2008	2012				Mondes et Nations		P	
Chine/États-Unis	9782746711228								https://www.cairn.info/chine-etats-unis--9782746711228.htm	Balme	chine-etats-unis--9782746711228		fulltext		Autrement	monograph	2008	2012				Mondes et Nations		P	
Citoyens et Délateurs	9782746707283								https://www.cairn.info/citoyens-et-delateurs--9782746707283.htm	Brodeur	citoyens-et-delateurs--9782746707283		fulltext		Autrement	monograph	2005	2011				Mutations		P	
Comment fonctionne la Russie ?	9782746703803								https://www.cairn.info/comment-fonctionne-la-russie--9782746703803.htm	Mendras	comment-fonctionne-la-russie--9782746703803		fulltext		Autrement	monograph	2003	2011				Mondes et Nations		P	
Conflit kurde	9782746712737								https://www.cairn.info/conflit-kurde--9782746712737.htm	Bozarslan	conflit-kurde--9782746712737		fulltext		Autrement	monograph	2009	2012				Mondes et Nations		P	
Contrôler les armes	9782746714762								https://www.cairn.info/controler-les-armes--9782746714762.htm	Amnesty International	controler-les-armes--9782746714762		fulltext		Autrement	monograph	2010	2012				Frontières		P	
Culture coloniale 1871-1931	9782746702998								https://www.cairn.info/culture-coloniale-1871-1931--9782746702998.htm	Lemaire	culture-coloniale-1871-1931--9782746702998		fulltext		Autrement	monograph	2003	2011				Mémoires/Histoire		P	
Culture post-coloniale 1961-2006	9782746708952								https://www.cairn.info/culture-post-coloniale-1961-2006--9782746708952.htm	Blanchard	culture-post-coloniale-1961-2006--9782746708952		fulltext		Autrement	monograph	2006	2011				Mémoires/Histoire		P	
Droits humains en Russie	9782746713710								https://www.cairn.info/droits-humains-en-russie--9782746713710.htm	Amnesty International	droits-humains-en-russie--9782746713710		fulltext		Autrement	monograph	2010	2012				Frontières		P	
