publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
L'anthropocène Contre L'histoire	9782358720953	9782358721776							https://shs.cairn.info/l-anthropocene-contre-l-histoire--9782358720953?lang=fr	Andreas Malm	l-anthropocene-contre-l-histoire--9782358720953		fulltext		La Fabrique Éditions	monograph	2018	2021				Hors collection		P	260528358
Partager Les Richesses	9782738148520	9782738148919							https://shs.cairn.info/partager-les-richesses--9782738148520?lang=fr	Philippe Askenazy	partager-les-richesses--9782738148520		fulltext		Odile Jacob	monograph	2019	2022				Hors collection		P	275568253
La Légitimation Des Produits Financiers	9782847697865	9782847697872							https://shs.cairn.info/la-legitimation-des-produits-financiers--9782847697865?lang=fr	Mohamed Oubenal	la-legitimation-des-produits-financiers--9782847697865		fulltext		EMS Éditions	monograph	2015	2019				Questions de société		P	198665954
Entreprises : Vers L'excellence	9782100772353	9782100779086							https://shs.cairn.info/entreprises-vers-l-excellence--9782100772353?lang=fr	Thierry Bourguignon	entreprises-vers-l-excellence--9782100772353		fulltext		Dunod	monograph	2018	2020				Stratégie d'entreprise		P	227994310
Histoire De La Société Générale	9782600058728	9782600358729							https://shs.cairn.info/histoire-de-la-societe-generale-2--9782600058728?lang=fr	Hubert Bonin	histoire-de-la-societe-generale-2--9782600058728		fulltext		Librairie Droz	monograph	2019	2020				Publications d'histoire économique et sociale internationale		P	253913284
Panique Dans La Forêt	9782100812417	9782100817832							https://shs.cairn.info/panique-dans-la-foret--9782100812417?lang=fr	Patrick Bedigis	panique-dans-la-foret--9782100812417		fulltext		Dunod	monograph	2020	2021				Hors collection		P	250253607
Le Marketing	9782100722419	9782100741014							https://shs.cairn.info/le-marketing--9782100722419?lang=fr	 	le-marketing--9782100722419		fulltext		Dunod	monograph	2015	2022	2e éd.			Les Topos		P	268087326
Stratégie De La Banque Et De L'assurance	9782100708871	9782100744749							https://shs.cairn.info/strategie-de-la-banque-et-de-l-assurance--9782100708871?lang=fr	Éric Lamarque	strategie-de-la-banque-et-de-l-assurance--9782100708871		fulltext		Dunod	monograph	2014	2020				Management Sup		P	184523931
Économie Bancaire. Analyse Financière, Régulation Et Gestion Des Risques	9782340057081								https://shs.cairn.info/economie-bancaire-analyse-financiere-regulation-et-gestion-des-risques--9782340057081?lang=fr	Pierre Clauss	economie-bancaire-analyse-financiere-regulation-et-gestion-des-risques--9782340057081		fulltext		Ellipses	monograph	2021	2022				Gestion		P	275572455
Le Pluralisme Managérial En Afrique	9782376875857								https://shs.cairn.info/le-pluralisme-managerial-en-afrique--9782376875857?lang=fr	Henri Tedongmo Teko	le-pluralisme-managerial-en-afrique--9782376875857		fulltext		EMS Éditions	monograph	2022	2022				Business Science Institute		P	268096627
Fiches De Valorisation Des Entreprises	9782340060517								https://shs.cairn.info/fiches-de-valorisation-des-entreprises--9782340060517?lang=fr	Mondher Cherif	fiches-de-valorisation-des-entreprises--9782340060517		fulltext		Ellipses	monograph	2021	2022				Fiches		P	275572277
Entrepreneur Engagé, Je Passe À L'action	9782376879930								https://shs.cairn.info/entrepreneur-engage-je-passe-a-l-action--9782376879930?lang=fr	 	entrepreneur-engage-je-passe-a-l-action--9782376879930		fulltext		EMS Éditions	monograph	2024	2024				Questions de société		P	284586501
Fiches D'histoire Monétaire, Bancaire Et Financière	9782340060777								https://shs.cairn.info/fiches-d-histoire-monetaire-bancaire-et-financiere--9782340060777?lang=fr	Paul-Jacques Lehmann	fiches-d-histoire-monetaire-bancaire-et-financiere--9782340060777		fulltext		Ellipses	monograph	2021	2022				Fiches		P	
Currency Board (caisse D'émission) À Djibouti	9782343148793	9782140107801							https://shs.cairn.info/currency-board-caisse-d-emission-a-djibouti--9782343148793?lang=fr	Moustapha Aman	currency-board-caisse-d-emission-a-djibouti--9782343148793		fulltext		L'Harmattan	monograph	2018	2022				L’esprit économique		P	268086079
Macroéconomie Efficace	9782343215563	9782140160646							https://shs.cairn.info/macroeconomie-efficace--9782343215563?lang=fr	Bernard Landais	macroeconomie-efficace--9782343215563		fulltext		L'Harmattan	monograph	2020	2022				L’esprit économique		P	268083924
En Construction	9782869382534	9782869382732							https://shs.cairn.info/en-construction--9782869382534?lang=fr	Valérie Schafer	en-construction--9782869382534		fulltext		Institut National de l'Audiovisuel (INA)	monograph	2018	2024				Études et controverses		P	284460532
Le Grand Livre Des Techniques D'optimisation Du Potentiel	9782729623029	9782729624040							https://shs.cairn.info/le-grand-livre-des-techniques-d-optimisation-du-potentiel--9782729623029?lang=fr	Édith Perreaut-Pierre	le-grand-livre-des-techniques-d-optimisation-du-potentiel--9782729623029		fulltext		InterEditions	monograph	2024	2024				Accompagnement et Coaching		P	284589020
Engager Pour Transformer	9782376879503								https://shs.cairn.info/engager-pour-transformer--9782376879503?lang=fr	Bernard Coulaty	engager-pour-transformer--9782376879503		fulltext		EMS Éditions	monograph	2024	2024				Hors collection		P	
Approches Critiques Des Organisations	9782376873730								https://shs.cairn.info/approches-critiques-des-organisations--9782376873730?lang=fr	Natacha Pijoan	approches-critiques-des-organisations--9782376873730		fulltext		EMS Éditions	monograph	2020	2021				Questions de société		P	250245647
Examen D'intégrité Dans Les Marchés Publics Du Québec, Canada	9789264489912								https://shs.cairn.info/examen-d-integrite-dans-les-marches-publics-du-que--9789264489912?lang=fr	 Organisation De Coopération Et De Développement Économiques (Ocde)	examen-d-integrite-dans-les-marches-publics-du-que--9789264489912		fulltext		Éditions de l'OCDE	monograph	2020	2022				Les voies de développement		P	268080305
Homo Detritus	9782021352603								https://shs.cairn.info/homo-detritus-critique-de-la-societe-du-dechet--9782021352603?lang=fr	Baptiste Monsaingeon	homo-detritus-critique-de-la-societe-du-dechet--9782021352603		fulltext		Le Seuil	monograph	2017	2024				Anthropocène		P	
Géostratégie Du Crime	9782738127686	9782738180544							https://shs.cairn.info/geostrategie-du-crime--9782738127686?lang=fr	Jean-François Gayraud	geostrategie-du-crime--9782738127686		fulltext		Odile Jacob	monograph	2012	2021				Hors collection		P	27556035X
L'économie De Marx	9782130365006	9782130658122							https://shs.cairn.info/l-economie-de-marx--9782130365006?lang=fr	Henri Denis	l-economie-de-marx--9782130365006		fulltext		Presses Universitaires de France	monograph	1980	2020				Hors collection		P	260520756
Faisons Simplexe De A À Z	9782130732181	9782130736882							https://shs.cairn.info/faisons-simplexe-de-a-a-z--9782130732181?lang=fr	Angela Minzoni	faisons-simplexe-de-a-a-z--9782130732181		fulltext		Presses Universitaires de France	monograph	2016	2020				Hors collection		P	242680828
La Finance Islamique	9782343230740	9782140179709							https://shs.cairn.info/la-finance-islamique--9782343230740?lang=fr	Asma Sghaier	la-finance-islamique--9782343230740		fulltext		L'Harmattan	monograph	2021	2022				L’esprit économique		P	268084831
L'assertivité Émotionnelle	9782729624170	9782100741342							https://shs.cairn.info/l-assertivite-emotionnelle--9782729624170?lang=fr	Mathilde Lefeuvre	l-assertivite-emotionnelle--9782729624170		fulltext		InterEditions	monograph	2024	2025				Accompagnement et Coaching		P	268087415
Créer De La Valeur Ou Disparaître	9782804708894	9782804708900							https://shs.cairn.info/creer-de-la-valeur-ou-disparaitre--9782804708894?lang=fr	Antoine Henry De Frahan	creer-de-la-valeur-ou-disparaitre--9782804708894		fulltext		Mardaga	monograph	2021	2022				Gestion, Entreprise, Finance		P	268091870
Martingales Et Marchés Financiers	9782738105424	9782738182234							https://shs.cairn.info/martingales-et-marches-financiers--9782738105424?lang=fr	 	martingales-et-marches-financiers--9782738105424		fulltext		Odile Jacob	monograph	1998	2025				Hors collection		P	
Développer L'intelligence Collective	9782311623048	9782311625578							https://shs.cairn.info/developper-l-intelligence-collective--9782311623048?lang=fr	Philippe Labat	developper-l-intelligence-collective--9782311623048		fulltext		Vuibert	monograph	2019	2022				Hors collection		P	275565254
La Crise Dans Tous Ses États	9782706124679	9782706120978							https://shs.cairn.info/la-crise-dans-tous-ses-etats--9782706124679?lang=fr	 	la-crise-dans-tous-ses-etats--9782706124679		fulltext		Presses universitaires de Grenoble	monograph	2014	2019				Économie en +		P	240750098
Les Nouveaux Territoires De L’agrobusiness	9782849507711								https://shs.cairn.info/les-nouveaux-territoires-de-l-agrobusiness--9782849507711?lang=fr	Laurent Delcourt	les-nouveaux-territoires-de-l-agrobusiness--9782849507711		fulltext		Éditions Syllepse	monograph	2019	2022				Alternatives Sud		P	275565483
Devenir Une Marque Mythique	9782311405903	9782311410426							https://shs.cairn.info/devenir-une-marque-mythique--9782311405903?lang=fr	Georges Lewi	devenir-une-marque-mythique--9782311405903		fulltext		Vuibert	monograph	2019	2022				Référence Management		P	275565343
Histoire Des Faits Économiques	9782200219338	9782200243586							https://shs.cairn.info/histoire-des-faits-economiques--9782200219338?lang=fr	 	histoire-des-faits-economiques--9782200219338		fulltext		Armand Colin	monograph	2003	2022				Collection U		P	268088365
La Gestion Des Institutions Culturelles	9782200616830	9782200617592							https://shs.cairn.info/la-gestion-des-institutions-culturelles--9782200616830?lang=fr	Jean-Michel Tobelem	la-gestion-des-institutions-culturelles--9782200616830		fulltext		Armand Colin	monograph	2017	2020				Collection U		P	233377182
Communication Et Marketing Responsables	9782100870219	9782100877485							https://shs.cairn.info/communication-et-marketing-responsables--9782100870219?lang=fr	Louise Amiot	communication-et-marketing-responsables--9782100870219		fulltext		Dunod	monograph	2024	2025	2e éd			Marketing / Communication		P	
Les Stratégies De Changement	9782100572304	9782100581283							https://shs.cairn.info/les-strategies-de-changement--9782100572304?lang=fr	David Autissier	les-strategies-de-changement--9782100572304		fulltext		Dunod	monograph	2012	2022				Stratégies et management		P	26808453X
Pour Une Économie De L'information	9782222044765	9782271106001							https://shs.cairn.info/pour-une-economie-de-l-information--9782222044765?lang=fr	Anne Mayère	pour-une-economie-de-l-information--9782222044765		fulltext		CNRS Éditions	monograph	1990	2018				Hors collection		P	230551289
Culture D'entreprise Et Innovation	9782876820685								https://shs.cairn.info/culture-d-entreprise-et-innovation--9782876820685?lang=fr	Philippe Jacques Bernard	culture-d-entreprise-et-innovation--9782876820685		fulltext		CNRS Éditions	monograph	1992	2018				Recherche et entreprises		P	23055010X
Sphères Privée Et Professionnelle	9782804142988	9782807349131							https://shs.cairn.info/spheres-privee-et-professionnelle--9782804142988?lang=fr	Évelyne Istace	spheres-privee-et-professionnelle--9782804142988		fulltext		De Boeck Supérieur	monograph	2004	2012				Économie, Société, Région		P	164721673
La Prise De Décision	9782100825035	9782100834860							https://shs.cairn.info/la-prise-de-decision--9782100825035?lang=fr	Flora Bernard	la-prise-de-decision--9782100825035		fulltext		Dunod	monograph	2021	2022				Les carnets Soft Skills		P	268090041
La Génération Y Et Le Luxe	9782100702442	9782100710768							https://shs.cairn.info/la-generation-y-et-le-luxe--9782100702442?lang=fr	Grégory Casper	la-generation-y-et-le-luxe--9782100702442		fulltext		Dunod	monograph	2014	2022				Fonctions de l'entreprise		P	268097003
Td Monnaie, Banque Et Finance	9782100745395	9782216167746							https://shs.cairn.info/td-monnaie-banque-et-finance--9782100745395?lang=fr	Sophie Brana	td-monnaie-banque-et-finance--9782100745395		fulltext		Dunod	monograph	2016	2022	5e éd.			TD		P	
Dcg 5 - Economie Contemporaine - Manuel	9782100850877	9782100858422							https://shs.cairn.info/dcg-5-economie-contemporaine--9782100850877?lang=fr	Sébastien Castaing	dcg-5-economie-contemporaine--9782100850877		fulltext		Dunod	monograph	2023	2023	3e éd.			Expert Sup		P	275585212
Les 5 Clés Pour Piloter Un Prestataire	9782100594221	9782100594238							https://shs.cairn.info/les-5-cles-pour-piloter-un-prestataire--9782100594221?lang=fr	 	les-5-cles-pour-piloter-un-prestataire--9782100594221		fulltext		Dunod	monograph	2013	2022				Les 5 clés		P	268083738
Mini Manuel De Contrôle De Gestion	9782100549382	9782200638115							https://shs.cairn.info/mini-manuel-de-controle-de-gestion--9782100549382?lang=fr	Bernard Augé	mini-manuel-de-controle-de-gestion--9782100549382		fulltext		Dunod	monograph	2011	2022				Mini Manuel		P	275588408
La Dissertation De Science Économique - 2e Éd.	9782100788828	9782100797516							https://shs.cairn.info/la-dissertation-de-science-economique--9782100788828?lang=fr	Alain Beitone	la-dissertation-de-science-economique--9782100788828		fulltext		Dunod	monograph	2019	2020	2e éd.			Éco Sup		P	238406318
Gouvernement D'entreprise	9782804147327	9782807352971							https://shs.cairn.info/gouvernement-d-entreprise--9782804147327?lang=fr	Alain Finet	gouvernement-d-entreprise--9782804147327		fulltext		De Boeck Supérieur	monograph	2005	2012				Management		P	159130514
Fluctuations Et Crises Économiques	9782200611521	9782200612917							https://shs.cairn.info/fluctuations-et-crises-economiques--9782200611521?lang=fr	Vincent Barou	fluctuations-et-crises-economiques--9782200611521		fulltext		Armand Colin	monograph	2015	2022				Cursus		P	268088756
Le Crowdfunding	9782807306783	9782807338975							https://shs.cairn.info/le-crowdfunding--9782807306783?lang=fr	Véronique Bessière	le-crowdfunding--9782807306783		fulltext		De Boeck Supérieur	monograph	2017	2021	2e éd.			Business school		P	260347620
Crises Financières Internationales Et Risque Systémique	9782804144012	9782807348981							https://shs.cairn.info/crises-financieres-internationales-et-risque--9782804144012?lang=fr	Jean-Marie Le Page	crises-financieres-internationales-et-risque--9782804144012		fulltext		De Boeck Supérieur	monograph	2003	2014				Questions d'économie et de gestion		P	182612023
L’impunité Fiscale	9782707182456	9782707188984							https://shs.cairn.info/l-iimpunite-fiscale--9782707182456?lang=fr	Alexis Spire	l-iimpunite-fiscale--9782707182456		fulltext		La Découverte	monograph	2015	2019				L'horizon des possibles		P	237595699
La Croissance Économique	9782200272036	9782200275853							https://shs.cairn.info/la-croissance-economique--9782200272036?lang=fr	Jean-Luc Gaffard	la-croissance-economique--9782200272036		fulltext		Armand Colin	monograph	2011	2022				Cursus		P	268081050
Pages Retrouvées	9782600041201								https://shs.cairn.info/pages-retrouvees--9782600041201?lang=fr	Vilfredo Pareto	pages-retrouvees--9782600041201		fulltext		Librairie Droz	monograph	1988	2015				Travaux de Sciences Sociales		P	186405138
Apprendre À Apprendre	9782100843541	9782100858798							https://shs.cairn.info/apprendre-a-apprendre--9782100843541?lang=fr	Florence Alincourt	apprendre-a-apprendre--9782100843541		fulltext		Dunod	monograph	2023	2023				Les carnets Soft Skills		P	275587541
Le Philosophe Et Le Manager	9782804149987	9782807352803							https://shs.cairn.info/le-philosophe-et-le-manager--9782804149987?lang=fr	Rodolphe De Borchgrave	le-philosophe-et-le-manager--9782804149987		fulltext		De Boeck Supérieur	monograph	2006	2012				Hors collection		P	159130476
Stratégie Bancaire Et Réglementation	9782100788965	9782100792344							https://shs.cairn.info/strategie-bancaire-et-reglementation--9782100788965?lang=fr	Camille Baudouin	strategie-bancaire-et-reglementation--9782100788965		fulltext		Dunod	monograph	2019	2022				Finance		P	268083312
Achats Publics	9782100865178	9782100877126							https://shs.cairn.info/achats-publics--9782100865178?lang=fr	Asli Sahin	achats-publics--9782100865178		fulltext		Dunod	monograph	2024	2025				Les fondamentaux business		P	
Macroéconomie	9782100855193	9782100861163							https://shs.cairn.info/macroeconomie--9782100855193?lang=fr	Éric Berr	macroeconomie--9782100855193		fulltext		Dunod	monograph	2023	2023	2e éd.			Éco Sup		P	275587975
La Communication Institutionnelle. Privé/public : Le Manuel Des Stratégies	9782130621355	9782130839415							https://shs.cairn.info/la-communication-institutionnelle-prive-public-le-manuel-des-strategies--9782130621355?lang=fr	Éric Giuily	la-communication-institutionnelle-prive-public-le-manuel-des-strategies--9782130621355		fulltext		Presses Universitaires de France	monograph	2013	2017				Quadrige		P	202883299
Théories Françaises De La Monnaie	9782130731474	9782130785408							https://shs.cairn.info/theories-francaises-de-la-monnaie--9782130731474?lang=fr	Pierre Alary	theories-francaises-de-la-monnaie--9782130731474		fulltext		Presses Universitaires de France	monograph	2016	2020				Hors collection		P	242686362
La Recherche Malade Du Management	9782759218691	9782759219919							https://shs.cairn.info/la-recherche-malade-du-management--9782759218691?lang=fr	Vincent De Gaulejac	la-recherche-malade-du-management--9782759218691		fulltext		Éditions Quæ	monograph	2012	2014				Sciences en questions		P	177316454
L’évaluation De La Durabilité	9782759219049								https://shs.cairn.info/l-evaluation-de-la-durabilite--9782759219049?lang=fr	Franck-Dominique Vivien	l-evaluation-de-la-durabilite--9782759219049		fulltext		Éditions Quæ	monograph	2013	2015				Indisciplines		P	17544630X
Toujours Plus D'inégalité	9789264119550								https://shs.cairn.info/toujours-plus-d-inegalite--9789264119550?lang=fr	 Organisation De Coopération Et De Développement Économiques (Ocde)	toujours-plus-d-inegalite--9789264119550		fulltext		Éditions de l'OCDE	monograph	2012	2022				Hors collection		P	268079129
Management De L'immobilier	9782311408829	9782311412666							https://shs.cairn.info/management-de-l-immobilier--9782311408829?lang=fr	Denis Burckel	management-de-l-immobilier--9782311408829		fulltext		Vuibert	monograph	2021	2023				Les spécialités du sup		P	275576825
Génération Z	9782311406023	9782311410433							https://shs.cairn.info/generation-z--9782311406023?lang=fr	Georges Lewi	generation-z--9782311406023		fulltext		Vuibert	monograph	2018	2022				Hors collection		P	275565351
Auteurs Et Grands Courants De La Pensée Économique	9782706122941	9782706145889							https://shs.cairn.info/auteurs-et-grands-courants-de-la-pensee-economique--9782706122941?lang=fr	Guillaume Vallet	auteurs-et-grands-courants-de-la-pensee-economique--9782706122941		fulltext		Presses universitaires de Grenoble	monograph	2020	2023				Économie en +		P	271507640
Évaluer La Formation Professionnelle	9782724614510	9782724614534							https://shs.cairn.info/evaluer-la-formation-professionnelle--9782724614510?lang=fr	Marc Ferracci	evaluer-la-formation-professionnelle--9782724614510		fulltext		Presses de Sciences Po	monograph	2013	2014				Sécuriser l'emploi		P	177316861
Les Nouveaux Prolétaires	9782845976740								https://shs.cairn.info/les-nouveaux-proletaires--9782845976740?lang=fr	Sarah Abdelnour	les-nouveaux-proletaires--9782845976740		fulltext		Éditions Textuel	monograph	2018	2025				Textuel Essais		P	284603031
Merchandising	9782311405057	9782311410228							https://shs.cairn.info/merchandising--9782311405057?lang=fr	Valérie Renaudin	merchandising--9782311405057		fulltext		Vuibert	monograph	2018	2022	8e éd.			Référence Management		P	275565815
Taisez-vous, On Vous Écoutera	9782259317887	9782259317894							https://shs.cairn.info/taisez-vous-on-vous-ecoutera--9782259317887?lang=fr	Amélie Blanckaert	taisez-vous-on-vous-ecoutera--9782259317887		fulltext		Plon	monograph	2024	2025				Hors collection		P	284594199
Les Batailles Du Commerce Mondial	9782130829119	9782130846062							https://shs.cairn.info/les-batailles-du-commerce-mondial--9782130829119?lang=fr	Ali Laïdi	les-batailles-du-commerce-mondial--9782130829119		fulltext		Presses Universitaires de France	monograph	2021	2022				Hors collection		P	268105111
Le Nouvel Horizon De La Productivité	9782738151292	9782738151315							https://shs.cairn.info/le-nouvel-horizon-de-la-productivite--9782738151292?lang=fr	Olivier Tirmarche	le-nouvel-horizon-de-la-productivite--9782738151292		fulltext		Odile Jacob	monograph	2020	2023				Hors collection		P	271505362
China Innovation Inc.	9782724612660								https://shs.cairn.info/china-innovation-inc--9782724612660?lang=fr	Romain Bironneau	china-innovation-inc--9782724612660		fulltext		Presses de Sciences Po	monograph	2012	2013				Académique		P	182312488
Mais Qui A Tué Bob ?	9782100797455	9782100812295							https://shs.cairn.info/mais-qui-a-tue-bob--9782100797455?lang=fr	Gaël Chatelain-Berry	mais-qui-a-tue-bob--9782100797455		fulltext		Dunod	monograph	2020	2021				Hors collection		P	250535416
Les Systèmes Socialistes	9782600040235								https://shs.cairn.info/les-systemes-socialistes--9782600040235?lang=fr	Vilfredo Pareto	les-systemes-socialistes--9782600040235		fulltext		Librairie Droz	monograph	1978	2015				Travaux de Sciences Sociales		P	
La Force Du Mental	9782100806447	9782100835591							https://shs.cairn.info/la-force-du-mental--9782100806447?lang=fr	Pier Gauthier	la-force-du-mental--9782100806447		fulltext		Dunod	monograph	2022	2022				Bien-être au travail		P	268090025
Guide Fiscal Et Social Du Créateur D'entreprise - 9e Éd.	9782100781478	9782100786442							https://droit.cairn.info/guide-fiscal-et-social-du-createur-d-entreprise--9782100781478?lang=fr	Véronique Chambaud	guide-fiscal-et-social-du-createur-d-entreprise--9782100781478		fulltext		Dunod	monograph	2018	2022	9e éd.			Entrepreneurs		P	26808047X
Nudge Et Marketing Social	9782100795857	9782100805099							https://shs.cairn.info/nudge-et-marketing-social--9782100795857?lang=fr	Patricia Gurviez	nudge-et-marketing-social--9782100795857		fulltext		Dunod	monograph	2019	2020				Marketing / Communication		P	242011071
Le Rôle Politique De La Fonction Rh	9782100818136	9782100829750							https://shs.cairn.info/le-role-politique-de-la-fonction-rh--9782100818136?lang=fr	Pascal Braun	le-role-politique-de-la-fonction-rh--9782100818136		fulltext		Dunod	monograph	2021	2022				Ressources humaines		P	268097046
Marque Employeur, Mode D'emploi	9782100819621	9782100835393							https://shs.cairn.info/marque-employeur-mode-d-emploi--9782100819621?lang=fr	Clara Epiphane	marque-employeur-mode-d-emploi--9782100819621		fulltext		Dunod	monograph	2021	2022				Ressources humaines		P	268098247
Comprendre Et Mettre En Oeuvre Le Contrôle Interne	9782100837519	9782100842292							https://shs.cairn.info/comprendre-et-mettre-en-oeuvre-le-controle-interne--9782100837519?lang=fr	Afef Khalil	comprendre-et-mettre-en-oeuvre-le-controle-interne--9782100837519		fulltext		Dunod	monograph	2022	2022				Hors collection		P	268104573
L’entrepreneur Au 21e Siècle	9782100572816	9782216170814							https://shs.cairn.info/l-entrepreneur-au-21e-siecle--9782100572816?lang=fr	Marie Gomez-Breysse	l-entrepreneur-au-21e-siecle--9782100572816		fulltext		Dunod	monograph	2012	2022				Stratégies et management		P	284612049
Mobilisez Vos Ressources Émotionnelles	9782100701131	9782100707799							https://shs.cairn.info/mobilisez-vos-ressources-emotionnelles--9782100701131?lang=fr	Joël Luzi	mobilisez-vos-ressources-emotionnelles--9782100701131		fulltext		Dunod	monograph	2014	2022				Entrepreneurs		P	268084254
Stratégie Et Management Du Voyage D'affaires	9782100724659	9782100740079							https://shs.cairn.info/strategie-et-management-du-voyage-d-affaires--9782100724659?lang=fr	 	strategie-et-management-du-voyage-d-affaires--9782100724659		fulltext		Dunod	monograph	2015	2022				Stratégies et management		P	284621544
Investir Intelligemment	9782804708795	9782804708801							https://shs.cairn.info/investir-intelligemment--9782804708795?lang=fr	Jean Walravens	investir-intelligemment--9782804708795		fulltext		Mardaga	monograph	2020	2021				Gestion, Entreprise, Finance		P	260526193
