publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
1940 «La guerre détraquée»	9782700703252	9782403011227							https://www.cairn.info/1940-la-guerre-detraquee--9782700703252.htm	Ragache	1940-la-guerre-detraquee--9782700703252		fulltext		Aubier (programme ReLIRE)	monograph	1983	2016				Floréal		P
Abbeville 1940	9782262007638	9782262056124							https://www.cairn.info/abbeville-1940--9782262007638.htm	de Wailly	abbeville-1940--9782262007638		fulltext		Éditions Perrin	monograph	1990	2016				Présence de l'histoire		P
Abd-el-Kader, sa vie politique et militaire	9782912946549	9782356760692							https://www.cairn.info/abd-el-kader-sa-vie-politique-et-militaire--9782912946549.htm	Bellemare	abd-el-kader-sa-vie-politique-et-militaire--9782912946549		fulltext		Editions Bouchène	monograph	2003	2015				Histoire du Maghreb		P
Adolf Eichmann	9791021007185	9791021002210							https://www.cairn.info/adolf-eichmann--9791021007185.htm	Cesarani	adolf-eichmann--9791021007185		fulltext		Tallandier	monograph	2014	2015				Texto		P
Algérie - El Djazaïr	9782707113351								https://www.cairn.info/algerie-el-djazair--9782707113351.htm	Frémont	algerie-el-djazair--9782707113351		fulltext		La Découverte	monograph	1982	2016				Hérodote		P
Algérie : culture et révolution	9782020045353	9782021251821							https://www.cairn.info/algerie-culture-et-revolution--9782020045353.htm	Étienne	algerie-culture-et-revolution--9782020045353		fulltext		Le Seuil (programme ReLIRE)	monograph	1977	2016				L'Histoire immédiate		P
Algérie : la libération inachevée	9782707124623	9782348018565							https://www.cairn.info/algerie-la-liberation-inachevee--9782707124623.htm	Hidouci	algerie-la-liberation-inachevee--9782707124623		fulltext		La Découverte	monograph	1995	2016				Cahiers libres		P
Altermarxisme	9782130564980	9782130640158							https://www.cairn.info/altermarxisme --9782130564980.htm	Bidet	altermarxisme --9782130564980		fulltext		Presses Universitaires de France	monograph	2007	2014				Quadrige		P
Américains et Barbaresques, (1776-1824)	9782912946409	9782356760913							https://www.cairn.info/americains-et-barbaresques-1776-1824--2912946409.htm	Dupuy	americains-et-barbaresques-1776-1824--2912946409		fulltext		Editions Bouchène	monograph	2002	2017				Histoire du Maghreb		P
Au cœur religieux de l'histoire	9782262003883	9782262055257							https://www.cairn.info/au-coeur-religieux-de-l-histoire--9782262003883.htm	Chaunu	au-coeur-religieux-de-l-histoire--9782262003883		fulltext		Éditions Perrin	monograph	1986	2017				Pour l'histoire		P
Au secours, Maréchal !	9782130619383								https://www.cairn.info/au-secours-marechal--9782130619383.htm	Le Crom	au-secours-marechal--9782130619383		fulltext		Presses Universitaires de France	monograph	2013	2017				Hors collection		P
Autobiographie ou mes expériences de vérité	9782130608264								https://www.cairn.info/autobiographie-ou-mes-experiences-de-verite--9782130608264.htm	Gandhi	autobiographie-ou-mes-experiences-de-verite--9782130608264		fulltext		Presses Universitaires de France	monograph	2012	2016				Quadrige		P
