publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
« Je cherche les traces de ma mère »	9782746707917								https://www.cairn.info/je-cherche-les-traces-de-ma-mere--9782746707917.htm	Piketty	je-cherche-les-traces-de-ma-mere--9782746707917		fulltext		Autrement	monograph	2006	2012				Passions complices		P	
Barbie, Touvier, Papon	9782746702639								https://www.cairn.info/barbie-touvier-papon--9782746702639.htm	Jean	barbie-touvier-papon--9782746702639		fulltext		Autrement	monograph	2002	2011				Mémoires/Histoire		P	
Camps de femmes	9782746700284								https://www.cairn.info/camps-de-femmes--9782746700284.htm	Gilzmer	camps-de-femmes--9782746700284		fulltext		Autrement	monograph	2000	2012				Mémoires/Histoire		P	
Ces officiers qui ont dit non à la torture	9782746707184								https://www.cairn.info/ces-officiers-qui-ont-dit-non-a-la-torture--9782746707184.htm	Jauffret	ces-officiers-qui-ont-dit-non-a-la-torture--9782746707184		fulltext		Autrement	monograph	2005	2012				Mémoires/Histoire		P	
Chrétiens du monde arabe	9782746703902								https://www.cairn.info/chretiens-du-monde-arabe--9782746703902.htm	Heyberger	chretiens-du-monde-arabe--9782746703902		fulltext		Autrement	monograph	2003	2011				Mémoires/Histoire		P	
Combats de femmes 1789-1799	9782746703971								https://www.cairn.info/combats-de-femmes-1789-1799--9782746703971.htm	Morin-Rotureau	combats-de-femmes-1789-1799--9782746703971		fulltext		Autrement	monograph	2003	2011				Mémoires/Histoire		P	
Combats de femmes 1914-1918	9782746705159								https://www.cairn.info/combats-de-femmes-1914-1918--9782746705159.htm	Morin-Rotureau	combats-de-femmes-1914-1918--9782746705159		fulltext		Autrement	monograph	2004	2011				Mémoires/Histoire		P	
Culture impériale 1931-1961	9782746704855								https://www.cairn.info/culture-imperiale--9782746704855.htm	Blanchard	culture-imperiale--9782746704855		fulltext		Autrement	monograph	2004	2011				Mémoires/Histoire		P	
Des hommes et des femmes en guerre d’Algérie	9782746704213								https://www.cairn.info/des-hommes-et-des-femmes-en-guerre-d-algerie--9782746704213.htm	Jauffret	des-hommes-et-des-femmes-en-guerre-d-algerie--9782746704213		fulltext		Autrement	monograph	2003	2012				Mémoires/Histoire		P	
Du phonographe au MP3	9782746711211								https://www.cairn.info/du-phonographe-au-mp3--9782746711211.htm	Tournès	du-phonographe-au-mp3--9782746711211		fulltext		Autrement	monograph	2008	2012				Mémoires/Culture		P	
Femmes musulmanes	9782746710122								https://www.cairn.info/femmes-musulmanes--9782746710122.htm	Sambron	femmes-musulmanes--9782746710122		fulltext		Autrement	monograph	2007	2013				Mémoires/Histoire		P	
La France en guerre 1954-1962	9782746711853								https://www.cairn.info/la-france-en-guerre-1954-1962--9782746711853.htm	Branche	la-france-en-guerre-1954-1962--9782746711853		fulltext		Autrement	monograph	2008	2012				Mémoires/Histoire		P	
La guerre civile russe (1917-1922)	9782746706248								https://www.cairn.info/la-guerre-civile-russe-1917-1922--9782746706248.htm	Marie	la-guerre-civile-russe-1917-1922--9782746706248		fulltext		Autrement	monograph	2005	2012				Mémoires/Histoire		P	
La Kabylie et les coutumes kabyles	9782356760753	9782356761057							https://www.cairn.info/la-kabylie-et-les-coutumes-kabyles-tome-1--2912946433.htm	Hanoteau	la-kabylie-et-les-coutumes-kabyles-tome-1--2912946433		fulltext		Éditions Bouchène	monograph	2003	2017				Intérieurs du Maghreb		P	197610072
La Kabylie et les coutumes kabyles	9782356760777	9782356761071							https://www.cairn.info/la-kabylie-et-les-coutumes-kabyles-tome-3--2912946433.htm	Hanoteau	la-kabylie-et-les-coutumes-kabyles-tome-3--2912946433		fulltext		Éditions Bouchène	monograph	2003	2016				Intérieurs du Maghreb		P	
La Kabylie et les coutumes kabyles	9782356760760	9782356761064							https://www.cairn.info/la-kabylie-et-les-coutumes-kabyles-tome-2--2912946433.htm	Hanoteau	la-kabylie-et-les-coutumes-kabyles-tome-2--2912946433		fulltext		Éditions Bouchène	monograph	2003	2017				Intérieurs du Maghreb		P	197610080
La mode des sixties	9782746710153								https://www.cairn.info/la-mode-des-sixties--9782746710153.htm	Veillon	la-mode-des-sixties--9782746710153		fulltext		Autrement	monograph	2007	2011				Mémoires/Histoire		P	
