publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Apprendre à aimer les mathématiques	9782130501879	9782130725367							https://www.cairn.info/apprendre-a-aimer-les-mathematiques --9782130501879.htm	Hatchuel	apprendre-a-aimer-les-mathematiques --9782130501879		fulltext		Presses Universitaires de France	monograph	2000	2016				Education et formation		P
La Beauté à la rencontre de l’éducation	9782343042312	9782336705316							https://www.cairn.info/la-beaute-a-la-rencontre de-l-education--9782343042312.htm	Toulet	la-beaute-a-la-rencontre de-l-education--9782343042312		fulltext		L'Harmattan	monograph	2014	2015				Éthique en contextes		P
La part de soi	9782913376861								https://www.cairn.info/La part de soi--9782913376861.htm	Contestin-Bertin	La part de soi--9782913376861		fulltext		Champ social	monograph	2006	2017				Accompagner-Partager		P
Les tisseurs de quotidien	9782749215921	9782749215938							https://www.cairn.info/les-tisseurs de quotidien--9782749215921.htm	Durual	les-tisseurs de quotidien--9782749215921		fulltext		ERES	monograph	2012	2012				Trames		P
Lexique de l’enseignement de l’éducation physique et sportive	9782130546153	9782130791058							https://www.cairn.info/lexique-de-l-enseignement-de-l-education-physique---9782130546153.htm	Lamotte	lexique-de-l-enseignement-de-l-education-physique---9782130546153		fulltext		Presses Universitaires de France	monograph	2005	2016				Pratiques physiques et société		P
Pour une didactique des discours universitaires	9782804136154	9782804178239							https://www.cairn.info/Pour une didactique des discours universitaires--9782804136154.htm	Pollet	Pour une didactique des discours universitaires--9782804136154		fulltext		De Boeck Supérieur	monograph	2001	2012				Pratiques pédagogiques		P
Pour une pédagogie de l'ouverture	9782130488682	9782130718390							https://www.cairn.info/pour une pedagogie de l ouverture--9782130488682.htm	Weisser	pour une pedagogie de l ouverture--9782130488682		fulltext		Presses Universitaires de France	monograph	1997	2016				Education et formation / L'Éducateur		P
Quelle éducation scientifique pour quelle société ?	9782130356417	9782130693154							https://www.cairn.info/quelle-education-scientifique-pour-quelle-societe --9782130356417.htm	Astolfi	quelle-education-scientifique-pour-quelle-societe --9782130356417		fulltext		Presses Universitaires de France	monograph	1978	2016				Education et formation / L'Éducateur		P
Quelles réformes pédagogiques pour l'enseignement supérieur ?	9782804169077	9782807304635							https://www.cairn.info/quelles-reformes-pedagogiques-pour-l-enseignement---9782804169077.htm	Roegiers	quelles-reformes-pedagogiques-pour-l-enseignement---9782804169077		fulltext		De Boeck Supérieur	monograph	2012	2014				Pédagogies en développement		P
Reconstruire l'alliance avec l'école, l'affaire de tous	9782749238470	9782749238487							https://www.cairn.info/reconstruire-l-alliance-avec-l-ecole-l-affaire-de---9782749238470.htm	François	reconstruire-l-alliance-avec-l-ecole-l-affaire-de---9782749238470		fulltext		ERES	monograph	2013	2014				Éducation et société		P
