publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
« Madame, je veux apprendre à lire ! »	9782749208725	9782749221434							https://www.cairn.info/madame-je-veux-apprendre-a-lire--9782749208725.htm	Colet	madame-je-veux-apprendre-a-lire--9782749208725		fulltext		Érès	monograph	2008	2012				Trames		P	
À l'école de la littérature	9782708229495	9782708248762							https://www.cairn.info/a-l-ecole-de-la-litterature--9782708229495.htm	Marcoin	a-l-ecole-de-la-litterature--9782708229495		fulltext		Éditions de l'Atelier (programme ReLIRE)	monograph	1992	2018				Apprendre - Comprendre		P	232645698
À l'école des compétences	9782707175410	9782348044724							https://www.cairn.info/a-l-ecole-des-competences--9782707175410.htm	del Rey	a-l-ecole-des-competences--9782707175410		fulltext		La Découverte	monograph	2013	2019				Poche / Essais		P	
À l'école des dyslexiques	9782707169839	9782707174017							https://www.cairn.info/a-l-ecole-des-dyslexiques--9782707169839.htm	Garcia	a-l-ecole-des-dyslexiques--9782707169839		fulltext		La Découverte	monograph	2013	2019				Sciences humaines		P	236464353
À qui profite la formation continue des enseignants ?	9782804190972	9782807316614							https://www.cairn.info/a-qui-profite-la-formation-continue-des-enseignant--9782804190972.htm	Maulini	a-qui-profite-la-formation-continue-des-enseignant--9782804190972		fulltext		De Boeck Supérieur	monograph	2015	2017				Perspectives en éducation et formation		P	220186154
Accompagner des ados en rupture scolaire	9782804169084	9782807304642							https://www.cairn.info/accompagner-des-ados-en-rupture-scolaire--9782804169084.htm	Roubaud	accompagner-des-ados-en-rupture-scolaire--9782804169084		fulltext		De Boeck Supérieur	monograph	2012	2014				Comprendre		P	192319728
Accompagner des étudiants	9782804133313	9782804173777							https://www.cairn.info/accompagner-des-etudiants--9782804133313.htm	Raucent	accompagner-des-etudiants--9782804133313		fulltext		De Boeck Supérieur	monograph	2010	2013				Pédagogies en développement		P	159130603
Accompagner la personne en formation	9782100599165								https://www.cairn.info/accompagner-la-personne-en-formation--9782100599165.htm	Serreau	accompagner-la-personne-en-formation--9782100599165		fulltext		Dunod	monograph	2013	2016				Psycho Sup		P	
Accompagner les parents d'enfants tyranniques	9782100767588	9782100771189							https://www.cairn.info/accompagner-les parents-d-enfants-tyranniques--9782100767588.htm	Franc	accompagner-les parents-d-enfants-tyranniques--9782100767588		fulltext		Dunod	monograph	2017	2020				Les Ateliers du praticien		P	250702304
Accueil de la petite enfance : comprendre pour agir	9782749240732	9782749240749							https://www.cairn.info/accueil-de-la-petite-enfance-comprendre-pour-agir--9782749240732.htm	Meyer	accueil-de-la-petite-enfance-comprendre-pour-agir--9782749240732		fulltext		Érès	monograph	2014	2014				1001 bébés		P	182611213
Adolescents et difficultés scolaires	9782804702137	9782804702441							https://www.cairn.info/adolescents-et-difficultes-scolaires--9782804702137.htm	Henrion	adolescents-et-difficultes-scolaires--9782804702137		fulltext		Mardaga	monograph	2014	2015				PSY-Évaluation, mesure, diagnostic		P	185961746
Alternances en formation	9782804155278	9782804173326							https://www.cairn.info/alternances-en-formation--9782804155278.htm	Merhan	alternances-en-formation--9782804155278		fulltext		De Boeck Supérieur	monograph	2007	2010				Raisons éducatives		P	151453195
Analyse de pratiques pédagogiques	9782844449672	9791027502479							https://www.cairn.info/analyse-de-pratiques-pedagogiques--9782844449672.htm	Fabre	analyse-de-pratiques-pedagogiques--9782844449672		fulltext		Éducagri éditions	monograph	2014	2020				Transversales		P	252459024
Analyse du travail et formation dans les métiers de l'éducation	9782804194079	9782807316591							https://www.cairn.info/analyse-du-travail-et-formation-dans-les-metiers--9782804194079.htm	Lussi Borer	analyse-du-travail-et-formation-dans-les-metiers--9782804194079		fulltext		De Boeck Supérieur	monograph	2015	2017				Raisons éducatives		P	225760584
Analyser une action d’éducation ou de formation	9782804156602	9782804180010							https://www.cairn.info/analyser-une-action-d-education-ou-de-formation--9782804156602.htm	Roegiers	analyser-une-action-d-education-ou-de-formation--9782804156602		fulltext		De Boeck Supérieur	monograph	2007	2012				Pédagogies en développement		P	
Analyses des objets enseignés	9782804152437	9782804173883							https://www.cairn.info/analyses-des-objets-enseignes--9782804152437.htm	Schneuwly	analyses-des-objets-enseignes--9782804152437		fulltext		De Boeck Supérieur	monograph	2006	2010				Perspectives en éducation et formation		P	151453349
Apprendre	9782361062057	9782361062002							https://www.cairn.info/apprendre--9782361062057.htm	Bedin	apprendre--9782361062057		fulltext		Éditions Sciences Humaines	monograph	2014	2019				Petite bibliothèque		P	240749529
Apprendre à aimer les mathématiques	9782130501879	9782130687863							https://www.cairn.info/apprendre-a-aimer-les-mathematiques--9782130501879.htm	Hatchuel	apprendre-a-aimer-les-mathematiques--9782130501879		fulltext		Presses Universitaires de France	monograph	2000	2016				Education et formation		P	
Apprendre à apprendre avec la PNL	9782804154141	9782804179847							https://www.cairn.info/apprendre-a-apprendre-avec-la-pnl--9782804154141.htm	Thiry	apprendre-a-apprendre-avec-la-pnl--9782804154141		fulltext		De Boeck Supérieur	monograph	2007	2012				Pratiques pédagogiques		P	
Apprendre à deux	9782130487081	9782130680925							https://www.cairn.info/apprendre-a-deux--9782130487081.htm	Baudrit	apprendre-a-deux--9782130487081		fulltext		Presses Universitaires de France	monograph	1997	2016				Education et formation / L'Éducateur		P	
Apprendre à enseigner	9782130618966								https://www.cairn.info/apprendre-a-enseigner--9782130618966.htm	Lussi Borer	apprendre-a-enseigner--9782130618966		fulltext		Presses Universitaires de France	monograph	2016	2020				Apprendre		P	
Apprendre à lire des textes aux enfants	9782804131074	9782804179748							https://www.cairn.info/apprendre-a-lire-des-textes-aux-enfants--9782804131074.htm	Fabre-Cols	apprendre-a-lire-des-textes-aux-enfants--9782804131074		fulltext		De Boeck Supérieur	monograph	2000	2014				Savoirs en Pratique		P	
Apprendre à l’université	9782804194178	9782807316669							https://www.cairn.info/apprendre-a-l-universite--9782804194178.htm	Paivandi	apprendre-a-l-universite--9782804194178		fulltext		De Boeck Supérieur	monograph	2015	2017				Pédagogies en développement		P	220196435
Apprendre à philosopher par la discussion	9782804155230	9782804173890							https://www.cairn.info/apprendre-a-philosopher-par-la-discussion--9782804155230.htm	Tozzi	apprendre-a-philosopher-par-la-discussion--9782804155230		fulltext		De Boeck Supérieur	monograph	2007	2010				Perspectives en éducation et formation		P	151453365
Apprendre au travail	9782130588948	9782130741800							https://www.cairn.info/apprendre-au-travail--9782130588948.htm	Bourgeois	apprendre-au-travail--9782130588948		fulltext		Presses Universitaires de France	monograph	2012	2015				Apprendre		P	189211423
Apprendre avec les technologies	9782130575306	9782130740490							https://www.cairn.info/apprendre-avec-les-technologies--9782130575306.htm	Charlier	apprendre-avec-les-technologies--9782130575306		fulltext		Presses Universitaires de France	monograph	2010	2015				Apprendre		P	185961770
Apprendre de la vie quotidienne	9782130572077	9782130740155							https://www.cairn.info/apprendre-de-la-vie-quotidienne--9782130572077.htm		apprendre-de-la-vie-quotidienne--9782130572077		fulltext		Presses Universitaires de France	monograph	2009	2015				Apprendre		P	185961789
Apprendre et faire apprendre	9782130583912	9782130641810							https://www.cairn.info/apprendre-et-faire-apprendre--9782130583912.htm	Bourgeois	apprendre-et-faire-apprendre--9782130583912		fulltext		Presses Universitaires de France	monograph	2011	2015				Apprendre		P	184514592
Apprendre pour transmettre	9782130619482	9782130809616							https://www.cairn.info/apprendre-pour-transmettre--9782130619482.htm	Rastier	apprendre-pour-transmettre--9782130619482		fulltext		Presses Universitaires de France	monograph	2013	2017				Souffrance et théorie		P	
Apprentissage de la lecture et développement de la pensée logique	9782130445180	9782130668374							https://www.cairn.info/apprentissage-de-la-lecture-et-developpement-de-la--9782130445180.htm	Charpentier	apprentissage-de-la-lecture-et-developpement-de-la--9782130445180		fulltext		Presses Universitaires de France	monograph	1992	2016				Education et formation / L'Éducateur		P	
Apprentissage d'une langue étrangère/seconde. Vol. 1	9782804126186	9782804173760							https://www.cairn.info/apprentissage-d-une-langue-etrangere-1--9782804126186.htm	De Man-De Vriendt	apprentissage-d-une-langue-etrangere-1--9782804126186		fulltext		De Boeck Supérieur	monograph	2000	2010				Pédagogies en développement		P	151453403
Apprentissage d'une langue étrangère/seconde. Vol. 2	9782804134921	9782804173784							https://www.cairn.info/apprentissage-d-une-langue-etrangere-seconde-2--9782804134921.htm	Renard	apprentissage-d-une-langue-etrangere-seconde-2--9782804134921		fulltext		De Boeck Supérieur	monograph	2002	2010				Pédagogies en développement		P	151453292
Apprentissage d'une langue étrangère/seconde. Vol. 3	9782804142773	9782804173791							https://www.cairn.info/apprentissage-d-une-langue-etrangere-seconde-3--9782804142773.htm	Rivenc	apprentissage-d-une-langue-etrangere-seconde-3--9782804142773		fulltext		De Boeck Supérieur	monograph	2003	2010				Pédagogies en développement		P	151453314
Apprentissage d'une langue étrangère/seconde. Vol. 4	9782804143794	9782804173807							https://www.cairn.info/apprentissage-d-une-langue-etrangere-4--9782804143794.htm		apprentissage-d-une-langue-etrangere-4--9782804143794		fulltext		De Boeck Supérieur	monograph	2005	2010				Pédagogies en développement		P	151452601
Apprentissage et formation des adultes	9782130550259	9782130738770							https://www.cairn.info/apprentissage-et-formation-des-adultes--9782130550259.htm	Bourgeois	apprentissage-et-formation-des-adultes--9782130550259		fulltext		Presses Universitaires de France	monograph	2005	2015		3e éd.		Education et formation		P	
Apprivoiser l’épistémologie	9782804138394	9782804173906							https://www.cairn.info/apprivoiser-l-epistemologie--9782804138394.htm	Fourez	apprivoiser-l-epistemologie--9782804138394		fulltext		De Boeck Supérieur	monograph	2002	2010				Perspectives en éducation et formation		P	151453020
Approche par compétences et réduction des inégalités d'apprentissage entre élèves	9782804168711	9782807304574							https://www.cairn.info/approche-par-competences-et-reduction-des-inegalit--9782804168711.htm	Beckers	approche-par-competences-et-reduction-des-inegalit--9782804168711		fulltext		De Boeck Supérieur	monograph	2012	2014				Pédagogies en développement		P	198720297
Après Vygotski et Piaget	9782804106683	9782804179427							https://www.cairn.info/apres-vygotski-et-piaget--9782804106683.htm	Garnier	apres-vygotski-et-piaget--9782804106683		fulltext		De Boeck Supérieur	monograph	2009	2011				Pédagogies en développement		P	
Argumenter en racontant	9782804146764	9782804180119							https://www.cairn.info/argumenter-en-racontant--9782804146764.htm	Rabatel	argumenter-en-racontant--9782804146764		fulltext		De Boeck Supérieur	monograph	2004	2012				Savoirs en Pratique		P	
Aristote et l'éducation	9782130493792	9782130682561							https://www.cairn.info/aristote-et-l-education--9782130493792.htm	Hourdakis	aristote-et-l-education--9782130493792		fulltext		Presses Universitaires de France	monograph	1998	2020				Education et formation		P	24267951X
