publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Le Droit Des Contrats Spéciaux En Schémas	9782340048089	9782340054899							https://droit.cairn.info/le-droit-des-contrats-speciaux-en-schemas--9782340048089?lang=fr	 	le-droit-des-contrats-speciaux-en-schemas--9782340048089		fulltext		Ellipses	monograph	2021	2025				Le droit en schémas		P	
The Future Of Transnational Law / L’avenir Du Droit Transnational	9782802744689								https://droit.cairn.info/the-future-of-transnational-law-l-avenir-du-droit-transnational--9782802744689?lang=fr	Francis Snyder	the-future-of-transnational-law-l-avenir-du-droit-transnational--9782802744689		fulltext		Bruylant	monograph	2024	2024				Travaux de droit international et européen		P	284622427
Dictionnaire Comparé Du Droit Du Patrimoine Culturel	9782271073860	9782271156884							https://droit.cairn.info/dictionnaire-compare-du-droit-du-patrimoine-culturel--9782271073860?lang=fr	Marie Cornu	dictionnaire-compare-du-droit-du-patrimoine-culturel--9782271073860		fulltext		CNRS Éditions	monograph	2012	2024				Dictionnaires		P	284609463
Droit Anglais Et Droit Américain	9782200270308	9782200275655							https://droit.cairn.info/droit-anglais-et-droit-americain--9782200270308?lang=fr	Marion Charret-Del Bove	droit-anglais-et-droit-americain--9782200270308		fulltext		Armand Colin	monograph	2011	2024				Cursus		P	284609676
Le Serment	9782365171366								https://droit.cairn.info/le-serment--9782365171366?lang=fr	Julien Boudon	le-serment--9782365171366		fulltext		Société de législation comparée	monograph	2023	2024				Colloques		P	284616133
Initiation À L'achat Public Performant Et Durable	9782281134995								https://droit.cairn.info/initiation-a-l-achat-public-performant-et-durable--9782281134995?lang=fr	Lucile Henriques	initiation-a-l-achat-public-performant-et-durable--9782281134995		fulltext		Le Moniteur	monograph	2022	2024				Hors collection		P	284612111
Les Modèles Juridiques. Histoire, Usages Et Théorie	9782365171359								https://droit.cairn.info/les-modeles-juridiques--9782365171359?lang=fr	Sylvain Soleil	les-modeles-juridiques--9782365171359		fulltext		Société de législation comparée	monograph	2023	2024				Canevas		P	284617210
Commentaire Annoté De La Convention Belgo-luxembourgeoise Préventive De La Double Imposition	9782919814510								https://droit.cairn.info/commentaire-annote-de-la-convention-belgo-luxembourgeoise-preventive-de-la-double-imposition--9782919814510?lang=fr	 	commentaire-annote-de-la-convention-belgo-luxembourgeoise-preventive-de-la-double-imposition--9782919814510		fulltext		Legitech	monograph	2022	2025				Fiscalité transfrontalière		P	
Droit Processuel Européen	9782919826230								https://droit.cairn.info/droit-processuel-europeen-2e-edition--9782919826230?lang=fr	Jean-Luc Sauron	droit-processuel-europeen-2e-edition--9782919826230		fulltext		Legitech	monograph	2025	2025	2e éd.			Hors collection		P	
Guide Pratique Du Bail Commercial	9782281132465								https://droit.cairn.info/guide-pratique-du-bail-commercial--9782281132465?lang=fr	 L’association Des Directeurs Immobiliers (Adi)	guide-pratique-du-bail-commercial--9782281132465		fulltext		Le Moniteur	monograph	2016	2024				Hors collection		P	284611689
