publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
On nous aurait menti ?	9782807350373	9782807360211							https://www.cairn.info/on-nous-aurait-menti--9782807350373.htm	Krivine	on-nous-aurait-menti--9782807350373		fulltext		De Boeck Supérieur	monograph	2022	2023				Culture scientifique		P	275584909
Perspectives pour la formation des maîtres en Francophonie	9782080268860	9782080277381							https://www.cairn.info/perspectives-pour-la-formation-des-maitres-en-fran--9782080268860.htm	Depover	perspectives-pour-la-formation-des-maitres-en-fran--9782080268860		fulltext		Autrement	monograph	2021	2022				Essais – Documents		P	268098980
En marge	9782348033162	9782348033179							https://www.cairn.info/en-marge---9782348033162.htm	Ertel	en-marge---9782348033162		fulltext		La Découverte	monograph	1971	2024				Cahiers libres		P	
La Riposte	9782746747579	9782746751897							https://www.cairn.info/la-riposte--9782746747579.htm	Meirieu	la-riposte--9782746747579		fulltext		Autrement	monograph	2018	2021				Essais – Documents		P	26052347X
La boîte à outils de l'intelligence collective	9782100806621	9782100819201							https://www.cairn.info/la-boite-a-outils-de-l-intelligence-collective--9782100806621.htm	Arnaud	la-boite-a-outils-de-l-intelligence-collective--9782100806621		fulltext		Dunod	monograph	2021	2021		2e éd.		BàO La Boîte à Outils		P	260526797
Maîtriser les techniques rédactionnelles	9782100854646								https://www.cairn.info/maitriser-les-techniques-redactionnelles-2e-ed---9782100854646.htm	Bailly	maitriser-les-techniques-redactionnelles-2e-ed---9782100854646		fulltext		Dunod	monograph	2023	2024		2e éditio		Marketing / Communication		P	
Toute la fonction commerciale	9782100578566	9782100584239							https://www.cairn.info/toute-la-fonction-commerciale---9782100578566.htm	Blanc	toute-la-fonction-commerciale---9782100578566		fulltext		Dunod	monograph	2012	2022		2e éd.		Toute la fonction		P	17027196X
Histoire des faits économiques	9782100833740								https://www.cairn.info/maxi-fiches-histoire-des-faits-economiques-4e-ed---9782100833740.htm	Blancheton	maxi-fiches-histoire-des-faits-economiques-4e-ed---9782100833740		fulltext		Dunod	monograph	2022	2024		4e éditio		Maxi Fiches		P	
Relations internationales	9782200634698								https://www.cairn.info/relations-internationales-2e-ed---9782200634698.htm	Alles	relations-internationales-2e-ed---9782200634698		fulltext		Armand Colin	monograph	2023	2024				Portail		P	
La communication politique	9782200602475	9782200613716							https://www.cairn.info/la-l communication-politique--9782200602475.htm	Gerstlé	la-l communication-politique--9782200602475		fulltext		Armand Colin	monograph	2016	2020				Collection U		P	242682375
Dessine-moi la compta	9782100856428								https://www.cairn.info/dessine-moi-la-compta-2e-ed---9782100856428.htm	de Kerviler	dessine-moi-la-compta-2e-ed---9782100856428		fulltext		Dunod	monograph	2023	2024		2e. éd		Hors collection		P	
DCG 6. Finance d'entreprise	9782100836840								https://www.cairn.info/dcg-6-finance-d-entreprise--9782100836840.htm	Delahaye-Duprat	dcg-6-finance-d-entreprise--9782100836840		fulltext		Dunod	monograph	2022	2022		3e éd.		Expert Sup		P	
Ces décideurs qui méditent et s'engagent	9782100701117	9782100711994							https://www.cairn.info/ces-decideurs-qui-meditent-et-s-engagent--9782100701117.htm	Henry	ces-decideurs-qui-meditent-et-s-engagent--9782100701117		fulltext		Dunod	monograph	2014	2022				Stratégies et management		P	268093466
