publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Introduction Aux Réseaux Neuronaux	9782804137960	9782807344563							https://stm.cairn.info/introduction-aux-reseaux-neuronaux--9782804137960?lang=fr	Armand Savioz	introduction-aux-reseaux-neuronaux--9782804137960		fulltext		De Boeck Supérieur	monograph	2010	2022				Neurosciences & cognition		P	284612480
Micronutrition Et Fibromyalgie	9782807306882	9782807338593							https://stm.cairn.info/micronutrition-et-fibromyalgie--9782807306882?lang=fr	Denis Riché	micronutrition-et-fibromyalgie--9782807306882		fulltext		De Boeck Supérieur	monograph	2017	2022	2e éd.			Hors collection Paramédical		P	284618934
Plan De Continuité D'activité Et Système D'information -2e Éd.	9782100532667	9782100548309							https://stm.cairn.info/plan-de-continuite-d-activite-et-systeme-d-informa--9782100532667?lang=fr	Matthieu Bennasar	plan-de-continuite-d-activite-et-systeme-d-informa--9782100532667		fulltext		Dunod	monograph	2010	2022	2e éditio			InfoPro		P	284620157
50 Clés Pour Comprendre La Physique Quantique	9782100746743	9782100757275							https://stm.cairn.info/50-cles-pour-comprendre-la-physique-quantique--9782100746743?lang=fr	Joanne Baker	50-cles-pour-comprendre-la-physique-quantique--9782100746743		fulltext		Dunod	monograph	2017	2023				50 clés pour comprendre		P	
Sketchup - Guide Pratique - 4e Éd.	9782100801299	9782100803095							https://stm.cairn.info/sketchup--9782100801299?lang=fr	Laurent Brixius	sketchup--9782100801299		fulltext		Dunod	monograph	2020	2022	4e éditio			Hors collection		P	284621927
Science Et Génie Des Matériaux	9782100791576	9782100791798							https://stm.cairn.info/science-et-genie-des-materiaux--9782100791576?lang=fr	Michel Dupeux	science-et-genie-des-materiaux--9782100791576		fulltext		Dunod	monograph	2018	2022	4e éd.			Aide-mémoire de l'ingénieur		P	
Chimie Et Physico-chimie Des Polymères	9782100819478	9782100835485							https://stm.cairn.info/chimie-et-physico-chimie-des-polymeres--9782100819478?lang=fr	Michel Fontanille	chimie-et-physico-chimie-des-polymeres--9782100819478		fulltext		Dunod	monograph	2021	2022	4e éd.			Sciences Sup		P	284608076
Permaculture	9782330034344	9782330058975							https://stm.cairn.info/permaculture--9782330034344?lang=fr	Charles Hervé-Gruyer	permaculture--9782330034344		fulltext		Actes Sud	monograph	2015	2025				Domaine du Possible		P	284596469
La Théorie Des Groupes En Chimie	9782807307438	9782807342132							https://stm.cairn.info/la-theorie-des-groupes-en-chimie--9782807307438?lang=fr	François Volatron	la-theorie-des-groupes-en-chimie--9782807307438		fulltext		De Boeck Supérieur	monograph	2017	2022				LMD Chimie		P	284615056
Cerveau, Posture Et Mouvement	9782807329461	9782807344266							https://stm.cairn.info/cerveau-posture-et-mouvement--9782807329461?lang=fr	Thierry Paillard	cerveau-posture-et-mouvement--9782807329461		fulltext		De Boeck Supérieur	monograph	2021	2022				Hors collection Sports		P	
Génétique Moléculaire	9782804155551	9782807367340							https://stm.cairn.info/genetique-moleculaire--9782804155551?lang=fr	Rachel Vincent	genetique-moleculaire--9782804155551		fulltext		De Boeck Supérieur	monograph	2007	2024				MémentoSciences		P	284595136
Génie Chimique Et Des Procédés - 1re Année	9782100788934	9782100797769							https://stm.cairn.info/genie-chimique-et-des-procedes--9782100788934?lang=fr	Johanne Bonnin	genie-chimique-et-des-procedes--9782100788934		fulltext		Dunod	monograph	2019	2024				Sciences Sup		P	284611182
Mécanique	9782100802258	9782100816545							https://stm.cairn.info/mecanique--9782100802258?lang=fr	Christophe Cappe	mecanique--9782100802258		fulltext		Dunod	monograph	2020	2023				Fluoresciences		P	284618438
La Pile À Combustible - 2e Éd.	9782100570577	9782100575213							https://stm.cairn.info/la-pile-a-combustible--9782100570577?lang=fr	Méziane Boudellal	la-pile-a-combustible--9782100570577		fulltext		Dunod	monograph	2012	2022				Technique et ingénierie		P	284614599
Formulaire De Biologie, Chimie, Physique, Mathématiques	9782100556120	9782100568604							https://stm.cairn.info/formulaire-biologie-chimie-physique-mathematiques--9782100556120?lang=fr	Fabien Cézard	formulaire-biologie-chimie-physique-mathematiques--9782100556120		fulltext		Dunod	monograph	2011	2023				Sciences Sup		P	284611018
Hydrogéologie Appliquée	9782100794348	9782100818907							https://stm.cairn.info/hydrogeologie-appliquee--9782100794348?lang=fr	Alain Dassargues	hydrogeologie-appliquee--9782100794348		fulltext		Dunod	monograph	2020	2022				Technique et ingénierie		P	284611891
Alterscience	9782738128874	9782738177780							https://stm.cairn.info/alterscience--9782738128874?lang=fr	Alexandre Moatti	alterscience--9782738128874		fulltext		Odile Jacob	monograph	2013	2022				Hors collection		P	284606413
Avni	9782738108302	9782738170095							https://stm.cairn.info/avni--9782738108302?lang=fr	Jean-Pierre Pharabod	avni--9782738108302		fulltext		Odile Jacob	monograph	2000	2022				Hors collection		P	284607053
Les Horloges Du Vivant	9782738123459	9782738197054							https://stm.cairn.info/les-horloges-du-vivant--9782738123459?lang=fr	André Klarsfeld	les-horloges-du-vivant--9782738123459		fulltext		Odile Jacob	monograph	2009	2022				Hors collection		P	284617008
Le Renouvellement De L'observation Dans Les Sciences	9782738111944								https://stm.cairn.info/le-renouvellement-de-l-observation-dans-les-scienc--9782738111944?lang=fr	Yves Michaud	le-renouvellement-de-l-observation-dans-les-scienc--9782738111944		fulltext		Odile Jacob	monograph	2006	2022				Université de tous les savoirs		P	284616001
Cerveau Sur Mesure	9782738127099	9782738181947							https://stm.cairn.info/cerveau-sur-mesure--9782738127099?lang=fr	Jean-Didier Vincent	cerveau-sur-mesure--9782738127099		fulltext		Odile Jacob	monograph	2012	2022				Hors collection		P	284607835
Univers Exploré, Peu À Peu Expliqué	9782738111883	9782738171047							https://stm.cairn.info/univers-explore-peu-a-peu-explique--9782738111883?lang=fr	Jean-Claude Pecker	univers-explore-peu-a-peu-explique--9782738111883		fulltext		Odile Jacob	monograph	2003	2022				Hors collection		P	284623490
Hasard Et Chaos	9782738101334	9782738173935							https://stm.cairn.info/hasard-et-chaos--9782738101334?lang=fr	David Ruelle	hasard-et-chaos--9782738101334		fulltext		Odile Jacob	monograph	1991	2022				Hors collection		P	284611700
Le Sang Des Fleurs	9782738114884	9782738186386							https://stm.cairn.info/le-sang-des-fleurs--9782738114884?lang=fr	Gilles Tétart	le-sang-des-fleurs--9782738114884		fulltext		Odile Jacob	monograph	2004	2022				Hors collection		P	284616052
Les Théories Meurent Aussi	9782738120892	9782738193247							https://stm.cairn.info/les-theories-meurent-aussi--9782738120892?lang=fr	Bernard Diu	les-theories-meurent-aussi--9782738120892		fulltext		Odile Jacob	monograph	2008	2022				Hors collection		P	284617571
