publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Adolescence et troubles du comportement en institution	9782100553693	9782100559398							https://www.cairn.info/adolescence et troubles-du-comportement--9782100553693.htm	Wacjman	adolescence et troubles-du-comportement--9782100553693		fulltext		Dunod	monograph	2011	2016				Enfances		P
Alexandre Kojève	9782130553700	9782130738978							https://www.cairn.info/alexandre-kojeve --9782130553700.htm	Pirotte	alexandre-kojeve --9782130553700		fulltext		Presses Universitaires de France	monograph	2005	2015				Philosophie d'aujourd'hui		P
Amour maternel ou sublimation de femmes	9782749216409	9782749216416							https://www.cairn.info/amour-maternel-ou-sublimation-de femmes--9782749216409.htm	Cammaréri	amour-maternel-ou-sublimation-de femmes--9782749216409		fulltext		ERES	monograph	2012	2013				Enfance & parentalité		P
Anna Freud	9782130483335	9782130749585							https://www.cairn.info/Anna Freud--9782130483335.htm	Yorke	Anna Freud--9782130483335		fulltext		Presses Universitaires de France	monograph	1997	2016				Psychanalystes d'aujourd'hui		P
Approches familiales des troubles du comportement alimentaire de l'enfant et de l'adolescent	9782749240138	9782749240145							https://www.cairn.info/approches-familiales-des-troubles-du-comportement---9782749240138.htm	Cook-Darzens	approches-familiales-des-troubles-du-comportement---9782749240138		fulltext		ERES	monograph	2014	2014				Relations		P
Attachement et perte	9782130529224	9782130639435							https://www.cairn.info/attachement-et-perte-1--9782130529224.htm	Bowlby	attachement-et-perte-1--9782130529224		fulltext		Presses Universitaires de France	monograph	2002	2015		5e éd.		Le fil rouge		P
Autisme infantile	9782130392422	9782130698951							https://www.cairn.info/autisme-infantile --9782130392422.htm	Leboyer	autisme-infantile --9782130392422		fulltext		Presses Universitaires de France	monograph	1985	2016				Psychiatrie ouverte		P
Construire un monde	9782603023396								https://www.cairn.info/construire-un-monde--9782603023396.htm	Gollut	construire-un-monde--9782603023396		fulltext		Delachaux et Niestlé (programme ReLIRE)	monograph	2000	2016				Sciences des discours		P
Court traité du design	9782130627395	9782130642169							https://www.cairn.info/court-traite-du-design --9782130627395.htm	Vial	court-traite-du-design --9782130627395		fulltext		Presses Universitaires de France	monograph	2010	2015				Quadrige		P
De l'enfant à l'adulte	9782130359425	9782130693673							https://www.cairn.info/de-l-enfant-a-l-adulte --9782130359425.htm	Amado	de-l-enfant-a-l-adulte --9782130359425		fulltext		Presses Universitaires de France	monograph	1979	2016				Le fil rouge		P
Ecrits de Schopenhauer	9782130523543	9782130638377							https://www.cairn.info/ecrits-de-schopenhauer--9782130523543.htm	Rosset	ecrits-de-schopenhauer--9782130523543		fulltext		Presses Universitaires de France	monograph	2001	2014				Perspectives critiques		P
Elaborer un projet d'établissement ou de service	9782100575633	9782100583355							https://www.cairn.info/elaborer-un projet-d-etablissement-ou-de-service--9782100575633.htm	Loubat	elaborer-un projet-d-etablissement-ou-de-service--9782100575633		fulltext		Dunod	monograph	2012	2016				Santé Social		P
Eugenio Gaddini	9782130502241	9782130790617							https://www.cairn.info/eugenio-gaddini --9782130502241.htm	Lambertucci Mann	eugenio-gaddini --9782130502241		fulltext		Presses Universitaires de France	monograph	1999	2016				Psychanalystes d'aujourd'hui		P
Fables de la personne	9782130388296	9782130698845							https://www.cairn.info/fables-de-la-personne --9782130388296.htm	Benrekassa	fables-de-la-personne --9782130388296		fulltext		Presses Universitaires de France	monograph	1985	2016				Écriture		P
Freud et la question des origines	9782804156718	9782804180249							https://www.cairn.info/freud-et-la question-des-origines--9782804156718.htm	Balestrière	freud-et-la question-des-origines--9782804156718		fulltext		De Boeck Supérieur	monograph	2008	2011		3e éd.		Oxalis		P
Guide de l'évaluation en action sociale et médico-sociale	9782100545506	9782100554577							https://www.cairn.info/guide-de-l-evaluation-en-action-sociale-et-medico---9782100545506.htm	Gacoin	guide-de-l-evaluation-en-action-sociale-et-medico---9782100545506		fulltext		Dunod	monograph	2010	2016				Guides Santé Social		P
Heidegger et Platon : le problème du nihilisme	9782130399292	9782130700807							https://www.cairn.info/heidegger-et-platon-le probleme-du-nihilisme--9782130399292.htm	Boutot	heidegger-et-platon-le probleme-du-nihilisme--9782130399292		fulltext		Presses Universitaires de France	monograph	1987	2016				Philosophie d'aujourd'hui		P
Histoire naturelle de l'âme	9782130536161	9782130639138							https://www.cairn.info/histoire-naturelle-de-l-ame --9782130536161.htm	Bossi	histoire-naturelle-de-l-ame --9782130536161		fulltext		Presses Universitaires de France	monograph	2003	2015				Science, histoire et société		P
Inceste et Jalousie	9782020222693								https://www.cairn.info/Inceste et Jalousie--9782020222693.htm	Vasse	Inceste et Jalousie--9782020222693		fulltext		Le Seuil (programme ReLIRE)	monograph	1995	2016				Philosophie Générale		P
Iphigénie	9782130387046	9782130698715							https://www.cairn.info/iphigenie --9782130387046.htm	Gliksohn	iphigenie --9782130387046		fulltext		Presses Universitaires de France	monograph	1985	2016				Littératures modernes		P
Itinéraire d'un intellectuel vers le fascisme : Drieu la Rochelle	9782130384670	9782130698418							https://www.cairn.info/itineraire-d un-intellectuel-vers-le-fascisme--9782130384670.htm	Balvet	itineraire-d un-intellectuel-vers-le-fascisme--9782130384670		fulltext		Presses Universitaires de France	monograph	1984	2016				Perspectives critiques		P
L'Humour juif dans la littérature de Job à Woody Allen	9782130384625	9782130698425							https://www.cairn.info/humour-juif dans-la-litterature-de-job-a-woody-all--9782130384625.htm	Stora-Sandor	humour-juif dans-la-litterature-de-job-a-woody-all--9782130384625		fulltext		Presses Universitaires de France	monograph	1984	2016				Hors collection		P
L'adolescent et la mucoviscidose	9782130673972	9782130711476							https://www.cairn.info/l-adolescent-et-la-mucoviscidose--9782130673972.htm	Giloux	l-adolescent-et-la-mucoviscidose--9782130673972		fulltext		Presses Universitaires de France	monograph	1996	2016				Psychiatrie ouverte		P
L'aide sociale à l'enfance	9782100594566								https://www.cairn.info/aide-sociale-a l-enfance--9782100594566.htm	Verdier	aide-sociale-a l-enfance--9782100594566		fulltext		Dunod	monograph	2013	2016				Enfances		P
L'Être et la Faute	9782130415329	9782130700265							https://www.cairn.info/l-etre-et-la-faute --9782130415329.htm	Bres	l-etre-et-la-faute --9782130415329		fulltext		Presses Universitaires de France	monograph	1988	2016				Perspectives critiques		P
La Genèse des structures logiques élémentaires	9782603008386	9782603023792							https://www.cairn.info/genese des structures logiques elementaires--9782603008386.htm	Piaget	genese des structures logiques elementaires--9782603008386		fulltext		Delachaux et Niestlé (programme ReLIRE)	monograph	1998	2016				Actualités pédagogiques et psychologiques		P
La Politique de Stendhal	9782130373780	9782130695943							https://www.cairn.info/la-politique-de-stendhal --9782130373780.htm	Guérin	la-politique-de-stendhal --9782130373780		fulltext		Presses Universitaires de France	monograph	1982	2016				La Politique éclatée		P
La littérature zaïroise de langue française	9782865371006	9782811120955							https://www.cairn.info/litterature zairoise de langue francaise--9782865371006.htm	Kadima-Nzuji	litterature zairoise de langue francaise--9782865371006		fulltext		Editions Karthala	monograph	2000	2017				Lettres du Sud		P
La médiation humaniste	9782749251561	9782749251578							https://www.cairn.info/la-mediation-humaniste --9782749251561.htm	Morineau	la-mediation-humaniste --9782749251561		fulltext		ERES	monograph	2016	2017				Poche - Société		P
La parole et le lien	9782100549528	9782100555970							https://www.cairn.info/La parole et le lien--9782100549528.htm	Kaës	La parole et le lien--9782100549528		fulltext		Dunod	monograph	2010	2016				Psychismes		P
La psychose froide	9782130517986								https://www.cairn.info/la-psychose-froide --9782130517986.htm	Kestemberg	la-psychose-froide --9782130517986		fulltext		Presses Universitaires de France	monograph	2001	2016				Le fil rouge		P
