publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
À quoi sert la rénovation urbaine ?	9782130581482	9782130741176							https://www.cairn.info/a-quoi-sert-la-renovation-urbaine--9782130581482.htm	Donzelot	a-quoi-sert-la-renovation-urbaine--9782130581482		fulltext		Presses Universitaires de France	monograph	2012	2015				La Ville en débat		P
Accès à l'énergie en Europe	9782724615401	9782724615425							https://www.cairn.info/acces-a-l-energie-en-europe--9782724615401.htm	Bafoil	acces-a-l-energie-en-europe--9782724615401		fulltext		Presses de Sciences Po	monograph	2014	2015				Académique		P
Agriculture et biodiversité	9782759218240	9782759219407							https://www.cairn.info/agriculture-et-biodiversite--9782759218240.htm	Barbault	agriculture-et-biodiversite--9782759218240		fulltext		Editions Quæ	monograph	2009	2012				Expertises collectives		P
Agriculture et mondialisation	9782724613865	9782724613889							https://www.cairn.info/agriculture-et-mondialisation--9782724613865.htm	Pouch	agriculture-et-mondialisation--9782724613865		fulltext		Presses de Sciences Po	monograph	2013	2014				Nouveaux Débats		P
Agricultures et paysanneries du monde	9782759206445	9782759210633							https://www.cairn.info/agricultures-et-paysanneries-du-monde--9782759206445.htm	Wolfer	agricultures-et-paysanneries-du-monde--9782759206445		fulltext		Editions Quæ	monograph	2010	2012				Hors collection		P
Agrimonde	9782759208883	9782759209392							https://www.cairn.info/agrimonde--9782759208883.htm	Paillard	agrimonde--9782759208883		fulltext		Editions Quæ	monograph	2010	2012				Matière à débattre et décider		P
Concentration économique et ségrégation spatiale	9782804148775	9782804173449							https://www.cairn.info/concentration-economique-et-segregation-spatiale--9782804148775.htm	Buisson	concentration-economique-et-segregation-spatiale--9782804148775		fulltext		De Boeck Supérieur	monograph	2005	2010				Économie, Société, Région		P
Concevoir et construire la décision	9782759203659	9782759211616							https://www.cairn.info/concevoir-et-construire-la-decision--9782759203659.htm	de Turckheim	concevoir-et-construire-la-decision--9782759203659		fulltext		Editions Quæ	monograph	2009	2012				Update Sciences & Technologies		P
De l’eau agricole à l’eau environnementale	9782759216963	9782759218318							https://www.cairn.info/de-l-eau-agricole-a-l-eau-environnementale--9782759216963.htm	Aspe	de-l-eau-agricole-a-l-eau-environnementale--9782759216963		fulltext		Editions Quæ	monograph	2012	2014				Natures sociales		P
Des politiques territoriales durables ?	9782759216413	9782759217298							https://www.cairn.info/des-politiques-territoriales-durables--9782759216413.htm	Arnauld de Sartre	des-politiques-territoriales-durables--9782759216413		fulltext		Editions Quæ	monograph	2011	2014				Indisciplines		P
