publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
« Ennemis mortels »	9782707190673	9782348055164							https://www.cairn.info/ennemis-mortels--9782707190673.htm	Le Cour Grandmaison	ennemis-mortels--9782707190673		fulltext		La Découverte	monograph	2019	2019				Sciences humaines		P
« Si tu vas à Rio... »	9782200277253	9782200284480							https://www.cairn.info/si-tu-vas-a-rio--9782200277253.htm	Fléchet	si-tu-vas-a-rio--9782200277253		fulltext		Armand Colin	monograph	2013	2016				Recherches		P
À bas l'égoïsme, vive la mutualité	9782842924287	9782842925185							https://www.cairn.info/a-bas-l-egoisme-vive-la-mutualite--9782842924287.htm	Rauch	a-bas-l-egoisme-vive-la-mutualite--9782842924287		fulltext		Presses universitaires de Vincennes	monograph	2015	2016				Théâtres du monde		P
À l’intérieur du camp de Drancy	9782262051556								https://www.cairn.info/a-l-interieur-du-camp-de-drancy--9782262051556.htm	Laffitte	a-l-interieur-du-camp-de-drancy--9782262051556		fulltext		Éditions Perrin	monograph	2015	2017				Tempus		P
Abbeville 1940	9782262007638	9782262056117							https://www.cairn.info/abbeville-1940--9782262007638.htm	de Wailly	abbeville-1940--9782262007638		fulltext		Éditions Perrin	monograph	1990	2016				Présence de l'histoire		P
Abd-el-Kader, sa vie politique et militaire	9782912946549	9782356760692							https://www.cairn.info/abd-el-kader-sa-vie-politique-et-militaire--9782912946549.htm	Bellemare	abd-el-kader-sa-vie-politique-et-militaire--9782912946549		fulltext		Editions Bouchène	monograph	2003	2015				Histoire du Maghreb		P
Adolf Eichmann	9791021007185	9791021002210							https://www.cairn.info/adolf-eichmann--9791021007185.htm	Cesarani	adolf-eichmann--9791021007185		fulltext		Tallandier	monograph	2014	2015				Texto		P
Africa Unite !	9782707196408	9782707196903							https://www.cairn.info/africa-unite--9782707196408.htm	Boukari-Yabara	africa-unite--9782707196408		fulltext		La Découverte	monograph	2017	2019				Poche / Essais		P
Afrocentrismes	9782811104092	9782811122669							https://www.cairn.info/afrocentrismes--9782811104092.htm	Chrétien	afrocentrismes--9782811104092		fulltext		Editions Karthala	monograph	2010	2018				Hommes et sociétés		P
Agricultures et paysanneries des Tiers mondes	9782845865488	9782811122676							https://www.cairn.info/agricultures-et-paysanneries-des-tiers-mondes--9782845865488.htm	Dufumier	agricultures-et-paysanneries-des-tiers-mondes--9782845865488		fulltext		Editions Karthala	monograph	2004	2018				Hommes et sociétés		P
Alain Savary : politique et honneur	9782724608762	9782724686289							https://www.cairn.info/alain-savary-politique-et-honneur--2724608763.htm	Hurtig	alain-savary-politique-et-honneur--2724608763		fulltext		Presses de Sciences Po	monograph	2002	2010				Académique		P
Algérie : culture et révolution	9782020045353	9782021251845							https://www.cairn.info/algerie-culture-et-revolution--9782020045353.htm	Étienne	algerie-culture-et-revolution--9782020045353		fulltext		Le Seuil	monograph	1977	2016				L'Histoire immédiate		P
