publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Une Histoire de la résistance en Europe occidentale	9782262069933								https://www.cairn.info/une-histoire-de-la-resistance-en-europe-occidental--9782262069933.htm	Wieviorka	une-histoire-de-la-resistance-en-europe-occidental--9782262069933		fulltext		Perrin	monograph	2017	2017				Synthèses Historiques		P	
Les figures de proue de la gauche depuis 1789	9782262099619	9782262080198							https://www.cairn.info/les-figures-de-proue-de-la-gauche-depuis-1789--9782262075996.htm	Winock	les-figures-de-proue-de-la-gauche-depuis-1789--9782262075996		fulltext		Perrin	monograph	2019	2020				Hors collection		P	250648415
Le péril rouge	9782130619956	9782130819578							https://www.cairn.info/le-peril-rouge--9782130619956.htm	Heurtebize	le-peril-rouge--9782130619956		fulltext		Presses Universitaires de France	monograph	2014	2018				Hors collection		P	227559096
Le Monde, l’Histoire	9782130631286	9782130820413							https://www.cairn.info/le-monde-l-histoire--9782130631286.htm	Inglebert	le-monde-l-histoire--9782130631286		fulltext		Presses Universitaires de France	monograph	2014	2018				Hors collection		P	227558898
Diagnostic et gouvernance des territoires	9782200278304	9782200282752							https://www.cairn.info/diagnostic-et-gouvernance-des-territoires--9782200278304.htm	Dumont	diagnostic-et-gouvernance-des-territoires--9782200278304		fulltext		Armand Colin	monograph	2012	2016				Collection U		P	16880686X
Géographie de l'environnement	9782200627010	9782200629342							https://www.cairn.info/geographie-de-l-environnement--9782200627010.htm	Dufour	geographie-de-l-environnement--9782200627010		fulltext		Armand Colin	monograph	2020	2020				Collection U		P	267941803
Géographie des populations	9782200623319	9782200624026							https://www.cairn.info/geographie-des-populations--9782200623319.htm	Dumont	geographie-des-populations--9782200623319		fulltext		Armand Colin	monograph	2018	2020				Collection U		P	267941641
Petite histoire de l'Afrique	9782707191014	9782707192479							https://www.cairn.info/petite-histoire-de-l-afrique --9782707191014.htm	Coquery-Vidrovitch	petite-histoire-de-l-afrique --9782707191014		fulltext		La Découverte	monograph	2016	2019				Poche / Essais		P	235174505
L’Italie fasciste	9782200269944	9782200242466							https://www.cairn.info/l-italie-fasciste--9782200269944.htm	Foro	l-italie-fasciste--9782200269944		fulltext		Armand Colin	monograph	2006	2016				Collection U		P	156498529
Le Duel U.S.A.-U.R.S.S. dans l'espace	9782862601748	9782403002027							https://www.cairn.info/le-duel-usa-urss-dans-l-espace--9782862601748.htm	Clerc	le-duel-usa-urss-dans-l-espace--9782862601748		fulltext		Autrement	monograph	1986	2017				Enjeux et Stratégies		P	197610161
La guerre civile russe	9782262064648								https://www.cairn.info/la-guerre-civile-russe--9782262064648.htm	Jevakhoff	la-guerre-civile-russe--9782262064648		fulltext		Perrin	monograph	2017	2017				Synthèses Historiques		P	
Géohistoire de la mondialisation	9782200602949	9782200612146							https://www.cairn.info/geohistoire-de-la mondialisation--9782200602949.htm	Grataloup	geohistoire-de-la mondialisation--9782200602949		fulltext		Armand Colin	monograph	2015	2020		3e éd.		Collection U		P	26793212X
Le Surfeur et le Militant	9782862602271	9782403002638							https://www.cairn.info/le-surfeur-et-le-militant--9782862602271.htm	Maurice	le-surfeur-et-le-militant--9782862602271		fulltext		Autrement	monograph	1987	2017				Enjeux et Stratégies		P	197610196
Histoire mondiale de la guerre économique	9782262069285								https://www.cairn.info/histoire-mondiale-de-la-guerre-economique--9782262069285.htm	Laïdi	histoire-mondiale-de-la-guerre-economique--9782262069285		fulltext		Perrin	monograph	2016	2017				Hors collection		P	
Nouvelle histoire des colonisations européennes (XIXe-XXe siècles)	9782130619284	9782130807322							https://www.cairn.info/nouvelle-histoire-des-colonisations-europeennes--9782130619284.htm	Lorin	nouvelle-histoire-des-colonisations-europeennes--9782130619284		fulltext		Presses Universitaires de France	monograph	2013	2017				Le Noeud Gordien		P	202884007
Le retrait résidentiel	9782130617334	9782130807261							https://www.cairn.info/le-retrait-residentiel-a-l-heure-de-la-metropolisa--9782130617334.htm	Loudier-Malgouyres	le-retrait-residentiel-a-l-heure-de-la-metropolisa--9782130617334		fulltext		Presses Universitaires de France	monograph	2013	2017				La Ville en débat		P	202883590
Le déchiffrement du Monde	9782410011944								https://www.cairn.info/le-dechiffrement-du-monde--9782410011944.htm	Brunet	le-dechiffrement-du-monde--9782410011944		fulltext		Belin	monograph	2017	2020				Alpha		P	
Le Voyage à La Mecque	9782410010558								https://www.cairn.info/le-voyage-a-ma-mecque--9782410010558.htm	Chiffoleau	le-voyage-a-ma-mecque--9782410010558		fulltext		Belin	monograph	2017	2020				Alpha		P	
Histoire du poil	9782410011975								https://www.cairn.info/histoire-du-poil--9782410011975.htm	Auzépy	histoire-du-poil--9782410011975		fulltext		Belin	monograph	2017	2020				Alpha		P	
Révolutions	9782701162751								https://www.cairn.info/revolutions--9782701162751.htm	Larrère	revolutions--9782701162751		fulltext		Belin	monograph	2013	2019				Collection Histoire		P	
Histoire des Juifs	9782262042806								https://www.cairn.info/histoire-des-juifs-de-la-genese-a-nos-jours--9782262042806.htm	Abitbol	histoire-des-juifs-de-la-genese-a-nos-jours--9782262042806		fulltext		Perrin	monograph	2013	2018				Pour l'histoire		P	
Mobutu	9782262100087	9782262070786							https://www.cairn.info/mobutu--9782262049539.htm	Langellier	mobutu--9782262049539		fulltext		Perrin	monograph	2017	2019				Biographies		P	237595745
Gorbatchev	9782262047375								https://www.cairn.info/gorbatchev--9782262047375.htm	Lecomte	gorbatchev--9782262047375		fulltext		Perrin	monograph	2014	2017				Biographies		P	
L'Histoire des paysans français	9782262066413								https://www.cairn.info/l-histoire-des-paysans-francais--9782262066413.htm	Alary	l-histoire-des-paysans-francais--9782262066413		fulltext		Perrin	monograph	2016	2017				Pour l'histoire		P	
Les présidents des États-Unis	9782262064204	9782262068400							https://www.cairn.info/les-presidents-des-etats-unis--9782262064204.htm	Ayache	les-presidents-des-etats-unis--9782262064204		fulltext		Perrin	monograph	2016	2019				Hors collection		P	237595583
Qu’est-ce que l’Histoire ?	9782130594987	9782130808930							https://www.cairn.info/qu-est-ce-que-l-histoire--9782130594987.htm	Meyer	qu-est-ce-que-l-histoire--9782130594987		fulltext		Presses Universitaires de France	monograph	2013	2017				L'Interrogation philosophique		P	202737616
Expansion européenne et décolonisation	9782130460381	9782130737148							https://www.cairn.info/expansion-europeenne-et-decolonisation--9782130460381.htm	Miège	expansion-europeenne-et-decolonisation--9782130460381		fulltext		Presses Universitaires de France	monograph	1993	2015				Nouvelle Clio		P	189211881
Détruire les Arméniens	9782130626176								https://www.cairn.info/detruire-les-armeniens--9782130626176.htm	Nichanian	detruire-les-armeniens--9782130626176		fulltext		Presses Universitaires de France	monograph	2015	2019				Hors collection		P	
