publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Le Génocide Des Arméniens	9782200294427	9782200603045							https://shs.cairn.info/le-genocide-des-armeniens--9782200294427?lang=fr	 Conseil Scientifique International Pour L’étude Du Génocide Des Arméniens	le-genocide-des-armeniens--9782200294427		fulltext		Armand Colin	monograph	2015	2022				Hors collection		P	268079099
Révolution	9791095772576								https://shs.cairn.info/revolution--9791095772576?lang=fr	Ludivine Bantigny	revolution--9791095772576		fulltext		Anamosa	monograph	2019	2021				Le mot est faible		P	255022476
Croisades Et Orient Latin	9782200632304	9782200638658							https://shs.cairn.info/croisades-et-orient-latin--9782200632304?lang=fr	Michel Balard	croisades-et-orient-latin--9782200632304		fulltext		Armand Colin	monograph	2024	2024	3e éd.			Collection U		P	28021216X
L'empire Colonial Français : De L'histoire Aux Héritages	9782200639679								https://shs.cairn.info/l-empire-colonial-francais-de-l-histoire-aux-heritages-2e-ed--9782200639679?lang=fr	Hubert Bonin	l-empire-colonial-francais-de-l-histoire-aux-heritages-2e-ed--9782200639679		fulltext		Armand Colin	monograph	2025	2025	2e éd.			Collection U		P	
Guerre Et Économie De La Grèce Classique (490 Av. J.-c.-322 Av. J.-c.)	9782718192918	9782301002037							https://shs.cairn.info/guerre-et-economie-dans-l-alliance-athenienne--9782718192918?lang=fr	Olivier Picard	guerre-et-economie-dans-l-alliance-athenienne--9782718192918		fulltext		Armand Colin	monograph	2000	2024				Hors collection		P	280213638
La France Au Xviie Siècle	9782200353575	9782200272357							https://shs.cairn.info/la-france-au-xviie-siecle--9782200353575?lang=fr	Hélène Duccini	la-france-au-xviie-siecle--9782200353575		fulltext		Armand Colin	monograph	2007	2024				Cursus		P	
Le Second Empire	9782200630638	9782200635732							https://shs.cairn.info/le-second-empire--9782200630638?lang=fr	Jean-Claude Yon	le-second-empire--9782200630638		fulltext		Armand Colin	monograph	2022	2023				Mnémosya		P	275576345
L'autofiction	9782200289737	9782200601089							https://shs.cairn.info/l-autofiction--9782200289737?lang=fr	Isabelle Grell	l-autofiction--9782200289737		fulltext		Armand Colin	monograph	2014	2022				128		P	268079048
La Critique Littéraire En France	9782200614676	9782200615710							https://shs.cairn.info/la-critique-litteraire-en-france--9782200614676?lang=fr	Michel Jarrety	la-critique-litteraire-en-france--9782200614676		fulltext		Armand Colin	monograph	2016	2020				Collection U		P	242682413
Civilisation Matérielle, Économie Et Capitalisme	9782200633424	9782200634179							https://shs.cairn.info/civilisation-materielle-economie-et-capitalisme--9782200633424?lang=fr	Fernand Braudel	civilisation-materielle-economie-et-capitalisme--9782200633424		fulltext		Armand Colin	monograph	2022	2022				Hors collection		P	268105693
Le Mariage Amoureux	9782200637781	9782200639747							https://shs.cairn.info/le-mariage-amoureux--9782200637781?lang=fr	Maurice Daumas	le-mariage-amoureux--9782200637781		fulltext		Armand Colin	monograph	2024	2024				Mnémosya		P	280211465
La Religion Grecque	9782200618186	9782200619602							https://shs.cairn.info/la-religion-grecque--9782200618186?lang=fr	Louise Bruit Zaidman	la-religion-grecque--9782200618186		fulltext		Armand Colin	monograph	2017	2022	5e éd.			Cursus		P	268077568
L'égypte Grecque Et Romaine	9782200262884	9782200256258							https://shs.cairn.info/l-egypte-grecque-et-romaine--9782200262884?lang=fr	 	l-egypte-grecque-et-romaine--9782200262884		fulltext		Armand Colin	monograph	2004	2016				Collection U		P	15137919X
L'alimentation En Europe À L'époque Moderne	9782200244071	9782200259792							https://shs.cairn.info/l-alimentation-en-europe-a-l-epoque-moderne--9782200244071?lang=fr	Philippe Meyzie	l-alimentation-en-europe-a-l-epoque-moderne--9782200244071		fulltext		Armand Colin	monograph	2010	2016				Collection U		P	191076325
Les États-unis De L'indépendance À La Première Guerre Mondiale	9782200354190	9782200271213							https://shs.cairn.info/les-etats-unis-de-l-independance-a-la-premiere-gue--9782200354190?lang=fr	Jacques Portes	les-etats-unis-de-l-independance-a-la-premiere-gue--9782200354190		fulltext		Armand Colin	monograph	2008	2022	3e éd.			Cursus		P	268094764
La France Dans La Première Guerre Mondiale	9782200343866	9782200273675							https://shs.cairn.info/la-france-dans-la-premiere-guerre-mondiale--9782200343866?lang=fr	 	la-france-dans-la-premiere-guerre-mondiale--9782200343866		fulltext		Armand Colin	monograph	2005	2022				128		P	268087288
Écritures Dramatiques Contemporaines	9782200271398	9782200274191							https://shs.cairn.info/ecritures-dramatiques-contemporaines--9782200271398?lang=fr	Jean-Pierre Ryngaert	ecritures-dramatiques-contemporaines--9782200271398		fulltext		Armand Colin	monograph	2011	2022	2e éd.			Hors collection		P	268086834
La Campagne D'égypte	9782410015270	9782410026818							https://shs.cairn.info/la-campagne-d-egypte--9782410015270?lang=fr	Jacques-Olivier Boudon	la-campagne-d-egypte--9782410015270		fulltext		Belin	monograph	2018	2019				Collection Histoire		P	242682340
Paradise Now	9782382925317								https://shs.cairn.info/paradise-now-la-vie-extraordinaire-de-karl-lagerfeld--9782382925317?lang=fr	William Middleton	paradise-now-la-vie-extraordinaire-de-karl-lagerfeld--9782382925317		fulltext		Bouquins	monograph	2024	2024				Bouquins Document		P	280208065
Manuel D'archéologie	9782200266769	9782200274276							https://shs.cairn.info/manuel-d-archeologie--9782200266769?lang=fr	François Djindjian	manuel-d-archeologie--9782200266769		fulltext		Armand Colin	monograph	2011	2016				Collection U		P	16855741X
L'ancien Français En 18 Textes Et 18 Leçons	9782200286224	9782200601201							https://shs.cairn.info/l-ancien-francais-en-18-textes-et-18-lecons--9782200286224?lang=fr	Laurence Hélix	l-ancien-francais-en-18-textes-et-18-lecons--9782200286224		fulltext		Armand Colin	monograph	2014	2024				Collection U		P	284587435
La Littérature Jeunesse A-t-elle Bon Goût?	9782749204802								https://shs.cairn.info/la-litterature-jeunesse-a-t-elle-bon-gout--9782749204802?lang=fr	 Agence Nationale Des Pratiques Culturelles	la-litterature-jeunesse-a-t-elle-bon-gout--9782749204802		fulltext		érès	monograph	2005	2010				1001 bébés		P	151453586
Jérusalem	9782081389885	9782081460812							https://shs.cairn.info/jerusalem-histoire-d-une-ville-monde-des-origines-a-nos-jours--9782081389885?lang=fr	Vincent Lemire	jerusalem-histoire-d-une-ville-monde-des-origines-a-nos-jours--9782081389885		fulltext		Flammarion	monograph	2016	2022				Champs - Histoire		P	268080496
Quand L'amérique S'appelait Nouvelle-france (1608-1760)	9782213009452	9782213690155							https://shs.cairn.info/quand-l-amerique-s-appelait-nouvelle-france--9782213009452?lang=fr	Jean-Marc Soyez	quand-l-amerique-s-appelait-nouvelle-france--9782213009452		fulltext		Fayard	monograph	1981	2016				Quand...?		P	193408805
La Littérature Féminine De Langue Française Au Maghreb	9782865375004	9782811120931							https://shs.cairn.info/la-litterature-feminine-de-langue-francaise--9782865375004?lang=fr	Jean Déjeux	la-litterature-feminine-de-langue-francaise--9782865375004		fulltext		Karthala	monograph	1994	2016				Lettres du Sud		P	195743814
Le Traître / Le Vieillissement	9782070309047	9782073051875							https://shs.cairn.info/le-traitre-le-vieillissement--9782070309047?lang=fr	André Gorz	le-traitre-le-vieillissement--9782070309047		fulltext		Gallimard	monograph	2023	2024				Folio Essais		P	
Balzac, Le Renouvellement Du Romanesque	9791037023018								https://shs.cairn.info/balzac-le-renouvellement-du-romanesque--9791037023018?lang=fr	Christelle Girard	balzac-le-renouvellement-du-romanesque--9791037023018		fulltext		Hermann	monograph	2023	2023				Cahier Textuel		P	275583899
Histoire De L'angleterre	9782081512740	9782080240873							https://shs.cairn.info/histoire-de-l-angleterre-des-origines-a-nos-jours--9782081512740?lang=fr	Philippe Chassaigne	histoire-de-l-angleterre-des-origines-a-nos-jours--9782081512740		fulltext		Flammarion	monograph	2021	2022	4e éd.			Champs - Histoire		P	268079676
