publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
« Mort à crédit » de Céline : une naissance payée comptant	9782130457800	9782130670520							https://www.cairn.info/mort-a-credit-de-celine-une-naissance-payee--9782130457800.htm	Huchet	mort-a-credit-de-celine-une-naissance-payee--9782130457800		fulltext		Presses Universitaires de France	monograph	1993	2017				Le texte rêve		P
À la recherche de Ferdinand de Saussure	9782130559702	9782130739340							https://www.cairn.info/a-la-recherche-de-ferdinand-de-saussure--9782130559700.htm	Arrivé	a-la-recherche-de-ferdinand-de-saussure--9782130559700		fulltext		Presses Universitaires de France	monograph	2007	2015				Formes sémiotiques		P
À l’aube des Mille et Une Nuits	9782842923402	9782842923150							https://www.cairn.info/a-l-aube-des-mille-et-une-nuits--9782842923402.htm	Chaulet Achour	a-l-aube-des-mille-et-une-nuits--9782842923402		fulltext		Presses universitaires de Vincennes	monograph	2012	2016				Littérature Hors Frontière		P
À l'école de la littérature	9782708229495	9782708248762							https://www.cairn.info/a-l-ecole-de-la-litterature--9782708229495.htm	Marcoin	a-l-ecole-de-la-litterature--9782708229495		fulltext		Éditions de l'Atelier (programme ReLIRE)	monograph	1992	2018				Apprendre - Comprendre		P
À l'origine du savoir-faire épistolaire de Mme de Sévigné	9782130606901	9791035807900							https://www.cairn.info/a-l-origine-du-savoir-faire-epistolaire--9782130606901.htm	Lignereux	a-l-origine-du-savoir-faire-epistolaire--9782130606901		fulltext		Presses Universitaires de France	monograph	2012	2018				CNED		P
À quoi pense la littérature ?	9782130433095	9782130666059							https://www.cairn.info/a-quoi-pense-la-litterature--9782130433095.htm	Macherey	a-quoi-pense-la-litterature--9782130433095		fulltext		Presses Universitaires de France	monograph	1990	2016				Pratiques théoriques		P
Agir dans la diversité des langues	9782807300286	9782807319417							https://www.cairn.info/agir-dans-la-diversite-des-langues--9782807300286.htm	Gradoux	agir-dans-la-diversite-des-langues--9782807300286		fulltext		De Boeck Supérieur	monograph	2015	2017				Champs linguistiques		P
Aimé Césaire	9782130456582	9782130670308							https://www.cairn.info/aime-cesaire--9782130456582.htm	Combe	aime-cesaire--9782130456582		fulltext		Presses Universitaires de France	monograph	1993	2016				Études littéraires		P
Alexandries	9782707115270	9782348011290							https://www.cairn.info/alexandries--9782707115270.htm	Hassoun	alexandries--9782707115270		fulltext		La Découverte	monograph	1985	2016				Hors Collection		P
Alfred de Musset, ou le ravissement du proverbe	9782130606925	9791035807924							https://www.cairn.info/alfred-de-musset-ou-le-ravissement-du-proverbe--9782130606925.htm	Ledda	alfred-de-musset-ou-le-ravissement-du-proverbe--9782130606925		fulltext		Presses Universitaires de France	monograph	2012	2018				CNED		P
Ambedkar !	9782811102166	9782811121709							https://www.cairn.info/ambedkar--9782811102166.htm	Poitevin	ambedkar--9782811102166		fulltext		Editions Karthala	monograph	2009	2016				Recherches internationales		P
American Pastoral, la vie réinventée	9782130591894	9791035807870							https://www.cairn.info/american-pastoral-la-vie-reinventee--9782130591894.htm	Lévy	american-pastoral-la-vie-reinventee--9782130591894		fulltext		Presses Universitaires de France	monograph	2012	2018				CNED		P
André Breton et les surprises de l'amour	9782130462668	9782130672159							https://www.cairn.info/andre-breton-et-les-surprises-de-l-amour--9782130462668.htm	Steinmetz	andre-breton-et-les-surprises-de-l-amour--9782130462668		fulltext		Presses Universitaires de France	monograph	1994	2017				Le texte rêve		P
Anton Pavlovitch Tchekhov : « La Cerisaie »	9782130451211	9782130669234							https://www.cairn.info/anton-pavlovitch-tchekhov-la-cerisaie--9782130451211.htm	Hamon-Siréjols	anton-pavlovitch-tchekhov-la-cerisaie--9782130451211		fulltext		Presses Universitaires de France	monograph	1993	2016				Études littéraires		P
Apocalypse manga	9782130621461	9782130810001							https://www.cairn.info/apocalypse-manga--9782130621461.htm	Pigot	apocalypse-manga--9782130621461		fulltext		Presses Universitaires de France	monograph	2013	2017				Perspectives critiques		P
Apollinaire : « Alcools »	9782130457824	9782130676058							https://www.cairn.info/apollinaire-alcools--9782130457824.htm	Alexandre	apollinaire-alcools--9782130457824		fulltext		Presses Universitaires de France	monograph	1994	2016				Études littéraires		P
Apollinaire entre deux mondes	9782130483151	9782130675372							https://www.cairn.info/apollinaire-entre-deux-mondes--9782130483151.htm	Brunel	apollinaire-entre-deux-mondes--9782130483151		fulltext		Presses Universitaires de France	monograph	1997	2016				Écriture		P
Apparenter la pensée ?	9782919694563	9782919694556							https://www.cairn.info/apparenter-la-pensee--9782919694563.htm	Charbonnat	apparenter-la-pensee--9782919694563		fulltext		Editions Matériologiques	monograph	2014	2016				Sciences & philosophie		P
Apprentissage d'une langue étrangère/seconde. Vol. 1	9782804126186	9782804173760							https://www.cairn.info/apprentissage-d-une-langue-etrangere-1--9782804126186.htm	De Man-De Vriendt	apprentissage-d-une-langue-etrangere-1--9782804126186		fulltext		De Boeck Supérieur	monograph	2000	2010				Pédagogies en développement		P
Apprentissage d'une langue étrangère/seconde. Vol. 2	9782804134921	9782804173784							https://www.cairn.info/apprentissage-d-une-langue-etrangere-seconde-2--9782804134921.htm	Renard	apprentissage-d-une-langue-etrangere-seconde-2--9782804134921		fulltext		De Boeck Supérieur	monograph	2002	2010				Pédagogies en développement		P
Apprentissage d'une langue étrangère/seconde. Vol. 3	9782804142773	9782804173791							https://www.cairn.info/apprentissage-d-une-langue-etrangere-seconde-3--9782804142773.htm	Rivenc	apprentissage-d-une-langue-etrangere-seconde-3--9782804142773		fulltext		De Boeck Supérieur	monograph	2003	2010				Pédagogies en développement		P
Apprentissage d'une langue étrangère/seconde. Vol. 4	9782804143794	9782804173807							https://www.cairn.info/apprentissage-d-une-langue-etrangere-4--9782804143794.htm		apprentissage-d-une-langue-etrangere-4--9782804143794		fulltext		De Boeck Supérieur	monograph	2005	2010				Pédagogies en développement		P
Approches de la réception	9782130451013	9782130669517							https://www.cairn.info/approches-de-la-reception--9782130451013.htm	Molinié	approches-de-la-reception--9782130451013		fulltext		Presses Universitaires de France	monograph	1993	2016				Perspectives littéraires		P
Argumenter en racontant	9782804146764	9782804180119							https://www.cairn.info/argumenter-en-racontant--9782804146764.htm	Rabatel	argumenter-en-racontant--9782804146764		fulltext		De Boeck Supérieur	monograph	2004	2012				Savoirs en Pratique		P
Aristote : « Poétique »	9782130502111	9782130684275							https://www.cairn.info/aristote-poetique--9782130502111.htm	Laizé	aristote-poetique--9782130502111		fulltext		Presses Universitaires de France	monograph	1999	2016				Études littéraires		P
Arts et sciences du texte	9782130519324	9782130790976							https://www.cairn.info/arts-et-sciences-du-texte--9782130519324.htm	Rastier	arts-et-sciences-du-texte--9782130519324		fulltext		Presses Universitaires de France	monograph	2001	2015				Formes sémiotiques		P
Autobiographie d'un écrivain swahili	9782811102210	9782811120580							https://www.cairn.info/autobiographie-d-un-ecrivain-swahili--9782811102210.htm	Robert	autobiographie-d-un-ecrivain-swahili--9782811102210		fulltext		Editions Karthala	monograph	2010	2015				Lettres du Sud		P
Aux confins du récit	9782842924034	9782842924843							https://www.cairn.info/aux-confins-du-recit--9782842924034.htm	Clément	aux-confins-du-recit--9782842924034		fulltext		Presses universitaires de Vincennes	monograph	2014	2016				La Philosophie hors de soi		P
Aux frontières des deux genres	9782845864320	9782811120597							https://www.cairn.info/aux-frontieres-des-deux-genres--9782845864320.htm	Boustani	aux-frontieres-des-deux-genres--9782845864320		fulltext		Editions Karthala	monograph	2003	2015				Lettres du Sud		P
Avec des « si ». Journal étrange	9782130554608	9782130636854							https://www.cairn.info/avec-des-si-journal-etrange--9782130554608.htm	Conche	avec-des-si-journal-etrange--9782130554608		fulltext		Presses Universitaires de France	monograph	2006	2014				Perspectives critiques		P
Balzac	9782841860401	9782368475676							https://www.cairn.info/balzac--9782841860401.htm	Mourier	balzac--9782841860401		fulltext		Michalon	monograph	1996	2019				Le Bien Commun		P
Balzac, l’éternelle genèse	9782842924218	9782842925079							https://www.cairn.info/balzac-l-eternelle-genese--9782842924218.htm	Neefs	balzac-l-eternelle-genese--9782842924218		fulltext		Presses universitaires de Vincennes	monograph	2015	2016				Manuscrits Modernes		P
Barbey d'Aurevilly : «L'ensorcelée»	9782130493471	9782130682578							https://www.cairn.info/barbey-d-aurevilly-l-ensorcelee--9782130493471.htm	Djourachkovitch	barbey-d-aurevilly-l-ensorcelee--9782130493471		fulltext		Presses Universitaires de France	monograph	1998	2016				Études littéraires		P
Baudelaire solaire et clandestin	9782130396628	9782130662440							https://www.cairn.info/baudelaire-solaire-et-clandestin--9782130396628.htm	Quesnel	baudelaire-solaire-et-clandestin--9782130396628		fulltext		Presses Universitaires de France	monograph	1987	2016				Écrivains		P
Béance du divin	9782130456469	9782130670889							https://www.cairn.info/beance-du-divin--9782130456469.htm	Onimus	beance-du-divin--9782130456469		fulltext		Presses Universitaires de France	monograph	1994	2016				Écriture		P
Beckett	9782020000833	9782021273212							https://www.cairn.info/beckett--9782020000833.htm	Janvier	beckett--9782020000833		fulltext		Le Seuil	monograph	1976	2016				Ecrivains de toujours		P
Beckett	9782842928490	9782842928513							https://www.cairn.info/beckett--9782842928490.htm	Clément	beckett--9782842928490		fulltext		Presses universitaires de Vincennes	monograph	2018	2019				Libre cours		P
Biographies du désir	9782130417408	9782130663157							https://www.cairn.info/biographies-du-desir--9782130417408.htm	Bellemin-Noël	biographies-du-desir--9782130417408		fulltext		Presses Universitaires de France	monograph	1988	2016				Écriture		P
Borges	9782842928537	9782842928551							https://www.cairn.info/borges--9782842928537.htm	Premat	borges--9782842928537		fulltext		Presses universitaires de Vincennes	monograph	2018	2019				Libre cours		P
Canetti	9782841868759	9782347016357							https://www.cairn.info/canetti--9782841868759.htm	Poirier	canetti--9782841868759		fulltext		Michalon	monograph	2017	2019				Le Bien Commun		P
Carnets de lecture	9782842925260	9782842925284							https://www.cairn.info/carnets-de-lecture--9782842925260.htm	Minzetanu	carnets-de-lecture--9782842925260		fulltext		Presses universitaires de Vincennes	monograph	2016	2016				Manuscrits Modernes		P
Cent romans-monde	9782811110215	9782811121020							https://www.cairn.info/cent-romans-monde--9782811110215.htm	Coussy	cent-romans-monde--9782811110215		fulltext		Editions Karthala	monograph	2013	2016				Lettres du Sud		P
Charles-Louis de Montesquieu : «Lettres persanes»	9782130426417	9782130664307							https://www.cairn.info/charles-louis-de-montesquieu-lettres-persanes--9782130426417.htm	Goldzink	charles-louis-de-montesquieu-lettres-persanes--9782130426417		fulltext		Presses Universitaires de France	monograph	1989	2016				Études littéraires		P
Chrétien de Troyes : «Le Conte du Graal»	9782130499930	9782130682035							https://www.cairn.info/chretien-de-troyes-le-conte-du-graal--9782130499930.htm	Baumgartner	chretien-de-troyes-le-conte-du-graal--9782130499930		fulltext		Presses Universitaires de France	monograph	2016	2016				Études littéraires		P
Cioran et compagnie	9782130521457	9782130636717							https://www.cairn.info/cioran-et-compagnie--9782130521457.htm	Jaccard	cioran-et-compagnie--9782130521457		fulltext		Presses Universitaires de France	monograph	2005	2014				Perspectives critiques		P
Comprendre la linguistique	9782130630227	9782130820215							https://www.cairn.info/comprendre-la-linguistique--9782130630227.htm	Martin	comprendre-la-linguistique--9782130630227		fulltext		Presses Universitaires de France	monograph	2014	2018				Quadrige		P
Conjuration de la violence	9782130366997	9782130657378							https://www.cairn.info/conjuration-de-la-violence--9782130366997.htm	Feher	conjuration-de-la-violence--9782130366997		fulltext		Presses Universitaires de France	monograph	1981	2016				Croisées		P
Construire un monde	9782603012307	9782603023396							https://www.cairn.info/construire-un-monde--9782603012307.htm	Gollut	construire-un-monde--9782603012307		fulltext		Delachaux et Niestlé (programme ReLIRE)	monograph	2000	2016				Sciences des discours		P
Coran et tradition islamique dans la littérature maghrébine	9782845862791								https://www.cairn.info/coran-et-tradition-islamique-dans-la-litterature--9782845862791.htm	Bourget	coran-et-tradition-islamique-dans-la-litterature--9782845862791		fulltext		Editions Karthala	monograph	2002	2017				Lettres du Sud		P
Corps et sens	9782130591221	9782130742104							https://www.cairn.info/corps-et-sens--9782130591221.htm	Fontanille	corps-et-sens--9782130591221		fulltext		Presses Universitaires de France	monograph	2011	2015				Formes sémiotiques		P
Dans Balzac	9782020090827	9782021263206							https://www.cairn.info/dans-balzac--9782020090827.htm	Citron	dans-balzac--9782020090827		fulltext		Le Seuil	monograph	1986	2016				Art et littérature		P
Dans l'aventure du langage	9782130398905	9782130663386							https://www.cairn.info/dans-l-aventure-du-langage--9782130398905.htm	Clancier	dans-l-aventure-du-langage--9782130398905		fulltext		Presses Universitaires de France	monograph	1987	2016				Écriture		P
Dante	9782870270820	9782402039116							https://www.cairn.info/dante--9782870270820.htm	Madaule	dante--9782870270820		fulltext		Éditions Complexe (programme ReLIRE)	monograph	1982	2018				Le Temps et les hommes		P
De la Guyane à la diaspora africaine	9782845862821								https://www.cairn.info/de-la-guyane-a-la-diaspora-africaine--9782845862821.htm	Martin	de-la-guyane-a-la-diaspora-africaine--9782845862821		fulltext		Editions Karthala	monograph	2002	2017				Lettres du Sud		P
De la littérature coloniale à la littérature africaine	9782845868953	9782811121051							https://www.cairn.info/de-la-litterature-coloniale-a-la-litterature--9782845868953.htm	Riesz	de-la-litterature-coloniale-a-la-litterature--9782845868953		fulltext		Editions Karthala	monograph	2007	2016				Lettres du Sud		P
De la séduction littéraire	9782130545026	9782130738534							https://www.cairn.info/de-la-seduction-litteraire--9782130545026.htm	Balique	de-la-seduction-litteraire--9782130545026		fulltext		Presses Universitaires de France	monograph	2009	2015				L'Interrogation philosophique		P
De l'un à l'autre et réciproquement...	9782801113738	9782801117286							https://www.cairn.info/de-l-un-a-l-autre-et-reciproquement--9782801113738.htm	Schnedecker	de-l-un-a-l-autre-et-reciproquement--9782801113738		fulltext		De Boeck Supérieur	monograph	2006	2012				Champs linguistiques		P
Des femmes et de l'écriture	9782845867468	9782811120603							https://www.cairn.info/des-femmes-et-de-l-ecriture--9782845867468.htm	Boustani	des-femmes-et-de-l-ecriture--9782845867468		fulltext		Editions Karthala	monograph	2006	2015				Lettres du Sud		P
Des langues romanes	9782801112274	9782807303317							https://www.cairn.info/des-langues-romanes--9782801112274.htm	Klinkenberg	des-langues-romanes--9782801112274		fulltext		De Boeck Supérieur	monograph	1999	2014		2e éd.		Champs linguistiques		P
Dialogisme et polyphonie	9782801113646	9782801116814							https://www.cairn.info/dialogisme-et-polyphonie-approches-linguistiques--9782801113646.htm	Bres	dialogisme-et-polyphonie-approches-linguistiques--9782801113646		fulltext		De Boeck Supérieur	monograph	2005	2010				Champs linguistiques		P
Dialogues singuliers sur la langue française	9782130733072								https://www.cairn.info/dialogues-singuliers-sur-la-langue-francaise--9782130733072.htm	Edwards	dialogues-singuliers-sur-la-langue-francaise--9782130733072		fulltext		Presses Universitaires de France	monograph	2016	2020				Hors collection		P
Didactique des langues romanes, le développement de compétences chez l'apprenant	9782804135775	9782804173227							https://www.cairn.info/didactique-des-langues-romanes-le-developpement--9782804135775.htm	Maeder	didactique-des-langues-romanes-le-developpement--9782804135775		fulltext		De Boeck Supérieur	monograph	2001	2010				Savoirs en Pratique		P
Didactique du français	9782804158699	9782804173210							https://www.cairn.info/didactique-du-francais--9782804158699.htm	Chiss	didactique-du-francais--9782804158699		fulltext		De Boeck Supérieur	monograph	2008	2010		8e éd.		Savoirs en Pratique		P
Didactique du français langue première	9782804161736	9782804179588							https://www.cairn.info/didactique-du-francais-langue-premiere--9782804161736.htm	Simard	didactique-du-francais-langue-premiere--9782804161736		fulltext		De Boeck Supérieur	monograph	2010	2013				Pratiques pédagogiques		P
