publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Entre littérature et cinéma	9782200281274	9782200283339							https://www.cairn.info/entre-litterature-et-cinema--9782200281274.htm	Cléder	entre-litterature-et-cinema--9782200281274		fulltext		Armand Colin	monograph	2012	2022				Cinéma / Arts Visuels		P	268090254
Adapter un livre pour le cinéma et la télévision	9782200627256	9782200628970							https://www.cairn.info/adapter-un-livre-pour-le-cinema-et-la-television--9782200627256.htm	Cotte	adapter-un-livre-pour-le-cinema-et-la-television--9782200627256		fulltext		Armand Colin	monograph	2020	2022				Hors collection		P	268092990
Créer des personnages de films et de séries	9782200631468								https://www.cairn.info/creer-des-personnages-de-films-et-de-series--9782200631468.htm	Cotte	creer-des-personnages-de-films-et-de-series--9782200631468		fulltext		Armand Colin	monograph	2022	2022				Hors collection		P	
Relire Mayotte Capécia	9782200277123	9782200281908							https://www.cairn.info/relire-mayotte-capecia--9782200277123.htm	Cottias	relire-mayotte-capecia--9782200277123		fulltext		Armand Colin	monograph	2012	2016				Documents		P	193408872
La sémiotique du langage	9782200352790	9782200245863							https://www.cairn.info/la-semiotique-du-langage--9782200352790.htm	Courtés	la-semiotique-du-langage--9782200352790		fulltext		Armand Colin	monograph	2007	2022				128		P	268086508
La littérature fantastique	9782200602468	9782200612221							https://www.cairn.info/la-litterature-fantastique--9782200602468.htm	Prince	la-litterature-fantastique--9782200602468		fulltext		Armand Colin	monograph	2015	2022		2e éd.		128		P	268094365
La littérature de jeunesse	9782200628000	9782200632083							https://www.cairn.info/la-litterature-de-jeunesse--9782200628000.htm	Prince	la-litterature-de-jeunesse--9782200628000		fulltext		Armand Colin	monograph	2021	2021		3e éd.		Hors collection		P	267941889
La versification appliquée aux textes	9782200631024	9782200632007							https://www.cairn.info/la-versification-appliquee-aux-textes--9782200631024.htm	Aquien	la-versification-appliquee-aux-textes--9782200631024		fulltext		Armand Colin	monograph	2021	2022		5e éd.		128		P	268079862
Lire et écrire un scénario	9782200617707	9782200620813							https://www.cairn.info/lire-et-ecrire-un-scenario--9782200617707.htm	Raynauld	lire-et-ecrire-un-scenario--9782200617707		fulltext		Armand Colin	monograph	2019	2022		2e éd.		Cinéma / Arts Visuels		P	268090130
Cours de sémantique	9782200288570	9782200290191							https://www.cairn.info/cours-de-semantique--9782200288570.htm	Corblin	cours-de-semantique--9782200288570		fulltext		Armand Colin	monograph	2013	2022				Cursus		P	268079307
Le Symbolisme	9782200270049	9782200274030							https://www.cairn.info/le-symbolisme--9782200270049.htm	Marchal	le-symbolisme--9782200270049		fulltext		Armand Colin	monograph	2011	2022		2e éd.		Hors collection		P	268077711
Débattre	9782801117408	9782807329997							https://www.cairn.info/debattre--9782801117408.htm	Jacquin	debattre--9782801117408		fulltext		De Boeck Supérieur	monograph	2014	2020				Champs linguistiques		P	
Le nom propre	9782801110775	9782807303201							https://www.cairn.info/le-nom-propre--9782801110775.htm	Jonasson	le-nom-propre--9782801110775		fulltext		De Boeck Supérieur	monograph	1994	2015				Champs linguistiques		P	
On	9782801114087	9782807352155							https://www.cairn.info/on--9782801114087.htm	Fløttum	on--9782801114087		fulltext		De Boeck Supérieur	monograph	2007	2012				Champs linguistiques		P	
Agir dans la diversité des langues	9782807300286	9782807319417							https://www.cairn.info/agir-dans-la-diversite-des-langues--9782807300286.htm	Gradoux	agir-dans-la-diversite-des-langues--9782807300286		fulltext		De Boeck Supérieur	monograph	2015	2017				Champs linguistiques		P	225760533
Maroc : la guerre des langues ?	9789954987926								https://www.cairn.info/maroc-la-guerre-des-langues--9789954987926.htm	Adnan	maroc-la-guerre-des-langues--9789954987926		fulltext		En toutes lettres	monograph	2018	2022				Les Questions qui fâchent		P	
Le Prince et le Marchand	9782213008318	9782213690940							https://www.cairn.info/le-prince-et-le-marchand--9782213008318.htm	Barbéris	le-prince-et-le-marchand--9782213008318		fulltext		Fayard	monograph	1980	2020				La Force des idées		P	25399683X
La Fontaine	9782213023649	9782213690216							https://www.cairn.info/la-fontaine--9782213023649.htm	Duchêne	la-fontaine--9782213023649		fulltext		Fayard	monograph	1990	2020				Hors collection		P	253851009
Éloge du théâtre	9782081375550	9782081463813							https://www.cairn.info/eloge-du-theatre--9782081375550.htm	Badiou	eloge-du-theatre--9782081375550		fulltext		Flammarion	monograph	2016	2021				Champs - Essais		P	26052428X
Dante	9782081519336	9782080241757							https://www.cairn.info/dante--9782081519336.htm	Barbero	dante--9782081519336		fulltext		Flammarion	monograph	2021	2022				Hors collection		P	268079757
Baudelaire	9782080205483	9782080240552							https://www.cairn.info/baudelaire--9782080205483.htm	Compagnon	baudelaire--9782080205483		fulltext		Flammarion	monograph	2021	2022				Champs - Essais		P	268079978
Argent, commerce et échange sous l’Ancien Régime	9782705692384	9791037010582							https://www.cairn.info/argent-commerce-et-echange-sous-l-ancien-regime--9782705692384.htm	Fournier-Plamondon	argent-commerce-et-echange-sous-l-ancien-regime--9782705692384		fulltext		Hermann	monograph	2016	2021				Les collections de la République des Lettres		P	260528498
Entre terre et ciel	9782705693138	9791037010674							https://www.cairn.info/entre-terre-et-ciel--9782705693138.htm	Friche	entre-terre-et-ciel--9782705693138		fulltext		Hermann	monograph	2017	2021				Les collections de la République des Lettres		P	260528315
