publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
« Le rêve », « “Fantômes de vivants” et “recherche psychique” »	9782130590484	9782130808800							https://www.cairn.info/le-reve-fantomes-de-vivants-et-recherche--9782130590484.htm	Bergson	le-reve-fantomes-de-vivants-et-recherche--9782130590484		fulltext		Presses Universitaires de France	monograph	2013	2017				Quadrige		P
« Une passion homicide... » et autres textes	9782130565406	9782130640226							https://www.cairn.info/une-passion-homicide-et-autres-textes--9782130565406.htm	Rosset	une-passion-homicide-et-autres-textes--9782130565406		fulltext		Presses Universitaires de France	monograph	2008	2014				Perspectives critiques		P
À l'angle des mondes possibles	9782130582359	9782130641612							https://www.cairn.info/a-l-angle-des-mondes-possibles--9782130582359.htm	Cauquelin	a-l-angle-des-mondes-possibles--9782130582359		fulltext		Presses Universitaires de France	monograph	2010	2014				Quadrige		P
A l’école des Anciens	9782262044442								https://www.cairn.info/a-l-ecole-des-anciens--9782262044442.htm	Jerphagnon	a-l-ecole-des-anciens--9782262044442		fulltext		Éditions Perrin	monograph	2014	2018				Synthèses Historiques		P
Actualité du compromis	9782200259198	9782200271121							https://www.cairn.info/actualite-du-compromis--9782200259198.htm	Nachi	actualite-du-compromis--9782200259198		fulltext		Armand Colin	monograph	2011	2016				Recherches		P
Adam Smith : philosophie et économie	9782130428329	9782130665205							https://www.cairn.info/adam-smith-philosophie-et-economie--9782130428329.htm	Mathiot	adam-smith-philosophie-et-economie--9782130428329		fulltext		Presses Universitaires de France	monograph	1990	2017				Philosophies		P
Adieu à l'esthétique	9782130500988	9782130685494							https://www.cairn.info/adieu-a-l-esthetique--9782130500988.htm	Schaeffer	adieu-a-l-esthetique--9782130500988		fulltext		Presses Universitaires de France	monograph	2000	2016				Collège international de philosophie		P
Adorno	9782130506669	9782130636533							https://www.cairn.info/adorno--9782130506669.htm	Moutot	adorno--9782130506669		fulltext		Presses Universitaires de France	monograph	2004	2014				Philosophies		P
Albert Camus. Du refus au consentement	9782130587781	9782130642176							https://www.cairn.info/albert-camus-du-refus-au-consentement--9782130587781.htm	Mattéi	albert-camus-du-refus-au-consentement--9782130587781		fulltext		Presses Universitaires de France	monograph	2011	2015				Débats philosophiques		P
Alexandre Kojève	9782130553700	9782130738978							https://www.cairn.info/alexandre-kojeve--9782130553700.htm	Pirotte	alexandre-kojeve--9782130553700		fulltext		Presses Universitaires de France	monograph	2005	2015				Philosophie d'aujourd'hui		P
Alfred Fouillée	9782841867646	9782347015343							https://www.cairn.info/alfred-fouillee--9782841867646.htm	Mallet	alfred-fouillee--9782841867646		fulltext		Michalon	monograph	2015	2019				Le Bien Commun		P
