publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Pas De Société Sans Autotranscendance	9782365122535								https://shs.cairn.info/pas-de-societe-sans-autotranscendance--9782365122535?lang=fr	Marc Weinstein	pas-de-societe-sans-autotranscendance--9782365122535		fulltext		Éditions du Croquant	monograph	2020	2024				Hors collection		P	
Les Derniers Maîtres	9782708254077								https://shs.cairn.info/les-derniers-maitres--9782708254077?lang=fr	Gabriel Perez	les-derniers-maitres--9782708254077		fulltext		Éditions de l'Atelier	monograph	2023	2024				Hors collection		P	280213557
La Conscience Du Corps Au Sujet	9782200264789	9782200356408							https://shs.cairn.info/la-conscience-du-corps-au-sujet--9782200264789?lang=fr	André Simha	la-conscience-du-corps-au-sujet--9782200264789		fulltext		Armand Colin	monograph	2004	2024				Hors collection		P	
Juifs Et Chrétiens	9782220065229								https://shs.cairn.info/juifs-et-chretiens--9782220065229?lang=fr	Béatrice De Varine	juifs-et-chretiens--9782220065229		fulltext		Desclée De Brouwer	monograph	2013	2025				Hors collection		P	
Plotin	9782200291174	9782200613747							https://shs.cairn.info/plotin--9782200291174?lang=fr	Pierre-Marie Morel	plotin--9782200291174		fulltext		Armand Colin	monograph	2016	2020				Lire et comprendre		P	242685293
Cosmopolitique	9782348055195	9782348072512							https://shs.cairn.info/cosmopolitique--9782348055195?lang=fr	Étienne Balibar	cosmopolitique--9782348055195		fulltext		La Découverte	monograph	2022	2022				L'horizon des possibles		P	268082960
Essais Iii	9782910846756	9782748911060							https://shs.cairn.info/essais-iii-wittgenstein-et-les-sortileges--9782910846756?lang=fr	Jacques Bouveresse	essais-iii-wittgenstein-et-les-sortileges--9782910846756		fulltext		Agone	monograph	2003	2016				Banc d’essais		P	198720610
Deux Mille Mots Pour Dire Le Monde	9782382921357	9782382921364							https://shs.cairn.info/deux-mille-mots-pour-dire-le-monde--9782382921357?lang=fr	Henriette Walter	deux-mille-mots-pour-dire-le-monde--9782382921357		fulltext		Bouquins	monograph	2022	2023				Bouquins Essai		P	275580032
Universalisme	9782381910482	9782381910499							https://shs.cairn.info/universalisme--9782381910482?lang=fr	Julien Suaudeau	universalisme--9782381910482		fulltext		Anamosa	monograph	2022	2022				Le mot est faible		P	275564711
Deviens Ce Que Tu Es. Pour Une Vie Philosophique	9782746743939	9782746749061							https://shs.cairn.info/deviens-ce-que-tu-es-pour-une-vie-philosophique--9782746743939?lang=fr	Dorian Astor	deviens-ce-que-tu-es-pour-une-vie-philosophique--9782746743939		fulltext		Autrement	monograph	2016	2021				Les Grands Mots		P	260523402
