publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
« Dieu la mère »	9782130628484	9782130820154							https://www.cairn.info/dieu-la-mere--9782130628484.htm	Merot	dieu-la-mere--9782130628484		fulltext		Presses Universitaires de France	monograph	2014	2018				Le fil rouge		P
« Frères humains qui… »	9782749202198	9782749220390							https://www.cairn.info/freres-humains-qui--9782749202198.htm	Freymann	freres-humains-qui--9782749202198		fulltext		ERES	monograph	2003	2012				Hypothèses		P
« J'ai réussi là où le paranoïaque échoue »	9782749246291	9782749246307							https://www.cairn.info/j-ai-reussi-la-ou-le-paranoiaque-echoue--9782749246291.htm	Azouri	j-ai-reussi-la-ou-le-paranoiaque-echoue--9782749246291		fulltext		ERES	monograph	2015	2016				Hypothèses		P
À l'école du sujet	9782749202358	9782749224350							https://www.cairn.info/a-l-ecole-du-sujet--9782749202358.htm	Dumézil	a-l-ecole-du-sujet--9782749202358		fulltext		ERES	monograph	2003	2010				Hors collection		P
À quel soin se fier ?	9782130631453								https://www.cairn.info/a-quel-soin-se-fier--9782130631453.htm	Marin	a-quel-soin-se-fier--9782130631453		fulltext		Presses Universitaires de France	monograph	2015	2019				Questions de soin		P
À quoi résiste la psychanalyse ?	9782130559061	9782130739272							https://www.cairn.info/a-quoi-resiste-la-psychanalyse--9782130559061.htm	Castel	a-quoi-resiste-la-psychanalyse--9782130559061		fulltext		Presses Universitaires de France	monograph	2006	2015				Science, histoire et société		P
Accompagner une personne en soin palliatif et son entourage	9782100742813	9782100746422							https://www.cairn.info/accompagner-une-personne-en-soin-palliatif--9782100742813.htm	Viallard	accompagner-une-personne-en-soin-palliatif--9782100742813		fulltext		Dunod	monograph	2016	2019				Les Ateliers du praticien		P
Accueillir les pères en périnatalité	9782749254715								https://www.cairn.info/accueillir-les-peres-en-perinatalite--9782749254715.htm	Glangeaud-Freudenthal	accueillir-les-peres-en-perinatalite--9782749254715		fulltext		ERES	monograph	2017	2017				La vie de l’enfant		P
Action, affects et transformation de soi	9782130492702	9782130682295							https://www.cairn.info/action-affects-et-transformation-de-soi--9782130492702.htm	Barbier	action-affects-et-transformation-de-soi--9782130492702		fulltext		Presses Universitaires de France	monograph	1998	2016				Education et formation / Biennales de l'éducation et de la formation		P
Actualité de l’Œdipe	9782130564065	9782130739548							https://www.cairn.info/actualite-de-l-oedipe--9782130564065.htm	Cabrol	actualite-de-l-oedipe--9782130564065		fulltext		Presses Universitaires de France	monograph	2007	2015				Monographies et débats de psychanalyse		P
Actualité des communautés thérapeutiques	9782749238630	9782749238647							https://www.cairn.info/actualite-des-communautes-therapeutiques--9782749238630.htm	Lecomte	actualite-des-communautes-therapeutiques--9782749238630		fulltext		ERES	monograph	2013	2016				Empan		P
Actualité des troubles névrotiques chez l'enfant et l'adolescent	9782749213644	9782749230177							https://www.cairn.info/actualite-des-troubles-nevrotiques-chez-l-enfant--9782749213644.htm	Emmanuelli	actualite-des-troubles-nevrotiques-chez-l-enfant--9782749213644		fulltext		ERES	monograph	2011	2012				Le Carnet psy		P
Actualités de la psychanalyse	9782749242729	9782749242736							https://www.cairn.info/actualites-de-la-psychanalyse--9782749242729.htm	Chaboudez	actualites-de-la-psychanalyse--9782749242729		fulltext		ERES	monograph	2014	2015				Psychanalyse		P
Actualités d'un malaise	9782865867349	9782749217734							https://www.cairn.info/actualites-d-un-malaise--9782865867349.htm	Hassoun	actualites-d-un-malaise--9782865867349		fulltext		ERES	monograph	1998	2018				Actualité de la psychanalyse		P
Addiction et spiritualité	9782749255903	9782749255910							https://www.cairn.info/addiction-et-spiritualite--9782749255903.htm	Besson	addiction-et-spiritualite--9782749255903		fulltext		ERES	monograph	2017	2017				Inconscient et spiritualité		P
Adolescens	9782130475224	9782130674450							https://www.cairn.info/adolescens--9782130475224.htm	Gutton	adolescens--9782130475224		fulltext		Presses Universitaires de France	monograph	1996	2016				Le fil rouge		P
Adolescents et difficultés scolaires	9782804702137	9782804702441							https://www.cairn.info/adolescents-et-difficultes-scolaires--9782804702137.htm	Henrion	adolescents-et-difficultes-scolaires--9782804702137		fulltext		Mardaga	monograph	2014	2015				PSY-Évaluation, mesure, diagnostic		P
Affliction	2825706353	9782906323186							https://www.cairn.info/affliction--2825706353.htm	Gutton	affliction--2825706353		fulltext		Editions GREUPP	monograph	1999	2012				Adolescence		P
