publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Les séparations à but thérapeutique	9782100802456	9782100827275							https://www.cairn.info/les-separations-a-but-therapeutique--9782100802456.htm	Berger	les-separations-a-but-therapeutique--9782100802456		fulltext		Dunod	monograph	2021	2021		3e éd.		Hors collection		P	276406672
Approche clinique des troubles instrumentaux	9782100775828	9782100782024							https://www.cairn.info/approche-clinique-des-troubles-instrumentaux --9782100775828.htm		approche-clinique-des-troubles-instrumentaux --9782100775828		fulltext		Dunod	monograph	2018	2020				Univers Psy		P	267937237
Les méthodes projectives en psychopathologie de l'enfant	9782100820962	9782100833801							https://www.cairn.info/les-methodes-projectives-en-psychopathologie-de-l---9782100820962.htm	Chagnon	les-methodes-projectives-en-psychopathologie-de-l---9782100820962		fulltext		Dunod	monograph	2021	2022				Univers Psy		P	268095973
Alzheimer et états comportementaux	9782100713028	9782100714902							https://www.cairn.info/alzheimer-et-etats-comportementaux--9782100713028.htm	David	alzheimer-et-etats-comportementaux--9782100713028		fulltext		Dunod	monograph	2014	2019				Psychothérapies		P	267929935
Fantasme de matricide et culpabilité inconsciente	9782100705870	9782100707409							https://www.cairn.info/fantasme-de-matricide-et-culpabilite-inconsciente--9782100705870.htm	Guillaumin	fantasme-de-matricide-et-culpabilite-inconsciente--9782100705870		fulltext		Dunod	monograph	2014	2016				Inconscient et culture		P	192236059
16 cas cliniques en psychopathologie de l'adulte	9782100762347	9782100766178							https://www.cairn.info/seize-cas-cliniques-en-psychopathologie-de-l-adult--9782100762347.htm	Dumet	seize-cas-cliniques-en-psychopathologie-de-l-adult--9782100762347		fulltext		Dunod	monograph	2017	2020				Psycho Sup		P	267936648
Droit à l'usage des psychologues	9782100811007								https://www.cairn.info/aide-memoire-droit-a-l-usage-des-psychologues-2e-ed---9782100811007.htm	Dupont	aide-memoire-droit-a-l-usage-des-psychologues-2e-ed---9782100811007		fulltext		Dunod	monograph	2024	2024		2e éditio		Aide-Mémoire		P	
La souffrance des soignants	9782100774920	9782100790777							https://www.cairn.info/souffrance des soignants--9782100774920.htm	Holcman	souffrance des soignants--9782100774920		fulltext		Dunod	monograph	2018	2020				Guides Santé Social		P	242682952
Accompagner les parents d'enfants tyranniques	9782100767588	9782100771189							https://www.cairn.info/accompagner-les parents-d-enfants-tyranniques--9782100767588.htm	Franc	accompagner-les parents-d-enfants-tyranniques--9782100767588		fulltext		Dunod	monograph	2017	2020				Les Ateliers du praticien		P	250702304
Comprendre et soigner le refus scolaire anxieux	9782100798698	9782100808632							https://www.cairn.info/comprendre-et-soigner-le-refus-scolaire-anxieux--9782100798698.htm	Gallé-Tessonneau	comprendre-et-soigner-le-refus-scolaire-anxieux--9782100798698		fulltext		Dunod	monograph	2020	2022				Les Ateliers du praticien		P	268087784
Manuel d'enseignement de psychomotricité	9782353273041	9782807344990							https://www.cairn.info/manuel-d-enseignement-de-psychomotricite-tome-2--9782353273041.htm	Giromini	manuel-d-enseignement-de-psychomotricite-tome-2--9782353273041		fulltext		De Boeck Supérieur	monograph	2001	2023				Psychomotricité		P	27150577X
Penser les soins aux tout-petits avec Emmi Pikler et Donald Winnicott	9782749275284	9782749275307							https://www.cairn.info/penser-les-soins-aux-tout-petits-avec-emmi-pikler---9782749275284.htm	Mauvais	penser-les-soins-aux-tout-petits-avec-emmi-pikler---9782749275284		fulltext		Érès	monograph	2022	2022				1001 bébés		P	268104980
Mémoires, représentations et traitements	9782100798728	9782100801015							https://www.cairn.info/memoires representations et traitements--9782100798728.htm	Meunier	memoires representations et traitements--9782100798728		fulltext		Dunod	monograph	2019	2020		2e éd.		Psycho Sup		P	255021747
La Rencontre psychanalytique	9782100550241	9782100564804							https://www.cairn.info/la-rencontre-psychanalytique--9782100550241.htm	Richard	la-rencontre-psychanalytique--9782100550241		fulltext		Dunod	monograph	2011	2016				Psychismes		P	267934416
Psychosomatique et maladie d’Alzheimer	9782842541675								https://www.cairn.info/psychosomatique-et-maladie-d-alzheimer--9782842541675.htm	Al-Husseini	psychosomatique-et-maladie-d-alzheimer--9782842541675		fulltext		EDP Sciences	monograph	2012	2016				Recherche en psychosomatique		P	
Poésie et cancer chez Arthur Rimbaud	9782842541156	9782842542115							https://www.cairn.info/poesie-et-cancer-chez-arthur-rimbaud--9782842541156.htm	Pirlot	poesie-et-cancer-chez-arthur-rimbaud--9782842541156		fulltext		EDP Sciences	monograph	2007	2016				Pluriels de la psyché		P	267966423
Le rêve, l’affect et la pathologie organique	9782842541477	9782842542139							https://www.cairn.info/reve-l-affect-et-la-pathologie-organique--9782842541477.htm	Sami-Ali	reve-l-affect-et-la-pathologie-organique--9782842541477		fulltext		EDP Sciences	monograph	2010	2016				Recherche en psychosomatique		P	198721862
Conscience, inconscient, émotions	9782843032868								https://www.cairn.info/conscience-inconscient-emotions --9782843032868.htm	Vygotski	conscience-inconscient-emotions --9782843032868		fulltext		La Dispute	monograph	2017	2024				Hors collection		P	
Confluences systémiques en thérapie et en formation	9782749266763								https://www.cairn.info/confluences-systemiques en-therapie--9782749266763.htm	Real del Sarte	confluences-systemiques en-therapie--9782749266763		fulltext		Érès	monograph	2020	2020				Relations		P	
Chroniques psychanalytiques	9782749279381	9782749279404							https://www.cairn.info/chroniques- psychanalytiques--9782749279381.htm	Janody	chroniques- psychanalytiques--9782749279381		fulltext		Érès	monograph	2024	2024				Scripta		P	27672934X
Un immonde sans limite	9782749266121	9782749266138							https://www.cairn.info/un immonde sans limite--9782749266121.htm	Lebrun	un immonde sans limite--9782749266121		fulltext		Érès	monograph	2020	2020				Point Hors Ligne		P	245172025
Le bébé et ses savoirs	9782749275253								https://www.cairn.info/le-bebe -et-ses-savoirs--9782749275253.htm	Parlato-Oliveira	le-bebe -et-ses-savoirs--9782749275253		fulltext		Érès	monograph	2022	2022				1001 bébés		P	
Logiques et archéologiques du cadre psychanalytique	9782130565390	9782130806592							https://www.cairn.info/logiques-et-archeologiques-cadre-psychanalytique--9782130565390.htm	Roussillon	logiques-et-archeologiques-cadre-psychanalytique--9782130565390		fulltext		Presses Universitaires de France	monograph	2007	2016				Le fil rouge		P	19223773X
Violences en institution, bientraitance en situation	9782706143748	9782706143762							https://www.cairn.info/violences-en-institution-bientraitance-en-situatio--9782706143748.htm		violences-en-institution-bientraitance-en-situatio--9782706143748		fulltext		Presses universitaires de Grenoble	monograph	2019	2020				Handicap, vieillissement, société		P	248682431
Les mécaniciens de la lecture	9782738130594	9782738174550							https://www.cairn.info/mecaniciens-de-la-lecture--9782738130594.htm	Gelbert	mecaniciens-de-la-lecture--9782738130594		fulltext		Odile Jacob	monograph	2013	2023				Hors collection		P	275582647
Le PMSI en psychiatrie infanto-juvénile	9782130551034	9782130738831							https://www.cairn.info/la-pmsi-en-psychiatrie-infanto-juvenile--9782130551034.htm	Caron-Lefèvre	la-pmsi-en-psychiatrie-infanto-juvenile--9782130551034		fulltext		Presses Universitaires de France	monograph	2005	2015				Monographies de la psychiatrie enfant		P	185962920
Le fœtus/bébé au regard de la psychanalyse	9782130800873	9782130845478							https://www.cairn.info/le-foetus-bebe-au-regard-de-la-psychanalyse--9782130800873.htm	Missonnier	le-foetus-bebe-au-regard-de-la-psychanalyse--9782130800873		fulltext		Presses Universitaires de France	monograph	2021	2022				Le fil rouge		P	268106134
