publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Pour Une Psychiatrie Sociale	9782749200958								https://shs.cairn.info/pour-une-psychiatrie-sociale--9782749200958?lang=fr	Jean-Paul Arveiller	pour-une-psychiatrie-sociale--9782749200958		fulltext		érès	monograph	2002	2010				Hors collection		P	151453616
Mobilités Et Migrations	9782710146520								https://shs.cairn.info/mobilites-et-migrations--9782710146520?lang=fr	Ivy Daure	mobilites-et-migrations--9782710146520		fulltext		ESF Sciences humaines	monograph	2023	2025				Psychologies et psychotherapies		P	284604674
Monstres Contemporains	9782848353203								https://shs.cairn.info/monstres-contemporains--9782848353203?lang=fr	Catherine Desprats-Péquignot	monstres-contemporains--9782848353203		fulltext		In Press	monograph	2015	2025				Pandora		P	284601136
13 Films Pour Comprendre L’identité De Genre	9782848358994								https://shs.cairn.info/13-films-pour-comprendre-l-identite-de-genre--9782848358994?lang=fr	Lionel Souche	13-films-pour-comprendre-l-identite-de-genre--9782848358994		fulltext		In Press	monograph	2024	2025				La psychologie fait son cinéma		P	284598232
De L'accompagnement Au Coaching En Entreprise	9782749268934	9782749268941							https://shs.cairn.info/de-l-accompagnement-au-coaching-en-entreprise--9782749268934?lang=fr	Evelyne Deret	de-l-accompagnement-au-coaching-en-entreprise--9782749268934		fulltext		érès	monograph	2021	2021				Essais – Sociétés		P	275558975
Les Phobies, Faut-il En Avoir Peur	9782846704434	9782846704915							https://shs.cairn.info/les-phobies-faut-il-en-avoir-peur--9782846704434?lang=fr	Antoine Pelissolo	les-phobies-faut-il-en-avoir-peur--9782846704434		fulltext		Le Cavalier Bleu	monograph	2012	2021				Idées reçues		P	255021313
L’intervention Précoce Pour Enfants Autistes	9782804702625	9782804703684							https://shs.cairn.info/l-intervention-precoce-pour-enfants-autistes--9782804702625?lang=fr	Laurent Mottron	l-intervention-precoce-pour-enfants-autistes--9782804702625		fulltext		Mardaga	monograph	2016	2017				PSY-Émotion, intervention, santé		P	197610323
Les Lieux De La Folie	9782749203867	9782749221359							https://shs.cairn.info/les-lieux-de-la-folie--9782749203867?lang=fr	Claude Meyers	les-lieux-de-la-folie--9782749203867		fulltext		érès	monograph	2005	2012				Des Travaux et des Jours		P	164724389
Déserts Intérieurs	9782749210322	9782749219332							https://shs.cairn.info/deserts-interieurs--9782749210322?lang=fr	Gérard Pirlot	deserts-interieurs--9782749210322		fulltext		érès	monograph	2009	2012				Transition		P	16472527X
Dialogue Du Corps Et De L'esprit	9782738184566								https://shs.cairn.info/dialogue-du-corps-et-de-l-esprit--9782738184566?lang=fr	Pascal-Henri Keller	dialogue-du-corps-et-de-l-esprit--9782738184566		fulltext		Odile Jacob	monograph	2006	2023				Hors collection		P	275574148
La Vengeance	9782848353241	9782386421297							https://shs.cairn.info/la-vengeance--9782848353241?lang=fr	Gérard Bonnet	la-vengeance--9782848353241		fulltext		In Press	monograph	2015	2024				Psy pour tous		P	
Neurologie Et Psychiatrie	9782705663728	9782705699680							https://stm.cairn.info/neurologie-et-psychiatrie--9782705663728?lang=fr	Henri Ey	neurologie-et-psychiatrie--9782705663728		fulltext		Hermann	monograph	1998	2023				Savoir Cultures		P	275586901
Après Les Attentats	9782848355023								https://shs.cairn.info/apres-les-attentats--9782848355023?lang=fr	Laurent Tigrane Tovmassian	apres-les-attentats--9782848355023		fulltext		In Press	monograph	2018	2025				Ouvertures psy		P	284598488
Transidentités Et Transitude	9791031807140	9791031807669							https://shs.cairn.info/transidentites-et-transitude--9791031807140?lang=fr	Maud-Yeuse Thomas	transidentites-et-transitude--9791031807140		fulltext		Le Cavalier Bleu	monograph	2024	2025	2e éd.			Idées reçues		P	
Vivre Et Survivre Dans La Honte	9782706113673	9782706113673							https://shs.cairn.info/vivre-et-survivre-dans-la-honte--9782706113673?lang=fr	Delphine Scotto Di Vettimo	vivre-et-survivre-dans-la-honte--9782706113673		fulltext		Presses universitaires de Grenoble	monograph	2007	2023				Psychopathologie clinique		P	284591475
La Crise Du Milieu De La Vie	9782738111760	9782738185327							https://shs.cairn.info/la-crise-du-milieu-de-la-vie--9782738111760?lang=fr	Françoise Millet-Bartoli	la-crise-du-milieu-de-la-vie--9782738111760		fulltext		Odile Jacob	monograph	2002	2022				Hors collection		P	275569373
Mondialisation Et Identité Culturelle	9782804162603	9782807346550							https://shs.cairn.info/mondialisation-et-identite-culturelle--9782804162603?lang=fr	Geneviève Vinsonneau	mondialisation-et-identite-culturelle--9782804162603		fulltext		De Boeck Supérieur	monograph	2012	2014	1re éd.			Le point sur... Psychologie		P	198719825
L'éveil De L'artiste Dans Le Thérapeute	9782804146719	9782807354104							https://shs.cairn.info/l-eveil-de-l-artiste-dans-le-therapeute--9782804146719?lang=fr	Marie-Christine De Saint Georges	l-eveil-de-l-artiste-dans-le-therapeute--9782804146719		fulltext		De Boeck Supérieur	monograph	2004	2013				Oxalis		P	168730499
L'affirmation De Soi Par Le Jeu De Rôle	9782100860913	9782100869633							https://shs.cairn.info/l-affirmation-de-soi-par-le-jeu-de-role--9782100860913?lang=fr	Anne-Marie Cariou-Rognant	l-affirmation-de-soi-par-le-jeu-de-role--9782100860913		fulltext		Dunod	monograph	2024	2024	4e éd.			Les Ateliers du praticien		P	284597686
