publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
À qui profitent les OGM ?	9782271076694	9782271116987							https://www.cairn.info/a-qui-profitent-les-ogm--9782271076694.htm	Testart	a-qui-profitent-les-ogm--9782271076694		fulltext		C.N.R.S. Editions	monograph	2013	2019				Débats		P
Accompagner la naissance	9782940516148								https://www.cairn.info/accompagner-la-naissance--9782940516148.htm	Burton-Jeangros	accompagner-la-naissance--9782940516148		fulltext		BSN Press	monograph	2014	2016				A contrario Campus		P
Actuelles sur le traumatisme et le travail	9782130786863								https://www.cairn.info/actuelles-sur-le-traumatisme-et-le-travail--9782130786863.htm	Demaegdt	actuelles-sur-le-traumatisme-et-le-travail--9782130786863		fulltext		Presses Universitaires de France	monograph	2016	2020				Souffrance et théorie		P
Agir face aux risques sanitaires	9782130619093	9782130625193							https://www.cairn.info/agir-face-aux-risques-sanitaires--9782130619093.htm	Dab	agir-face-aux-risques-sanitaires--9782130619093		fulltext		Presses Universitaires de France	monograph	2013	2017				Hors collection		P
Alimentation santé	9782100764709	9782100779215							https://www.cairn.info/alimentation-sante--9782100764709.htm	Brennstuhl	alimentation-sante--9782100764709		fulltext		Dunod	monograph	2018	2020				Les nouveaux chemins de la santé		P
Blanc de plomb. Histoire d'un poison légal	9782724624359	9782724624373							https://www.cairn.info/blanc-de-plomb-histoire-d-un-poison-legal--9782724624359.htm	Rainhorn	blanc-de-plomb-histoire-d-un-poison-legal--9782724624359		fulltext		Presses de Sciences Po	monograph	2019	2019				Académique		P
Business partners	9782724617054	9782724617078							https://www.cairn.info/business-partners--9782724617054.htm	Guilbaud	business-partners--9782724617054		fulltext		Presses de Sciences Po	monograph	2015	2015				Relations internationales		P
Climat et santé	9782130523628	9782130737711							https://www.cairn.info/climat-et-sante--9782130523628.htm	Besancenot	climat-et-sante--9782130523628		fulltext		Presses Universitaires de France	monograph	2001	2015				Médecine et société		P
Clinique du travail et évolutions du droit	9782130799030								https://www.cairn.info/clinique-du-travail-et-evolutions-du-droit--9782130799030.htm	Chaignot Delage	clinique-du-travail-et-evolutions-du-droit--9782130799030		fulltext		Presses Universitaires de France	monograph	2017	2020				Hors collection		P
Comprendre la recherche clinique et l'innovation à l'hôpital	9782100713066	9782100714971							https://www.cairn.info/comprendre-la-recherche-clinique-et-l-innovation--9782100713066.htm	Diebolt	comprendre-la-recherche-clinique-et-l-innovation--9782100713066		fulltext		Dunod	monograph	2014	2016				Santé Social		P
Coopérations, conflits et concurrences dans le système de santé	9782859528539								https://www.cairn.info/cooperations-conflits-et-concurrences--9782859528539.htm	Cresson	cooperations-conflits-et-concurrences--9782859528539		fulltext		Presses de l’EHESP	monograph	2003	2019				Recherche, santé, social		P
De l'observance à la gouvernance de sa santé	9782130565734	9782130791317							https://www.cairn.info/de-l-observance-a-la-gouvernance-de-sa-sante--9782130565734.htm	Laude	de-l-observance-a-la-gouvernance-de-sa-sante--9782130565734		fulltext		Presses Universitaires de France	monograph	2007	2016				Droit et santé		P
Dictionnaire critique de l’expertise	9782724617603	9782724617627							https://www.cairn.info/dictionnaire-critique-de-l-expertise--9782724617603.htm	Henry	dictionnaire-critique-de-l-expertise--9782724617603		fulltext		Presses de Sciences Po	monograph	2015	2015				Références		P
Directeur d’hôpital : l’essor d’une profession	9782810900428	9782810901685							https://www.cairn.info/directeur-d-hopital-l-essor-d-une-profession--9782810900428.htm	Guibert	directeur-d-hopital-l-essor-d-une-profession--9782810900428		fulltext		Presses de l’EHESP	monograph	2011	2019				Hors collection		P
Donner la vie, choisir sa mort	9782749262376	9782749262383							https://www.cairn.info/donner-la-vie-choisir-sa-mort--9782749262376.htm	Touraine	donner-la-vie-choisir-sa-mort--9782749262376		fulltext		ERES	monograph	2019	2019				Poche - Espace éthique		P
Donner vie à la relation de soin	9782749264394	9782749264400							https://www.cairn.info/donner-vie-a-la-relation-de-soin--9782749264394.htm	Marmilloud	donner-vie-a-la-relation-de-soin--9782749264394		fulltext		ERES	monograph	2019	2019				Poche - Espace éthique		P
Émergence de maladies infectieuses	9782759224906	9782759224920							https://www.cairn.info/emergence-de-maladies-infectieuses--9782759224906.htm	Morand	emergence-de-maladies-infectieuses--9782759224906		fulltext		Editions Quæ	monograph	2016	2016				Matière à débattre et décider		P
Essais cliniques, quels risques ?	9782130559450	9782130791225							https://www.cairn.info/essais-cliniques-quels-risques--9782130559450.htm	Laude	essais-cliniques-quels-risques--9782130559450		fulltext		Presses Universitaires de France	monograph	2007	2016				Droit et santé		P
Éthique du soin ultime	9782810900145	9782810902316							https://www.cairn.info/ethique-du-soin-ultime--9782810900145.htm	Ricot	ethique-du-soin-ultime--9782810900145		fulltext		Presses de l’EHESP	monograph	2010	2019				Hors collection		P
Faire de la santé publique	9782859529673								https://www.cairn.info/faire-de-la-sante-publique--9782859529673.htm	Fassin	faire-de-la-sante-publique--9782859529673		fulltext		Presses de l’EHESP	monograph	2008	2015				Hors collection		P
Gestion hospitalière	9782847699142	9782847699159							https://www.cairn.info/gestion-hospitaliere--9782847699142.htm	Guelmami	gestion-hospitaliere--9782847699142		fulltext		EMS Editions	monograph	2016	2019				Business Science Institute		P
Handicaps et innovation : le défi de compétence	9782810900411								https://www.cairn.info/handicaps-et-innovation-le-defi-de-competence--9782810900411.htm	Chastenet	handicaps-et-innovation-le-defi-de-competence--9782810900411		fulltext		Presses de l’EHESP	monograph	2010	2019				Hors collection		P
Ignorance scientifique et inaction publique	9782724620450	9782724620474							https://www.cairn.info/ignorance-scientifique-et-inaction-publique--9782724620450.htm	Henry	ignorance-scientifique-et-inaction-publique--9782724620450		fulltext		Presses de Sciences Po	monograph	2017	2017				Académique		P
Image et santé	9782810900527								https://www.cairn.info/image-et-sante--9782810900527.htm	Douguet	image-et-sante--9782810900527		fulltext		Presses de l’EHESP	monograph	2011	2019				Recherche, santé, social		P
Infirmières et sexualité	9782810904099	9782810904105							https://www.cairn.info/infirmieres-et-sexualite--9782810904099.htm	Giami	infirmieres-et-sexualite--9782810904099		fulltext		Presses de l’EHESP	monograph	2015	2019				Recherche, santé, social		P
Information et produits de santé, quelles perspectives ?	9782130555896	9782130806530							https://www.cairn.info/information-et-produits-de-sante-quelles-perspecti--9782130555896.htm	Laude	information-et-produits-de-sante-quelles-perspecti--9782130555896		fulltext		Presses Universitaires de France	monograph	2006	2016				Droit et santé		P
Interventions sociales et rôle de l'État	9782810900329								https://www.cairn.info/interventions-sociales-et-role-de-l-etat--9782810900329.htm	Verba	interventions-sociales-et-role-de-l-etat--9782810900329		fulltext		Presses de l’EHESP	monograph	2010	2019				Hors collection		P
Introduction à l'économie de la santé	9782706121357	9782706121883							https://www.cairn.info/introduction-a-l-economie-de-la-sante--9782706121357.htm	Fargeon	introduction-a-l-economie-de-la-sante--9782706121357		fulltext		Presses universitaires de Grenoble	monograph	2014	2019		2e éd.		Économie en +		P
La gouvernance des innovations médicales	9782130562627	9782130639985							https://www.cairn.info/la-gouvernance-des-innovations-medicales--9782130562627.htm	Tournay	la-gouvernance-des-innovations-medicales--9782130562627		fulltext		Presses Universitaires de France	monograph	2007	2015				La Politique éclatée		P
La maladie génétique au quotidien	9782130621607	9782130810025							https://www.cairn.info/la-maladie-genetique-au-quotidien-la-drepanocytose--9782130621607.htm	Buc-Caron	la-maladie-genetique-au-quotidien-la-drepanocytose--9782130621607		fulltext		Presses Universitaires de France	monograph	2013	2017				Science, histoire et société		P
La politique de santé mentale en France	9782200275945	9782200281847							https://www.cairn.info/la-politique-de-sante-mentale-en-france--9782200275945.htm	Demailly	la-politique-de-sante-mentale-en-france--9782200275945		fulltext		Armand Colin	monograph	2012	2016				Recherches		P
La Santé	9782912601933	9782361061432							https://www.cairn.info/la-sante--9782912601933.htm	Halpern	la-sante--9782912601933		fulltext		Editions Sciences Humaines	monograph	2010	2019				Synthèse		P
La Santé aux États-Unis	9782724618655	9782724618679							https://www.cairn.info/la-sante-aux-etats-unis--9782724618655.htm	Beaussier	la-sante-aux-etats-unis--9782724618655		fulltext		Presses de Sciences Po	monograph	2016	2016				Académique		P
La santé en guerre, 1914-1918	9782724617252	9782724617276							https://www.cairn.info/la-sante-en-guerre-1914-1918--9782724617252.htm	Viet	la-sante-en-guerre-1914-1918--9782724617252		fulltext		Presses de Sciences Po	monograph	2015	2015				Académique		P
La santé, par quels moyens et à quels prix ?	9782130576501	9782130791546							https://www.cairn.info/la-sante-par-quels-moyens-et-a-quels-prix--9782130576501.htm	Geoffard	la-sante-par-quels-moyens-et-a-quels-prix--9782130576501		fulltext		Presses Universitaires de France	monograph	2010	2016				Hors collection		P
La santé publique en procès	9782130553441	9782130738930							https://www.cairn.info/la-sante-publique-en-proces--9782130553441.htm	Cassuto	la-sante-publique-en-proces--9782130553441		fulltext		Presses Universitaires de France	monograph	2008	2015				Questions judiciaires		P
La science asservie	9782707173690	9782707185136							https://www.cairn.info/la-science-asservie--9782707173690.htm	Thébaud-Mony	la-science-asservie--9782707173690		fulltext		La Découverte	monograph	2014	2019				Cahiers libres		P
Le coût mondial du sida	9782222047094	9782271107176							https://www.cairn.info/le-cout-mondial-du-sida--9782222047094.htm	Lambert	le-cout-mondial-du-sida--9782222047094		fulltext		C.N.R.S. Editions	monograph	1992	2018				Hors collection		P
Le management de pôles à l'hôpital	9782100581887								https://www.cairn.info/le-management-de-poles-a-l-hopital--9782100581887.htm	Nobre	le-management-de-poles-a-l-hopital--9782100581887		fulltext		Dunod	monograph	2012	2016				Santé Social		P
Le médicament qui devait sauver l'Afrique	9782359250879	9782359250992							https://www.cairn.info/le-medicament-qui-devait-sauver-l-afrique--9782359250879.htm	Lachenal	le-medicament-qui-devait-sauver-l-afrique--9782359250879		fulltext		La Découverte	monograph	2014	2019				Les Empêcheurs de penser en rond		P
Le mouvement perpétuel	9782865861897	9782749259222							https://www.cairn.info/le-mouvement-perpetuel--9782865861897.htm	Fouché	le-mouvement-perpetuel--9782865861897		fulltext		ERES	monograph	1991	2018				ETHISS		P
Le surprésentéisme	9782804190323	9782807316645							https://www.cairn.info/le-surpresenteisme--9782804190323.htm	Monneuse	le-surpresenteisme--9782804190323		fulltext		De Boeck Supérieur	monograph	1991	2017				Méthodes & Recherches		P
Le travail à coeur	9782707185310	9782707186034							https://www.cairn.info/le-travail-a-coeur--9782707185310.htm	Clot	le-travail-a-coeur--9782707185310		fulltext		La Découverte	monograph	2015	2019				Poche / Essais		P
Les concepts en sciences infirmières	9782953331134								https://www.cairn.info/concepts-en-sciences-infirmieres-2eme-edition--9782953331134.htm		concepts-en-sciences-infirmieres-2eme-edition--9782953331134		fulltext		Association de recherche en soins infirmiers	monograph	2012	2016				Hors collection		P
Les conflits d’intérêts à l’hôpital public : le débat	9782810903719	9782810903726							https://www.cairn.info/les-conflits-d-interets-a-l-hopital-public--9782810903719.htm	Moret-Bailly	les-conflits-d-interets-a-l-hopital-public--9782810903719		fulltext		Presses de l’EHESP	monograph	2015	2019				Controverses		P
Les défis actuels de la santé publique	9782130577263	9782130791584							https://www.cairn.info/les-defis-actuels-de-la-sante-publique--9782130577263.htm	Pialoux	les-defis-actuels-de-la-sante-publique--9782130577263		fulltext		Presses Universitaires de France	monograph	2011	2016				Hors collection		P
Les enjeux du don de sang dans le monde	9782810900763								https://www.cairn.info/les-enjeux-du-don-de-sang-dans-le-monde--9782810900763.htm	Charbonneau	les-enjeux-du-don-de-sang-dans-le-monde--9782810900763		fulltext		Presses de l’EHESP	monograph	2012	2019				Lien social et politiques		P
Lutter contre les inégalités sociales de santé	9782859529840								https://www.cairn.info/lutter-contre-les-inegalites-sociales-de-sante--9782859529840.htm	Niewiadomski	lutter-contre-les-inegalites-sociales-de-sante--9782859529840		fulltext		Presses de l’EHESP	monograph	2008	2019				Recherche, santé, social		P
Maintenir la vie ?	9782810903498	9782810903504							https://www.cairn.info/maintenir-la-vie--9782810903498.htm	Romefort	maintenir-la-vie--9782810903498		fulltext		Presses de l’EHESP	monograph	2015	2019				Controverses		P
Maladie et santé selon les sociétés et les cultures	9782130577256	9782130791577							https://www.cairn.info/maladie-et-sante-selon-les-societes-et-les-culture--9782130577256.htm	Godelier	maladie-et-sante-selon-les-societes-et-les-culture--9782130577256		fulltext		Presses Universitaires de France	monograph	2011	2016				Hors collection		P
Management hospitalier	9782100759002	9782100760817							https://www.cairn.info/management-hospitalier--9782100759002.htm	Holcman	management-hospitalier--9782100759002		fulltext		Dunod	monograph	2017	2020				Guides Santé Social		P
