publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Aider le patient à sortir de la crise : une méthode psychothérapeutique	9782843716843	9782311665840							https://www.cairn.info/aider-le-patient-a-sortir-de-la-crise--9782843716843.htm	Gardinier	aider-le-patient-a-sortir-de-la-crise--9782843716843		fulltext		De Boeck Supérieur	monograph	2013	2024				Sciences du soin		P	276729463
Le dernier souffle	9782073021168	9782073021175							https://www.cairn.info/le-dernier-souffle--9782073021168.htm	Grange	le-dernier-souffle--9782073021168		fulltext		Gallimard	monograph	2023	2023				Témoins		P	275587509
Le soin est un humanisme	9782072859878								https://www.cairn.info/le-soin-est-un-humanisme--9782072859878.htm	Fleury	le-soin-est-un-humanisme--9782072859878		fulltext		Gallimard	monograph	2019	2021		N° 6		Tracts		P	
Quand la psychose fait dérailler le monde	9782072929915								https://www.cairn.info/quand-la-psychose-fait-derailler-le-monde--9782072929915.htm	Girard	quand-la-psychose-fait-derailler-le-monde--9782072929915		fulltext		Gallimard	monograph	2020	2021		N° 21		Tracts		P	
De la démocratie en Pandémie	9782072942228								https://www.cairn.info/de-la-democratie-en-pandemie--9782072942228.htm	Stiegler	de-la-democratie-en-pandemie--9782072942228		fulltext		Gallimard	monograph	2021	2021		N° 23		Tracts		P	
La médecine sans médecin ?	9782070148844	9782072593833							https://www.cairn.info/la-medecine-sans-medecin-le-numerique-au-service-d--9782070148844.htm	Vallancien	la-medecine-sans-medecin-le-numerique-au-service-d--9782070148844		fulltext		Gallimard	monograph	2015	2021				Le Débat		P	260530344
L’Hôpital, une nouvelle industrie	9782072894091								https://www.cairn.info/l-hopital-une-nouvelle-industrie--9782072894091.htm	Velut	l-hopital-une-nouvelle-industrie--9782072894091		fulltext		Gallimard	monograph	2020	2021		N° 12		Tracts		P	
Concevoir des plateformes de services en action sociale et médico-sociale	9782100740437	9782100752607							https://www.cairn.info/concevoir-des-plateformes-de-services--9782100740437.htm	Loubat	concevoir-des-plateformes-de-services--9782100740437		fulltext		Dunod	monograph	2016	2020				Santé Social		P	242680089
18 grandes notions de la pratique de l'entretien clinique	9782100775521	9782100783519							https://www.cairn.info/18-grandes-notions-de-la-pratique-de-l-entretien--9782100775521.htm	Bouvet	18-grandes-notions-de-la-pratique-de-l-entretien--9782100775521		fulltext		Dunod	monograph	2018	2022		2e éd.		Les grandes notions de la psychologie		P	268082944
Le Corps-marché	9782021038880	9782021194760							https://www.cairn.info/le-corps-marche--9782021038880.htm	Lafontaine	le-corps-marche--9782021038880		fulltext		Le Seuil	monograph	2014	2022				La Couleur des idées		P	268100942
Politiques et dispositifs du handicap en France	9782100710089	9782100741557							https://www.cairn.info/politiques-et-dispositifs-du-handicap-en-france--9782100710089.htm	Camberlein	politiques-et-dispositifs-du-handicap-en-france--9782100710089		fulltext		Dunod	monograph	2015	2019		3e éd.		Maxi Fiches		P	237595869
Quand les neurones ne répondent plus	9782804708382	9782804708399							https://www.cairn.info/quand-les-neurones-ne-repondent-plus--9782804708382.htm	Mespouille	quand-les-neurones-ne-repondent-plus--9782804708382		fulltext		Mardaga	monograph	2020	2021				Santé en soi		P	267965605
La boîte à outils Santé-Sécurité-Environnement	9782100795758	9782100797097							https://www.cairn.info/la-boite-a-outils-sante-securite-environnement--9782100795758.htm	Gillet-Goinard	la-boite-a-outils-sante-securite-environnement--9782100795758		fulltext		Dunod	monograph	2019	2021		3e éd.		BàO La Boîte à Outils		P	255020015
Management hospitalier	9782100724291	9782100725595							https://www.cairn.info/management-hospitalier--9782100724291.htm	Holcman	management-hospitalier--9782100724291		fulltext		Dunod	monograph	2015	2016		2e ed.		Guides Santé Social		P	189305908
Management hospitalier	9782100759002	9782100760817							https://www.cairn.info/management-hospitalier--9782100759002.htm	Holcman	management-hospitalier--9782100759002		fulltext		Dunod	monograph	2017	2020				Guides Santé Social		P	242684653
Guide du secteur social et médico-social	9782100759026	9782100762576							https://www.cairn.info/guide-du-secteur-social-et-medico-social--9782100759026.htm	Jaeger	guide-du-secteur-social-et-medico-social--9782100759026		fulltext		Dunod	monograph	2017	2020		10e éd.		Guides Santé Social		P	242681131
Comprendre les politiques sociales	9782100592319	9782100592326							https://www.cairn.info/comprendre-les-politiques-sociales--9782100592319.htm	Löchen	comprendre-les-politiques-sociales--9782100592319		fulltext		Dunod	monograph	2013	2016				Guides Santé Social		P	191586218
