publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Les Sciences Humaines Sont-elles Des Sciences De L'homme ?	9782130494102								https://shs.cairn.info/les-sciences-humaines-sont-elles-des-sciences--9782130494102?lang=fr	François Ewald	les-sciences-humaines-sont-elles-des-sciences--9782130494102		fulltext		Presses Universitaires de France	monograph	1997	2016				Forum Diderot		P	197611354
La Fabrique De La Thèse	9782384091874								https://shs.cairn.info/la-fabrique-de-la-these--9782384091874?lang=fr	Béatrice Garapon	la-fabrique-de-la-these--9782384091874		fulltext		Karthala	monograph	2024	2024				Hors collection		P	
L’univers Politique Des Enfants	9782724603163	9782724685848							https://shs.cairn.info/l-univers-politique-des-enfants--9782724603163?lang=fr	Annick Percheron	l-univers-politique-des-enfants--9782724603163		fulltext		Presses de Sciences Po	monograph	1974	2012				Académique		P	16472673X
Éduquer Et Former	9782361063580								https://shs.cairn.info/eduquer-et-former--9782361063580?lang=fr	Martine Fournier	eduquer-et-former--9782361063580		fulltext		Éditions Sciences Humaines	monograph	2016	2019				Synthèse		P	237596164
Vivre Avec Les Catastrophes	9782130736417	9782130831921							https://shs.cairn.info/vivre-avec-les-catastrophes--9782130736417?lang=fr	Yoann Moreau	vivre-avec-les-catastrophes--9782130736417		fulltext		Presses Universitaires de France	monograph	2017	2020				L'écologie en questions		P	24268677X
Va Savoir !	9782705666095								https://shs.cairn.info/va-savoir--9782705666095?lang=fr	Pascal Engel	va-savoir--9782705666095		fulltext		Hermann	monograph	2007	2024				Hermann philosophie		P	284591386
Entre Unité Et Diversités	9782130653714	9782130831549							https://shs.cairn.info/entre-unite-et-diversites--9782130653714?lang=fr	Conseil Économique Social Et Environnemental	entre-unite-et-diversites--9782130653714		fulltext		Presses Universitaires de France	monograph	2015	2020				Hors collection		P	242680682
La Dépendance Amoureuse	9782130620457	9782130826071							https://shs.cairn.info/la-dependance-amoureuse--9782130620457?lang=fr	Patrick Pharo	la-dependance-amoureuse--9782130620457		fulltext		Presses Universitaires de France	monograph	2015	2019				Hors collection		P	235172634
La Désobéissance À L'autorité	9782130590842	9782130747727							https://shs.cairn.info/la-desobeissance-a-l-autorite--9782130590842?lang=fr	Valérie Ganem	la-desobeissance-a-l-autorite--9782130590842		fulltext		Presses Universitaires de France	monograph	2012	2015				Souffrance et théorie		P	185962696
Traité De Sociologie Économique	9782130608318	9782130840503							https://shs.cairn.info/traite-de-sociologie-economique--9782130608318?lang=fr	Philippe Steiner	traite-de-sociologie-economique--9782130608318		fulltext		Presses Universitaires de France	monograph	2013	2017				Quadrige		P	202884333
10 Propositions Pour Changer D'école	9782021280258								https://shs.cairn.info/dix-propositions-pour-changer-d-ecole--9782021280258?lang=fr	François Dubet	dix-propositions-pour-changer-d-ecole--9782021280258		fulltext		Le Seuil	monograph	2016	2023				Documents (H.C.)		P	275587835
Handicap, Travail, Action Publique	9782706147340	9782706150548							https://shs.cairn.info/handicap-travail-action-publique--9782706147340?lang=fr	Alain Blanc	handicap-travail-action-publique--9782706147340		fulltext		Presses universitaires de Grenoble	monograph	2021	2024				Handicap, vieillissement, société		P	
L'analyse Dynamique En Sociologie	9782130357087	9782130655688							https://shs.cairn.info/l-analyse-dynamique-en-sociologie--9782130357087?lang=fr	Claude Rivière	l-analyse-dynamique-en-sociologie--9782130357087		fulltext		Presses Universitaires de France	monograph	1978	2017				Le Sociologue		P	225761688
La Passion Musicale	9782864246329	9791022606011							https://shs.cairn.info/la-passion-musicale--9782864246329?lang=fr	Antoine Hennion	la-passion-musicale--9782864246329		fulltext		Éditions Métailié	monograph	2007	2017				Suites Sciences Humaines		P	198333404
