publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
"Le ""tiers"": protecteur de l'enfant victime?"	9782749203720	9782749226910							https://www.cairn.info/le-tiers-protecteur-de-l-enfant-victime--978274920372.htm	Bongrain	le-tiers-protecteur-de-l-enfant-victime--978274920372		fulltext		ERES	monograph	2004	2010				Maison des droits des enfants et des jeunes		P
24 heures chrono	9782130594208								https://www.cairn.info/24-heures-chrono--9782130594208.htm	Jeangène Vilmer	24-heures-chrono--9782130594208		fulltext		Presses Universitaires de France	monograph	2012	2016				Hors collection		P
80 % au bac… et après?	9782707141514	9782707192936							https://www.cairn.info/quatre-vingt-pour-cent-au-bac-et-apres--9782707141514.htm	Beaud	quatre-vingt-pour-cent-au-bac-et-apres--9782707141514		fulltext		La Découverte	monograph	2003	2016				Poche/Sciences humaines et sociales		P
A qui appartiennent les enfants?	9782847345612								https://www.cairn.info/a-qui-appartiennent-les-enfants--9782847345612.htm	Segalen	a-qui-appartiennent-les-enfants--9782847345612		fulltext		Tallandier	monograph	2010	2015				Hors collection		P
A-t-on encore besoin des journalistes ?	9782130585671	9782130741572							https://www.cairn.info/a-t-on-encore-besoin-des-journalistes--9782130585671.htm	Scherer	a-t-on-encore-besoin-des-journalistes--9782130585671		fulltext		Presses Universitaires de France	monograph	2011	2015				Hors collection		P
Accompagner la naissance pour l’adoption	9782749214986	9782749230153							https://www.cairn.info/accompagner-la-naissance-pour-l-adoption--9782749214986.htm	Schalck	accompagner-la-naissance-pour-l-adoption--9782749214986		fulltext		ERES	monograph	2011	2012				1001 bébés		P
Accompagner les personnes âgées fragiles	9782749211459								https://www.cairn.info/accompagner-les-personnes-agees-fragiles--9782749211459.htm	Personne	accompagner-les-personnes-agees-fragiles--9782749211459		fulltext		ERES	monograph	2009	2012				Pratiques gérontologiques		P
Accouchement anonyme et adoption plénière	9782845864191	9782811121464							https://www.cairn.info/accouchement-anonyme-et-adoption-pleniere--9782845864191.htm	Cahen	accouchement-anonyme-et-adoption-pleniere--9782845864191		fulltext		Editions Karthala	monograph	2004	2016				Questions d'Enfances		P
Accueillir des femmes en détresse	9782749209517	9782749217635							https://www.cairn.info/accueillir-des-femmes-en-detresse--9782749209517.htm	Affolter	accueillir-des-femmes-en-detresse--9782749209517		fulltext		ERES	monograph	2008	2012				Éducation - Formation		P
Actes manqués de la recherche	9782130458746	9782130708834							https://www.cairn.info/actes-manques-de-la-recherche--9782130458746.htm	Lourau	actes-manques-de-la-recherche--9782130458746		fulltext		Presses Universitaires de France	monograph	1994	2016				La Politique éclatée		P
