publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
« Les phobies » chez l'enfant : impasse ou passage ?	9782749237237	9782749237244							https://www.cairn.info/les-phobies-chez-l-enfant-impasse-ou-passage--9782749237237.htm	Bergès-Bounes	les-phobies-chez-l-enfant-impasse-ou-passage--9782749237237		fulltext		ERES	monograph	2013	2014				Psychanalyse et clinique		P
« Madame, je veux apprendre à lire ! »	9782749208725	9782749221434							https://www.cairn.info/madame-je-veux-apprendre-a-lire--9782749208725.htm	Colet	madame-je-veux-apprendre-a-lire--9782749208725		fulltext		ERES	monograph	2008	2012				Trames		P
« On “garde” des vaches mais pas les enfants... »	9782749214108	9782749230139							https://www.cairn.info/on-garde-des-vaches-mais-pas-les-enfants--9782749214108.htm	Mozère	on-garde-des-vaches-mais-pas-les-enfants--9782749214108		fulltext		ERES	monograph	2011	2012				1001 bébés		P
À la découverte de l'autisme	9782100713073	9782100714995							https://www.cairn.info/a-la-decouverte-de-l-autisme--9782100713073.htm	Yvon	a-la-decouverte-de-l-autisme--9782100713073		fulltext		Dunod	monograph	2014	2016				Santé Social		P
À l'aube du sens : la parole à l'enfant	9782865863372	9782749259369							https://www.cairn.info/a-l-aube-du-sens-la-parole-a-l-enfant--9782865863372.htm	Bass	a-l-aube-du-sens-la-parole-a-l-enfant--9782865863372		fulltext		ERES	monograph	1995	2018				Les recherches du Grape		P
À l'écoute des bébés et de ceux qui les entourent	9782749206769	9782749224374							https://www.cairn.info/a-l-ecoute-des-bebes-et-de-ceux-qui-les-entourent--9782749206769.htm	Giampino	a-l-ecoute-des-bebes-et-de-ceux-qui-les-entourent--9782749206769		fulltext		ERES	monograph	2006	2010				1001 bébés		P
À prendre au sérieux	9789287183538	9789287184498							https://www.cairn.info/a-prendre-au-serieux--9789287183538.htm	O’Kelly	a-prendre-au-serieux--9789287183538		fulltext		Conseil de l'Europe	monograph	2016	2019				Hors collection		P
À quand un seul lieu d’accueil pour les moins de 6 ans ?	9782749211190	9782749217536							https://www.cairn.info/a-quand-un-seul-lieu-d-accueil-pour-les-moins-de-6--9782749211190.htm	Pinelli	a-quand-un-seul-lieu-d-accueil-pour-les-moins-de-6--9782749211190		fulltext		ERES	monograph	2009	2012				1001 bébés		P
A qui appartiennent les enfants ?	9782847345612								https://www.cairn.info/a-qui-appartiennent-les-enfants--9782847345612.htm	Segalen	a-qui-appartiennent-les-enfants--9782847345612		fulltext		Tallandier	monograph	2010	2015				Hors collection		P
À quoi pensent les enfants ?	9782749247397	9782749247403							https://www.cairn.info/a-quoi-pensent-les-enfants--9782749247397.htm	Salomonsson	a-quoi-pensent-les-enfants--9782749247397		fulltext		ERES	monograph	2015	2016				La vie de l’enfant		P
A 2 ans, vivre dans un collectif d'enfants	9782749250045	9782749250052							https://www.cairn.info/a-2-ans-vivre-dans-un-collectif-d-enfants--9782749250045.htm	Garnier	a-2-ans-vivre-dans-un-collectif-d-enfants--9782749250045		fulltext		ERES	monograph	2016	2016				Enfance & parentalité		P
Abécédaire de l'expression	9782865868438	9782749216638							https://www.cairn.info/abecedaire-de-l-expression--9782865868438.htm	Broustra	abecedaire-de-l-expression--9782865868438		fulltext		ERES	monograph	2000	2012				Des Travaux et des Jours		P
Abécédaire musical	9782749212067	9782749216652							https://www.cairn.info/abecedaire-musical--9782749212067.htm	Grosléziat	abecedaire-musical--9782749212067		fulltext		ERES	monograph	2010	2011				1001 bébés		P
Abrégé de psychologie buissonnière	9782804153748	9782804178871							https://www.cairn.info/abrege-de-psychologie-buissonniere--9782804153748.htm	de Perrot	abrege-de-psychologie-buissonniere--9782804153748		fulltext		De Boeck Supérieur	monograph	2007	2012				Oxalis		P
Accompagnement institutionnel d'adultes en situation de handicap	9782749262758	9782749262765							https://www.cairn.info/accompagnement-institutionnel-d-adultes--9782749262758.htm	Bemben	accompagnement-institutionnel-d-adultes--9782749262758		fulltext		ERES	monograph	2019	2019				Connaissances de la diversité		P
Accompagner	9782865868308	9782749224411							https://www.cairn.info/accompagner--9782865868308.htm	Dumont	accompagner--9782865868308		fulltext		ERES	monograph	2003	2010				1001 bébés		P
Accompagner : Un agir professionnel	9782804168902	9782807304604							https://www.cairn.info/accompagner-un-agir-professionnel--9782804168902.htm	Charlier	accompagner-un-agir-professionnel--9782804168902		fulltext		De Boeck Supérieur	monograph	2012	2014				Pédagogies en développement		P
