publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Politiques et dispositifs du handicap en France	9782100710089	9782100741557							https://www.cairn.info/politiques-et-dispositifs-du-handicap-en-france--9782100710089.htm	Camberlein	politiques-et-dispositifs-du-handicap-en-france--9782100710089		fulltext		Dunod	monograph	2015	2019		3e éd.		Maxi Fiches		P	237595869
Politiques et dispositifs du handicap en France	9782100788354	9782100799251							https://www.cairn.info/politiques-et-dispositifs-du-handicap-en-france--9782100788354.htm	Camberlein	politiques-et-dispositifs-du-handicap-en-france--9782100788354		fulltext		Dunod	monograph	2019	2020		4e éd.		Les Ateliers du praticien		P	255022034
Le dispositif de l'action sociale et médico-sociale en France	9782100557479	9782100562381							https://www.cairn.info/dispositif-de-l-action-sociale-et-medico-sociale--9782100557479.htm	Camberlein	dispositif-de-l-action-sociale-et-medico-sociale--9782100557479		fulltext		Dunod	monograph	2011	2016				Santé Social		P	192237152
Comprendre la protection de l'enfance	9782100717972	9782100725571							https://www.cairn.info/comprendre-la-protection-de-l-enfance--9782100717972.htm	Capelier	comprendre-la-protection-de-l-enfance--9782100717972		fulltext		Dunod	monograph	2015	2016				Guides Santé Social		P	267935595
Responsabilité et protection de l'enfance	9782100738595	9782100752683							https://www.cairn.info/responsabilite-et-protection-de-l-enfance--9782100738595.htm	Capelier	responsabilite-et-protection-de-l-enfance--9782100738595		fulltext		Dunod	monograph	2016	2019				Aide-Mémoire		P	267936192
Guide de l'EJE	9782100709755	9782100710461							https://www.cairn.info/guide-de-l-eje--9782100709755.htm	Le Capitaine	guide-de-l-eje--9782100709755		fulltext		Dunod	monograph	2014	2016				Guides Santé Social		P	267935064
Empowerment	9782100765447	9782100767755							https://www.cairn.info/empowerment--9782100765447.htm	Bertrand	empowerment--9782100765447		fulltext		Dunod	monograph	2017	2020				Guides Santé Social		P	24268064X
Traité des sciences et des techniques de la formation	9782100566891	9782100571741							https://www.cairn.info/traite-des-sciences-et-des-techniques-de-la-format--9782100566891.htm	Carré	traite-des-sciences-et-des-techniques-de-la-format--9782100566891		fulltext		Dunod	monograph	2011	2016				Psycho Sup		P	
Financement et tarification des établissements et services sociaux et médico-sociaux	9782100784714	9782100790876							https://www.cairn.info/financement-et-tarification-des-etablissements--9782100784714.htm	Hardy	financement-et-tarification-des-etablissements--9782100784714		fulltext		Dunod	monograph	2018	2020				Guides Santé Social		P	242680895
La marchandisation du travail social	9782100709496	9782100711796							https://www.cairn.info/la-marchandisation-du-travail-social--9782100709496.htm	Hardy	la-marchandisation-du-travail-social--9782100709496		fulltext		Dunod	monograph	2014	2016				Santé Social		P	
