publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
ADN et enquêtes criminelles	9782130568902	9782130601593							https://www.cairn.info/adn-et-enquetes-criminelles--9782130568902.htm	Huyghe	adn-et-enquetes-criminelles--9782130568902		fulltext		Presses Universitaires de France	monograph	2008	2010				Que sais-je ?		P
Action publique et environnement	9782130594826	9782130622420							https://www.cairn.info/action-publique-et-environnement--9782130594826.htm	Lascoumes	action-publique-et-environnement--9782130594826		fulltext		Presses Universitaires de France	monograph	2012	2013				Que sais-je ?		P
Droits et libertés fondamentaux	9782130579717	9782130603726							https://www.cairn.info/droits-et-liberte-fondamentaux--9782130579717.htm	Levinet	droits-et-liberte-fondamentaux--9782130579717		fulltext		Presses Universitaires de France	monograph	2010	2010				Que sais-je ?		P
Fédéralisme et antifédéralisme	9782130554417	9782130595793							https://www.cairn.info/federalisme-et-antifederalisme--9782130554417.htm	Vergniolle de Chantal	federalisme-et-antifederalisme--9782130554417		fulltext		Presses Universitaires de France	monograph	2005	2010				Que sais-je ?		P
Géographie politique	9782130538141	9782130598060							https://www.cairn.info/geographie-politique--9782130538141.htm	de Montbrial	geographie-politique--9782130538141		fulltext		Presses Universitaires de France	monograph	2006	2010				Que sais-je ?		P
Géopolitique de l'Ukraine	9782130732389	9782130789864							https://www.cairn.info/geopolitique-de-l-ukraine--9782130732389.htm	Armandon	geopolitique-de-l-ukraine--9782130732389		fulltext		Presses Universitaires de France	monograph	2016	2016				Que sais-je ?		P
Géopolitique de la Chine	9782130750161	9782130799085							https://www.cairn.info/geopolitique-de-la-chine--9782130750161.htm	Duchâtel	geopolitique-de-la-chine--9782130750161		fulltext		Presses Universitaires de France	monograph	2017	2017				Que sais-je ?		P
Géopolitique de la Méditerranée	9782130617488	9782130623168							https://www.cairn.info/geopolitique-de-la-mediterranee--9782130617488.htm	Benhida	geopolitique-de-la-mediterranee--9782130617488		fulltext		Presses Universitaires de France	monograph	2013	2013				Que sais-je ?		P
Géopolitique de la Russie	9782130732228	9782130736943							https://www.cairn.info/geopolitique-de-la-russie--9782130732228.htm	Mongrenier	geopolitique-de-la-russie--9782130732228		fulltext		Presses Universitaires de France	monograph	2016	2016				Que sais-je ?		P
Géopolitique des drogues	9782130586128	9782130605171							https://www.cairn.info/geopolitique-des-drogues--9782130586128.htm	Labrousse	geopolitique-des-drogues--9782130586128		fulltext		Presses Universitaires de France	monograph	2011	2011		3e éd.		Que sais-je ?		P
Géopolitique des islamismes	9782130632122	9782130652564							https://www.cairn.info/geopolitique-des-islamismes--9782130632122.htm	Larroque	geopolitique-des-islamismes--9782130632122		fulltext		Presses Universitaires de France	monograph	2014	2014				Que sais-je ?		P
Géopolitique des islamismes	9782130729808	9782130732532							https://www.cairn.info/geopolitique-des-islamismes--9782130729808.htm	Larroque	geopolitique-des-islamismes--9782130729808		fulltext		Presses Universitaires de France	monograph	2016	2016		2e éd.		Que sais-je ?		P
Géopolitique du Proche-Orient	9782130734987	9782130749226							https://www.cairn.info/geopolitique-du-proche-orient--9782130734987.htm	Defay	geopolitique-du-proche-orient--9782130734987		fulltext		Presses Universitaires de France	monograph	2016	2016		7e éd.		Que sais-je ?		P
Géopolitique du Proche-Orient	9782130567134	9782130601463							https://www.cairn.info/geopolitique-du-proche-orient--9782130567134.htm	Defay	geopolitique-du-proche-orient--9782130567134		fulltext		Presses Universitaires de France	monograph	2008	2010		4e éd.		Que sais-je ?		P
Géopolitique du Proche-Orient	9782130620488	9782130626985							https://www.cairn.info/geopolitique-du-proche-orient--9782130620488.htm	Defay	geopolitique-du-proche-orient--9782130620488		fulltext		Presses Universitaires de France	monograph	2013	2013		6e éd.		Que sais-je ?		P
Géopolitique du Proche-Orient	9782130581413	9782130604082							https://www.cairn.info/geopolitique-du-proche-orient--9782130581413.htm	Defay	geopolitique-du-proche-orient--9782130581413		fulltext		Presses Universitaires de France	monograph	2011	2011		5e éd.		Que sais-je ?		P
Histoire constitutionnelle de la France	9782130749301	9782130749325							https://www.cairn.info/histoire-constitutionnelle-de-la-france--9782130749301.htm	Bodineau	histoire-constitutionnelle-de-la-france--9782130749301		fulltext		Presses Universitaires de France	monograph	2016	2016		5e éd.		Que sais-je ?		P
Histoire constitutionnelle de la France	9782130549109	9782130597339							https://www.cairn.info/histoire-constitutionnelle-de-la-france--9782130549109.htm	Bodineau	histoire-constitutionnelle-de-la-france--9782130549109		fulltext		Presses Universitaires de France	monograph	2004	2010		3e éd.		Que sais-je ?		P
Histoire constitutionnelle de la France	9782130619727	9782130623274							https://www.cairn.info/histoire-constitutionnelle-de-la-france--9782130619727.htm	Bodineau	histoire-constitutionnelle-de-la-france--9782130619727		fulltext		Presses Universitaires de France	monograph	2013	2013		4e éd.		Que sais-je ?		P
Histoire des relations internationales	9782130583455	9782130604600							https://www.cairn.info/histoire-des-relations-internationales-xixe-et-xxe--9782130583455.htm	Mougel	histoire-des-relations-internationales-xixe-et-xxe--9782130583455		fulltext		Presses Universitaires de France	monograph	2010	2010		10e éd.		Que sais-je ?		P
Histoire des relations internationales	9782130570615	9782130601876							https://www.cairn.info/histoire-des-relations-internationales--9782130570615.htm	Mougel	histoire-des-relations-internationales--9782130570615		fulltext		Presses Universitaires de France	monograph	2009	2010		9e éd.		Que sais-je ?		P
Histoire des relations internationales, de 1815 à nos jours	9782130787013	9782130789369							https://www.cairn.info/histoire-des-relations-internationales--9782130787013.htm	Mougel	histoire-des-relations-internationales--9782130787013		fulltext		Presses Universitaires de France	monograph	2016	2016		13e ed.		Que sais-je ?		P
Histoire des relations internationales, de 1815 à nos jours	9782130633730	9782130634485							https://www.cairn.info/histoire-des-relations-internationales-de-1815--9782130633730.htm	Mougel	histoire-des-relations-internationales-de-1815--9782130633730		fulltext		Presses Universitaires de France	monograph	2014	2014		12e ed.		Que sais-je ?		P
Histoire des relations internationales, de 1815 à nos jours	9782130607786	9782130622888							https://www.cairn.info/histoire-des-relations-internationales-de-1815--9782130607786.htm	Mougel	histoire-des-relations-internationales-de-1815--9782130607786		fulltext		Presses Universitaires de France	monograph	2012	2012		11e éd.		Que sais-je ?		P
Histoire du droit	9782130561491	9782130600411							https://www.cairn.info/histoire-du-droit--9782130561491.htm	Carbasse	histoire-du-droit--9782130561491		fulltext		Presses Universitaires de France	monograph	2008	2010				Que sais-je ?		P
