publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Action publique et environnement	9782130812647	9782130622420							https://www.cairn.info/action-publique-et-environnement--9782130812647.htm	Lascoumes	action-publique-et-environnement--9782130812647		fulltext		Presses Universitaires de France	monograph	2018	2018		2e éd.		Que sais-je ?		P	250553562
Action publique et environnement	9782130594826	9782130622420							https://www.cairn.info/action-publique-et-environnement--9782130594826.htm	Lascoumes	action-publique-et-environnement--9782130594826		fulltext		Presses Universitaires de France	monograph	2012	2013				Que sais-je ?		P	250553562
ADN et enquêtes criminelles	9782130568902	9782130601593							https://www.cairn.info/adn-et-enquetes-criminelles--9782130568902.htm	Huyghe	adn-et-enquetes-criminelles--9782130568902		fulltext		Presses Universitaires de France	monograph	2008	2010				Que sais-je ?		P	
Démographie et écologie	9782707169419	9782707177308							https://www.cairn.info/demographie-et-ecologie--9782707169419.htm	Véron	demographie-et-ecologie--9782707169419		fulltext		La Découverte	monograph	2013	2013				Repères		P	174327838
Diversité culturelle et mondialisation	9782707151292	9782707160478							https://www.cairn.info/diversite-culturelle-et-mondialisation--9782707151292.htm	Mattelart	diversite-culturelle-et-mondialisation--9782707151292		fulltext		La Découverte	monograph	2009	2011				Repères		P	
Diversité culturelle et mondialisation	9782707197443	9782707199102							https://www.cairn.info/diversite-culturelle-et-mondialisation--9782707197443.htm	Mattelart	diversite-culturelle-et-mondialisation--9782707197443		fulltext		La Découverte	monograph	2017	2017		3e éd.		Repères		P	225763664
Droit d’auteur et copyright	9782707157263	9782707160485							https://www.cairn.info/droit-d-auteur-et-copyright--9782707157263.htm	Benhamou	droit-d-auteur-et-copyright--9782707157263		fulltext		La Découverte	monograph	2009	2011				Repères		P	192700979
Droit d’auteur et copyright	9782707182784	9782707183620							https://www.cairn.info/droit-d-auteur-et-copyright--9782707182784.htm	Benhamou	droit-d-auteur-et-copyright--9782707182784		fulltext		La Découverte	monograph	2014	2014		3e éd.		Repères		P	182612368
Droit pénal	9782707127594	9782707168689							https://www.cairn.info/droit-penal--9782707127594.htm	Barberger	droit-penal--9782707127594		fulltext		La Découverte	monograph	1997	2011				Repères		P	
Droits et libertés fondamentaux	9782130579717	9782130603726							https://www.cairn.info/droits-et-liberte-fondamentaux--9782130579717.htm	Levinet	droits-et-liberte-fondamentaux--9782130579717		fulltext		Presses Universitaires de France	monograph	2010	2010				Que sais-je ?		P	
Fédéralisme et antifédéralisme	9782130554417	9782130595793							https://www.cairn.info/federalisme-et-antifederalisme--9782130554417.htm	Vergniolle de Chantal	federalisme-et-antifederalisme--9782130554417		fulltext		Presses Universitaires de France	monograph	2005	2010				Que sais-je ?		P	
Femmes en politique	9782707147417	9782707160768							https://www.cairn.info/femmes-en-politique--9782707147417.htm	Achin	femmes-en-politique--9782707147417		fulltext		La Découverte	monograph	2006	2011				Repères		P	
Géographie politique	9782130538141	9782130598060							https://www.cairn.info/geographie-politique--9782130538141.htm	de Montbrial	geographie-politique--9782130538141		fulltext		Presses Universitaires de France	monograph	2006	2010				Que sais-je ?		P	
Géopolitique de la Chine	9782130750161	9782130799085							https://www.cairn.info/geopolitique-de-la-chine--9782130750161.htm	Duchâtel	geopolitique-de-la-chine--9782130750161		fulltext		Presses Universitaires de France	monograph	2017	2017				Que sais-je ?		P	202737748
Géopolitique de la Chine	9782715401174								https://www.cairn.info/geopolitique-de-la-chine--9782715401174.htm	Duchâtel	geopolitique-de-la-chine--9782715401174		fulltext		Presses Universitaires de France	monograph	2019	2019		2e éd.		Que sais-je ?		P	
Géopolitique de la Méditerranée	9782130817123	9782130817147							https://www.cairn.info/geopolitique-de-la-mediterranee--9782130817123.htm	Rahmoun	geopolitique-de-la-mediterranee--9782130817123		fulltext		Presses Universitaires de France	monograph	2019	2019		2e éd.		Que sais-je ?		P	
Géopolitique de la Méditerranée	9782130617488	9782130623168							https://www.cairn.info/geopolitique-de-la-mediterranee--9782130617488.htm	Benhida	geopolitique-de-la-mediterranee--9782130617488		fulltext		Presses Universitaires de France	monograph	2013	2013				Que sais-je ?		P	174410484
Géopolitique de la Russie	9782130801580	9782130807940							https://www.cairn.info/geopolitique-de-la-russie--9782130801580.htm	Mongrenier	geopolitique-de-la-russie--9782130801580		fulltext		Presses Universitaires de France	monograph	2018	2018		2e éd.		Que sais-je ?		P	225763672
Géopolitique de la Russie	9782130732228	9782130736943							https://www.cairn.info/geopolitique-de-la-russie--9782130732228.htm	Mongrenier	geopolitique-de-la-russie--9782130732228		fulltext		Presses Universitaires de France	monograph	2016	2016				Que sais-je ?		P	197611818
Géopolitique de l'Europe	9782715401020	9782715401044							https://www.cairn.info/geopolitique-de-l-europe--9782715401020.htm	Mongrenier	geopolitique-de-l-europe--9782715401020		fulltext		Presses Universitaires de France	monograph	2020	2020				Que sais-je ?		P	
Géopolitique de l'Ukraine	9782130732389	9782130789864							https://www.cairn.info/geopolitique-de-l-ukraine--9782130732389.htm	Armandon	geopolitique-de-l-ukraine--9782130732389		fulltext		Presses Universitaires de France	monograph	2016	2016				Que sais-je ?		P	197612075
Géopolitique des drogues	9782130586128	9782130605171							https://www.cairn.info/geopolitique-des-drogues--9782130586128.htm	Labrousse	geopolitique-des-drogues--9782130586128		fulltext		Presses Universitaires de France	monograph	2011	2011		3e éd.		Que sais-je ?		P	
Géopolitique des islamismes	9782130632122	9782130652564							https://www.cairn.info/geopolitique-des-islamismes--9782130632122.htm	Larroque	geopolitique-des-islamismes--9782130632122		fulltext		Presses Universitaires de France	monograph	2014	2014				Que sais-je ?		P	182613003
Géopolitique des islamismes	9782130729808	9782130732532							https://www.cairn.info/geopolitique-des-islamismes--9782130729808.htm	Larroque	geopolitique-des-islamismes--9782130729808		fulltext		Presses Universitaires de France	monograph	2016	2016		2e éd.		Que sais-je ?		P	195279999
Géopolitique du Proche-Orient	9782130581413	9782130604082							https://www.cairn.info/geopolitique-du-proche-orient--9782130581413.htm	Defay	geopolitique-du-proche-orient--9782130581413		fulltext		Presses Universitaires de France	monograph	2011	2011		5e éd.		Que sais-je ?		P	
