publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Alexandre le Grand	9782130591481	9782130606031							https://www.cairn.info/alexandre-le-grand--9782130591481.htm	Briant	alexandre-le-grand--9782130591481		fulltext		Presses Universitaires de France	monograph	2011	2011		7e éd.		Que sais-je ?		P
Alexandre le Grand	9782130736745	9782130749998							https://www.cairn.info/alexandre-le-grand--9782130736745.htm	Briant	alexandre-le-grand--9782130736745		fulltext		Presses Universitaires de France	monograph	2016	2016		8e éd.		Que sais-je ?		P
Alexandre le Grand	9782130551867	9782130596721							https://www.cairn.info/alexandre-le-grand--9782130551867.htm	Briant	alexandre-le-grand--9782130551867		fulltext		Presses Universitaires de France	monograph	2005	2010		6e éd.		Que sais-je ?		P
Auschwitz	9782707185228	9782707186430							https://www.cairn.info/auschwitz--9782707185228.htm	Bruttmann	auschwitz--9782707185228		fulltext		La Découverte	monograph	2015	2015				Repères		P
Babylone	9782130573531	9782130602262							https://www.cairn.info/babylone--9782130573531.htm	André-Salvini	babylone--9782130573531		fulltext		Presses Universitaires de France	monograph	2009	2010		2e éd.		Que sais-je ?		P
Babylone	9782130591436	9782130621959							https://www.cairn.info/babylone--9782130591436.htm	André-Salvini	babylone--9782130591436		fulltext		Presses Universitaires de France	monograph	2012	2012		3e éd.		Que sais-je ?		P
Carthage	9782130539629	9782130595885							https://www.cairn.info/carthage--9782130539629.htm	Amadasi Guzzo	carthage--9782130539629		fulltext		Presses Universitaires de France	monograph	2007	2010				Que sais-je ?		P
Chronologie de la France au XXe siècle	9782707131539	9782707168467							https://www.cairn.info/chronologie-de-la-france-au-xxe-siecle--9782707131539.htm	Fhima	chronologie-de-la-france-au-xxe-siecle--9782707131539		fulltext		La Découverte	monograph	2000	2011				Repères		P
Constantin	9782130496564	9782130597216							https://www.cairn.info/constantin-306-337--9782130496564.htm	Lançon	constantin-306-337--9782130496564		fulltext		Presses Universitaires de France	monograph	1998	2010		1re éd.		Que sais-je ?		P
Cuba	9782130559887	9782130600152							https://www.cairn.info/cuba--9782130559887.htm	Lamore	cuba--9782130559887		fulltext		Presses Universitaires de France	monograph	2007	2010		7e éd.		Que sais-je ?		P
Gandhi	9782130502609	9782130599500							https://www.cairn.info/gandhi--9782130502609.htm	Deliège	gandhi--9782130502609		fulltext		Presses Universitaires de France	monograph	1999	2010				Que sais-je ?		P
Géographie de la France	9782130792574	9782130798736							https://www.cairn.info/geographie-de-la-france--9782130792574.htm	Claval	geographie-de-la-france--9782130792574		fulltext		Presses Universitaires de France	monograph	2017	2017		5e éd.		Que sais-je ?		P
Géographie de la France	9782130508755	9782130599715							https://www.cairn.info/geographie-de-la-france--9782130508755.htm	Claval	geographie-de-la-france--9782130508755		fulltext		Presses Universitaires de France	monograph	2000	2010		4e éd.		Que sais-je ?		P
Histoire de Byzance	9782130789055	9782130790372							https://www.cairn.info/histoire-de-byzance--9782130789055.htm	Cheynet	histoire-de-byzance--9782130789055		fulltext		Presses Universitaires de France	monograph	2017	2017		5e éd.		Que sais-je ?		P
Histoire de Byzance	9782130625650	9782130631637							https://www.cairn.info/histoire-de-byzance--9782130625650.htm	Cheynet	histoire-de-byzance--9782130625650		fulltext		Presses Universitaires de France	monograph	2013	2013		4e éd.		Que sais-je ?		P
Histoire de Byzance	9782130572282	9782130602194							https://www.cairn.info/histoire-de-byzance--9782130572282.htm	Cheynet	histoire-de-byzance--9782130572282		fulltext		Presses Universitaires de France	monograph	2009	2010		2e éd.		Que sais-je ?		P
Histoire de Genève	9782130513940	9782130598640							https://www.cairn.info/histoire-de-geneve--9782130513940.htm	Dufour	histoire-de-geneve--9782130513940		fulltext		Presses Universitaires de France	monograph	2001	2010		3e éd.		Que sais-je ?		P
Histoire de Genève	9782130626886								https://www.cairn.info/histoire-de-geneve--9782130626886.htm	Dufour	histoire-de-geneve--9782130626886		fulltext		Presses Universitaires de France	monograph	2014	2014		5e éd.		Que sais-je ?		P
Histoire de Genève	9782130583677	9782130604662							https://www.cairn.info/histoire-de-geneve--9782130583677.htm	Dufour	histoire-de-geneve--9782130583677		fulltext		Presses Universitaires de France	monograph	2010	2011		4e éd.		Que sais-je ?		P
Histoire de Paris	9782130608523	9782130623007							https://www.cairn.info/histoire-de-paris--9782130608523.htm	Combeau	histoire-de-paris--9782130608523		fulltext		Presses Universitaires de France	monograph	2013	2013		8e éd.		Que sais-je ?		P
Histoire de Paris	9782130583479	9782130604617							https://www.cairn.info/histoire-de-paris--9782130583479.htm	Combeau	histoire-de-paris--9782130583479		fulltext		Presses Universitaires de France	monograph	2010	2010		7e éd.		Que sais-je ?		P
Histoire de Paris	9782130575467	9782130602743							https://www.cairn.info/histoire-de-paris--9782130575467.htm	Combeau	histoire-de-paris--9782130575467		fulltext		Presses Universitaires de France	monograph	2009	2010		6e éd.		Que sais-je ?		P
Histoire de Paris	9782130734994	9782130748397							https://www.cairn.info/histoire-de-paris--9782130734994.htm	Combeau	histoire-de-paris--9782130734994		fulltext		Presses Universitaires de France	monograph	2016	2016		9e éd.		Que sais-je ?		P
Histoire de Venise	9782130580928	9782130603955							https://www.cairn.info/histoire-de-venise--9782130580928.htm	Bec	histoire-de-venise--9782130580928		fulltext		Presses Universitaires de France	monograph	2010	2010		3e éd.		Que sais-je ?		P
Histoire de l'Allemagne	9782130537397	9782130599128							https://www.cairn.info/histoire-de-l-allemagne--9782130537397.htm	Droz	histoire-de-l-allemagne--9782130537397		fulltext		Presses Universitaires de France	monograph	2003	2010		14e éd.		Que sais-je ?		P
Histoire de l'Allemagne (1806 à nos jours)	9782130787969	9782130794622							https://www.cairn.info/histoire-de-l-allemagne-1806-a-nos-jours--9782130787969.htm	Chapoutot	histoire-de-l-allemagne-1806-a-nos-jours--9782130787969		fulltext		Presses Universitaires de France	monograph	2017	2017		2e éd.		Que sais-je ?		P
Histoire de l'Inde	9782130634744	9782130730330							https://www.cairn.info/histoire-de-l-Inde--9782130634744.htm	Boivin	histoire-de-l-Inde--9782130634744		fulltext		Presses Universitaires de France	monograph	2015	2015		5e éd.		Que sais-je ?		P
Histoire de l'Iran contemporain	9782707194541	9782707196194							https://www.cairn.info/histoire-de-l-iran-contemporain--9782707194541.htm	Djalili	histoire-de-l-iran-contemporain--9782707194541		fulltext		La Découverte	monograph	2017	2017		2eéd.		Repères		P
Histoire de l'art	9782130608592	9782130623021							https://www.cairn.info/histoire-de-l-art--9782130608592.htm	Barral I Altet	histoire-de-l-art--9782130608592		fulltext		Presses Universitaires de France	monograph	2013	2013		8e éd.		Que sais-je ?		P
Histoire de l'éducation	9782130575092	9782130602613							https://www.cairn.info/histoire-de-l-education--9782130575092.htm	Vial	histoire-de-l-education--9782130575092		fulltext		Presses Universitaires de France	monograph	2009	2010		4e éd.		Que sais-je ?		P
