publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Les bibliothèques	9782130787549	9782130792420							https://www.cairn.info/les-bibliotheques--9782130787549.htm	Carbone	les-bibliotheques--9782130787549		fulltext		Presses Universitaires de France	monograph	2017	2017		2e éd.		Que sais-je ?		P	202738116
L’art contemporain	9782130575443	9782130602729							https://www.cairn.info/l-art-contemporain--9782130575443.htm	Cauquelin	l-art-contemporain--9782130575443		fulltext		Presses Universitaires de France	monograph	2009	2010		9e éd.		Que sais-je ?		P	15097793X
L’art contemporain	9782130591689	9782130606109							https://www.cairn.info/l-art-contemporain--9782130591689.htm	Cauquelin	l-art-contemporain--9782130591689		fulltext		Presses Universitaires de France	monograph	2011	2012		10e éd.		Que sais-je ?		P	159130247
Les 100 mots des Arts déco	9782130786504	9782130801177							https://www.cairn.info/cent-mots-des-arts-deco--9782130786504.htm	Cauwet	cent-mots-des-arts-deco--9782130786504		fulltext		Presses Universitaires de France	monograph	2017	2017				Que sais-je ?		P	225763974
Histoire des nombres	9782130814429	9782130814719							https://www.cairn.info/histoire-des-nombres--9782130814429.htm	Chambon	histoire-des-nombres--9782130814429		fulltext		Presses Universitaires de France	monograph	2020	2020				Que sais-je ?		P	250647370
Histoire de l'Allemagne (1806 à nos jours)	9782130787969	9782130794622							https://www.cairn.info/histoire-de-l-allemagne-1806-a-nos-jours--9782130787969.htm	Chapoutot	histoire-de-l-allemagne-1806-a-nos-jours--9782130787969		fulltext		Presses Universitaires de France	monograph	2017	2017		2e éd.		Que sais-je ?		P	202737764
Histoire de l'Allemagne	9782715408142	9782715408166							https://www.cairn.info/histoire-de-l-allemagne--9782715408142.htm	Chapoutot	histoire-de-l-allemagne--9782715408142		fulltext		Presses Universitaires de France	monograph	2022	2022		3e éd.		Que sais-je ?		P	268099731
La mondialisation culturelle	9782130609469	9782130623137							https://www.cairn.info/la-mondialisation-culturelle--9782130609469.htm	Chaubet	la-mondialisation-culturelle--9782130609469		fulltext		Presses Universitaires de France	monograph	2013	2013				Que sais-je ?		P	168731231
Histoire intellectuelle de l'Europe	9782715401662	9782715401686							https://www.cairn.info/histoire-intellectuelle-de-l-europe--9782715401662.htm	Chaubet	histoire-intellectuelle-de-l-europe--9782715401662		fulltext		Presses Universitaires de France	monograph	2020	2020				Que sais-je ?		P	256427194
Les musées de France	9782130567677	9782130601548							https://www.cairn.info/les-musees-de-france--9782130567677.htm	Sallois	les-musees-de-france--9782130567677		fulltext		Presses Universitaires de France	monograph	2008	2010		4e éd.		Que sais-je ?		P	150983042
Les 100 histoires de la mythologie grecque et romaine	9782130732327	9782130785743							https://www.cairn.info/les-100-histoires-de-la-mythologie-grecque-et-romaine--9782130732327.htm	Schmidt	les-100-histoires-de-la-mythologie-grecque-et-romaine--9782130732327		fulltext		Presses Universitaires de France	monograph	2016	2016				Que sais-je ?		P	193409844
Les 100 histoires de la mythologie grecque et romaine	9782130801610	9782130808060							https://www.cairn.info/les-cent-histoires-de-la-mythologie-grecque-et-rom--9782130801610.htm	Schmidt	les-cent-histoires-de-la-mythologie-grecque-et-rom--9782130801610		fulltext		Presses Universitaires de France	monograph	2018	2018		2e éd.		Que sais-je ?		P	25065749X
La peste noire	9782130811824	9782130811848							https://www.cairn.info/la-peste-noire--9782130811824.htm	Signoli	la-peste-noire--9782130811824		fulltext		Presses Universitaires de France	monograph	2018	2018				Que sais-je ?		P	23241422X
La peste noire	9782715407237	9782715407251							https://www.cairn.info/la-peste-noire--9782715407237.htm	Costedoat	la-peste-noire--9782715407237		fulltext		Presses Universitaires de France	monograph	2021	2021		2e éd.		Que sais-je ?		P	26052705X
La Ve République	9782130576020	9782130602958							https://www.cairn.info/la-ve-republique--9782130576020.htm	Sirinelli	la-ve-republique--9782130576020		fulltext		Presses Universitaires de France	monograph	2010	2010		2e éd.		Que sais-je ?		P	150983166
La Ve République	9782130609117	9782130623090							https://www.cairn.info/la-ve-republique--9782130609117.htm	Sirinelli	la-ve-republique--9782130609117		fulltext		Presses Universitaires de France	monograph	2013	2013		3e éd.		Que sais-je ?		P	250554739
