publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Histoire de la grammaire française	9782130465898	9782130599265							https://www.cairn.info/histoire-de-la-grammaire-francaise--9782130465898.htm	Chevalier	histoire-de-la-grammaire-francaise--9782130465898		fulltext		Presses Universitaires de France	monograph	1996	2010		2e éd.		Que sais-je ?		P	
Histoire de la langue française	9782130556664	9782130596943							https://www.cairn.info/histoire-de-la-langue-francaise--9782130556664.htm	Chaurand	histoire-de-la-langue-francaise--9782130556664		fulltext		Presses Universitaires de France	monograph	2006	2010		11e éd.		Que sais-je ?		P	
Histoire de la poésie française	9782130434610	9782130599258							https://www.cairn.info/histoire-de-la-poesie-francaise--9782130434610.htm	Rousselot	histoire-de-la-poesie-francaise--9782130434610		fulltext		Presses Universitaires de France	monograph	1996	2010		4e éd.		Que sais-je ?		P	
Histoire des théories de l’argumentation	9782707131751	9782707160973							https://www.cairn.info/histoire-des-theories-de-largumentation--9782707131751.htm	Breton	histoire-des-theories-de-largumentation--9782707131751		fulltext		La Découverte	monograph	2000	2011				Repères		P	
Histoire du théâtre	9782130533801	9782130595670							https://www.cairn.info/histoire-du-theatre--9782130533801.htm	Viala	histoire-du-theatre--9782130533801		fulltext		Presses Universitaires de France	monograph	2005	2010				Que sais-je ?		P	
Histoire du théâtre	9782130595441	9782130622604							https://www.cairn.info/histoire-du-theatre--9782130595441.htm	Viala	histoire-du-theatre--9782130595441		fulltext		Presses Universitaires de France	monograph	2012	2012		3e éd.		Que sais-je ?		P	
Histoire du théâtre	9782130631484	9782130633105							https://www.cairn.info/histoire-du-theatre--9782130631484.htm	Viala	histoire-du-theatre--9782130631484		fulltext		Presses Universitaires de France	monograph	2014	2014		4e éd.		Que sais-je ?		P	182613275
Histoire du théâtre	9782130789246	9782130794721							https://www.cairn.info/histoire-du-theatre--9782130789246.htm	Viala	histoire-du-theatre--9782130789246		fulltext		Presses Universitaires de France	monograph	2017	2017		5eed.		Que sais-je ?		P	223738379
Histoire du théâtre	9782130579212	9782130603672							https://www.cairn.info/histoire-du-theatre--9782130579212.htm	Viala	histoire-du-theatre--9782130579212		fulltext		Presses Universitaires de France	monograph	2010	2010		2e éd.		Que sais-je ?		P	
Homère	9782130633600	9782130635284							https://www.cairn.info/homere--9782130633600.htm	de Romilly	homere--9782130633600		fulltext		Presses Universitaires de France	monograph	2014	2014		6e éd.		Que sais-je ?		P	
Homère	9782715400238	9782715400245							https://www.cairn.info/homere--9782715400238.htm	de Romilly	homere--9782715400238		fulltext		Presses Universitaires de France	monograph	2019	2019		7e éd.		Que sais-je ?		P	24268713X
Homère	9782130548300	9782130597483							https://www.cairn.info/homere--9782130548300.htm	de Romilly	homere--9782130548300		fulltext		Presses Universitaires de France	monograph	2005	2010		5e éd.		Que sais-je ?		P	
Jean-Paul Sartre	9782130548799	9782130597636							https://www.cairn.info/jean-paul-sartre--9782130548799.htm	Cohen-Solal	jean-paul-sartre--9782130548799		fulltext		Presses Universitaires de France	monograph	2005	2010				Que sais-je ?		P	
La bande dessinée	9782130561071	9782130600312							https://www.cairn.info/la-bande-dessinee--9782130561071.htm	Baron-Carvais	la-bande-dessinee--9782130561071		fulltext		Presses Universitaires de France	monograph	2007	2010		5e éd.		Que sais-je ?		P	
La contrepèterie	9782130575252	9782130602668							https://www.cairn.info/la-contrepetrie--9782130575252.htm	Martin	la-contrepetrie--9782130575252		fulltext		Presses Universitaires de France	monograph	2009	2010		2e éd.		Que sais-je ?		P	
La contrepèterie	9782715400566								https://www.cairn.info/la-contrepeterie--9782715400566.htm	Martin	la-contrepeterie--9782715400566		fulltext		Presses Universitaires de France	monograph	2019	2019		4e éd.		Que sais-je ?		P	
La critique littéraire	9782130523260	9782130595717							https://www.cairn.info/la-critique-litteraire--9782130523260.htm	Brunel	la-critique-litteraire--9782130523260		fulltext		Presses Universitaires de France	monograph	2001	2010				Que sais-je ?		P	
La didactique des langues étrangères	9782130632245	9782130652625							https://www.cairn.info/la-didactique-des-langues-etrangeres--9782130632245.htm	Martinez	la-didactique-des-langues-etrangeres--9782130632245		fulltext		Presses Universitaires de France	monograph	2014	2014		7e éd.		Que sais-je ?		P	18261462X
La didactique des langues étrangères	9782130565536	9782130601104							https://www.cairn.info/la-didactique-des-langues-etrangeres--9782130565536.htm	Martinez	la-didactique-des-langues-etrangeres--9782130565536		fulltext		Presses Universitaires de France	monograph	2008	2010		5e éd.		Que sais-je ?		P	
La didactique des langues étrangères	9782130799641	9782130804604							https://www.cairn.info/la-didactique-des-langues-etrangeres--9782130799641.htm	Martinez	la-didactique-des-langues-etrangeres--9782130799641		fulltext		Presses Universitaires de France	monograph	2017	2018		8e éd.		Que sais-je ?		P	225763745
La didactique du français	9782130525479	9782130596639							https://www.cairn.info/la-didactique-du-francais--9782130525479.htm	Rosier	la-didactique-du-francais--9782130525479		fulltext		Presses Universitaires de France	monograph	2002	2010				Que sais-je ?		P	
La fantasy	9782130551584	9782130595755							https://www.cairn.info/la-fantasy--9782130551584.htm	Baudou	la-fantasy--9782130551584		fulltext		Presses Universitaires de France	monograph	2005	2010				Que sais-je ?		P	
La formation de la langue française	9782130414780	9782130598992							https://www.cairn.info/la-formation-de-la-langue-francaise--9782130414780.htm	Allières	la-formation-de-la-langue-francaise--9782130414780		fulltext		Presses Universitaires de France	monograph	1996	2010		3e éd.		Que sais-je ?		P	
La langue corse	9782130529460	9782130597599							https://www.cairn.info/la-langue-corse--9782130529460.htm	Dalbera-Stefanaggi	la-langue-corse--9782130529460		fulltext		Presses Universitaires de France	monograph	2002	2010				Que sais-je ?		P	
La lexicologie	9782130505778	9782130598114							https://www.cairn.info/la-lexicologie--9782130505778.htm	Eluerd	la-lexicologie--9782130505778		fulltext		Presses Universitaires de France	monograph	2000	2010				Que sais-je ?		P	
La linguistique	9782130557098	9782130597056							https://www.cairn.info/la-linguistique-jean-perrot--9782130557098.htm	Perrot	la-linguistique-jean-perrot--9782130557098		fulltext		Presses Universitaires de France	monograph	2007	2010		17e éd.		Que sais-je ?		P	
La linguistique	9782130584575	9782130604877							https://www.cairn.info/la-linguistique-jean-perrot--9782130584575.htm	Perrot	la-linguistique-jean-perrot--9782130584575		fulltext		Presses Universitaires de France	monograph	2010	2010		18eéd.		Que sais-je ?		P	250571668
La linguistique	9782130812555	9782130604877							https://www.cairn.info/la-linguistique-jean-perrot--9782130812555.htm	Perrot	la-linguistique-jean-perrot--9782130812555		fulltext		Presses Universitaires de France	monograph	2018	2018		19e éd.		Que sais-je ?		P	250571668
La littérature américaine	9782130541240	9782130597346							https://www.cairn.info/la-litterature-americaine--9782130541240.htm	Royot	la-litterature-americaine--9782130541240		fulltext		Presses Universitaires de France	monograph	2004	2010				Que sais-je ?		P	
La littérature anglaise	9782130542179	9782130596332							https://www.cairn.info/la-litterature-anglaise--9782130542179.htm	Regard	la-litterature-anglaise--9782130542179		fulltext		Presses Universitaires de France	monograph	2007	2010				Que sais-je ?		P	
La littérature arthurienne	9782130510499	9782130598152							https://www.cairn.info/la-litterature-arthurienne--9782130510499.htm	Delcourt	la-litterature-arthurienne--9782130510499		fulltext		Presses Universitaires de France	monograph	2000	2010				Que sais-je ?		P	
La littérature comparée	9782130732938	9782130732952							https://www.cairn.info/la-litterature-comparee--9782130732938.htm	Chevrel	la-litterature-comparee--9782130732938		fulltext		Presses Universitaires de France	monograph	2016	2016		7e éd.		Que sais-je ?		P	192238892
La littérature comparée	9782130574996	9782130602576							https://www.cairn.info/la-litterature-comparee--9782130574996.htm	Chevrel	la-litterature-comparee--9782130574996		fulltext		Presses Universitaires de France	monograph	2009	2010		6e éd.		Que sais-je ?		P	
La littérature espagnole	9782130531722	9782130599241							https://www.cairn.info/la-litterature-espagnole--9782130531722.htm	Aubrun	la-litterature-espagnole--9782130531722		fulltext		Presses Universitaires de France	monograph	2004	2010		7e éd.		Que sais-je ?		P	
La littérature espagnole	9782130624431	9782130631729							https://www.cairn.info/la-litterature-espagnole--9782130624431.htm	Aubrun	la-litterature-espagnole--9782130624431		fulltext		Presses Universitaires de France	monograph	2013	2013		8e éd.		Que sais-je ?		P	17603997X
La littérature fantastique	9782130570547	9782130601807							https://www.cairn.info/la-litterature-fantastique--9782130570547.htm	Steinmetz	la-litterature-fantastique--9782130570547		fulltext		Presses Universitaires de France	monograph	2008	2010		5e éd.		Que sais-je ?		P	
