publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Bergson	9782130561415	9782130600381							https://www.cairn.info/bergson--9782130561415.htm	Vieillard-Baron	bergson--9782130561415		fulltext		Presses Universitaires de France	monograph	2007	2010		3e éd.		Que sais-je ?		P
Darwin et le darwinisme	9782130626411	9782130626428							https://www.cairn.info/darwin-et-le-darwinisme--9782130626411.htm	Tort	darwin-et-le-darwinisme--9782130626411		fulltext		Presses Universitaires de France	monograph	2014	2014		5e éd.		Que sais-je ?		P
Georges Canguilhem	9782130538615	9782130597902							https://www.cairn.info/georges-canguilhem--9782130538615.htm	Lecourt	georges-canguilhem--9782130538615		fulltext		Presses Universitaires de France	monograph	2008	2010				Que sais-je ?		P
Histoire du judaïsme	9782130589778	9782130621881							https://www.cairn.info/histoire-du-judaisme--9782130589778.htm	Smilevitch	histoire-du-judaisme--9782130589778		fulltext		Presses Universitaires de France	monograph	2012	2012				Que sais-je ?		P
Histoire du protestantisme	9782130730446	9782130730460							https://www.cairn.info/histoire-du-protestantisme--9782130730446.htm	Baubérot	histoire-du-protestantisme--9782130730446		fulltext		Presses Universitaires de France	monograph	2015	2016		9e éd.		Que sais-je ?		P
Histoire du protestantisme	9782130578765	9782130603474							https://www.cairn.info/histoire-du-protestantisme--9782130578765.htm	Baubérot	histoire-du-protestantisme--9782130578765		fulltext		Presses Universitaires de France	monograph	2009	2010		7e éd.		Que sais-je ?		P
L'imaginaire	9782130749349	9782130788997							https://www.cairn.info/l-imaginaire--9782130749349.htm	Wunenburger	l-imaginaire--9782130749349		fulltext		Presses Universitaires de France	monograph	2016	2016		3e éd.		Que sais-je ?		P
L'ordre maçonnique	9782130625520	9782130630012							https://www.cairn.info/l-ordre-maconnique--9782130625520.htm	Prat	l-ordre-maconnique--9782130625520		fulltext		Presses Universitaires de France	monograph	2013	2013		2e éd.		Que sais-je ?		P
L'épistémologie génétique	9782130549970	9782130596073							https://www.cairn.info/l-epistemologie-genetique--9782130549970.htm	Piaget	l-epistemologie-genetique--9782130549970		fulltext		Presses Universitaires de France	monograph	2005	2010		6e éd.		Que sais-je ?		P
La méditation	9782130789406	9782130790501							https://www.cairn.info/la-meditation--9782130789406.htm	Midal	la-meditation--9782130789406		fulltext		Presses Universitaires de France	monograph	2017	2017		2e éd.		Que sais-je ?		P
La neurophilosophie	9782130564287	9782130600831							https://www.cairn.info/la-neurophilosophie--9782130564287.htm	Andrieu	la-neurophilosophie--9782130564287		fulltext		Presses Universitaires de France	monograph	2007	2010		2e éd.		Que sais-je ?		P
La philosophie de la religion	9782130569602	9782130601661							https://www.cairn.info/la-philosophie-de-la-religion--9782130569602.htm	Grondin	la-philosophie-de-la-religion--9782130569602		fulltext		Presses Universitaires de France	monograph	2009	2010				Que sais-je ?		P
La philosophie de la religion	9782130592143	9782130622048							https://www.cairn.info/la-philosophie-de-la-religion--9782130592143.htm	Grondin	la-philosophie-de-la-religion--9782130592143		fulltext		Presses Universitaires de France	monograph	2012	2012		2e éd.		Que sais-je ?		P
La philosophie de l’art	9782130570455	9782130601739							https://www.cairn.info/la-philosophie-de-l-art--9782130570455.htm	Lacoste	la-philosophie-de-l-art--9782130570455		fulltext		Presses Universitaires de France	monograph	2008	2010		9e éd.		Que sais-je ?		P
La philosophie de l’éducation	9782130749448	9782130786177							https://www.cairn.info/la-philosophie-de-l-education--9782130749448.htm	Reboul	la-philosophie-de-l-education--9782130749448		fulltext		Presses Universitaires de France	monograph	2016	2016		11e éd.		Que sais-je ?		P
La philosophie des sciences	9782130624448	9782130732808							https://www.cairn.info/la-philosophie-des-sciences--9782130624448.htm	Lecourt	la-philosophie-des-sciences--9782130624448		fulltext		Presses Universitaires de France	monograph	2015	2015		6e éd.		Que sais-je ?		P
La philosophie des sciences	9782130580539	9782130603788							https://www.cairn.info/la-philosophie-des-sciences--9782130580539.htm	Lecourt	la-philosophie-des-sciences--9782130580539		fulltext		Presses Universitaires de France	monograph	2010	2010		5e éd.		Que sais-je ?		P
La philosophie du corps	9782130575573	9782130602842							https://www.cairn.info/la-philosophie-du-corps--9782130575573.htm	Marzano	la-philosophie-du-corps--9782130575573		fulltext		Presses Universitaires de France	monograph	2009	2010		2e éd.		Que sais-je ?		P
La philosophie du langage	9782130568896	9782130598428							https://www.cairn.info/la-philosophie-du-langage--9782130568896.htm	Auroux	la-philosophie-du-langage--9782130568896		fulltext		Presses Universitaires de France	monograph	2008	2010				Que sais-je ?		P
La violence	9782130536253	9782130598008							https://www.cairn.info/la-violence--9782130536253.htm	Michaud	la-violence--9782130536253		fulltext		Presses Universitaires de France	monograph	2004	2010		6e éd.		Que sais-je ?		P
Le Rite français	9782130581970	9782130621775							https://www.cairn.info/le-rite-francais--9782130581970.htm	Bauer	le-rite-francais--9782130581970		fulltext		Presses Universitaires de France	monograph	2012	2012				Que sais-je ?		P
Le chamanisme	9782130792840	9782130795223							https://www.cairn.info/le-chamanisme--9782130792840.htm	Perrin	le-chamanisme--9782130792840		fulltext		Presses Universitaires de France	monograph	2017	2017		7e éd.		Que sais-je ?		P
Le personnalisme	9782130521068	9782130598749							https://www.cairn.info/le-personnalisme--9782130521068.htm	Mounier	le-personnalisme--9782130521068		fulltext		Presses Universitaires de France	monograph	2001	2010		17e éd.		Que sais-je ?		P
Le stoïcisme	9782130590910	9782130605911							https://www.cairn.info/le-stoicisme--9782130590910.htm	Gourinat	le-stoicisme--9782130590910		fulltext		Presses Universitaires de France	monograph	2011	2011		3e éd.		Que sais-je ?		P
Le stoïcisme	9782130578703	9782130603443							https://www.cairn.info/le-stoicisme--9782130578703.htm	Gourinat	le-stoicisme--9782130578703		fulltext		Presses Universitaires de France	monograph	2009	2010		2e éd.		Que sais-je ?		P
