publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Le judaïsme	9782707164629	9782707164735							https://www.cairn.info/le-judaisme--9782707164629.htm	Azria	le-judaisme--9782707164629		fulltext		La Découverte	monograph	2010	2011		3e éd.		Repères		P	150971389
La philosophie de Marx	9782707133892	9782707167934							https://www.cairn.info/la-philosophie-de-marx--9782707133892.htm	Balibar	la-philosophie-de-marx--9782707133892		fulltext		La Découverte	monograph	2001	2011				Repères		P	150971443
Introduction à Michel Foucault	9782707155856	9782707167248							https://www.cairn.info/introduction-a-michel-foucault--9782707155856.htm	Bert	introduction-a-michel-foucault--9782707155856		fulltext		La Découverte	monograph	2011	2011				Repères		P	150971753
Introduction à Michel Foucault	9782707192370	9782707194190							https://www.cairn.info/introduction-a-michel-foucault--9782707192370.htm	Bert	introduction-a-michel-foucault--9782707192370		fulltext		La Découverte	monograph	2016	2016		Nouvelle édition		Repères		P	197611753
Introduction à Bernard Charbonneau	9782348078200	9782348083846							https://www.cairn.info/introduction-a-bernard-charbonneau--9782348078200.htm		introduction-a-bernard-charbonneau--9782348078200		fulltext		La Découverte	monograph	2024	2024				Repères		P	
Introduction à Raymond Aron	9782348079337	9782348079351							https://www.cairn.info/introduction-a-raymond-aron--9782348079337.htm	Châton	introduction-a-raymond-aron--9782348079337		fulltext		La Découverte	monograph	2023	2023		Nlle édition		Repères		P	271505249
Introduction à Marx	9782707199690	9782348056048							https://www.cairn.info/introduction-a-marx--9782707199690.htm	Combemale	introduction-a-marx--9782707199690		fulltext		La Découverte	monograph	2018	2020				Repères		P	242687148
L’Islam	9782707143334	9782707163165							https://www.cairn.info/l-islam--9782707143334.htm	Delcambre	l-islam--9782707143334		fulltext		La Découverte	monograph	2004	2011		4e éd.		Repères		P	153026596
Bruno Latour	9782707196774	9782348056031							https://www.cairn.info/bruno-latour--9782707196774.htm	de Vries	bruno-latour--9782707196774		fulltext		La Découverte	monograph	2018	2020				Repères		P	242687008
La sociologie de Marx	9782348036149	9782348040986							https://www.cairn.info/la-sociologie-de-marx--9782348036149.htm	Durand	la-sociologie-de-marx--9782348036149		fulltext		La Découverte	monograph	2018	2018				Repères		P	230551572
La Théorie critique	9782348065040	9782348065064							https://www.cairn.info/la-theorie-critique--9782348065040.htm	Durand-Gasselin	la-theorie-critique--9782348065040		fulltext		La Découverte	monograph	2022	2023				Repères		P	270353534
Les théories de la reconnaissance	9782707157775	9782707174123							https://www.cairn.info/les-theories-de-la-reconnaissance--9782707157775.htm	Guéguen	les-theories-de-la-reconnaissance--9782707157775		fulltext		La Découverte	monograph	2012	2012				Repères		P	164730125
Les théories de la reconnaissance	9782707178268	9782707182296							https://www.cairn.info/les-theories-de-la-reconnaissance--9782707178268.htm	Guéguen	les-theories-de-la-reconnaissance--9782707178268		fulltext		La Découverte	monograph	2014	2014		Nouvelle édition		Repères		P	182617386
Introduction à Antonio Gramsci	9782707170101	9782707176615							https://www.cairn.info/introduction-a-antonio-gramsci--9782707170101.htm	Hoare	introduction-a-antonio-gramsci--9782707170101		fulltext		La Découverte	monograph	2013	2013				Repères		P	168732335
Introduction à Antonio Gramsci	9782348045752	9782348046414							https://www.cairn.info/introduction-a-antonio-gramsci--9782348045752.htm	Hoare	introduction-a-antonio-gramsci--9782348045752		fulltext		La Découverte	monograph	2019	2019		Nouvelle édition		Repères		P	240751124
L'écoféminisme	9782348071621	9782348071645							https://www.cairn.info/l-ecofeminisme--9782348071621.htm	Larrère	l-ecofeminisme--9782348071621		fulltext		La Découverte	monograph	2023	2023				Repères		P	269932992
Le bouddhisme en Occident	9782707150639	9782707161949							https://www.cairn.info/le-bouddhisme-en-occident--9782707150639.htm	Obadia	le-bouddhisme-en-occident--9782707150639		fulltext		La Découverte	monograph	2007	2011				Repères		P	150975090
La spiritualité	9782348043451	9782348079405							https://www.cairn.info/la-spiritualite--9782348043451.htm	Obadia	la-spiritualite--9782348043451		fulltext		La Découverte	monograph	2023	2023				Repères		P	271505273
L'espace public	9782348083068	9782348083082							https://www.cairn.info/l-espace-public--9782348083068.htm	Paquot	l-espace-public--9782348083068		fulltext		La Découverte	monograph	2024	2024		3e éd.		Repères		P	
Introduction à Claude Lefort	9782348055867	9782348055881							https://www.cairn.info/introduction-a-claude-lefort--9782348055867.htm	Poirier	introduction-a-claude-lefort--9782348055867		fulltext		La Découverte	monograph	2020	2020				Repères		P	248677772
Introduction à Castoriadis	9782707150837	9782707161017							https://www.cairn.info/introduction-a-castoriadis--9782707150837.htm	Prat	introduction-a-castoriadis--9782707150837		fulltext		La Découverte	monograph	2007	2011				Repères		P	153026707
Introduction à Castoriadis	9782707174741	9782707175281							https://www.cairn.info/introduction-a-castoriadis--9782707174741.htm	Prat	introduction-a-castoriadis--9782707174741		fulltext		La Découverte	monograph	2012	2012		Nouvelle édition		Repères		P	168732459
Histoire du protestantisme	9782130578765	9782130603474							https://www.cairn.info/histoire-du-protestantisme--9782130578765.htm	Baubérot-Vincent	histoire-du-protestantisme--9782130578765		fulltext		Presses Universitaires de France	monograph	2009	2010		7e éd.		Que sais-je ?		P	150976836
Histoire du protestantisme	9782130625865	9782130631743							https://www.cairn.info/histoire-du-protestantisme--9782130625865.htm	Baubérot-Vincent	histoire-du-protestantisme--9782130625865		fulltext		Presses Universitaires de France	monograph	2013	2013		8e éd.		Que sais-je ?		P	176046291
Histoire du protestantisme	9782130730446	9782130730460							https://www.cairn.info/histoire-du-protestantisme--9782130730446.htm	Baubérot-Vincent	histoire-du-protestantisme--9782130730446		fulltext		Presses Universitaires de France	monograph	2015	2016		9e éd.		Que sais-je ?		P	191565954
Les Juifs ashkénazes	9782130514527	9782130598190							https://www.cairn.info/les-juifs-ashkenazes--9782130514527.htm	Bauer	les-juifs-ashkenazes--9782130514527		fulltext		Presses Universitaires de France	monograph	2001	2010				Que sais-je ?		P	150976895
Le Grand Orient de France	9782130557708	9782130595779							https://www.cairn.info/le-grand-orient-de-france--9782130557708.htm	Bauer	le-grand-orient-de-france--9782130557708		fulltext		Presses Universitaires de France	monograph	2006	2010		3e éd.		Que sais-je ?		P	150976909
Les 100 mots de la franc-maçonnerie	9782130562634	9782130600589							https://www.cairn.info/les-100-mots-de-la-franc-maconnerie--9782130562634.htm	Bauer	les-100-mots-de-la-franc-maconnerie--9782130562634		fulltext		Presses Universitaires de France	monograph	2007	2010				Que sais-je ?		P	150976917
Les rites maçonniques anglo-saxons	9782130581949	9782130604150							https://www.cairn.info/les-rites-maconniques-anglo-saxons--9782130581949.htm	Bauer	les-rites-maconniques-anglo-saxons--9782130581949		fulltext		Presses Universitaires de France	monograph	2011	2011				Que sais-je ?		P	153026731
Le Grand Orient de France	9782130588665	9782130621874							https://www.cairn.info/le-grand-orient-de-france--9782130588665.htm	Bauer	le-grand-orient-de-france--9782130588665		fulltext		Presses Universitaires de France	monograph	2012	2012		4e éd.		Que sais-je ?		P	182310450
Les 100 mots de la franc-maçonnerie	9782130794998	9782130798750							https://www.cairn.info/les-100-mots-de-la-franc-maconnerie--9782130794998.htm	Bauer	les-100-mots-de-la-franc-maconnerie--9782130794998		fulltext		Presses Universitaires de France	monograph	2017	2017				Que sais-je ?		P	250651076
La théologie	9782130575566	9782130602835							https://www.cairn.info/la-theologie--9782130575566.htm	Bedouelle	la-theologie--9782130575566		fulltext		Presses Universitaires de France	monograph	2009	2010		2e éd.		Que sais-je ?		P	150977093
