publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Apraxie et troubles d’utilisation d’outils	9782130749011	9782130785521							https://www.cairn.info/apraxie-et-troubles-d-utilisation-d-outils--9782130749011.htm	Osiurak	apraxie-et-troubles-d-utilisation-d-outils--9782130749011		fulltext		Presses Universitaires de France	monograph	2016	2016				Que sais-je ?		P
Freud	9782130576037	9782130602965							https://www.cairn.info/freud--9782130576037.htm	Jaccard	freud--9782130576037		fulltext		Presses Universitaires de France	monograph	2009	2010		10e éd.		Que sais-je ?		P
Handicap et maladie mentale	9782130653462	9782130731443							https://www.cairn.info/handicap-et-maladie-mentale--9782130653462.htm	Liberman	handicap-et-maladie-mentale--9782130653462		fulltext		Presses Universitaires de France	monograph	2015	2015		9e éd.		Que sais-je ?		P
Handicap et maladie mentale	9782130590187	9782130605775							https://www.cairn.info/handicap-et-maladie-mentale--9782130590187.htm	Liberman	handicap-et-maladie-mentale--9782130590187		fulltext		Presses Universitaires de France	monograph	2011	2011		8e éd.		Que sais-je ?		P
Handicap et maladie mentale	9782130575917	9782130602910							https://www.cairn.info/handicap-et-maladie-mentale--9782130575917.htm	Liberman	handicap-et-maladie-mentale--9782130575917		fulltext		Presses Universitaires de France	monograph	2009	2010		7e éd.		Que sais-je ?		P
Histoire de la psychanalyse	9782130575016	9782130602583							https://www.cairn.info/histoire-de-la-psychanalyse--9782130575016.htm	Perron	histoire-de-la-psychanalyse--9782130575016		fulltext		Presses Universitaires de France	monograph	2009	2010		4e éd.		Que sais-je ?		P
Histoire de la psychanalyse	9782130633754	9782130634195							https://www.cairn.info/histoire-de-la-psychanalyse--9782130633754.htm	Perron	histoire-de-la-psychanalyse--9782130633754		fulltext		Presses Universitaires de France	monograph	2014	2014		5e éd.		Que sais-je ?		P
Histoire de la psychiatrie	9782130798545	9782130801382							https://www.cairn.info/histoire-de-la-psychiatrie--9782130798545.htm	Hochmann	histoire-de-la-psychiatrie--9782130798545		fulltext		Presses Universitaires de France	monograph	2017	2017				Que sais-je ?		P
Histoire de la psychiatrie	9782130625209	9782130629993							https://www.cairn.info/histoire-de-la-psychiatrie--9782130625209.htm	Hochmann	histoire-de-la-psychiatrie--9782130625209		fulltext		Presses Universitaires de France	monograph	2013	2013		3e éd.		Que sais-je ?		P
Histoire de la psychiatrie	9782130653622	9782130731573							https://www.cairn.info/histoire-de-la-psychiatrie--9782130653622.htm	Hochmann	histoire-de-la-psychiatrie--9782130653622		fulltext		Presses Universitaires de France	monograph	2015	2015		4e éd.		Que sais-je ?		P
Histoire de la psychiatrie	9782130541189	9782130597933							https://www.cairn.info/histoire-de-la-psychiatrie--9782130541189.htm	Hochmann	histoire-de-la-psychiatrie--9782130541189		fulltext		Presses Universitaires de France	monograph	2004	2010				Que sais-je ?		P
Histoire de la psychiatrie	9782130586487	9782130605256							https://www.cairn.info/histoire-de-la-psychiatrie--9782130586487.htm	Hochmann	histoire-de-la-psychiatrie--9782130586487		fulltext		Presses Universitaires de France	monograph	2011	2011		2e éd.		Que sais-je ?		P
Histoire de la psychologie	9782130539803	9782130597896							https://www.cairn.info/histoire-de-la-psychologie--9782130539803.htm	Reuchlin	histoire-de-la-psychologie--9782130539803		fulltext		Presses Universitaires de France	monograph	2003	2010		19e éd.		Que sais-je ?		P
Histoire de la psychologie	9782130585886	9782130605119							https://www.cairn.info/histoire-de-la-psychologie--9782130585886.htm	Reuchlin	histoire-de-la-psychologie--9782130585886		fulltext		Presses Universitaires de France	monograph	2010	2010		20e éd.		Que sais-je ?		P
