publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
L'hypnose	9782715404076	9782715404090							https://www.cairn.info/l-hypnose--9782715404076.htm	Bioy	l-hypnose--9782715404076		fulltext		Presses Universitaires de France	monograph	2020	2020		2e éd.		Que sais-je ?		P	250647605
Les 100 mots du luxe	9782130579106	9782130603658							https://www.cairn.info/les-100-mots-du-luxe--9782130579106.htm	Blanckaert	les-100-mots-du-luxe--9782130579106		fulltext		Presses Universitaires de France	monograph	2010	2010				Que sais-je ?		P	150977239
Les 100 mots du luxe	9782130608462	9782130622994							https://www.cairn.info/les-100-mots-du-luxe--9782130608462.htm	Blanckaert	les-100-mots-du-luxe--9782130608462		fulltext		Presses Universitaires de France	monograph	2012	2012		2e éd.		Que sais-je ?		P	
La Colombie	9782130790150	9782130795629							https://www.cairn.info/la-colombie--9782130790150.htm	Blanquer	la-colombie--9782130790150		fulltext		Presses Universitaires de France	monograph	2017	2017				Que sais-je ?		P	219560854
Les enfants intellectuellement précoces	9782130539254	9782130596820							https://www.cairn.info/les-enfants-intellectuellement-precoces--9782130539254.htm	Bléandonu	les-enfants-intellectuellement-precoces--9782130539254		fulltext		Presses Universitaires de France	monograph	2004	2010				Que sais-je ?		P	150977247
Le bouddhisme	9782130563235	9782130600602							https://www.cairn.info/le-bouddhisme--9782130563235.htm	Levenson	le-bouddhisme--9782130563235		fulltext		Presses Universitaires de France	monograph	2007	2010		2e éd.		Que sais-je ?		P	164727558
Le Tibet	9782130573265	9782130602224							https://www.cairn.info/le-tibet--9782130573265.htm	Levenson	le-tibet--9782130573265		fulltext		Presses Universitaires de France	monograph	2009	2010		2e éd.		Que sais-je ?		P	150977255
Le bouddhisme	9782130577935	9782130603290							https://www.cairn.info/le-bouddhisme--9782130577935.htm	Levenson	le-bouddhisme--9782130577935		fulltext		Presses Universitaires de France	monograph	2010	2010		3e éd.		Que sais-je ?		P	250374471
Le bouddhisme	9782130814016	9782130603290							https://www.cairn.info/le-bouddhisme--9782130814016.htm	Levenson	le-bouddhisme--9782130814016		fulltext		Presses Universitaires de France	monograph	2018	2018		4e éd.		Que sais-je ?		P	250374471
Les paradis fiscaux	9782130811701	9782130811718							https://www.cairn.info/les-paradis-fiscaux--9782130811701.htm	Blevin	les-paradis-fiscaux--9782130811701		fulltext		Presses Universitaires de France	monograph	2019	2019				Que sais-je ?		P	242687784
