publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Âges et générations	9782707158888	9782707186515							https://www.cairn.info/ages-et-generations--9782707158888.htm	Mauger	ages-et-generations--9782707158888		fulltext		La Découverte	monograph	2015	2015				Repères		P	186405596
Alertes et lanceurs d'alerte	9782130795896	9782715404656							https://www.cairn.info/alertes-et-lanceurs-d-alerte--9782130795896.htm	Chateauraynaud	alertes-et-lanceurs-d-alerte--9782130795896		fulltext		Presses Universitaires de France	monograph	2020	2020				Que sais-je ?		P	250647036
Apprentissage et formation	9782130549260	9782130597520							https://www.cairn.info/apprentissage-et-formation--9782130549260.htm	Berbaum	apprentissage-et-formation--9782130549260		fulltext		Presses Universitaires de France	monograph	2005	2010				Que sais-je ?		P	
Claude Lévi-Strauss	9782130582632	9782130604297							https://www.cairn.info/claude-levi-strauss--9782130582632.htm	Clément	claude-levi-strauss--9782130582632		fulltext		Presses Universitaires de France	monograph	2010	2010		5e éd.		Que sais-je ?		P	
Claude Lévi-Strauss	9782130531647	9782130596226							https://www.cairn.info/claude-levi-strauss--9782130531647.htm	Clément	claude-levi-strauss--9782130531647		fulltext		Presses Universitaires de France	monograph	2002	2010		4e éd.		Que sais-je ?		P	
Claude Lévi-Strauss	9782130815709	9782130815723							https://www.cairn.info/claude-levi-strauss--9782130815709.htm	Clément	claude-levi-strauss--9782130815709		fulltext		Presses Universitaires de France	monograph	2019	2019		6e éd.		Que sais-je ?		P	242687016
Clint Eastwood	9782348064920	9782348064944							https://www.cairn.info/clint-eastwood--9782348064920.htm	Fabiani	clint-eastwood--9782348064920		fulltext		La Découverte	monograph	2020	2020				Repères		P	250647141
Critique de l’organisation du travail	9782707168245	9782707168245							https://www.cairn.info/critique-de-l-organisation-du-travail--9782707168245.htm	Coutrot	critique-de-l-organisation-du-travail--9782707168245		fulltext		La Découverte	monograph	2002	2011				Repères		P	
Économie des coûts de transaction	9782707140081	9782707160614							https://www.cairn.info/economie-des-couts-de-transaction--9782707140081.htm	Saussier	economie-des-couts-de-transaction--9782707140081		fulltext		La Découverte	monograph	2007	2011				Repères		P	150975759
Enquêter sur le travail	9782707154668	9782348056376							https://www.cairn.info/enqueter-sur-le-travail--9782707154668.htm	Avril	enqueter-sur-le-travail--9782707154668		fulltext		La Découverte	monograph	2010	2019				Repères		P	242687040
Faire preuve	9782348037672	9782348059124							https://www.cairn.info/faire-preuve--9782348037672.htm	Becker	faire-preuve--9782348037672		fulltext		La Découverte	monograph	2020	2020				Repères		P	248677128
Féminin Masculin	9782707131690	9782707160751							https://www.cairn.info/feminin-masculin--9782707131690.htm	Ferrand	feminin-masculin--9782707131690		fulltext		La Découverte	monograph	2004	2011				Repères		P	
Histoire de la sociologie	9782130545323	9782130597544							https://www.cairn.info/histoire-de-la-sociologie--9782130545323.htm	Giraud	histoire-de-la-sociologie--9782130545323		fulltext		Presses Universitaires de France	monograph	2004	2010		3e éd.		Que sais-je ?		P	
Histoire de la sociologie	9782707179166								https://www.cairn.info/histoire-de-la-sociologie--9782707179166.htm	Cuin	histoire-de-la-sociologie--9782707179166		fulltext		La Découverte	monograph	2017	2020		4e éd.		Repères		P	
Histoire de la sociologie. Tome 1	9782707138941	9782707160881							https://www.cairn.info/histoire-de-la-sociologie-tome-1-avant-1918--9782707138941.htm	Cuin	histoire-de-la-sociologie-tome-1-avant-1918--9782707138941		fulltext		La Découverte	monograph	2002	2011		3eéd.		Repères		P	
