publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
L'analyse transactionnelle	9782130799740	9782130801429							https://www.cairn.info/l-analyse-transactionnelle--9782130799740.htm	Chandezon	l-analyse-transactionnelle--9782130799740		fulltext		Presses Universitaires de France	monograph	2017	2017		13e éd.		Que sais-je ?		P	250656841
La psychologie des relations humaines	9782130527763	9782130597407							https://www.cairn.info/la-psychologie-des-relations-humaines--9782130527763.htm	Chappuis	la-psychologie-des-relations-humaines--9782130527763		fulltext		Presses Universitaires de France	monograph	2002	2010		8e éd.		Que sais-je ?		P	150978006
La psychologie des relations humaines	9782130588368	9782130605515							https://www.cairn.info/la-psychologie-des-relations-humaines--9782130588368.htm	Chappuis	la-psychologie-des-relations-humaines--9782130588368		fulltext		Presses Universitaires de France	monograph	2011	2011		9e éd.		Que sais-je ?		P	153026758
Les techniques documentaires	9782130524243	9782130599579							https://www.cairn.info/les-techniques-documentaires--9782130524243.htm	Chaumier	les-techniques-documentaires--9782130524243		fulltext		Presses Universitaires de France	monograph	2002	2010		9e éd.		Que sais-je ?		P	150978022
Sociologie de l’éducation	9782130570509	9782130601760							https://www.cairn.info/sociologie-de-l-education--9782130570509.htm	Cherkaoui	sociologie-de-l-education--9782130570509		fulltext		Presses Universitaires de France	monograph	2008	2010		7e éd.		Que sais-je ?		P	164727736
Sociologie de l’éducation	9782130575436	9782130602712							https://www.cairn.info/sociologie-de-l-education--9782130575436.htm	Cherkaoui	sociologie-de-l-education--9782130575436		fulltext		Presses Universitaires de France	monograph	2010	2010		8e éd.		Que sais-je ?		P	150978073
Le service public	9782130581321	9782130604051							https://www.cairn.info/le-service-public--9782130581321.htm	Chevallier	le-service-public--9782130581321		fulltext		Presses Universitaires de France	monograph	2010	2010		8e éd.		Que sais-je ?		P	150978111
Le service public	9782130595045	9782130622529							https://www.cairn.info/le-service-public--9782130595045.htm	Chevallier	le-service-public--9782130595045		fulltext		Presses Universitaires de France	monograph	2012	2012		9e éd.		Que sais-je ?		P	164727760
Le service public	9782130653547	9782130732839							https://www.cairn.info/le-service-public--9782130653547.htm	Chevallier	le-service-public--9782130653547		fulltext		Presses Universitaires de France	monograph	2015	2016		10e éd.		Que sais-je ?		P	191587281
Le service public	9782130813385	9782130732839							https://www.cairn.info/le-service-public--9782130813385.htm	Chevallier	le-service-public--9782130813385		fulltext		Presses Universitaires de France	monograph	2018	2018		11e éd.		Que sais-je ?		P	191587281
Le management interculturel	9782130540274	9782130595953							https://www.cairn.info/le-management-interculturel--9782130540274.htm	Chevrier	le-management-interculturel--9782130540274		fulltext		Presses Universitaires de France	monograph	2003	2010				Que sais-je ?		P	164727779
Le management interculturel	9782130583271	9782130604563							https://www.cairn.info/le-management-interculturel--9782130583271.htm	Chevrier	le-management-interculturel--9782130583271		fulltext		Presses Universitaires de France	monograph	2010	2010		2e éd.		Que sais-je ?		P	150978146
Le management interculturel	9782130620303	9782130627968							https://www.cairn.info/le-management-interculturel--9782130620303.htm	Chevrier	le-management-interculturel--9782130620303		fulltext		Presses Universitaires de France	monograph	2013	2013		3e éd.		Que sais-je ?		P	174411278
Le management interculturel	9782130730859	9782130730866							https://www.cairn.info/le-management-interculturel--9782130730859.htm	Chevrier	le-management-interculturel--9782130730859		fulltext		Presses Universitaires de France	monograph	2019	2019		4e éd.		Que sais-je ?		P	242687490
La précarité	9782130554912	9782130596356							https://www.cairn.info/la-precarite--9782130554912.htm	Cingolani	la-precarite--9782130554912		fulltext		Presses Universitaires de France	monograph	2009	2010		2e éd.		Que sais-je ?		P	150978200
La précarité	9782130589334	9782130605690							https://www.cairn.info/la-precarite--9782130589334.htm	Cingolani	la-precarite--9782130589334		fulltext		Presses Universitaires de France	monograph	2011	2011		3e éd.		Que sais-je ?		P	151993270
La précarité	9782130633419	9782130654193							https://www.cairn.info/la-precarite--9782130633419.htm	Cingolani	la-precarite--9782130633419		fulltext		Presses Universitaires de France	monograph	2017	2015		4e éd.		Que sais-je ?		P	189918063
La précarité	9782130799634	9782130802556							https://www.cairn.info/la-precarite--9782130799634.htm	Cingolani	la-precarite--9782130799634		fulltext		Presses Universitaires de France	monograph	2017	2018		5e  éd.		Que sais-je ?		P	225763818
Claude Lévi-Strauss	9782130531647	9782130596226							https://www.cairn.info/claude-levi-strauss--9782130531647.htm	Clément	claude-levi-strauss--9782130531647		fulltext		Presses Universitaires de France	monograph	2002	2010		4e éd.		Que sais-je ?		P	164727787
Claude Lévi-Strauss	9782130582632	9782130604297							https://www.cairn.info/claude-levi-strauss--9782130582632.htm	Clément	claude-levi-strauss--9782130582632		fulltext		Presses Universitaires de France	monograph	2010	2010		5e éd.		Que sais-je ?		P	150978243
Claude Lévi-Strauss	9782130815709	9782130815723							https://www.cairn.info/claude-levi-strauss--9782130815709.htm	Clément	claude-levi-strauss--9782130815709		fulltext		Presses Universitaires de France	monograph	2019	2019		6e éd.		Que sais-je ?		P	242687016
Politesse, savoir-vivre et relations sociales	9782130583240	9782130604549							https://www.cairn.info/politesse-savoir-vivre-et-relations-sociales--9782130583240.htm	Picard	politesse-savoir-vivre-et-relations-sociales--9782130583240		fulltext		Presses Universitaires de France	monograph	2010	2010		4e éd.		Que sais-je ?		P	150982518
Les conflits relationnels	9782130594598	9782130622352							https://www.cairn.info/les-conflits-relationnels--9782130594598.htm	Picard	les-conflits-relationnels--9782130594598		fulltext		Presses Universitaires de France	monograph	2012	2012		2e éd.		Que sais-je ?		P	168731665
L’École de Palo Alto	9782130606628	9782130622727							https://www.cairn.info/l-ecole-de-palo-alto--9782130606628.htm	Picard	l-ecole-de-palo-alto--9782130606628		fulltext		Presses Universitaires de France	monograph	2013	2013				Que sais-je ?		P	174410638
Politesse, savoir-vivre et relations sociales	9782130630838	9782130633082							https://www.cairn.info/politesse-savoir-vivre-et-relations-sociales--9782130630838.htm	Picard	politesse-savoir-vivre-et-relations-sociales--9782130630838		fulltext		Presses Universitaires de France	monograph	2014	2014		5e éd.		Que sais-je ?		P	182619060
Les conflits relationnels	9782130729679	9782130731498							https://www.cairn.info/les-conflits-relationnels--9782130729679.htm	Picard	les-conflits-relationnels--9782130729679		fulltext		Presses Universitaires de France	monograph	2015	2016		3e éd.		Que sais-je ?		P	191587303
L'École de Palo Alto	9782130731504	9782130731528							https://www.cairn.info/l-ecole-de-palo-alto--9782130731504.htm	Picard	l-ecole-de-palo-alto--9782130731504		fulltext		Presses Universitaires de France	monograph	2015	2016		2e éd.		Que sais-je ?		P	191587117
Politesse, savoir-vivre et relations sociales	9782715401389	9782715401402							https://www.cairn.info/politesse-savoir-vivre-et-relations-sociales--9782715401389.htm	Picard	politesse-savoir-vivre-et-relations-sociales--9782715401389		fulltext		Presses Universitaires de France	monograph	2019	2019		6e éd.		Que sais-je ?		P	242687865
Les conflits relationnels	9782715404434	9782715404458							https://www.cairn.info/les-conflits-relationnels--9782715404434.htm	Picard	les-conflits-relationnels--9782715404434		fulltext		Presses Universitaires de France	monograph	2020	2020		4e éd.		Que sais-je ?		P	250648342
L'École de Palo Alto	9782715401419	9782715401433							https://www.cairn.info/l-ecole-de-palo-alto--9782715401419.htm	Picard	l-ecole-de-palo-alto--9782715401419		fulltext		Presses Universitaires de France	monograph	2020	2020		3e éd.		Que sais-je ?		P	25064763X
La criminologie	9782130576778	9782130603139							https://www.cairn.info/la-criminologie--9782130576778.htm	Picca	la-criminologie--9782130576778		fulltext		Presses Universitaires de France	monograph	2009	2010		8e éd.		Que sais-je ?		P	150982526
Les histoires de vie	9782130564447	9782130600862							https://www.cairn.info/les-histoires-de-vie--9782130564447.htm	Pineau	les-histoires-de-vie--9782130564447		fulltext		Presses Universitaires de France	monograph	2007	2010		4e éd.		Que sais-je ?		P	150982534
Les histoires de vie	9782130618164	9782130623243							https://www.cairn.info/les-histoires-de-vie--9782130618164.htm	Pineau	les-histoires-de-vie--9782130618164		fulltext		Presses Universitaires de France	monograph	2013	2013		5e éd.		Que sais-je ?		P	174410646
Les histoires de vie	9782130816829	9782130816836							https://www.cairn.info/les-histoires-de-vie--9782130816829.htm	Pineau	les-histoires-de-vie--9782130816829		fulltext		Presses Universitaires de France	monograph	2019	2019		6e éd.		Que sais-je ?		P	236464493
Les droits des patients à l'hôpital	9782130531005	9782130598220							https://www.cairn.info/les-droits-des-patients-a-l-hopital--9782130531005.htm	Ponchon	les-droits-des-patients-a-l-hopital--9782130531005		fulltext		Presses Universitaires de France	monograph	2002	2010		2e éd.		Que sais-je ?		P	150982569
L’évaluation des politiques éducatives	9782130580850	9782130603900							https://www.cairn.info/l-evaluation-des-politiques-educatives--9782130580850.htm	Pons	l-evaluation-des-politiques-educatives--9782130580850		fulltext		Presses Universitaires de France	monograph	2011	2011				Que sais-je ?		P	151993408
L’enseignement privé en France	9782130594567	9782130622321							https://www.cairn.info/l-enseignement-prive-en-france--9782130594567.htm	Poucet	l-enseignement-prive-en-france--9782130594567		fulltext		Presses Universitaires de France	monograph	2012	2012				Que sais-je ?		P	168731673
La pédagogie Montessori	9782130795698	9782130800507							https://www.cairn.info/la-pedagogie-montessori--9782130795698.htm	Poussin	la-pedagogie-montessori--9782130795698		fulltext		Presses Universitaires de France	monograph	2017	2017				Que sais-je ?		P	219560919
La Pédagogie Montessori	9782715405851	9782715405875							https://www.cairn.info/la-pedagogie-montessori--9782715405851.htm	Poussin	la-pedagogie-montessori--9782715405851		fulltext		Presses Universitaires de France	monograph	2021	2021		2e éd.		Que sais-je ?		P	260521582
La sanction en éducation	9782130591498	9782130606048							https://www.cairn.info/la-sanction-en-education--9782130591498.htm	Prairat	la-sanction-en-education--9782130591498		fulltext		Presses Universitaires de France	monograph	2011	2011		5e éd.		Que sais-je ?		P	155079204
L'éducation interculturelle	9782130619734	9782130623281							https://www.cairn.info/l-education-interculturelle--9782130619734.htm	Abdallah-Pretceille	l-education-interculturelle--9782130619734		fulltext		Presses Universitaires de France	monograph	2013	2013		4e éd.		Que sais-je ?		P	174410654
Le droit d'asile	9782130800101								https://www.cairn.info/le-droit-d-asile--9782130800101.htm	Teitgen-Colly	le-droit-d-asile--9782130800101		fulltext		Presses Universitaires de France	monograph	2019	2019				Que sais-je ?		P	
