publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
A contrario	1660-7880	1662-8667	2003	1	1				https://www.cairn.info/revue-a-contrario.htm		revue-a-contrario	P1Y	fulltext		BSN Press	serial								F
ACCRA	2617-2399	EN COURS	2018	1	1				https://www.cairn.info/revue-accra.htm		revue-accra		fulltext		Association Francophone de Comptabilité	serial								F
Afrique et histoire	1764-1977	1776-2766	2003	1	1	2009	7	1	https://www.cairn.info/revue-afrique-et-histoire.htm		revue-afrique-et-histoire	P3Y	fulltext		Verdier	serial								F
Audimat	2261-3595		2014	1	1				https://www.cairn.info/revue-audimat.htm		revue-audimat		fulltext		Les Siestes Électroniques	serial								F
Bulletin de l'Institut Pierre Renouvin	1276-8944	1775-4305	2007	25	1				https://www.cairn.info/revue-bulletin-de-l-institut-pierre-renouvin.htm		revue-bulletin-de-l-institut-pierre-renouvin		fulltext		UMR Sirice	serial								F
Cahiers Bruxellois – Brusselse Cahiers	1784-5157	2466-8443	2014		1E				https://www.cairn.info/revue-cahiers-bruxellois.htm		revue-cahiers-bruxellois		fulltext		Musées et Archives de la Ville de Bruxelles	serial								F
Cahiers de l’action	1772-2101	2552-0334	2010	27	1				https://www.cairn.info/revue-cahiers-de-l-action.htm		revue-cahiers-de-l-action		fulltext		Institut national de la jeunesse et de l’éducation populaire	serial								F
Cahiers internationaux de sociologie	0008-0276	1969-6787	2001	110	1	2010	128-129	1-2	https://www.cairn.info/revue-cahiers-internationaux-de-sociologie.htm		revue-cahiers-internationaux-de-sociologie	P5Y	fulltext		Presses Universitaires de France	serial								F
Carnet de notes sur les maltraitances infantiles	2295-5518	2406-4718	2012	1	1				https://www.cairn.info/revue-carnet-de-notes-sur-les-maltraitances-infantiles.htm		revue-carnet-de-notes-sur-les-maltraitances-infantiles		fulltext		Office de la naissance et de l'enfance	serial								F
Che Vuoi ?	0994-2424	2262-4848	2015	1	1				https://www.cairn.info/revue-che-vuoi.htm		revue-che-vuoi	P3Y	fulltext		Le Cercle freudien	serial								F
Chronique Internationale de l'IRES	1285-087X		2016	155	3				https://www.cairn.info/revue-chronique-internationale-de-l-ires.htm		revue-chronique-internationale-de-l-ires		fulltext		I.R.E.S.	serial								F
Culture chiffres	1959-6928	2118-464X	2006	1	1				https://www.cairn.info/revue-culture-chiffres.htm		revue-culture-chiffres		fulltext		Ministère de la Culture - DEPS	serial								F
Culture études	1959-691X	2118-4674	2007	1	1				https://www.cairn.info/revue-culture-etudes.htm		revue-culture-etudes		fulltext		Ministère de la Culture - DEPS	serial								F
Culture méthodes	1959-6936	1968-3774	2007	1	1	2013	1	1	https://www.cairn.info/revue-culture-methodes.htm		revue-culture-methodes		fulltext		Ministère de la Culture - DEPS	serial								F
Culture prospective	1959-6944	2118-4631	2007	1	1	2011	1	1	https://www.cairn.info/revue-culture-prospective.htm		revue-culture-prospective		fulltext		Ministère de la Culture - DEPS	serial								F
Développements	2103-2874	2295-9726	2009	1	1	2013	16-17	3-4	https://www.cairn.info/revue-developpements.htm		revue-developpements	P3Y	fulltext		De Boeck Supérieur	serial								F
Distances et savoirs	1765-0887	1965-0167	2003	1	1	2011	9	4	https://www.cairn.info/revue-distances-et-savoirs.htm		revue-distances-et-savoirs	P5Y	fulltext		Lavoisier	serial								F
Dynamiques régionales	2593-4937		2014	1	1				https://www.cairn.info/revue-dynamiques-regionales.htm		revue-dynamiques-regionales		fulltext		L’Institut wallon de l’évaluation, de la prospective et de la statistique	serial								F
Économie internationale	1240-8093	1777-5582	2001	85	1	2012	132	4	https://www.cairn.info/revue-economie-internationale.htm		revue-economie-internationale	P3Y	fulltext		La Documentation française	serial								F
Écrire le social - La revue de l'AIFRIS			2018	1	1				https://www.cairn.info/revue-ecrire-le-social-la-revue-de-l-aifris.htm		revue-ecrire-le-social-la-revue-de-l-aifris		fulltext		Association Internationale pour la Formation, la Recherche et l’Intervention Sociale	serial								F
Finance et Bien Commun	1422-4658	2295-9130	2004	20	3	2011	39	1	https://www.cairn.info/revue-finance-et-bien-commun.htm		revue-finance-et-bien-commun	P5Y	fulltext		De Boeck Supérieur	serial								F
Gestion et management public		2116-8865	2012		1				https://www.cairn.info/revue-gestion-et-management-public.htm		revue-gestion-et-management-public		fulltext		AIRMAP	serial								F
Histoire@Politique		1954-3670	2007	1	1				https://www.cairn.info/revue-histoire-politique.htm		revue-histoire-politique		fulltext		Centre d'histoire de Sciences Po	serial								F
Horizons stratégiques	1958-3370	1760-8023	2006	1	1	2008	7	1	https://www.cairn.info/revue-horizons-strategiques.htm		revue-horizons-strategiques		fulltext		La Documentation française	serial								F
Hypothèses	1298-6216	2101-0269	1998	1	1				https://www.cairn.info/revue-hypotheses.htm		revue-hypotheses	P1Y	fulltext		Éditions de la Sorbonne	serial								F
Informations sociales	0046-9459	2101-0374	2005	121	1				https://www.cairn.info/revue-informations-sociales.htm		revue-informations-sociales		fulltext		Caisse nationale d'allocations familiales	serial								F
Journal of Innovation Economics et Management		2032-5355	2008	1	1				https://www.cairn.info/revue-journal-of-innovation-economics.htm		revue-journal-of-innovation-economics		fulltext		De Boeck Supérieur	serial								F
Journal of international Mobility	2296-5165	2296-519X	2015	3	1				https://www.cairn.info/revue-journal-of-international-mobility.htm		revue-journal-of-international-mobility		fulltext		Presses Universitaires de France	serial								F
La pensée de midi	1621-5338	1950-604X	2000	1	1	2010	31	2	https://www.cairn.info/revue-la-pensee-de-midi.htm		revue-la-pensee-de-midi	P3Y	fulltext		Actes sud	serial								F
La Revue de l'Ires	1145-1378	2104-3698	2005	47	1				https://www.cairn.info/revue-de-l-ires.htm		revue-de-l-ires		fulltext		I.R.E.S.	serial								F
Le Courrier des pays de l'Est	0590-0239	1777-5787	2003	1031	1	2008	1067	3	https://www.cairn.info/revue-le-courrier-des-pays-de-l-est.htm		revue-le-courrier-des-pays-de-l-est	P3Y	fulltext		La Documentation française	serial								F
Les Cahiers de la Shoah	1262-0386	1965-0523	2001	5	1	2007	9	1	https://www.cairn.info/revue-les-cahiers-de-la-shoah.htm		revue-les-cahiers-de-la-shoah	P5Y	fulltext		Les Belles lettres	serial								F
Les Cahiers Sirice	1967-2713	2118-0067	2008	1	1				https://www.cairn.info/revue-les-cahiers-sirice.htm		revue-les-cahiers-sirice		fulltext		UMR Sirice	serial								F
Les Enjeux de l'information et de la communication		1778-4239	2001	2001	1				https://www.cairn.info/revue-les-enjeux-de-l-information-et-de-la-communication.htm		revue-les-enjeux-de-l-information-et-de-la-communication		fulltext		GRESEC	serial								F
L'Expansion Management Review	1254-3179	2271-7749	2005	116	1	2014	155	4	https://www.cairn.info/revue-l-expansion-management-review.htm		revue-l-expansion-management-review	P4Y	fulltext		L'Express - Roularta	serial								F
Libres cahiers pour la psychanalyse	1625-7480	2118-2760	2000	1	1	2014	30	2	https://www.cairn.info/revue-libres-cahiers-pour-la-psychanalyse.htm		revue-libres-cahiers-pour-la-psychanalyse	P5Y	fulltext		In Press	serial								F
L'information littéraire	0020-0123	1961-8689	2001	53	1	2008	60	4	https://www.cairn.info/revue-l-information-litteraire.htm		revue-l-information-litteraire	P5Y	fulltext		Les Belles lettres	serial								F
Mémoires	1763-5985		2016	66	1				https://www.cairn.info/revue-memoires.htm		revue-memoires		fulltext		Centre Primo Levi	serial								F
M@n@gement		1286-4692	2001	4	1				https://www.cairn.info/revue-management.htm		revue-management		fulltext		AIMS	serial								F
Napoleonica. La Revue		2100-0123	2008	1	1				https://www.cairn.info/revue-napoleonica-la-revue.htm		revue-napoleonica-la-revue		fulltext		La Fondation Napoléon	serial								F
Notes du conseil d’analyse économique	2273-8525	2270-2385	2013	1	1				https://www.cairn.info/revue-notes-du-conseil-d-analyse-economique.htm		revue-notes-du-conseil-d-analyse-economique		fulltext		Conseil d’analyse économique	serial								F
Nouvelles FondationS	1951-9745	2101-0242	2006	1	1	2007	7-8	3-4	https://www.cairn.info/revue-nouvelles-fondations.htm		revue-nouvelles-fondations	P1Y	fulltext		Fond. G. Péri	serial								F
Politiques et gestion de l'enseignement supérieur	1682-346X	1684-3592	2002	14	1	2008	20	3	https://www.cairn.info/revue-politiques-et-gestion-de-l-enseignement-superieur.htm		revue-politiques-et-gestion-de-l-enseignement-superieur	P5Y	fulltext		Editions de l'OCDE	serial								F
Population et Sociétés	0184-7783		2013	496	1				https://www.cairn.info/revue-population-et-societes.htm		revue-population-et-societes		fulltext		Institut national d'études démographiques	serial								F
Pratiques et Organisation des Soins	1952-9201	1961-9391	2008	39	4	2012	43	4	https://www.cairn.info/revue-pratiques-et-organisation-des-soins.htm		revue-pratiques-et-organisation-des-soins		fulltext		CNAMTS	serial								F
Raisons éducatives	1375-4459	EN COURS	2017	21	1				https://www.cairn.info/revue-raisons-educatives.htm		revue-raisons-educatives		fulltext		Université de Genève	serial								F
Recherches économiques de Louvain	0770-4518	1782-1495	2001	67	4	2014	80	4	https://www.cairn.info/revue-recherches-economiques-de-louvain.htm		revue-recherches-economiques-de-louvain	P3Y	fulltext		De Boeck Supérieur	serial								F
Recherches familiales	1763-718X	2118-3252	2004	1	1				https://www.cairn.info/revue-recherches-familiales.htm		revue-recherches-familiales		fulltext		Union nationale des associations familiales	serial								F
Réformes économiques	1813-2731	1813-274X	2005	1	1	2012	8	1	https://www.cairn.info/revue-reformes-economiques.htm		revue-reformes-economiques	P3Y	fulltext		Editions de l'OCDE	serial								F
Regards	0988-6982	2552-0040	2014	45	1				https://www.cairn.info/revue-regards.htm		revue-regards		fulltext		EN3S-École nationale supérieure de Sécurité sociale	serial								F
Regards sur l'économie allemande	1156-8992	1965-0787	2015	116	1				https://www.cairn.info/revue-regards-sur-l-economie-allemande.htm		revue-regards-sur-l-economie-allemande	P3Y	fulltext		CIRAC	serial								F
Reliance	1774-9743	1951-6282	2005	15	1	2008	29	3	https://www.cairn.info/revue-reliance.htm		revue-reliance	P4Y	fulltext		ERES	serial								F
Research in Psychoanalysis	1767-5448	1965-0213	2004	1	1				https://www.cairn.info/revue-research-in-psychoanalysis.htm		revue-research-in-psychoanalysis	P1Y	fulltext		Association Recherches en psychanalyse	serial								F
Revue Congolaise de Gestion	1729-0228	2411-0884	2011	13	1				https://www.cairn.info/revue-congolaise-de-gestion.htm		revue-congolaise-de-gestion		fulltext		Editions ICES	serial								F
Revue d'anthropologie des connaissances		1760-5393	2007		1				https://www.cairn.info/revue-anthropologie-des-connaissances.htm		revue-anthropologie-des-connaissances		fulltext		S.A.C.	serial								F
Revue de l'OCDE sur le développement	1992-0490	1996-5753	2001	2	1	2009	10	4	https://www.cairn.info/revue-de-l-ocde-sur-le-developpement.htm		revue-de-l-ocde-sur-le-developpement	P5Y	fulltext		Editions de l'OCDE	serial								F
Revue de l'OFCE	1265-9576	1777-5647	2001	76	1				https://www.cairn.info/revue-de-l-ofce.htm		revue-de-l-ofce		fulltext		OFCE	serial								F
Revue de Psychologie Analytique	2268-8870	2271-2151	2013	1	1	2014	3	1	https://www.cairn.info/revue-de-psychologie-analytique.htm		revue-de-psychologie-analytique	P5Y	fulltext		L’Esprit du temps	serial								F
Revue d'histoire de la protection sociale	1969-9123	2491-3049	2008	1	1				https://www.cairn.info/revue-d-histoire-de-la-protection-sociale.htm		revue-d-histoire-de-la-protection-sociale	P1Y	fulltext		Comité d'histoire de la sécurité sociale	serial								F
Revue d'Histoire des Sciences Humaines	1622-468X	1963-1022	1999	1	1	2011	25	2	https://www.cairn.info/revue-histoire-des-sciences-humaines.htm		revue-histoire-des-sciences-humaines	P4Y	fulltext		Editions Sciences Humaines	serial								F
Revue économique de l'OCDE	0255-0830	1684-3444	2001	32	1	2008	44	1	https://www.cairn.info/revue-economique-de-l-ocde.htm		revue-economique-de-l-ocde	P5Y	fulltext		Editions de l'OCDE	serial								F
Revue internationale de droit pénal	0223-5404	1951-6312	2001	72	1	2015	86	3-4	https://www.cairn.info/revue-internationale-de-droit-penal.htm		revue-internationale-de-droit-penal	P4Y	fulltext		ERES	serial								F
Revue internationale des sciences sociales	0304-3037	2222-4610	2001	167	1	2010	196	2	https://www.cairn.info/revue-internationale-des-sciences-sociales.htm		revue-internationale-des-sciences-sociales	P4Y	fulltext		ERES	serial								F
Revue sur le droit et la politique de la concurrence	1560-7798	1684-3452	2001	3	1	2007	9	3	https://www.cairn.info/revue-sur-le-droit-et-la-politique-de-la-concurrence.htm		revue-sur-le-droit-et-la-politique-de-la-concurrence	P5Y	fulltext		Editions de l'OCDE	serial								F
Rhizome	1622-2032	2117-4520	2014	54	3				https://www.cairn.info/revue-rhizome.htm		revue-rhizome		fulltext		Orspere-Samdarra – Observatoire Santé mentale Vulnérabilités et Sociétés	serial								F
Rue Descartes	1144-0821	2102-5819	2001	31	1				https://www.cairn.info/revue-rue-descartes.htm		revue-rue-descartes		fulltext		Collège international de Philosophie	serial								F
Sciences Eaux et Territoires	2109-3016	1775-3783	2010	1	1				https://www.cairn.info/revue-sciences-eaux-et-territoires.htm		revue-sciences-eaux-et-territoires		fulltext		Irstea	serial								F
Studia Bruxellae	2030-5974		2018	12	1				https://www.cairn.info/revue-studia-bruxellae.htm		revue-studia-bruxellae		fulltext		Musées et Archives de la Ville de Bruxelles	serial								F
Techniques Financières et Développement	1250-4165	2494-0739	2013	110	1	2016	124	3-4	https://www.cairn.info/revue-techniques-financieres-et-developpement.htm		revue-techniques-financieres-et-developpement	P3Y	fulltext		Épargne sans frontière	serial								F
Titre VII		2647-6614	2010	29	3				https://www.cairn.info/revue-titre-vii.htm		revue-titre-vii		fulltext		Conseil constitutionnel	serial								F
Travail et emploi	0224-4365	1775-416X	2011	125	1				https://www.cairn.info/revue-travail-et-emploi.htm		revue-travail-et-emploi		fulltext		DARES	serial								F
Vraiment durable	2260-2895	2272-8481	2012	1	1	2014	5-6	1-2	https://www.cairn.info/revue-vraiment-durable.htm		revue-vraiment-durable	P3Y	fulltext		Victoires éditions	serial								F
