publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
A contrario	1660-7880	1662-8667	2003	1	1				https://www.cairn.info/revue-a-contrario.htm		revue-a-contrario	P1Y	fulltext		BSN Press	serial								F	111817749
Distances et savoirs	1765-0887	1965-0167	2003	1	1				https://www.cairn.info/revue-distances-et-savoirs.htm		revue-distances-et-savoirs	P5Y	fulltext		Lavoisier	serial								F	111876532
Dossiers du CRISP	2736-2280	2736-2299	2002	56	1				https://www.cairn.info/revue-dossiers-du-crisp.htm		revue-dossiers-du-crisp	P1Y	fulltext		CRISP	serial								F	248662821
Économie internationale	1240-8093	1777-5582	2001	85	1	2012	132	4	https://www.cairn.info/revue-economie-internationale.htm		revue-economie-internationale	P3Y	fulltext		La Documentation française	serial								F	111925029
Horizons stratégiques	1958-3370	1760-8023	2006	1	1	2008	7	1	https://www.cairn.info/revue-horizons-strategiques.htm		revue-horizons-strategiques		fulltext		La Documentation française	serial								F	131778544
Hypothèses	1298-6216	2101-0269	1998	1	1				https://www.cairn.info/revue-hypotheses.htm		revue-hypotheses	P1Y	fulltext		Éditions de la Sorbonne	serial								F	130309230
Les Cahiers Sirice	1967-2713	2118-0067	2008	1	1				https://www.cairn.info/revue-les-cahiers-sirice.htm		revue-les-cahiers-sirice		fulltext		UMR Sirice	serial								F	147923409
Nouvelles FondationS	1951-9745	2101-0242	2006	1	1	2007	7-8	3-4	https://www.cairn.info/revue-nouvelles-fondations.htm		revue-nouvelles-fondations	P1Y	fulltext		Fondation Gabriel Péri	serial								F	122137175
Revue d'Histoire des Sciences Humaines	1622-468X	1963-1022	1999	1	1	2011	25	2	https://www.cairn.info/revue-histoire-des-sciences-humaines.htm		revue-histoire-des-sciences-humaines	P4Y	fulltext		Éditions Sciences Humaines	serial								F	112157750
Travaux de linguistique	0082-6049	1782-1576	2001	42	1				https://www.cairn.info/revue-travaux-de-linguistique.htm		revue-travaux-de-linguistique	P1Y	fulltext		De Boeck Supérieur	serial								F	099223198
