publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Revue D'économie Industrielle	0154-3229	1773-0198	2021	175	1				https://shs.cairn.info/revue-d-economie-industrielle?lang=fr		revue-d-economie-industrielle	P2Y	fulltext		De Boeck Supérieur	serial								F	09512828X
Pour	0245-9442	2426-6507	2007	193	1				https://shs.cairn.info/revue-pour?lang=fr		revue-pour	P3Y	fulltext		GREP	serial								F	181334135
La Revue Des Revues	0980-2797	2649-7751	2013	49	1				https://shs.cairn.info/revue-la-revue-des-revues?lang=fr		revue-la-revue-des-revues	P2Y	fulltext		Ent'revues	serial								F	229207448
La Géographie	1964-9002	2967-5545	2010	1536	1				https://shs.cairn.info/revue-la-geographie?lang=fr		revue-la-geographie	P3Y	fulltext		Société de Géographie	serial								F	266733123
Le Regard Libre	2571-7723	2571-967X	2021	100	1				https://shs.cairn.info/revue-regard-libre?lang=fr		revue-regard-libre	P3Y	fulltext		Le regard libre	serial								F	224184075
Le Sujet Dans La Cité	2112-7689	2263-7516	2010	1	1				https://shs.cairn.info/revue-le-sujet-dans-la-cite?lang=fr		revue-le-sujet-dans-la-cite	P4Y	fulltext		L'Harmattan	serial								F	167174312
Management & Sciences Sociales	1952-3262	2102-6572	2012	12	1				https://shs.cairn.info/revue-management-et-sciences-sociales?lang=fr		revue-management-et-sciences-sociales	P1Y	fulltext		ISTEC	serial								F	137244258
Sociétés & Représentations	1262-2966	2104-404X	1995	1	1				https://shs.cairn.info/revue-societes-et-representations?lang=fr		revue-societes-et-representations	P2Y	fulltext		Éditions de la Sorbonne	serial								F	130469912
Revue Internationale De Philosophie	0048-8143	2033-0138	2001	309	1				https://shs.cairn.info/revue-internationale-de-philosophie?lang=fr		revue-internationale-de-philosophie	P5Y	fulltext		De Boeck Supérieur	serial								F	130468894
Sang Thrombose Vaisseaux	0999-7385	1950-6104	2019	31	1				https://stm.cairn.info/revue-sang-thrombose-vaisseaux?lang=fr		revue-sang-thrombose-vaisseaux	P3Y	fulltext		JLE Éditions	serial								F	131773844
Revue Française D'éthique Appliquée	2494-5757	2427-0687	2016	1	1				https://shs.cairn.info/revue-francaise-d-ethique-appliquee?lang=fr		revue-francaise-d-ethique-appliquee	P5Y	fulltext		érès	serial								F	18716858X
Revue Juridique De L’environnement	0397-0299	2430-2848	2010		1				https://droit.cairn.info/revue-juridique-de-l-environnement?lang=fr		revue-juridique-de-l-environnement	P3Y	fulltext		Lavoisier	serial								F	189341297
La Revue De L'énergie	0303-240X	2492-7988	2023	666	1				https://stm.cairn.info/revue-revue-de-l-energie?lang=fr		revue-revue-de-l-energie	P1Y	fulltext		Conseil Français de l’Énergie	serial								F	193244543
L'école Des Parents	0424-2238	2491-2875	2011	588	1				https://shs.cairn.info/revue-l-ecole-des-parents?lang=fr		revue-l-ecole-des-parents	P4Y	fulltext		érès	serial								F	190405880
Guerres Mondiales Et Conflits Contemporains	0984-2292	2101-0137	2001	201	1				https://shs.cairn.info/revue-guerres-mondiales-et-conflits-contemporains?lang=fr		revue-guerres-mondiales-et-conflits-contemporains	P3Y	fulltext		Presses Universitaires de France	serial								F	13018294X
Multitudes	0292-0107	1777-5841	2000	2	1				https://shs.cairn.info/revue-multitudes?lang=fr		revue-multitudes	P1Y	fulltext		Association Multitudes	serial								F	071524819
Décisions Marketing	0779-7389	2269-8469	1993		0				https://shs.cairn.info/revue-decisions-marketing?lang=fr		revue-decisions-marketing	P3Y	fulltext		EMS Éditions	serial								F	174855931
Insistance	1778-7807	1951-6258	2005	10	1				https://shs.cairn.info/revue-insistance?lang=fr		revue-insistance	P4Y	fulltext		érès	serial								F	111472415
Les Cahiers Dynamiques	1276-3780	2109-9545	2005		1				https://shs.cairn.info/revue-les-cahiers-dynamiques?lang=fr		revue-les-cahiers-dynamiques	P4Y	fulltext		érès	serial								F	13969689X
Politix	0295-2319	1953-8286	1988	17	1				https://shs.cairn.info/revue-politix?lang=fr		revue-politix	P2Y	fulltext		De Boeck Supérieur	serial								F	116345217
Pratiques En Santé Mentale	1286-1286	2426-640X	2014	60	1				https://shs.cairn.info/revue-pratique-en-sante-mentale?lang=fr		revue-pratique-en-sante-mentale	P5Y	fulltext		Champ social	serial								F	187657408
