publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Administration et Éducation	0222-674X	2554-8395	2014	141	1				https://www.cairn.info/revue-administration-et-education.htm		revue-administration-et-education		fulltext		Association Française des Acteurs de l'Éducation	serial								P	202731278
Adolescence	0751-7696	1969-6736	2004		3				https://www.cairn.info/revue-adolescence.htm		revue-adolescence		fulltext		Éditions GREUPP	serial								P	111829674
Cahiers critiques de thérapie familiale et de pratiques de réseaux	1372-8202	1782-1398	2001	26	1				https://www.cairn.info/revue-cahiers-critiques-de-therapie-familiale.htm		revue-cahiers-critiques-de-therapie-familiale		fulltext		De Boeck Supérieur	serial								P	097476110
Carrefours de l'éducation	1262-3490	1969-6949	2001	11	1				https://www.cairn.info/revue-carrefours-de-l-education.htm		revue-carrefours-de-l-education		fulltext		Armand Colin	serial								P	121934667
Connexions	0337-3126	1776-2804	2001	75	1				https://www.cairn.info/revue-connexions.htm		revue-connexions		fulltext		Érès	serial								P	097479780
Corps et Psychisme	2496-4476	2553-6087	2001	21	1				https://www.cairn.info/revue-corps-et-psychisme.htm		revue-corps-et-psychisme		fulltext		L’Esprit du temps	serial								P	195020715
Éducation et didactique	1956-3485	2111-4838	2019	13	2				https://www.cairn.info/revue-education-et-didactique.htm		revue-education-et-didactique		fulltext		Presses universitaires de Rennes	serial								P	148528678
Éducation et sociétés	1373-847X	1782-1428	2001	7	1				https://www.cairn.info/revue-education-et-societes.htm		revue-education-et-societes		fulltext		De Boeck Supérieur	serial								P	097524328
Empan	1152-3336	1776-2812	2002	45	1				https://www.cairn.info/revue-empan.htm		revue-empan		fulltext		Érès	serial								P	097526029
Enfance	0013-7545	1969-6981	2001	53	1				https://www.cairn.info/revue-enfance.htm		revue-enfance		fulltext		Presses Universitaires de France	serial								P	111179408
Enfances et Psy	1286-5559	1776-2820	2000	12	4				https://www.cairn.info/revue-enfances-et-psy.htm		revue-enfances-et-psy		fulltext		Érès	serial								P	09755569X
Histoire de l’éducation	0221-6280	2102-5452	2019	151	1				https://www.cairn.info/revue-histoire-de-l-education.htm		revue-histoire-de-l-education		fulltext		E.N.S. Editions	serial								P	136058612
La nouvelle revue - Éducation et société inclusives	2609-5211	2426-6248	2006	33	1				https://www.cairn.info/revue-la-nouvelle-revue-education-et-societe-inclusives.htm		revue-la-nouvelle-revue-education-et-societe-inclusives		fulltext		I.N.S.H.E.A.	serial								P	183578325
La revue internationale de l'éducation familiale	1279-7766	1968-388X	2006	19	1				https://www.cairn.info/revue-la-revue-internationale-de-l-education-familiale.htm		revue-la-revue-internationale-de-l-education-familiale		fulltext		L'Harmattan	serial								P	157137341
Le Coq-héron	0335-7899	1951-6290	2002	168	1				https://www.cairn.info/revue-le-coq-heron.htm		revue-le-coq-heron		fulltext		Érès	serial								P	110959965
Le Divan familial	1292-668X	2118-1942	2001	6	1				https://www.cairn.info/revue-le-divan-familial.htm		revue-le-divan-familial		fulltext		In Press	serial								P	148864066
Le Journal des psychologues	0752-501X	2118-3015	2006	234	1				https://www.cairn.info/revue-le-journal-des-psychologues.htm		revue-le-journal-des-psychologues		fulltext		Martin Média	serial								P	149361386
Le Télémaque	1263-588X	2118-2191	2001	19	1				https://www.cairn.info/revue-le-telemaque.htm		revue-le-telemaque		fulltext		Presses universitaires de Caen	serial								P	150316151
L'école des parents	0424-2238	2491-2875	2011	588	1				https://www.cairn.info/revue-l-ecole-des-parents.htm		revue-l-ecole-des-parents		fulltext		Érès	serial								P	190405880
Les Cahiers Dynamiques	1276-3780	2109-9545	2005	33	1				https://www.cairn.info/revue-les-cahiers-dynamiques.htm		revue-les-cahiers-dynamiques		fulltext		Érès	serial								P	13969689X
Les Sciences de l'éducation - Pour l'Ère nouvelle	0755-9593	2259-3764	2005	38	1				https://www.cairn.info/revue-les-sciences-de-l-education-pour-l-ere-nouvelle.htm		revue-les-sciences-de-l-education-pour-l-ere-nouvelle		fulltext		ADRESE/CIRNEF	serial								P	167100025
Pensée plurielle	1376-0963	1782-1479	2001	3	1				https://www.cairn.info/revue-pensee-plurielle.htm		revue-pensee-plurielle		fulltext		De Boeck Supérieur	serial								P	097585386
Recherche et formation	0988-1824	1968-3936	2016	82	2				https://www.cairn.info/revue-recherche-et-formation.htm		revue-recherche-et-formation		fulltext		E.N.S. Editions	serial								P	137147597
Recherches en didactiques	2116-9683	2608-0958	2011	11	1				https://www.cairn.info/revue-recherches-en-didactiques.htm		revue-recherches-en-didactiques		fulltext		Université de Lille	serial								P	224441671
Revue française de pédagogie	0556-7807	2105-2913	2016	196	3				https://www.cairn.info/revue-francaise-de-pedagogie.htm		revue-francaise-de-pedagogie		fulltext		E.N.S. Editions	serial								P	143238493
Spirale - Revue de recherches en éducation	0994-3722	2118-724X	2016	58	2				https://www.cairn.info/revue-spirale-revue-de-recherches-en-education.htm		revue-spirale-revue-de-recherches-en-education		fulltext		Association pour la Recherche en Éducation	serial								P	132926806
Staps	0247-106X	1782-1568	2001	54	1				https://www.cairn.info/revue-staps.htm		revue-staps		fulltext		De Boeck Supérieur	serial								P	099221012
Thérapie Familiale	0250-4952	2235-2112	2001	22	1				https://www.cairn.info/revue-therapie-familiale.htm		revue-therapie-familiale		fulltext		Médecine et Hygiène	serial								P	156453401
