publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
L'autre	1626-5378	2259-4566	2000	1	1				https://shs.cairn.info/revue-l-autre?lang=fr		revue-l-autre		fulltext		La Pensée sauvage	serial								P	174290853
Pin Code	2658-9869	2716-7372	2019	1	1				https://droit.cairn.info/revue-pincode?lang=fr		revue-pincode		fulltext		Legitech	serial								P	253916089
Revue Internationale D'intelligence Économique	2101-647X	2102-6408	2009	1	1				https://shs.cairn.info/revue-internationale-d-intelligence-economique?lang=fr		revue-internationale-d-intelligence-economique		fulltext		VA Éditions	serial								P	137244134
Droit, Santé Et Société	0999-9809	2606-6645	2016	1	1				https://droit.cairn.info/revue-droit-sante-et-societe?lang=fr		revue-droit-sante-et-societe		fulltext		ESKA	serial								P	22526370X
Futuribles	0337-307X	1958-5764	2017	416	1				https://shs.cairn.info/revue-futuribles?lang=fr		revue-futuribles		fulltext		Futuribles	serial								P	177524936
Che Vuoi ?	0994-2424	2262-4848	2003	19	1	2024	1	N° 8	https://shs.cairn.info/revue-che-vuoi?lang=fr		revue-che-vuoi		fulltext		érès	serial								P	16619798X
Économie & Prévision	0249-4744	1777-5795	2001	150	1	2011	1	n° 197-198	https://shs.cairn.info/revue-economie-et-prevision-1?lang=fr		revue-economie-et-prevision-1		fulltext		La Documentation française	serial								P	111923662
Revue Du Crieur	2428-4068	2649-7565	2015	1	1	2024	2	n° 25	https://shs.cairn.info/revue-du-crieur?lang=fr		revue-du-crieur		fulltext		La Découverte	serial								P	230616704
Le Droit De Vivre	0999-2774		2024	692	1				https://shs.cairn.info/le-droit-de-vivre?lang=fr		le-droit-de-vivre		fulltext		Le Droit de Vivre	serial								P	235220345
Cahiers Jungiens De Psychanalyse	0984-8207	2262-4783	1974	1	1				https://shs.cairn.info/revue-cahiers-jungiens-de-psychanalyse?lang=fr		revue-cahiers-jungiens-de-psychanalyse		fulltext		Cahiers jungiens de psychanalyse	serial								P	163840598
Champ Psy	2260-2100	2273-1571	2010	57	1	2015	2	N° 68	https://shs.cairn.info/revue-champ-psy?lang=fr		revue-champ-psy		fulltext		L’Esprit du temps	serial								P	178719013
Revue De Gestion Des Ressources Humaines	1163-913X	2271-2186	2008	100	1				https://shs.cairn.info/revue-de-gestion-des-ressources-humaines?lang=fr		revue-de-gestion-des-ressources-humaines		fulltext		ESKA	serial								P	175967113
Maghreb - Machrek	1762-3162	2271-6815	2008	197	1				https://shs.cairn.info/revue-maghreb-machrek?lang=fr		revue-maghreb-machrek		fulltext		ESKA	serial								P	17794174X
Les Tribunes De La Santé	1765-8888	2729-0352	2005	14	1	2017	4	n° 57	https://stm.cairn.info/revue-les-tribunes-de-la-sante1?lang=fr		revue-les-tribunes-de-la-sante1		fulltext		Presses de Sciences Po	serial								P	249204118
Annuel De L'apf	1964-5007	2426-5489	2007	2007	1	2018	1	Annuel 2018	https://shs.cairn.info/revue-annuel-de-l-apf?lang=fr		revue-annuel-de-l-apf		fulltext		Presses Universitaires de France	serial								P	180644688
Market Management	1779-3572	2111-4374	2001	1	1	2009	1	Vol. 9	https://shs.cairn.info/revue-market-management?lang=fr		revue-market-management		fulltext		ESKA	serial								P	131193333
Perspectives Psy	0031-6032	2118-4038	2004	47	1				https://shs.cairn.info/revue-perspectives-psy?lang=fr		revue-perspectives-psy		fulltext		EDP Sciences	serial								P	150142404
Management & Avenir - Pedagogia		3036-1974	2023	1	1				https://shs.cairn.info/revue-pedagogia?lang=fr		revue-pedagogia		fulltext		Management Prospective Éditions	serial								P	276621360
Bulletin Du Centre De Documentation Juive Contemporaine	1162-5082		1945	1	1	1946	1	N° 8	https://shs.cairn.info/revue-bulletin-du-centre-de-documentation-juive-contemporaine?lang=fr		revue-bulletin-du-centre-de-documentation-juive-contemporaine		fulltext		Centre de Documentation Juive Contemporaine	serial								P	254377092
Psychologie Clinique	1145-1882	2118-4224	2009	27	1				https://shs.cairn.info/revue-psychologie-clinique?lang=fr		revue-psychologie-clinique		fulltext		EDP Sciences	serial								P	150139632
