publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Pratiques	0337-6400		2021	100	1				https://stm.cairn.info/revue-pratiques?lang=fr		revue-pratiques		fulltext		Revue pratiques	serial								P	
Le Nouveau Praticien Vétérinaire - Canine & Féline	1637-3065	2970-0825	2022	19	1				https://stm.cairn.info/revue-le-nouveau-praticien-veterinaire-canine-et-feline?lang=fr		revue-le-nouveau-praticien-veterinaire-canine-et-feline		fulltext		EDP Sciences	serial								P	269705570
Éducation Thérapeutique Du Patient / Therapeutic Patient Education	2100-0808	2100-0816	2020	12	1				https://stm.cairn.info/revue-education-therapeutique-du-patient?lang=fr		revue-education-therapeutique-du-patient		fulltext		EDP Sciences	serial								P	136058477
Movement & Sport Sciences - Science & Motricité	2118-5735	2118-5743	2010	100	1				https://shs.cairn.info/revue-movement-and-sport-sciences?lang=fr		revue-movement-and-sport-sciences		fulltext		EDP Sciences	serial								P	160979137
Le Nouveau Praticien Vétérinaire - Élevage & Santé	1777-7232	2970-0892	2022	14	1				https://stm.cairn.info/revue-le-nouveau-praticien-veterinaire-elevages-et-sante?lang=fr		revue-le-nouveau-praticien-veterinaire-elevages-et-sante		fulltext		EDP Sciences	serial								P	269705627
Infokara	1021-9056	2235-2120	2001	16	1	2009	4	Vol. 24	https://stm.cairn.info/revue-infokara1?lang=fr		revue-infokara1		fulltext		Médecine et Hygiène	serial								P	111988810
Revue Cyber & Conformité	2738-9405	2738-9413	2021	1	1				https://droit.cairn.info/revue-cyber-et-conformite?lang=fr		revue-cyber-et-conformite		fulltext		Legitech	serial								P	253918049
Document Numérique	1279-5127	1963-1014	2001	10	1	2019	1	Vol. 22	https://stm.cairn.info/revue-document-numerique?lang=fr		revue-document-numerique		fulltext		JLE Éditions	serial								P	111877547
Biologie Aujourd'hui	2105-0678	2105-0686	2020	214	1				https://stm.cairn.info/revue-biologie-aujourdhui?lang=fr		revue-biologie-aujourdhui		fulltext		EDP Sciences	serial								P	147872162
Revue De Biologie Médicale	2826-6242		2019	370	1				https://stm.cairn.info/revue-revue-de-biologie-medicale?lang=fr		revue-revue-de-biologie-medicale		fulltext		Éditions Orion	serial								P	
Le Nouveau Praticien Vétérinaire - Équine	1767-5081	2970-0868	2022	16	1				https://stm.cairn.info/revue-le-nouveau-praticien-veterinaire-equine?lang=fr		revue-le-nouveau-praticien-veterinaire-equine		fulltext		EDP Sciences	serial								P	269705597
Études Françaises De Renseignement Et De Cyber	3039-8738	3036-2342	2023	1	1				https://shs.cairn.info/revue-etudes-francaises-de-renseignement-et-de-cyber?lang=fr		revue-etudes-francaises-de-renseignement-et-de-cyber		fulltext		Presses Universitaires de France	serial								P	276621131
Journal De Gestion Et D'économie De La Santé	2262-5305	2270-2504	2019	1	1				https://shs.cairn.info/revue-journal-de-gestion-et-d-economie-de-la-sante?lang=fr		revue-journal-de-gestion-et-d-economie-de-la-sante		fulltext		ESKA	serial								P	17514933X
Pédagogie Médicale	1625-6484	1627-4784	2020	21	1				https://stm.cairn.info/revue-pedagogie-medicale?lang=fr		revue-pedagogie-medicale		fulltext		EDP Sciences	serial								P	058855521
Systèmes D'information & Management	1260-4984	2271-7188	2008	13	1				https://shs.cairn.info/revue-systemes-d-information-et-management?lang=fr		revue-systemes-d-information-et-management		fulltext		ESKA	serial								P	176700056
