publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Carrefours de l'éducation	1262-3490	1969-6949	2001	11	1				https://www.cairn.info/revue-carrefours-de-l-education.htm		revue-carrefours-de-l-education		fulltext		Armand Colin	serial								P
Communication et langages	0336-1500	1778-7459	2009	159	1				https://www.cairn.info/revue-communication-et-langages.htm		revue-communication-et-langages		fulltext		Presses Universitaires de France	serial								P
Éducation et didactique	1956-3485	2111-4838	2018	12	2				https://www.cairn.info/revue-education-et-didactique.htm		revue-education-et-didactique		fulltext		Presses universitaires de Rennes	serial								P
LEGICOM	1244-9288	2272-8090	1995	8	2				https://www.cairn.info/revue-legicom.htm		revue-legicom		fulltext		Victoires éditions	serial								P
Les Cahiers du numérique	1622-1494	2111-434X	2001	2	1				https://www.cairn.info/revue-les-cahiers-du-numerique.htm		revue-les-cahiers-du-numerique		fulltext		Lavoisier	serial								P
Les Champs de Mars	1253-1871	2427-3244	1996	1	1				https://www.cairn.info/revue-les-champs-de-mars.htm		revue-les-champs-de-mars		fulltext		Presses de Sciences Po	serial								P
Les Sciences de l'éducation - Pour l'Ère nouvelle	0755-9593	2259-3764	2005	38	1				https://www.cairn.info/revue-les-sciences-de-l-education-pour-l-ere-nouvelle.htm		revue-les-sciences-de-l-education-pour-l-ere-nouvelle		fulltext		ADRESE/CIRNEF	serial								P
Politiques de communication	2271-068X	2426-5977	2013	1	1				https://www.cairn.info/revue-politiques-de-communication.htm		revue-politiques-de-communication		fulltext		Presses universitaires de Grenoble	serial								P
Prospective et stratégie	2260-0299	2492-0606	2010	1	1				https://www.cairn.info/revue-prospective-et-strategie.htm		revue-prospective-et-strategie		fulltext		APORS Éditions	serial								P
Recherches en didactiques	2116-9683	2608-0958	2011	11	1				https://www.cairn.info/revue-recherches-en-didactiques.htm		revue-recherches-en-didactiques		fulltext		Association REDLCT	serial								P
Revue du Crieur	2428-4068	2649-7565	2015	1	1				https://www.cairn.info/revue-du-crieur.htm		revue-du-crieur		fulltext		La Découverte	serial								P
Staps	0247-106X	1782-1568	2001	54	1				https://www.cairn.info/revue-staps.htm		revue-staps		fulltext		De Boeck Supérieur	serial								P
