publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Administration	0223-5439	2669-6541	2020	266	1				https://www.cairn.info/revue-administration.htm		revue-administration		fulltext		L’Association du Corps Préfectoral et des Hauts Fonctionnaires du Ministère de l’Intérieur	serial								P	236093649
Revue de Médecine Périnatale	2678-6524	1965-0841	2016	8	1	2018		4	https://www.cairn.info/revue-de-medecine-perinatale.htm		revue-de-medecine-perinatale		fulltext		JLE Editions	serial								P	135958423
Revue de Psychologie Analytique	2268-8870	2271-2151	2013	1	1				https://www.cairn.info/revue-de-psychologie-analytique.htm		revue-de-psychologie-analytique		fulltext		@RPA	serial								P	174933789
Revue du Crieur	2428-4068	2649-7565	2015	1	1				https://www.cairn.info/revue-du-crieur.htm		revue-du-crieur		fulltext		La Découverte	serial								P	230616704
ADSP	1243-275X	2804-0163	2021	113	1				https://www.cairn.info/revue-actualite-et-dossier-en-sante-publique.htm		revue-actualite-et-dossier-en-sante-publique		fulltext		Presses de l’EHESP	serial								P	260056650
Annales des Mines - Réalités industrielles	1148-7941	2271-7978	2008	2008	1				https://www.cairn.info/revue-realites-industrielles.htm		revue-realites-industrielles		fulltext		Institut Mines-Télécom	serial								P	172533554
Approches Théoriques en Information-Communication (ATIC)		2779-1106	2020	1	1				https://www.cairn.info/revue-approches-theoriques-en-information-communication.htm		revue-approches-theoriques-en-information-communication		fulltext		DICEN IdF	serial								P	252351800
Bankers, Markets et Investors			2021	164	1				https://www.cairn.info/revue-bankers-markets-et-investors.htm		revue-bankers-markets-et-investors		fulltext		ESKA	serial								P	
Bulletin du Centre de Documentation Juive Contemporaine	1162-5082		1945	1	1	1946		1	https://www.cairn.info/revue-bulletin-du-centre-de-documentation-juive-contemporaine.htm		revue-bulletin-du-centre-de-documentation-juive-contemporaine		fulltext		Centre de Documentation Juive Contemporaine	serial								P	
Cahiers d'économie Politique	0154-8344	1969-6779	2001	39	1				https://www.cairn.info/revue-cahiers-d-economie-politique-1.htm		revue-cahiers-d-economie-politique-1		fulltext		L'Harmattan	serial								P	130140252
