publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Bulletin du bibliophile	0399-9742		2009		1				https://shs.cairn.info/revue-bulletin-du-bibliophile?lang=fr		revue-bulletin-du-bibliophile		fulltext		Éditions du Cercle de la Librairie	serial								P	277092795
Médium	1771-3757	2259-5082	2004	20	1	2019	3	N° 60-61	https://shs.cairn.info/revue-medium?lang=fr		revue-medium		fulltext		Association Médium	serial								P	167629158
Critique	0011-1600	1968-3901	2003	699	1				https://shs.cairn.info/revue-critique?lang=fr		revue-critique		fulltext		Éditions de Minuit	serial								P	157370607
NAQD	1111-4371		1991		1				https://shs.cairn.info/revue-naqd?lang=fr		revue-naqd		fulltext		NAQD	serial								P	183678028
Cahiers d'Addoc	3075-5867	3077-0009	2024	4	1				https://shs.cairn.info/revue-cahiers-d-addoc?lang=fr		revue-cahiers-d-addoc		fulltext		ADDOC - Association des cinéastes documentaristes	serial								P	284530913
Ligeia	0989-6023	2606-6165	1988	1	1				https://shs.cairn.info/revue-ligeia?lang=fr		revue-ligeia		fulltext		Éditions Ligeia	serial								P	222217804
Sensibilités	2496-9087	2779-1920	2016	1	1				https://shs.cairn.info/revue-sensibilites?lang=fr		revue-sensibilites		fulltext		Anamosa	serial								P	252523393
Revue Sens	0337-6222		2025	458	1				https://shs.cairn.info/revue-sens?lang=fr		revue-sens		fulltext		Amitié Judéo-Chrétienne de France	serial								P	284479470
Revue de la BNF	1254-7700	2118-3376	2009	31	1	2020	2	n° 61	https://shs.cairn.info/revue-de-la-bibliotheque-nationale-de-france?lang=fr		revue-de-la-bibliotheque-nationale-de-france		fulltext		Bibliothèque nationale de France	serial								P	139713913
Journal international de bioéthique et d'éthique des sciences	2555-5111	2608-1008	2015	26	1				https://stm.cairn.info/revue-journal-international-de-bioethique-et-d-ethique-des-sciences?lang=fr		revue-journal-international-de-bioethique-et-d-ethique-des-sciences		fulltext		ESKA	serial								P	226900843
Vertigo	0985-1402	2428-3568	2002		1	2015	1	n° 48	https://shs.cairn.info/revue-vertigo?lang=fr		revue-vertigo		fulltext		Éditions Lignes	serial								P	18513792X
Revue Historique des Armées	0035-3299	1965-0779	2006	242	1				https://shs.cairn.info/revue-historique-des-armees?lang=fr		revue-historique-des-armees		fulltext		Service Historique de la Défense	serial								P	127693246
Adogma	2494-6567		2020	10	1				https://shs.cairn.info/revue-adogma?lang=fr		revue-adogma		fulltext		Association des Libres Penseurs de France	serial								P	285066129
Cahiers d'histoire russe, est-européenne, caucasienne et centrasiatique	3038-0979	3038-4222	2024	65	1				https://shs.cairn.info/revue-cahiers-d-histoire-russe-et-est-europeenne?lang=fr		revue-cahiers-d-histoire-russe-et-est-europeenne		fulltext		Éditions de l'EHESS	serial								P	279603304
Africultures	1276-2458	2271-1732	2003	101	1	2018	1	N° 106	https://shs.cairn.info/revue-africultures?lang=fr		revue-africultures		fulltext		Africultures	serial								P	175966958
Les Temps Modernes	0040-3075	2272-9356	2001	615	1	2018	4	n° 700	https://shs.cairn.info/revue-les-temps-modernes?lang=fr		revue-les-temps-modernes		fulltext		Gallimard	serial								P	17629029X
Revue d'Histoire Diplomatique			2023	136	1				https://shs.cairn.info/revue-d-histoire-diplomatique?lang=fr		revue-d-histoire-diplomatique		fulltext		Éditions Pédone	serial								P	
Annales historiques de l’électricité	1762-3227	2272-8023	2003	1	1	2014	1	N° 12	https://shs.cairn.info/revue-annales-historiques-de-l-electricite?lang=fr		revue-annales-historiques-de-l-electricite		fulltext		Victoires éditions	serial								P	177145641
Le Visiteur	1265-7034		2017	22	1				https://shs.cairn.info/revue-le-visiteur?lang=fr		revue-le-visiteur		fulltext		Société française des architectes (S.F.A.)	serial								P	277529581
Musurgia	1257-7537	2271-1856	2008		1				https://shs.cairn.info/revue-musurgia?lang=fr		revue-musurgia		fulltext		ESKA	serial								P	175967024
L'Année épigraphique	0066-2348	2492-0509	2010	2007	1				https://shs.cairn.info/revue-annee-epigraphique?lang=fr		revue-annee-epigraphique		fulltext		Presses Universitaires de France	serial								P	178311952
Bifurcation/s	3074-5373		2024	1	1				https://shs.cairn.info/revue-bifurcations?lang=fr		revue-bifurcations		fulltext		Éditions du Croquant	serial								P	283117583
Vingtième Siècle. Revue d'histoire	0294-1759	1950-6678	2001	100	1	2018	4	N° 140	https://shs.cairn.info/revue-vingtieme-siecle-revue-d-histoire?lang=fr		revue-vingtieme-siecle-revue-d-histoire		fulltext		Presses de Sciences Po	serial								P	099236346
Bulletin de l’Amitié Charles Péguy	0180-8567		2024	181	1				https://shs.cairn.info/l-amitie-charles-peguy?lang=fr		l-amitie-charles-peguy		fulltext		L'Amitié Charles Péguy	serial								P	189948140
Repères, cahier de danse	2112-5147	2271-7811	2006	17	1	2021	2	n° 47	https://shs.cairn.info/revue-reperes-cahier-de-danse?lang=fr		revue-reperes-cahier-de-danse		fulltext		La Briqueterie / CDCN du Val-de-Marne	serial								P	17486874X
Études Tsiganes	0014-2247	2426-6078	2007	30	1				https://shs.cairn.info/revue-etudes-tsiganes?lang=fr		revue-etudes-tsiganes		fulltext		FNASAT	serial								P	18286233X
Journal International de Bioéthique	1287-7352	2102-5169	2001	12	1	2014	4	Vol. 25	https://shs.cairn.info/revue-journal-international-de-bioethique?lang=fr		revue-journal-international-de-bioethique		fulltext		ESKA	serial								P	131191047
Philosophie	0294-1805	1968-391X	2001	100	1				https://shs.cairn.info/revue-philosophie?lang=fr		revue-philosophie		fulltext		Éditions de Minuit	serial								P	157277321
Le Débat	0246-2346	2111-4587	1980	1	1	2020	3	n° 210	https://shs.cairn.info/revue-le-debat?lang=fr		revue-le-debat		fulltext		Gallimard	serial								P	148794556
La Nouvelle Revue française	0029-4802	2496-4980	2024	657	1				https://shs.cairn.info/la-nouvelle-revue-francaise?lang=fr		la-nouvelle-revue-francaise		fulltext		Gallimard	serial								P	242320279
Commentaire	0180-8214	2272-8988	1978	1	1				https://shs.cairn.info/revue-commentaire?lang=fr		revue-commentaire		fulltext		Commentaire SA	serial								P	17858214X
Aden	1638-9867	2649-7263	2007	10	1				https://shs.cairn.info/revue-aden?lang=fr		revue-aden		fulltext		Le groupe interdisciplinaire d'études nizaniennes	serial								P	233233237
Lignes	0988-5226	2272-818X	1987	1	1				https://shs.cairn.info/revue-lignes?lang=fr		revue-lignes		fulltext		Éditions Lignes	serial								P	178582085
Clio. Femmes, Genre, Histoire	1252-7017	1777-5299	2024	59	1				https://shs.cairn.info/revue-clio-femmes-genre-histoire?lang=fr		revue-clio-femmes-genre-histoire		fulltext		Belin	serial								P	114901988
Revue d'histoire littéraire de la France	0035-2411	2105-2689	2001	101	1	2016	4	Vol. 116	https://shs.cairn.info/revue-d-histoire-litteraire-de-la-france?lang=fr		revue-d-histoire-litteraire-de-la-france		fulltext		Presses Universitaires de France	serial								P	118822527
Présence Africaine	0032-7638	2271-197X	1947	1	1				https://shs.cairn.info/revue-presence-africaine?lang=fr		revue-presence-africaine		fulltext		Éditions Présence Africaine	serial								P	174868448
Esprit	0014-0759	2111-4579	2006		1				https://shs.cairn.info/revue-esprit?lang=fr		revue-esprit		fulltext		Éditions Esprit	serial								P	14879453X
Cahiers de danse	3002-5478	2969-9932	2023	0	1				https://shs.cairn.info/revue-cahiers-de-danse?lang=fr		revue-cahiers-de-danse		fulltext		La Briqueterie / CDCN du Val-de-Marne	serial								P	269705589
Agone	1157-6790	1953-7999	2013		1	2019	1	n° 63-64	https://shs.cairn.info/revue-agone?lang=fr		revue-agone		fulltext		Agone	serial								P	12780952X
Audimat	2261-3595	2269-9554	2014	1	1				https://shs.cairn.info/revue-audimat?lang=fr		revue-audimat		fulltext		Audimat Éditions	serial								P	175148805
Laennec	1272-520X	2262-483X	2002	50	1	2020	4	Tome 68	https://shs.cairn.info/revue-laennec?lang=fr		revue-laennec		fulltext		Centre Laennec	serial								P	161503373
Histoire et missions chrétiennes	1957-5246	2264-4938	2007	21	1	2012	3	n° 23	https://shs.cairn.info/revue-histoire-monde-et-cultures-religieuses1?lang=fr		revue-histoire-monde-et-cultures-religieuses1		fulltext		Karthala	serial								P	166369454
The Irenaut			2023	1	1				https://shs.cairn.info/revue-the-irenaut?lang=fr		revue-the-irenaut		fulltext		The Irenaut	serial								P	
