publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Actualités en analyse transactionnelle	1377-8935	2272-060X	2008	125	1				https://www.cairn.info/revue-actualites-en-analyse-transactionnelle.htm		revue-actualites-en-analyse-transactionnelle		fulltext		Institut français d'analyse transactionnelle	serial								P	177039930
Analyse Freudienne Presse	1253-1472	1969-6744	2001	3	1				https://www.cairn.info/revue-analyse-freudienne-presse.htm		revue-analyse-freudienne-presse		fulltext		Érès	serial								P	111831164
Annuel de l'APF	1964-5007	2426-5489	2007	2007	1	2018		1	https://www.cairn.info/revue-annuel-de-l-apf.htm		revue-annuel-de-l-apf		fulltext		Presses Universitaires de France	serial								P	180644688
Approche Centrée sur la Personne. Pratique et recherche	1774-5314	1961-8670	2005	1	1				https://www.cairn.info/revue-approche-centree-sur-la-personne.htm		revue-approche-centree-sur-la-personne		fulltext		ACP-PR	serial								P	11309647X
Cahiers de Gestalt-thérapie	1277-6874	1775-4348	2001	9	1				https://www.cairn.info/revue-cahiers-de-gestalt-therapie.htm		revue-cahiers-de-gestalt-therapie		fulltext		Collège européen de Gestalt-thérapie	serial								P	139570578
Cahiers de psychologie clinique	1370-074X	1782-1401	2001	16	1				https://www.cairn.info/revue-cahiers-de-psychologie-clinique.htm		revue-cahiers-de-psychologie-clinique		fulltext		De Boeck Supérieur	serial								P	097477079
Cahiers jungiens de psychanalyse	0984-8207	2262-4783	1974	1	1				https://www.cairn.info/revue-cahiers-jungiens-de-psychanalyse.htm		revue-cahiers-jungiens-de-psychanalyse		fulltext		Les cahiers jungiens de psychanalyse	serial								P	163840598
Cancer(s) et psy(s)	2269-9201	2495-0920	2014	1	1				https://www.cairn.info/revue-cancers-et-psys.htm		revue-cancers-et-psys		fulltext		Érès	serial								P	195211464
Champ lacanien	1767-6827	2606-5827	2004	1	1				https://www.cairn.info/revue-champ-lacanien.htm		revue-champ-lacanien		fulltext		EPFCL-France	serial								P	223616966
Champ psy	2260-2100	2273-1571	2010		1	2015		2	https://www.cairn.info/revue-champ-psy.htm		revue-champ-psy		fulltext		L’Esprit du temps	serial								P	178719013
Che vuoi ?	0994-2424	2262-4848	2003	19	1				https://www.cairn.info/revue-che-vuoi-1.htm		revue-che-vuoi-1		fulltext		L'Harmattan	serial								P	16619798X
Cliniques méditerranéennes	0762-7491	1776-2790	2001	63	1				https://www.cairn.info/revue-cliniques-mediterraneennes.htm		revue-cliniques-mediterraneennes		fulltext		Érès	serial								P	097477958
Corps et Psychisme	2496-4476	2553-6087	2016		1				https://www.cairn.info/revue-corps-et-psychisme.htm		revue-corps-et-psychisme		fulltext		Association de la revue Corps et Psychisme	serial								P	195020715
Enfance	0013-7545	1969-6981	2001	53	1	2008		4	https://www.cairn.info/revue-enfance1.htm		revue-enfance1		fulltext		Presses Universitaires de France	serial								P	111179408
Essaim	1287-258X	1776-2839	2003	11	1				https://www.cairn.info/revue-essaim.htm		revue-essaim		fulltext		Érès	serial								P	097556939
Feuillets psychanalytiques		2779-2765	2016	1	1				https://www.cairn.info/revue-feuillets-psychanalytiques.htm		revue-feuillets-psychanalytiques		fulltext		Association Lacanienne Internationale (A.L.I.) Rhône Alpes	serial								P	250307758
Figures de la psychanalyse	1623-3883	1776-2847	2001	4	1				https://www.cairn.info/revue-figures-de-la-psy.htm		revue-figures-de-la-psy		fulltext		Érès	serial								P	097557781
Gestalt	1154-5232	1950-6716	2002	22	1				https://www.cairn.info/revue-gestalt.htm		revue-gestalt		fulltext		Société française de Gestalt	serial								P	110968522
Imaginaire et Inconscient	1628-9676	1965-0183	2001	4	4				https://www.cairn.info/revue-imaginaire-et-inconscient.htm		revue-imaginaire-et-inconscient		fulltext		L’Esprit du temps	serial								P	111987725
Insistance	1778-7807	1951-6258	2005	1	1				https://www.cairn.info/revue-insistance.htm		revue-insistance		fulltext		Érès	serial								P	111472415
Journal de la psychanalyse de l'enfant	0994-7949	2264-590X	2011	1	1				https://www.cairn.info/revue-journal-de-la-psychanalyse-de-l-enfant.htm		revue-journal-de-la-psychanalyse-de-l-enfant		fulltext		Presses Universitaires de France	serial								P	167869841
L'en-je lacanien	1761-2861	1951-6231	2004	2	1	2023		1	https://www.cairn.info/revue-l-en-je-lacanien.htm		revue-l-en-je-lacanien		fulltext		Érès	serial								P	110961854
L'information psychiatrique	0020-0204	1952-4056	2006	82	1				https://www.cairn.info/revue-l-information-psychiatrique.htm		revue-l-information-psychiatrique		fulltext		JLE Editions	serial								P	127809449
La Cause du Désir	2258-8051	2606-6041	2012		1				https://www.cairn.info/revue-la-cause-du-desir.htm		revue-la-cause-du-desir		fulltext		L'École de la Cause freudienne	serial								P	223455857
La Cause freudienne	1240-1684	2547-5711	2004	56	1	2011		3	https://www.cairn.info/revue-la-cause-freudienne.htm		revue-la-cause-freudienne		fulltext		L'École de la Cause freudienne	serial								P	225259230
La clinique lacanienne	1288-6629	1776-2782	2004	8	2				https://www.cairn.info/revue-la-clinique-lacanienne.htm		revue-la-clinique-lacanienne		fulltext		Érès	serial								P	098130595
La revue lacanienne	1967-2055	2109-9553	2007	1	1				https://www.cairn.info/revue-la-revue-lacanienne.htm		revue-la-revue-lacanienne		fulltext		Érès	serial								P	147872278
Lapsus	3037-4227		2021	1	1				https://www.cairn.info/revue-lapsus.htm		revue-lapsus		fulltext		Érès	serial								P	
Le présent de la psychanalyse	2677-7924	2678-6133	2019		1				https://www.cairn.info/revue-le-present-de-la-psychanalyse.htm		revue-le-present-de-la-psychanalyse		fulltext		Presses Universitaires de France	serial								P	235516899
Les Lettres de la SPF	1281-0797	2728-5014	2007	17	1				https://www.cairn.info/revue-les-lettres-de-la-spf.htm		revue-les-lettres-de-la-spf		fulltext		Éditions Campagne Première	serial								P	241640024
L’Année psychologique	0003-5033	1955-2580	2009	109	1	2017		4	https://www.cairn.info/revue-l-annee-psychologique1.htm		revue-l-annee-psychologique1		fulltext		NecPlus	serial								P	113508131
Présence haptonomique	2103-8570	2968-1286	1990	1	1				https://www.cairn.info/revue-presence-haptonomique.htm		revue-presence-haptonomique		fulltext		CIRDH – Frans Veldman	serial								P	264432622
PSN	1639-8319	1955-2351	2012	10	1				https://www.cairn.info/revue-psn.htm		revue-psn		fulltext		Éditions Matériologiques	serial								P	118354914
Psy Cause	1245-2394		2018	77	2				https://www.cairn.info/revue-psy-cause.htm		revue-psy-cause		fulltext		Psy Cause International	serial								P	
Psychanalyse	1770-0078	1951-6320	2004	1	1	2017		3	https://www.cairn.info/revue-psychanalyse.htm		revue-psychanalyse		fulltext		Érès	serial								P	110853024
Psychologie Clinique	1145-1882	2118-4224	2009	27	1				https://www.cairn.info/revue-psychologie-clinique.htm		revue-psychologie-clinique		fulltext		EDP Sciences	serial								P	150139632
Psychologie clinique et projective	1265-5449	2118-4496	2001	7	1				https://www.cairn.info/revue-psychologie-clinique-et-projective.htm		revue-psychologie-clinique-et-projective		fulltext		Érès	serial								P	148828388
Psychologues et Psychologies	0297-6234	1968-3006	2011	220	6				https://www.cairn.info/revue-psychologues-et-psychologies.htm		revue-psychologues-et-psychologies		fulltext		Syndicat National des Psychologues	serial								P	263999211
Psychosomatique relationnelle		2272-916X	2013	1	1				https://www.cairn.info/revue-psychosomatique-relationnelle.htm		revue-psychosomatique-relationnelle		fulltext		Centre international de psychosomatique	serial								P	178359602
Psychothérapies	0251-737X	2235-2104	2004	24	4				https://www.cairn.info/revue-psychotherapies.htm		revue-psychotherapies		fulltext		Médecine et Hygiène	serial								P	112029973
Recherches en psychanalyse	1965-0213	1767-5448	2006	6	2	2015		2	https://www.cairn.info/revue-recherches-en-psychanalyse1.htm		revue-recherches-en-psychanalyse1		fulltext		Association Recherches en psychanalyse	serial								P	079581412
Recherches en psychanalyse		1965-0213	2019		1				https://www.cairn.info/revue-recherches-en-psychanalyse.htm		revue-recherches-en-psychanalyse		fulltext		Laboratoire CRPMS, Université de Paris	serial								P	112132928
Research in Psychoanalysis	1767-5448	1965-0213	2016		1	2018		2	https://www.cairn.info/revue-research-in-psychoanalysis.htm		revue-research-in-psychoanalysis		fulltext		Association Recherches en psychanalyse	serial								P	112132928
Revue Belge de Psychanalyse	0775-0196		2016	69	2				https://www.cairn.info/revue-belge-de-psychanalyse.htm		revue-belge-de-psychanalyse		fulltext		Association pour les Publications et la Recherche Psychanalytiques	serial								P	
Revue de neuropsychologie	2101-6739	2102-6025	2009	1	1				https://www.cairn.info/revue-de-neuropsychologie.htm		revue-de-neuropsychologie		fulltext		JLE Editions	serial								P	137918976
Revue de Psychologie Analytique	2268-8870	2271-2151	2013	1	1	2014		1	https://www.cairn.info/revue-de-psychologie-analytique1.htm		revue-de-psychologie-analytique1		fulltext		L’Esprit du temps	serial								P	174933789
Revue des Collèges de Clinique psychanalytique du Champ Lacanien	2101-6429	2801-4537	2016	15	1				https://www.cairn.info/revue-des-colleges-de-clinique-psychanalytique-du-champ-lacanien.htm		revue-des-colleges-de-clinique-psychanalytique-du-champ-lacanien		fulltext		Hermann	serial								P	254991858
Revue française de psychosomatique	1164-4796	2105-2603	1991	1	1				https://www.cairn.info/revue-francaise-de-psychosomatique.htm		revue-francaise-de-psychosomatique		fulltext		Presses Universitaires de France	serial								P	111200822
